#K OBJECT   '43232'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 43232
#K OBJRA    06:14:51.33
#K OBJDEC   -06:16:29.2
#K OBJBMAG  5.332000E+00
#K OBJVMAG  3.987000E+00
#K SPTYPE   K1.5III
#K OBJRV    -4.800000E+00
#K HDNAME   HD 43232
#K BDNAME   BD-06 1469
#K HIPNAME  HIP 29651
#K SAONAME  SAO 133012
#K VHELIO   -2.19941827671459E+01
#K VLSR     -4.02842568461639E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790547E+03
#K CMAX1    8.126059E+03
#K PICKTYPE K2III
#K NCOMBINE 6
#K TEFF     4270  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.220000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.800000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9443.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.1113479
           3465.4      0.09932064
           3465.8      0.08081359
           3466.2      0.07657705
           3466.6      0.07735923
            3467.      0.09771945
           3467.4       0.1135352
           3467.8       0.1152662
           3468.2       0.1276026
           3468.6       0.1376767
            3469.       0.1337412
           3469.4       0.1309566
           3469.8       0.1407091
           3470.2       0.1587708
           3470.6       0.1684419
            3471.       0.1568134
           3471.4       0.1372183
           3471.8       0.1236356
           3472.2       0.1131153
           3472.6      0.09269071
            3473.      0.08760152
           3473.4      0.08984252
           3473.8      0.08267608
           3474.2      0.07312296
           3474.6      0.06549893
            3475.       0.0628901
           3475.4      0.06218282
           3475.8      0.05826876
           3476.2      0.05766847
           3476.6      0.05314337
            3477.      0.05697943
           3477.4      0.08434407
           3477.8       0.1002102
           3478.2      0.09989391
           3478.6       0.1117762
            3479.       0.1199781
           3479.4       0.1059752
           3479.8       0.1083263
           3480.2       0.1103743
           3480.6       0.1011227
            3481.       0.1116262
           3481.4       0.1169915
           3481.8       0.1225161
           3482.2       0.1308786
           3482.6       0.1164955
            3483.       0.1036326
           3483.4       0.0935191
           3483.8      0.09875549
           3484.2        0.106411
           3484.6       0.1138313
            3485.       0.1115045
           3485.4       0.1006044
           3485.8       0.1053628
           3486.2       0.1307507
