#K OBJECT   '44769'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 44769
#K OBJRA    06:23:46.09
#K OBJDEC   +04:35:34.3
#K OBJBMAG  4.593000E+00
#K OBJVMAG  4.414000E+00
#K SPTYPE   A5IV
#K OBJRV    1.460000E+01
#K HDNAME   HD 44769
#K BDNAME   BD+04 1236
#K HIPNAME  HIP 30419
#K SAONAME  SAO 113810
#K VHELIO   -2.14459767186206E+01
#K VLSR     -3.78448880581835E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679874E+03
#K CMAX1    6.009925E+03
#K PICKTYPE A5IV
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9443.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.7478803
           3465.4       0.7513753
           3465.8       0.7488399
           3466.2       0.7452968
           3466.6        0.756024
            3467.       0.7758941
           3467.4       0.7825072
           3467.8       0.7865088
           3468.2       0.7931741
           3468.6       0.7882956
            3469.       0.7901191
           3469.4       0.8010775
           3469.8       0.7950244
           3470.2       0.7900596
           3470.6       0.7878629
            3471.       0.7823117
           3471.4       0.7766801
           3471.8       0.7759992
           3472.2       0.7712524
           3472.6       0.7541139
            3473.       0.7397326
           3473.4       0.7193218
           3473.8       0.7098498
           3474.2       0.6977477
           3474.6       0.6828465
            3475.       0.6710731
           3475.4       0.6687906
           3475.8        0.669299
           3476.2       0.6623461
           3476.6       0.6601741
            3477.        0.678212
           3477.4       0.7006276
           3477.8       0.7114911
           3478.2       0.7307314
           3478.6       0.7607491
            3479.       0.7685501
           3479.4       0.7643892
           3479.8       0.7628567
           3480.2       0.7617288
           3480.6       0.7608511
            3481.       0.7553673
           3481.4       0.7567308
           3481.8       0.7525365
           3482.2       0.7393508
           3482.6       0.7268507
            3483.       0.7173923
           3483.4       0.7246068
           3483.8       0.7296692
           3484.2       0.7337006
           3484.6       0.7483274
            3485.       0.7642476
           3485.4       0.7729291
           3485.8       0.7907965
           3486.2       0.7933341
           3486.6       0.7962734
            3487.       0.7986472
           3487.4       0.7782916
           3487.8       0.7584929
           3488.2       0.7475627
           3488.6       0.7297355
            3489.        0.724033
           3489.4       0.7061358
           3489.8       0.6854396
           3490.2       0.6936613
           3490.6       0.6970317
            3491.       0.7092041
           3491.4       0.7208952
           3491.8       0.7250289
           3492.2       0.7254137
           3492.6       0.7290097
            3493.       0.7312192
           3493.4       0.7253225
           3493.8       0.7185848
           3494.2       0.7077321
           3494.6       0.6932132
            3495.       0.6781449
           3495.4       0.6596053
           3495.8       0.6353087
           3496.2       0.6337166
           3496.6       0.6389923
            3497.       0.6501262
           3497.4       0.6719934
           3497.8       0.6998914
           3498.2       0.7280556
           3498.6       0.7537731
            3499.        0.774389
           3499.4       0.7786314
           3499.8       0.7684895
           3500.2       0.7664868
           3500.6        0.774468
            3501.       0.7708864
           3501.4       0.7709605
           3501.8       0.7783085
           3502.2       0.7874479
           3502.6       0.7948181
            3503.       0.8021585
           3503.4       0.7941632
           3503.8       0.7726657
           3504.2       0.7614925
           3504.6       0.7459628
            3505.       0.7243603
           3505.4       0.7280232
           3505.8       0.7351105
           3506.2       0.7564383
           3506.6       0.7567275
            3507.       0.7741014
           3507.4       0.7850754
           3507.8       0.7900615
           3508.2       0.7901816
           3508.6       0.7864686
            3509.       0.7808346
           3509.4       0.7643238
           3509.8       0.7452665
           3510.2       0.7257475
           3510.6        0.718431
            3511.       0.7209065
           3511.4       0.7283334
           3511.8       0.7447626
           3512.2       0.7481145
           3512.6       0.7550873
            3513.       0.7674671
           3513.4        0.752809
           3513.8       0.7330704
           3514.2       0.7288849
           3514.6       0.7285754
            3515.       0.7427101
           3515.4       0.7633688
           3515.8       0.7782061
           3516.2       0.7903857
           3516.6       0.8030234
            3517.       0.7963534
           3517.4       0.8002087
           3517.8       0.8037984
           3518.2        0.803669
           3518.6       0.8037769
            3519.       0.7950262
           3519.4       0.7796975
           3519.8       0.7679341
           3520.2       0.7593126
           3520.6       0.7542636
            3521.       0.7566473
           3521.4       0.7701818
           3521.8       0.7905396
           3522.2       0.7862987
           3522.6       0.7920966
            3523.          0.7923
           3523.4       0.7765267
           3523.8       0.7718457
           3524.2       0.7585741
           3524.6       0.7403463
            3525.       0.7310666
           3525.4       0.7177213
           3525.8       0.7158208
           3526.2       0.7170211
           3526.6       0.7199497
            3527.       0.7388586
           3527.4       0.7677681
           3527.8       0.7953826
           3528.2       0.8080979
           3528.6       0.8129762
            3529.       0.8166419
           3529.4       0.8090924
           3529.8        0.800824
           3530.2       0.7988886
           3530.6       0.7936097
            3531.       0.7936165
           3531.4       0.7965746
           3531.8        0.788423
           3532.2       0.7876201
           3532.6       0.7941284
            3533.       0.8081033
           3533.4       0.8081444
           3533.8       0.7970526
           3534.2       0.7934882
           3534.6       0.7838257
            3535.       0.7701825
           3535.4       0.7707977
           3535.8       0.7769672
           3536.2       0.7757211
           3536.6        0.779028
            3537.       0.7987893
           3537.4       0.8150287
           3537.8       0.8203923
           3538.2       0.8278514
           3538.6       0.8355286
            3539.        0.840508
           3539.4        0.840393
           3539.8       0.8478177
           3540.2       0.8369237
           3540.6       0.8150625
            3541.       0.8075344
           3541.4       0.8056608
           3541.8       0.8059862
           3542.2       0.7923231
           3542.6       0.7982617
            3543.       0.8298414
           3543.4       0.8394876
           3543.8       0.8372396
           3544.2       0.8378406
           3544.6       0.8334029
            3545.       0.8315813
           3545.4       0.8244051
           3545.8        0.823919
           3546.2       0.8342798
           3546.6       0.8318762
            3547.       0.8293559
           3547.4       0.8319903
           3547.8       0.8211405
           3548.2       0.8219035
           3548.6       0.8165463
            3549.       0.8175555
           3549.4       0.8279307
           3549.8        0.840899
           3550.2        0.841756
           3550.6       0.8368292
            3551.       0.8447626
           3551.4        0.847487
           3551.8       0.8367206
           3552.2       0.8308309
           3552.6       0.8180392
            3553.       0.8099679
           3553.4       0.8157378
           3553.8       0.8082733
           3554.2       0.8061279
           3554.6       0.8074008
            3555.       0.8073869
           3555.4       0.7963378
           3555.8       0.7872539
           3556.2       0.7844207
           3556.6       0.7888719
            3557.       0.7920904
           3557.4       0.7895281
           3557.8       0.7974504
           3558.2       0.7993613
           3558.6       0.8037805
            3559.        0.816008
           3559.4       0.8228347
           3559.8       0.8203868
           3560.2       0.8255166
           3560.6       0.8340792
            3561.       0.8343402
           3561.4       0.8287847
           3561.8       0.8333285
           3562.2       0.8413607
           3562.6       0.8506461
            3563.       0.8623156
           3563.4       0.8495164
           3563.8       0.8402301
           3564.2       0.8182483
           3564.6       0.7902137
            3565.        0.761547
           3565.4       0.7483754
           3565.8       0.7358876
           3566.2       0.7269968
           3566.6       0.7351167
            3567.       0.7437538
           3567.4        0.759186
           3567.8        0.785962
           3568.2       0.7953337
           3568.6       0.7899584
            3569.       0.7767621
           3569.4       0.7676991
           3569.8       0.7487072
           3570.2        0.751171
           3570.6       0.7533621
            3571.       0.7440121
           3571.4       0.7476244
           3571.8       0.7471206
           3572.2       0.7433053
           3572.6       0.7441878
            3573.       0.7406871
           3573.4       0.7494121
           3573.8       0.7734727
           3574.2       0.7875944
           3574.6       0.7942616
            3575.        0.785236
           3575.4       0.7861853
           3575.8       0.7701614
           3576.2        0.772202
           3576.6       0.7690107
            3577.       0.7646526
           3577.4       0.7824269
           3577.8       0.7994913
           3578.2       0.8049239
           3578.6       0.8102998
            3579.       0.8120511
           3579.4       0.8160364
           3579.8       0.8133408
           3580.2       0.7941804
           3580.6       0.7751499
            3581.        0.773632
           3581.4       0.7704548
           3581.8       0.7658413
           3582.2       0.7857149
           3582.6       0.8165315
            3583.       0.8341357
           3583.4        0.832406
           3583.8         0.80879
           3584.2       0.7709353
           3584.6       0.7294692
            3585.        0.696102
           3585.4       0.6900898
           3585.8       0.6750695
           3586.2       0.6795442
           3586.6        0.697584
            3587.       0.7202962
           3587.4       0.7380545
           3587.8       0.7493004
           3588.2       0.7591752
           3588.6       0.7667281
            3589.       0.7633813
           3589.4       0.7544441
           3589.8       0.7580464
           3590.2       0.7690645
           3590.6       0.7798176
            3591.       0.7924025
           3591.4       0.7986115
           3591.8       0.8066869
           3592.2       0.8121983
           3592.6       0.7990749
            3593.       0.7954102
           3593.4        0.797461
           3593.8       0.7990903
           3594.2       0.8017857
           3594.6       0.8059662
            3595.       0.8192236
           3595.4       0.8148996
           3595.8       0.8105429
           3596.2       0.8189545
           3596.6       0.8233998
            3597.        0.826901
           3597.4       0.8324319
           3597.8       0.8447863
           3598.2       0.8438762
           3598.6       0.8437738
            3599.       0.8507843
           3599.4       0.8461565
           3599.8       0.8404657
           3600.2       0.8390182
           3600.6       0.8257999
            3601.       0.8178779
           3601.4       0.8088775
           3601.8       0.7990341
           3602.2       0.7972654
           3602.6       0.7912785
            3603.        0.782401
