#K OBJECT   '47731'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 47731
#K OBJRA    06:41:20.90
#K OBJDEC   +28:11:47.9
#K OBJBMAG  7.525000E+00
#K OBJVMAG  6.436000E+00
#K SPTYPE   G5Ib
#K OBJRV    -6.100000E+00
#K HDNAME   HD 47731
#K BDNAME   BD+28 1207
#K HIPNAME  HIP 32019
#K SAONAME  SAO 78636
#K VHELIO   -2.05199956662120E+01
#K VLSR     -3.08551548644619E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435647E+03
#K CMAX1    4.763877E+03
#K PICKTYPE G5I
#K NCOMBINE 6
#K TEFF     4990  1980ApJ...241..218L (Luck)
#K LOGG     1.000000E+00  1980ApJ...241..218L (Luck)
#K FEH      -1.600000E-01  1980ApJ...241..218L (Luck)
#K COVERAGE 3465.0-9443.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.2277313
           3465.4       0.2060916
           3465.8       0.1760138
           3466.2       0.1599396
           3466.6       0.1638039
            3467.       0.1741328
           3467.4        0.186103
           3467.8       0.1988117
           3468.2       0.2084826
           3468.6       0.2116622
            3469.       0.2011633
           3469.4       0.1976794
           3469.8       0.2190142
           3470.2       0.2455967
           3470.6       0.2570305
            3471.       0.2498106
           3471.4       0.2277455
           3471.8       0.2044783
           3472.2       0.1918029
           3472.6       0.1849564
            3473.       0.1778906
           3473.4       0.1703657
           3473.8       0.1595997
           3474.2       0.1502691
           3474.6       0.1450887
            3475.        0.142403
           3475.4       0.1395504
           3475.8       0.1331658
           3476.2       0.1350905
           3476.6       0.1296667
            3477.       0.1235087
           3477.4       0.1351968
           3477.8        0.158012
           3478.2        0.173814
           3478.6       0.1740267
            3479.        0.165553
           3479.4       0.1631298
           3479.8       0.1664694
           3480.2       0.1651139
           3480.6       0.1659695
            3481.       0.1699325
           3481.4       0.1761569
           3481.8       0.1813493
           3482.2       0.1822698
           3482.6       0.1714847
            3483.       0.1540404
           3483.4       0.1402708
           3483.8       0.1405429
           3484.2       0.1563395
           3484.6       0.1652814
            3485.       0.1664137
           3485.4       0.1617579
           3485.8       0.1759848
           3486.2       0.2028579
           3486.6       0.2305418
            3487.       0.2506746
           3487.4       0.2574026
           3487.8       0.2401744
           3488.2       0.2097026
           3488.6       0.1825508
            3489.        0.160796
           3489.4       0.1487466
           3489.8       0.1444142
