#K OBJECT   '5015'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 5015
#K OBJRA    00:53:04.20
#K OBJDEC   +61:07:26.3
#K OBJBMAG  5.350000E+00
#K OBJVMAG  4.820000E+00
#K SPTYPE   F8V
#K OBJRV    2.070000E+01
#K HDNAME   HD 5015
#K BDNAME   BD+60 124
#K HIPNAME  HIP 4151
#K SAONAME  SAO 11444
#K VHELIO   5.85254437504258E+00
#K VLSR     1.28281783391947E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449718E+03
#K CMAX1    4.775228E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     6196  1993A&A...275..101E (Edvardsson)
#K LOGG     3.980000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      0.000000E+00  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.0-8145.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6223025
           3465.4       0.5896655
           3465.8       0.5354688
           3466.2       0.5205296
           3466.6       0.5593685
            3467.        0.586525
           3467.4       0.6121068
           3467.8       0.6300563
           3468.2       0.6330842
           3468.6       0.6245701
            3469.       0.5961169
           3469.4       0.5907978
           3469.8       0.6307353
           3470.2       0.6668754
           3470.6       0.6820959
            3471.       0.6749769
           3471.4       0.6267803
           3471.8       0.5938873
           3472.2       0.5676843
           3472.6       0.5647562
            3473.       0.5767387
           3473.4       0.5663366
           3473.8       0.5407034
           3474.2       0.5229856
           3474.6       0.5084291
            3475.       0.4900265
           3475.4       0.4639634
           3475.8       0.4494515
           3476.2       0.4563461
           3476.6        0.450766
            3477.       0.4495786
           3477.4       0.4855598
           3477.8       0.5421235
           3478.2       0.5681502
           3478.6       0.5791207
            3479.       0.5915901
           3479.4       0.5907824
           3479.8       0.5872695
           3480.2       0.5847491
           3480.6       0.5723746
            3481.       0.5722142
           3481.4       0.5878842
           3481.8       0.5876432
           3482.2       0.5771319
           3482.6       0.5509912
            3483.       0.5237297
           3483.4       0.5026762
           3483.8       0.5056508
           3484.2       0.5288761
           3484.6       0.5425274
            3485.       0.5304361
           3485.4       0.5234827
           3485.8       0.5547557
           3486.2        0.608318
           3486.6       0.6518406
            3487.        0.681521
           3487.4       0.6932764
           3487.8       0.6675797
           3488.2       0.6179924
           3488.6       0.5662034
            3489.        0.519444
           3489.4       0.5086506
           3489.8       0.5089769
           3490.2       0.4954972
           3490.6       0.4798382
            3491.       0.4999602
           3491.4       0.5542911
           3491.8       0.5936697
           3492.2       0.5879879
           3492.6        0.545522
            3493.       0.5053344
           3493.4       0.5146895
           3493.8       0.5633181
           3494.2       0.6106151
           3494.6       0.6048585
            3495.        0.577035
           3495.4       0.5200573
           3495.8       0.4637329
           3496.2       0.4454231
           3496.6       0.4519879
            3497.       0.4538581
           3497.4       0.4508515
           3497.8       0.4740985
           3498.2       0.5371616
           3498.6       0.6134245
            3499.       0.6705209
           3499.4       0.7014559
           3499.8       0.6858987
           3500.2       0.6584294
           3500.6       0.6440896
            3501.       0.6528186
           3501.4       0.6675597
           3501.8       0.6609097
           3502.2       0.6345758
           3502.6       0.6353927
            3503.       0.6882184
           3503.4       0.7384259
           3503.8       0.7468567
           3504.2       0.7166848
           3504.6       0.6450264
            3505.       0.5913985
           3505.4       0.5769147
           3505.8       0.5764191
           3506.2       0.5779216
           3506.6       0.5824389
            3507.       0.6058992
           3507.4       0.6318629
           3507.8       0.6419904
           3508.2       0.6493934
           3508.6        0.654691
            3509.       0.6609308
           3509.4       0.6417118
           3509.8       0.5902984
           3510.2       0.5513307
           3510.6       0.5364684
            3511.       0.5840096
           3511.4       0.6259412
           3511.8       0.6128155
           3512.2       0.5852666
           3512.6       0.5734699
            3513.       0.5616683
           3513.4       0.5435503
           3513.8       0.5329973
           3514.2       0.5339597
           3514.6       0.5417576
            3515.       0.5526603
           3515.4        0.595844
           3515.8       0.6415221
           3516.2       0.6674337
           3516.6       0.6765931
            3517.       0.6848037
           3517.4       0.7101939
           3517.8       0.7256002
           3518.2        0.711414
           3518.6       0.6934387
            3519.       0.6882704
           3519.4        0.676707
           3519.8       0.6354334
           3520.2       0.6143113
           3520.6       0.6123851
            3521.       0.5949616
           3521.4       0.5648127
           3521.8        0.573792
           3522.2       0.5994545
           3522.6       0.6214747
            3523.       0.6080943
           3523.4       0.5688856
           3523.8       0.5317462
           3524.2       0.4869798
           3524.6       0.4770154
            3525.       0.5294404
           3525.4       0.5650495
           3525.8       0.5051827
           3526.2       0.4299539
           3526.6       0.4197676
            3527.       0.4819027
           3527.4       0.5548152
           3527.8       0.6047847
           3528.2       0.6512678
           3528.6       0.7004954
            3529.       0.7103963
           3529.4       0.6757802
           3529.8       0.6507688
           3530.2       0.6451582
           3530.6       0.6533464
            3531.       0.6666743
           3531.4       0.6534783
           3531.8        0.604111
           3532.2       0.5766724
           3532.6       0.5636524
            3533.        0.567711
           3533.4       0.6015009
           3533.8       0.6598656
           3534.2       0.7057597
           3534.6       0.7044199
            3535.       0.6766304
           3535.4       0.6563814
           3535.8       0.6505522
           3536.2       0.6529103
           3536.6       0.6572546
            3537.       0.6573929
           3537.4       0.6387839
           3537.8       0.6193705
           3538.2       0.6355063
           3538.6        0.684598
            3539.       0.7466939
           3539.4       0.7866114
           3539.8       0.7797747
           3540.2       0.7445469
           3540.6       0.6936482
            3541.       0.6414042
           3541.4        0.630262
           3541.8       0.6379043
           3542.2       0.6366028
           3542.6       0.6619385
            3543.       0.6898511
           3543.4       0.7072645
           3543.8       0.7227603
           3544.2       0.7339504
           3544.6       0.7283682
            3545.       0.7021473
           3545.4       0.6744893
           3545.8       0.6800175
           3546.2       0.7190443
           3546.6       0.7389241
            3547.       0.7294495
           3547.4       0.6921924
           3547.8       0.6467929
           3548.2       0.6344504
           3548.6       0.6702526
            3549.       0.7126079
           3549.4       0.7313116
           3549.8       0.7359457
           3550.2       0.7432775
           3550.6       0.7430362
            3551.       0.7254865
           3551.4       0.7068732
           3551.8        0.688644
           3552.2       0.6906328
           3552.6       0.6752274
            3553.        0.650032
           3553.4       0.6364462
           3553.8        0.622344
           3554.2       0.5949952
           3554.6       0.5823234
            3555.       0.6100824
           3555.4       0.6838368
           3555.8       0.7472516
           3556.2       0.7384834
           3556.6       0.6930342
            3557.       0.6645997
           3557.4       0.7043111
           3557.8       0.7209055
           3558.2       0.6839856
           3558.6       0.6305086
            3559.       0.6375505
           3559.4       0.6698244
           3559.8       0.6815812
           3560.2        0.682368
           3560.6        0.663516
            3561.       0.6415955
           3561.4       0.6493164
           3561.8       0.6716298
           3562.2       0.7190292
           3562.6       0.7762142
            3563.       0.8197871
           3563.4       0.8219588
           3563.8       0.7888256
           3564.2       0.7242577
           3564.6       0.6344004
            3565.       0.5346417
           3565.4       0.4528635
           3565.8        0.424589
           3566.2       0.4446411
           3566.6       0.4948442
            3567.       0.5689797
           3567.4       0.6265174
           3567.8       0.6554223
           3568.2       0.6525239
           3568.6       0.6207196
            3569.       0.5557209
           3569.4       0.4724472
           3569.8       0.4092205
           3570.2       0.4005519
           3570.6       0.4725721
            3571.       0.5652513
           3571.4       0.5947715
           3571.8       0.5668764
           3572.2       0.5473215
           3572.6       0.5728216
            3573.       0.5990793
           3573.4       0.5877935
           3573.8       0.5697004
           3574.2       0.5679663
           3574.6        0.579294
            3575.       0.5816705
           3575.4       0.5901993
           3575.8       0.6190227
           3576.2       0.6304415
           3576.6       0.6342133
            3577.        0.666709
           3577.4       0.6863912
           3577.8       0.6514285
           3578.2        0.596014
           3578.6       0.5749265
            3579.       0.5943385
           3579.4       0.6400124
           3579.8       0.6456077
           3580.2       0.5846067
           3580.6       0.4853233
            3581.       0.3771636
           3581.4       0.3325083
           3581.8       0.3716169
           3582.2       0.4475937
           3582.6       0.5280671
            3583.       0.5881703
           3583.4       0.6205555
           3583.8       0.6214429
           3584.2       0.5854275
           3584.6       0.5077196
            3585.       0.4175427
           3585.4       0.3686083
           3585.8       0.3939222
           3586.2       0.4359206
           3586.6        0.448769
            3587.       0.4365909
           3587.4       0.4417522
           3587.8       0.4791433
           3588.2       0.5147189
           3588.6       0.5398858
            3589.       0.5390378
           3589.4         0.53571
           3589.8       0.5388961
           3590.2       0.5785242
           3590.6       0.6322306
            3591.       0.6812341
           3591.4       0.7135621
           3591.8       0.7166457
           3592.2       0.6967367
           3592.6        0.661189
            3593.       0.6131616
           3593.4       0.5905467
           3593.8       0.6236693
           3594.2         0.66254
