#K OBJECT   '50420'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 50420
#K OBJRA    06:55:14.66
#K OBJDEC   +43:54:36.1
#K OBJBMAG  6.453000E+00
#K OBJVMAG  6.161000E+00
#K SPTYPE   A9III
#K OBJRV    -7.000000E+00
#K HDNAME   HD 50420
#K BDNAME   BD+44 1551
#K HIPNAME  HIP 33269
#K SAONAME  SAO 41429
#K VHELIO   -2.11609843600807E+01
#K VLSR     -2.63897690311677E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.791430E+03
#K CMAX1    8.126848E+03
#K PICKTYPE A7III
#K NCOMBINE 6
#K TEFF     7412  1976ApJS...32..651K (Kurtz)
#K LOGG     3.400000E+00  1976ApJS...32..651K (Kurtz)
#K FEH      3.000000E-01  1976ApJS...32..651K (Kurtz)
#K COVERAGE 3465.0-9450.2

#      wavelength        spectrum
#       angstroms                

            3465.        0.655223
           3465.4       0.6507399
           3465.8       0.6505072
           3466.2       0.6649354
           3466.6       0.6885624
            3467.       0.7067126
           3467.4       0.7164506
           3467.8       0.7142214
           3468.2       0.6939173
           3468.6        0.688267
            3469.       0.7072262
           3469.4       0.7197955
           3469.8       0.7313016
           3470.2       0.7478129
           3470.6       0.7370377
            3471.       0.7110519
           3471.4       0.6983271
           3471.8       0.6900745
           3472.2       0.6781173
           3472.6       0.6731538
            3473.       0.6712242
           3473.4       0.6576401
           3473.8       0.6362898
           3474.2       0.6157756
           3474.6       0.5980112
            3475.       0.5704907
           3475.4       0.5770683
           3475.8       0.5858312
           3476.2       0.5711387
           3476.6       0.5613704
            3477.       0.5708433
           3477.4       0.6034171
           3477.8       0.6413841
           3478.2       0.6616418
           3478.6        0.683663
            3479.       0.6788548
           3479.4       0.6844943
           3479.8       0.6723132
           3480.2       0.6755679
           3480.6       0.6811288
            3481.       0.6690151
           3481.4       0.6795548
           3481.8       0.6974284
           3482.2       0.6749006
           3482.6       0.6412593
            3483.       0.6218208
           3483.4       0.6110298
           3483.8       0.6333296
           3484.2       0.6493986
           3484.6       0.6724323
            3485.       0.6821408
           3485.4       0.6900843
           3485.8       0.7095528
           3486.2       0.7354695
           3486.6       0.7586847
            3487.       0.7374935
           3487.4       0.7174309
           3487.8       0.7014797
           3488.2       0.6614938
           3488.6       0.6402158
            3489.       0.6232772
           3489.4        0.627156
           3489.8       0.6159468
           3490.2       0.6114959
           3490.6       0.5981081
            3491.       0.6208684
           3491.4       0.6638513
           3491.8        0.693566
           3492.2        0.688828
           3492.6       0.6609176
            3493.        0.643461
           3493.4       0.6391404
           3493.8       0.6445058
           3494.2       0.6530664
           3494.6       0.6217501
            3495.       0.5803862
           3495.4       0.5399957
           3495.8         0.52736
           3496.2       0.5327277
           3496.6       0.5356748
            3497.       0.5373915
           3497.4       0.5527765
           3497.8       0.6020693
           3498.2       0.6564459
           3498.6       0.7019646
            3499.       0.7256644
           3499.4       0.7006076
           3499.8       0.6894889
           3500.2       0.6814936
           3500.6       0.6791303
            3501.       0.6808748
           3501.4        0.694672
           3501.8       0.7103907
           3502.2       0.7050427
           3502.6       0.7125283
            3503.       0.7253204
           3503.4       0.7285861
           3503.8       0.7134629
           3504.2       0.6758911
           3504.6       0.6442057
            3505.       0.6228094
           3505.4        0.618134
           3505.8       0.6231596
           3506.2       0.6423804
           3506.6       0.6581051
            3507.       0.6833049
           3507.4       0.6876922
           3507.8       0.6670852
           3508.2       0.6737475
           3508.6       0.7019274
            3509.       0.7094197
           3509.4       0.6874683
           3509.8       0.6473024
           3510.2       0.6215255
           3510.6        0.621533
            3511.       0.6185373
           3511.4        0.644851
           3511.8       0.6654056
           3512.2       0.6625887
           3512.6       0.6665237
            3513.       0.6615591
           3513.4       0.6414135
           3513.8       0.6321456
           3514.2       0.6351006
           3514.6       0.6464859
            3515.       0.6743386
           3515.4        0.695728
           3515.8       0.7056526
           3516.2       0.7293765
           3516.6       0.7089136
            3517.       0.6918373
           3517.4       0.7117221
           3517.8       0.7223694
           3518.2       0.7303884
           3518.6       0.7306802
            3519.       0.7222129
           3519.4       0.7002158
           3519.8       0.6737272
           3520.2       0.6591447
           3520.6       0.6449087
            3521.       0.6444476
           3521.4       0.6534533
           3521.8       0.6645612
           3522.2       0.6978737
           3522.6       0.7077691
            3523.       0.7015274
           3523.4       0.6860207
           3523.8       0.6604719
           3524.2       0.6471164
           3524.6       0.6465502
            3525.        0.647495
           3525.4       0.6441348
           3525.8       0.6115558
           3526.2       0.5693846
           3526.6       0.5860327
