#K OBJECT   '51309'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 51309
#K OBJRA    06:56:08.22
#K OBJDEC   -17:03:15.3
#K OBJBMAG  4.312000E+00
#K OBJVMAG  4.385000E+00
#K SPTYPE   B3Ib/II
#K OBJRV    4.100000E+01
#K HDNAME   HD 51309
#K BDNAME   BD-16 1661
#K HIPNAME  HIP 33347
#K SAONAME  SAO 152126
#K VHELIO   -1.40602990147723E+01
#K VLSR     -3.31234345632096E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679585E+03
#K CMAX1    6.009551E+03
#K PICKTYPE B3I
#K NCOMBINE 5
#K TEFF     17390  1992ApJ...387..673G (Gies)
#K LOGG     2.700000E+00  1992ApJ...387..673G (Gies)
#K FEH      -1.700000E-01  1992ApJ...387..673G (Gies)
#K COVERAGE 3465.0-9443.0

#      wavelength        spectrum
#       angstroms                

            3465.        2.978099
           3465.4        2.968493
           3465.8        2.995564
           3466.2        3.007346
           3466.6        2.985942
            3467.        2.980885
           3467.4        2.997011
           3467.8         3.00619
           3468.2        3.010664
           3468.6        2.996826
            3469.        2.981972
           3469.4        2.986414
           3469.8        2.967489
           3470.2        2.974995
           3470.6        2.989421
            3471.        3.004442
           3471.4        2.951272
           3471.8        2.916897
           3472.2        2.942194
           3472.6         2.99715
            3473.        2.969825
           3473.4        2.979367
           3473.8        3.010045
           3474.2        2.987724
           3474.6        2.979919
            3475.        2.963807
           3475.4        3.036376
           3475.8        2.977053
           3476.2         2.96204
           3476.6        2.961368
            3477.        2.918704
           3477.4        2.915813
           3477.8        2.951755
           3478.2        2.949184
           3478.6         2.91048
            3479.        2.888723
           3479.4         2.90094
           3479.8        2.924782
           3480.2        2.939747
           3480.6        2.958912
            3481.        2.986865
           3481.4        2.993012
           3481.8        2.968789
           3482.2        2.990814
           3482.6        2.968394
            3483.        2.949586
           3483.4        2.927084
           3483.8        2.945258
           3484.2        2.986722
           3484.6        2.975378
            3485.        2.940422
           3485.4        2.941989
           3485.8         2.95673
           3486.2        2.906079
           3486.6        2.906311
            3487.        2.900607
           3487.4        2.879225
           3487.8        2.901602
           3488.2        2.912099
           3488.6        2.896696
            3489.        2.901802
           3489.4        2.931274
           3489.8        2.923409
           3490.2        2.907969
           3490.6        2.932922
            3491.        2.926928
           3491.4        2.925057
           3491.8        2.929154
           3492.2         2.92144
           3492.6        2.931474
            3493.        2.932066
           3493.4        2.912783
           3493.8        2.863377
           3494.2        2.886143
           3494.6        2.922387
            3495.        2.905645
           3495.4        2.914289
           3495.8        2.925565
           3496.2         2.88536
           3496.6        2.856265
            3497.        2.843182
           3497.4        2.849948
           3497.8        2.833233
           3498.2        2.796652
           3498.6         2.74557
            3499.        2.774513
           3499.4        2.800004
           3499.8        2.793558
           3500.2        2.801117
           3500.6        2.813879
            3501.        2.823637
           3501.4        2.830674
           3501.8        2.830858
           3502.2         2.81201
           3502.6          2.7942
            3503.        2.827015
           3503.4        2.852805
           3503.8         2.86729
           3504.2        2.830772
           3504.6        2.824636
            3505.        2.845334
           3505.4        2.813848
           3505.8        2.780092
           3506.2        2.778575
           3506.6        2.772621
            3507.        2.764187
           3507.4        2.738801
           3507.8        2.796999
           3508.2        2.804824
           3508.6        2.803899
            3509.        2.805484
           3509.4        2.778949
           3509.8        2.757497
           3510.2        2.775681
           3510.6        2.746338
            3511.        2.751791
           3511.4        2.750104
           3511.8        2.664418
           3512.2        2.682816
           3512.6        2.667202
            3513.        2.687428
           3513.4        2.703904
           3513.8        2.681317
           3514.2        2.733819
           3514.6        2.765101
            3515.        2.786891
           3515.4        2.797391
           3515.8        2.795537
           3516.2        2.787073
           3516.6        2.774088
            3517.        2.772418
           3517.4        2.751755
           3517.8        2.731002
           3518.2        2.767981
           3518.6        2.744593
            3519.        2.748824
           3519.4        2.753548
           3519.8        2.773054
           3520.2        2.774471
           3520.6        2.759268
            3521.        2.761722
           3521.4        2.772064
           3521.8        2.766418
           3522.2        2.746176
           3522.6        2.728078
            3523.        2.733207
           3523.4         2.75796
           3523.8        2.757142
           3524.2        2.700022
           3524.6         2.71946
            3525.        2.774653
           3525.4        2.722987
           3525.8         2.71114
           3526.2        2.764998
           3526.6        2.754601
            3527.         2.70467
           3527.4        2.729428
           3527.8        2.756575
           3528.2        2.701173
           3528.6        2.696066
            3529.         2.67918
           3529.4        2.658306
           3529.8        2.643199
           3530.2         2.59261
           3530.6        2.563673
            3531.        2.611974
           3531.4        2.624309
           3531.8        2.633126
           3532.2        2.661329
           3532.6        2.663742
            3533.        2.673473
           3533.4        2.683463
           3533.8         2.67578
           3534.2        2.649148
           3534.6         2.64208
            3535.        2.656774
           3535.4        2.661015
           3535.8         2.67419
           3536.2        2.675297
           3536.6        2.619834
            3537.         2.57118
           3537.4         2.61206
           3537.8        2.649461
           3538.2        2.623978
           3538.6        2.639232
            3539.        2.660496
           3539.4        2.618399
           3539.8        2.605871
           3540.2        2.634015
           3540.6        2.633512
            3541.        2.649482
           3541.4         2.62091
           3541.8         2.61226
           3542.2        2.612657
           3542.6        2.593108
            3543.        2.611707
           3543.4        2.626012
           3543.8        2.576469
           3544.2        2.573189
