#K OBJECT   '54810'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 54810
#K OBJRA    07:10:13.68
#K OBJDEC   -04:14:13.6
#K OBJBMAG  5.950000E+00
#K OBJVMAG  4.920000E+00
#K SPTYPE   K0III
#K OBJRV    7.880000E+01
#K HDNAME   HD 54810
#K BDNAME   BD-04 1840
#K HIPNAME  HIP 34622
#K SAONAME  SAO 134282
#K VHELIO   2.67854402098764E+01
#K VLSR     9.49371108981745E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.452742E+03
#K CMAX1    4.777144E+03
#K PICKTYPE K0III
#K NCOMBINE 4
#K TEFF     4697  2001MNRAS.326..981C (Cenarro)
#K LOGG     2.350000E+00  2001MNRAS.326..981C (Cenarro)
#K FEH      -3.300000E-01  2001MNRAS.326..981C (Cenarro)
#K COVERAGE 3465.0-7265.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2047732
           3465.4       0.1780731
           3465.8       0.1480668
           3466.2       0.1449704
           3466.6       0.1615528
            3467.       0.1860613
           3467.4        0.204557
           3467.8       0.2189134
           3468.2       0.2283161
           3468.6       0.2228972
            3469.       0.2123553
           3469.4       0.2154424
           3469.8       0.2367614
           3470.2       0.2579281
           3470.6       0.2580674
            3471.         0.24001
           3471.4       0.2178738
           3471.8       0.1947744
           3472.2       0.1755922
           3472.6       0.1710141
            3473.       0.1711133
           3473.4       0.1658166
           3473.8       0.1540638
           3474.2       0.1421399
           3474.6       0.1311538
            3475.       0.1164568
           3475.4        0.105044
           3475.8       0.1024049
           3476.2       0.1014558
           3476.6       0.1056992
            3477.       0.1249582
           3477.4       0.1518565
           3477.8       0.1795219
           3478.2       0.1917613
           3478.6       0.1959576
            3479.       0.1963046
           3479.4       0.1936702
           3479.8       0.1885616
           3480.2       0.1844831
           3480.6       0.1859426
            3481.       0.1927617
           3481.4       0.1996327
           3481.8        0.203126
           3482.2       0.1992711
           3482.6       0.1815234
            3483.       0.1607921
           3483.4       0.1541201
           3483.8       0.1615221
           3484.2       0.1734762
           3484.6        0.173407
