#K OBJECT   '61064'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 61064
#K OBJRA    07:37:16.69
#K OBJDEC   -04:06:39.5
#K OBJBMAG  5.552000E+00
#K OBJVMAG  5.143000E+00
#K SPTYPE   F6III
#K OBJRV    4.600000E+01
#K HDNAME   HD 61064
#K BDNAME   BD-03 1979
#K HIPNAME  HIP 37088
#K SAONAME  SAO 134899
#K VHELIO   -1.55168241545790E+01
#K VLSR     -3.20929547035383E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789458E+03
#K CMAX1    8.124772E+03
#K PICKTYPE F5III
#K NCOMBINE 6
#K TEFF     6380  1990A&A...227..156B (Berthet)
#K LOGG     3.210000E+00  1990A&A...227..156B (Berthet)
#K FEH      4.400000E-01  1990A&A...227..156B (Berthet)
#K COVERAGE 3465.0-9448.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.6126143
           3465.4       0.5943114
           3465.8       0.5789663
           3466.2       0.5835451
           3466.6       0.6090803
            3467.       0.6234437
           3467.4       0.6335306
           3467.8       0.6445726
           3468.2        0.634897
           3468.6        0.625664
            3469.        0.627829
           3469.4       0.6328903
           3469.8       0.6658351
           3470.2       0.6855049
           3470.6       0.6916818
            3471.       0.6613941
           3471.4        0.636807
           3471.8       0.6300122
           3472.2        0.610749
           3472.6       0.6057706
            3473.       0.6040834
           3473.4       0.5840557
           3473.8       0.5541962
           3474.2       0.5294505
           3474.6       0.5146974
            3475.       0.4970099
           3475.4       0.4833789
           3475.8       0.4866797
           3476.2        0.480383
           3476.6       0.4767129
            3477.       0.5149752
           3477.4       0.5376849
           3477.8       0.5696968
           3478.2       0.6023349
           3478.6       0.6042387
            3479.       0.5962794
           3479.4       0.5964105
           3479.8        0.594232
           3480.2       0.5952925
           3480.6       0.6052752
            3481.       0.6048796
           3481.4       0.6138218
           3481.8        0.615712
           3482.2       0.5919898
           3482.6       0.5642168
            3483.       0.5333357
           3483.4        0.518388
           3483.8       0.5394269
           3484.2       0.5626665
           3484.6       0.5767273
            3485.       0.5926397
           3485.4       0.6130302
           3485.8       0.6490756
           3486.2       0.6655043
           3486.6       0.7020261
            3487.       0.7195951
           3487.4       0.7154195
           3487.8       0.6663551
           3488.2        0.610437
           3488.6       0.5786583
            3489.       0.5546657
           3489.4       0.5453523
           3489.8       0.5370154
           3490.2        0.537945
           3490.6       0.5543176
            3491.       0.5557447
           3491.4       0.6057515
           3491.8       0.6355131
           3492.2       0.6284559
           3492.6       0.6058911
            3493.        0.575148
           3493.4        0.565283
           3493.8       0.5959812
           3494.2       0.6148579
           3494.6       0.5880369
            3495.       0.5362702
           3495.4       0.4841157
           3495.8       0.4525434
           3496.2       0.4508053
           3496.6       0.4543552
            3497.       0.4570574
           3497.4       0.4938275
           3497.8       0.5450516
           3498.2       0.6036879
           3498.6       0.6546749
            3499.       0.6802191
           3499.4       0.6750521
           3499.8       0.6547053
           3500.2       0.6295216
           3500.6       0.6292766
            3501.       0.6548598
           3501.4       0.6615075
           3501.8        0.660416
           3502.2       0.6664747
           3502.6       0.6876529
            3503.       0.7054892
           3503.4       0.7115734
           3503.8       0.6921805
           3504.2       0.6490236
           3504.6       0.6100404
            3505.       0.5718896
           3505.4       0.5587245
           3505.8       0.5663029
           3506.2       0.5769154
           3506.6       0.6033793
            3507.       0.6206797
           3507.4       0.6358368
           3507.8       0.6478021
           3508.2       0.6557132
           3508.6       0.6780936
            3509.       0.6859521
           3509.4       0.6662778
           3509.8       0.6171218
           3510.2       0.5736542
           3510.6         0.56814
            3511.       0.5905164
           3511.4       0.6174245
           3511.8       0.6272231
           3512.2       0.6202322
           3512.6       0.6189491
            3513.       0.6059567
           3513.4       0.6011383
           3513.8       0.5875689
           3514.2       0.5885957
           3514.6       0.6046097
            3515.       0.6380201
           3515.4       0.6682845
           3515.8       0.7021217
           3516.2       0.7017868
           3516.6       0.6849785
            3517.        0.702368
           3517.4       0.7076927
           3517.8       0.7054196
           3518.2        0.702229
           3518.6       0.6956486
            3519.        0.692202
           3519.4       0.6757674
           3519.8       0.6274848
           3520.2       0.5967045
           3520.6       0.5909435
            3521.       0.5907227
           3521.4       0.6030615
           3521.8       0.6297104
           3522.2       0.6522353
           3522.6       0.6558079
            3523.       0.6483651
           3523.4       0.6375231
           3523.8       0.5959977
           3524.2       0.5784047
           3524.6       0.5859215
            3525.       0.6097254
           3525.4       0.6060966
           3525.8       0.5512812
           3526.2       0.5098738
           3526.6        0.516821
            3527.       0.5664349
           3527.4       0.6385692
           3527.8       0.6903282
           3528.2       0.7168263
           3528.6       0.7390283
            3529.       0.7419914
           3529.4       0.7059841
           3529.8       0.6783836
           3530.2       0.6717174
           3530.6       0.6741549
            3531.       0.6830007
           3531.4       0.6646265
           3531.8       0.6390695
           3532.2       0.6266239
           3532.6       0.6309622
            3533.       0.6483642
           3533.4       0.6622567
           3533.8       0.6968274
           3534.2       0.7219315
           3534.6       0.7170742
            3535.       0.6918709
           3535.4       0.6452538
           3535.8       0.6398768
           3536.2       0.6726967
           3536.6       0.6948491
            3537.       0.6961148
           3537.4       0.6896359
           3537.8       0.6841589
           3538.2       0.7005136
           3538.6       0.7463858
            3539.       0.7833561
           3539.4       0.7932248
           3539.8       0.7937332
           3540.2       0.7626302
           3540.6       0.7253818
            3541.        0.708663
           3541.4       0.7046819
           3541.8       0.7004813
           3542.2       0.6972299
           3542.6       0.7233395
            3543.       0.7537706
           3543.4       0.7583078
           3543.8       0.7664626
           3544.2       0.7711872
           3544.6       0.7527913
            3545.       0.7279207
           3545.4       0.7070689
           3545.8       0.7242051
           3546.2       0.7560991
           3546.6       0.7815026
            3547.       0.7699024
           3547.4       0.7325458
           3547.8       0.7100818
           3548.2       0.7117412
           3548.6        0.718272
            3549.       0.7288869
           3549.4       0.7511545
           3549.8       0.7646445
           3550.2       0.7769644
           3550.6       0.8095438
            3551.       0.7795185
           3551.4       0.7482195
           3551.8       0.7420081
           3552.2       0.7397678
           3552.6       0.7326643
            3553.       0.7288104
           3553.4       0.7117433
           3553.8       0.6811405
           3554.2       0.6680472
           3554.6       0.6765052
            3555.       0.7075909
           3555.4       0.7569485
           3555.8       0.7647638
           3556.2       0.7595976
           3556.6       0.7337445
            3557.       0.7358997
           3557.4       0.7565371
           3557.8       0.7779985
           3558.2       0.7671364
           3558.6       0.7465024
            3559.       0.7454956
           3559.4       0.7425278
           3559.8       0.7505115
           3560.2       0.7552049
           3560.6       0.7055355
            3561.       0.6985548
           3561.4       0.6935003
           3561.8       0.7254597
           3562.2       0.7762601
           3562.6       0.8323537
            3563.       0.8658623
           3563.4       0.8692418
           3563.8       0.8365367
           3564.2       0.7669618
           3564.6       0.6998408
            3565.       0.6348528
           3565.4       0.5605518
           3565.8       0.5401389
           3566.2       0.5481249
           3566.6       0.5976706
            3567.        0.647037
           3567.4       0.6962208
           3567.8       0.7110856
           3568.2       0.7146526
           3568.6        0.688757
            3569.        0.644345
           3569.4       0.6004025
           3569.8       0.5691245
           3570.2        0.586622
           3570.6       0.6426432
            3571.       0.6839194
           3571.4       0.6842908
           3571.8       0.6522759
           3572.2       0.6287296
           3572.6        0.621299
            3573.       0.6265586
           3573.4       0.6317705
           3573.8       0.6395873
           3574.2        0.656412
           3574.6       0.6709107
            3575.        0.661627
           3575.4       0.6454877
           3575.8       0.6488323
           3576.2       0.6468729
           3576.6       0.6422809
            3577.       0.6731787
           3577.4       0.7265341
           3577.8       0.7279776
           3578.2       0.7078049
           3578.6       0.7038741
            3579.       0.7433363
           3579.4       0.7829738
           3579.8       0.7934848
           3580.2       0.7406432
           3580.6       0.6322488
            3581.       0.5544591
           3581.4       0.5373256
           3581.8       0.5786495
           3582.2       0.6592832
           3582.6       0.7160509
            3583.       0.7494068
           3583.4       0.7555518
           3583.8       0.7316405
           3584.2       0.6561512
           3584.6       0.5724363
            3585.       0.5093443
           3585.4       0.4790936
           3585.8       0.4967794
           3586.2       0.5360511
           3586.6       0.5509703
            3587.       0.5373322
           3587.4       0.5366107
           3587.8       0.5522637
           3588.2       0.5924487
           3588.6       0.6044564
            3589.       0.5856173
           3589.4       0.5794029
           3589.8       0.6030855
           3590.2       0.6375142
           3590.6       0.6911086
            3591.       0.7372552
           3591.4       0.7427532
           3591.8       0.7468809
           3592.2       0.7437133
           3592.6       0.7051849
            3593.       0.6852407
           3593.4       0.6806675
           3593.8       0.7006502
           3594.2       0.7379603
           3594.6       0.7429271
            3595.       0.7395616
           3595.4       0.7282698
           3595.8       0.7205411
           3596.2       0.7319074
           3596.6       0.7569483
            3597.       0.7817013
           3597.4       0.7844309
           3597.8       0.7931952
           3598.2        0.806399
           3598.6       0.8103051
            3599.       0.7803566
           3599.4       0.7751361
           3599.8       0.7866122
           3600.2        0.786588
           3600.6       0.7917391
            3601.       0.7806914
           3601.4       0.7384193
           3601.8       0.6962255
           3602.2       0.6588985
           3602.6       0.6308774
            3603.       0.6382469
           3603.4        0.640734
           3603.8       0.6382225
           3604.2       0.6601044
           3604.6       0.6716136
            3605.       0.6795031
           3605.4       0.6579565
           3605.8       0.6608426
           3606.2       0.7015607
           3606.6       0.7397928
            3607.       0.7555841
           3607.4       0.7573693
           3607.8       0.7486712
           3608.2       0.6994224
           3608.6       0.6396563
            3609.       0.6224563
           3609.4        0.630044
           3609.8       0.6374257
           3610.2       0.6307253
           3610.6        0.628387
            3611.       0.6532381
           3611.4       0.6973764
           3611.8       0.7199287
           3612.2       0.7007522
           3612.6       0.6500468
            3613.       0.5909488
           3613.4       0.5559981
           3613.8       0.5566969
           3614.2       0.6072479
           3614.6       0.6795213
            3615.       0.7194325
           3615.4       0.7594263
           3615.8        0.790695
           3616.2       0.7924969
           3616.6        0.771138
            3617.       0.7506489
           3617.4       0.7240534
           3617.8       0.6658261
           3618.2       0.5993721
           3618.6       0.5539703
            3619.       0.5347633
           3619.4       0.5865362
           3619.8       0.6476505
           3620.2       0.6988907
           3620.6       0.7238279
            3621.       0.6760445
           3621.4       0.6457604
           3621.8       0.6700097
           3622.2       0.7213767
           3622.6       0.7680035
            3623.       0.7696827
           3623.4       0.7284778
           3623.8        0.690612
           3624.2       0.6728049
           3624.6        0.667727
            3625.       0.6873744
           3625.4       0.7517687
           3625.8       0.8182907
           3626.2       0.8580732
           3626.6       0.8648991
            3627.       0.8665714
           3627.4       0.8552589
           3627.8       0.8286848
           3628.2       0.8130835
           3628.6       0.8159473
            3629.       0.8225704
           3629.4       0.8104354
           3629.8       0.7722342
           3630.2       0.7059521
           3630.6       0.5862373
            3631.       0.5096825
           3631.4       0.4974795
           3631.8       0.5076241
           3632.2       0.5842996
           3632.6       0.6418999
            3633.       0.6660862
           3633.4       0.6908358
           3633.8       0.6852811
           3634.2       0.6612751
           3634.6       0.6419103
            3635.       0.6454762
           3635.4        0.667345
           3635.8        0.703661
           3636.2       0.6988543
           3636.6       0.7068328
            3637.        0.718932
           3637.4       0.7255995
           3637.8       0.7414494
           3638.2       0.7635788
           3638.6       0.8025604
            3639.       0.8223629
           3639.4       0.8141685
           3639.8       0.8214155
           3640.2       0.7905934
           3640.6       0.7702748
            3641.       0.7449063
           3641.4       0.7190738
           3641.8       0.7333258
           3642.2       0.7312313
           3642.6       0.6995916
            3643.       0.6608651
           3643.4        0.655677
           3643.8       0.6631376
           3644.2        0.654438
           3644.6       0.6326984
            3645.       0.6078873
           3645.4       0.6272137
           3645.8       0.6728031
           3646.2       0.7249454
           3646.6       0.7554801
            3647.        0.734726
           3647.4       0.6948188
           3647.8        0.682121
           3648.2       0.6958467
           3648.6       0.7128591
            3649.       0.7127544
           3649.4       0.6893614
           3649.8       0.6602045
           3650.2       0.6591117
           3650.6       0.6914929
            3651.       0.7053271
           3651.4        0.686298
           3651.8       0.6981809
           3652.2       0.7529194
           3652.6       0.7936348
            3653.       0.8174834
           3653.4       0.8051249
           3653.8       0.7932392
           3654.2       0.7974517
           3654.6       0.8068658
            3655.       0.8046343
           3655.4       0.7779266
           3655.8       0.7590213
           3656.2       0.7716956
           3656.6         0.82867
            3657.       0.8376596
           3657.4       0.8165557
           3657.8       0.8102847
           3658.2       0.8188126
           3658.6       0.8407502
            3659.       0.8301343
           3659.4       0.7861952
           3659.8       0.7520767
           3660.2       0.7621509
           3660.6       0.8056437
            3661.       0.8260233
           3661.4       0.8099374
           3661.8       0.7746044
           3662.2       0.7465053
           3662.6       0.7420819
            3663.        0.759029
           3663.4       0.7565613
           3663.8       0.7361887
           3664.2       0.7244202
           3664.6       0.7355046
            3665.       0.7685581
           3665.4        0.807494
           3665.8       0.8272919
           3666.2       0.8045629
           3666.6       0.7620342
            3667.       0.7597141
           3667.4       0.7600253
           3667.8       0.7646442
           3668.2       0.7607931
           3668.6        0.733004
            3669.       0.6938111
           3669.4       0.6636875
           3669.8       0.6605146
           3670.2       0.6819131
           3670.6       0.7211972
            3671.       0.7723557
           3671.4       0.8137087
           3671.8       0.8346888
           3672.2       0.8489957
           3672.6       0.8536414
            3673.        0.827531
           3673.4       0.7903222
           3673.8       0.7515491
           3674.2       0.7413996
           3674.6       0.7524233
            3675.       0.7902515
           3675.4       0.8062735
           3675.8       0.8051511
           3676.2       0.7956195
           3676.6       0.7434239
            3677.       0.6905571
           3677.4       0.6459005
           3677.8       0.6326207
           3678.2         0.65591
           3678.6       0.7150708
            3679.       0.7263062
           3679.4       0.7024161
           3679.8       0.6783956
           3680.2       0.6723855
           3680.6       0.6944549
            3681.       0.7348259
           3681.4       0.7713775
           3681.8       0.7669759
           3682.2        0.732271
           3682.6       0.7304453
            3683.       0.7341936
           3683.4       0.7654834
           3683.8       0.7816772
           3684.2       0.7629728
           3684.6       0.7355352
            3685.       0.6765499
           3685.4       0.6313808
           3685.8       0.6278177
           3686.2       0.6342195
           3686.6       0.6335881
            3687.       0.6292463
           3687.4       0.6327754
           3687.8       0.6619668
           3688.2       0.7096086
           3688.6       0.7543901
            3689.       0.7669608
           3689.4       0.7940889
           3689.8       0.8025243
           3690.2       0.7973897
           3690.6       0.7902706
            3691.       0.7681501
           3691.4        0.749113
           3691.8       0.7662961
           3692.2       0.8000849
           3692.6       0.8263174
            3693.       0.8440788
           3693.4        0.818441
           3693.8        0.787448
           3694.2       0.7864863
           3694.6       0.7891376
            3695.        0.823163
           3695.4       0.8206077
           3695.8       0.8079718
           3696.2       0.7776505
           3696.6       0.7163454
            3697.       0.6649858
           3697.4        0.644472
           3697.8       0.6709175
           3698.2        0.743476
           3698.6       0.8141345
            3699.       0.8972934
           3699.4       0.9495505
           3699.8       0.9666632
           3700.2        0.940941
