#K OBJECT   '63302'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 63302
#K OBJRA    07:47:38.53
#K OBJDEC   -15:59:26.5
#K OBJBMAG  8.175000E+00
#K OBJVMAG  6.332000E+00
#K SPTYPE   K3Iab/Ib
#K HDNAME   HD 63302
#K BDNAME   BD-15 2049
#K HIPNAME  HIP 38031
#K SAONAME  SAO 153404
#K VHELIO   -1.17570444068423E+01
#K VLSR     -2.94841431423400E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789708E+03
#K CMAX1    8.125072E+03
#K PICKTYPE K3I
#K NCOMBINE 6
#K TEFF     4500  1980ApJ...241..218L (Luck)
#K LOGG     2.000000E-01  1980ApJ...241..218L (Luck)
#K FEH      1.700000E-01  1980ApJ...241..218L (Luck)
#K COVERAGE 3465.0-9449.0

#      wavelength        spectrum
#       angstroms                

            3465.      0.05182359
           3465.4      0.04515041
           3465.8      0.03338122
           3466.2      0.02574382
           3466.6      0.02868625
            3467.      0.03502296
           3467.4      0.03910666
           3467.8      0.04411405
           3468.2      0.05033528
           3468.6       0.0514239
            3469.      0.04657641
           3469.4      0.04693117
           3469.8       0.0592435
           3470.2      0.06770879
           3470.6      0.07268275
            3471.      0.06361925
           3471.4      0.05430867
           3471.8       0.0495767
           3472.2      0.04139013
           3472.6      0.03616948
            3473.      0.03496914
           3473.4      0.03219713
           3473.8      0.02926439
           3474.2      0.02643878
           3474.6      0.02527383
            3475.      0.02336229
           3475.4      0.01881695
           3475.8      0.02247013
           3476.2      0.02282871
           3476.6      0.02422827
            3477.       0.0243858
           3477.4      0.03202602
           3477.8      0.04296015
           3478.2      0.05000872
           3478.6      0.04829925
            3479.      0.04339385
           3479.4      0.04609729
           3479.8      0.04689625
           3480.2      0.04929417
           3480.6      0.05255135
            3481.      0.04850399
           3481.4      0.05460889
           3481.8      0.06068346
           3482.2      0.06117164
           3482.6      0.04913003
            3483.      0.03796683
           3483.4      0.03534256
           3483.8       0.0376027
           3484.2      0.04436719
           3484.6       0.0481789
            3485.      0.04653608
           3485.4      0.04897146
           3485.8      0.05273353
           3486.2       0.0638083
           3486.6      0.07671612
            3487.       0.0901937
           3487.4      0.09018911
           3487.8      0.08428241
           3488.2      0.07183113
           3488.6      0.05907594
            3489.      0.04846926
           3489.4      0.03727136
           3489.8      0.03182459
           3490.2      0.03018108
           3490.6      0.02532019
            3491.      0.02032371
           3491.4      0.03205606
           3491.8      0.04163379
           3492.2      0.04031442
           3492.6      0.03782643
            3493.      0.03433837
           3493.4      0.03487708
           3493.8      0.04271745
           3494.2       0.0477056
           3494.6      0.05046216
            3495.      0.05437554
           3495.4      0.04689562
           3495.8        0.032802
           3496.2      0.02882523
           3496.6       0.0272077
            3497.      0.02492887
           3497.4      0.02870763
           3497.8      0.02995961
           3498.2      0.03653542
           3498.6      0.04848583
            3499.      0.05808436
           3499.4      0.06421483
           3499.8       0.0619092
           3500.2      0.05266823
           3500.6      0.04678128
            3501.      0.04817659
           3501.4      0.05934313
           3501.8      0.06098105
           3502.2      0.05554387
           3502.6       0.0596905
