#K OBJECT   '6397'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 6397
#K OBJRA    01:05:05.36
#K OBJDEC   +14:56:46.1
#K OBJBMAG  6.024000E+00
#K OBJVMAG  5.646000E+00
#K SPTYPE   F4II-III
#K OBJRV    4
#K HDNAME   HD 6397
#K BDNAME   BD+14 163
#K HIPNAME  HIP 5081
#K SAONAME  SAO 92230
#K VHELIO   -1.20422613862814E+00
#K VLSR     -3.04281639458823E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.452943E+03
#K CMAX1    4.777603E+03
#K PICKTYPE F5III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6791.8-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6089327
           3465.4       0.5955414
           3465.8       0.5903566
           3466.2       0.5869791
           3466.6       0.5910887
            3467.       0.6021941
           3467.4       0.6203108
           3467.8       0.6327882
           3468.2       0.6269172
           3468.6       0.6207247
            3469.        0.615525
           3469.4       0.6166913
           3469.8       0.6362909
           3470.2       0.6479557
           3470.6         0.64437
            3471.       0.6459348
           3471.4       0.6418359
           3471.8       0.6271379
           3472.2       0.6129086
           3472.6       0.6003464
            3473.       0.5932107
           3473.4       0.5905049
           3473.8       0.5747334
           3474.2       0.5495372
           3474.6       0.5364372
            3475.       0.5313821
           3475.4       0.5130801
           3475.8        0.499253
           3476.2       0.5038306
           3476.6       0.5021743
            3477.       0.5158037
           3477.4       0.5311983
           3477.8       0.5550706
           3478.2       0.5835352
           3478.6       0.5994166
            3479.       0.6082718
           3479.4        0.596913
           3479.8       0.5900735
           3480.2       0.6002604
           3480.6       0.6085685
            3481.       0.6231578
           3481.4        0.614417
           3481.8       0.6069563
           3482.2       0.5985985
           3482.6       0.5838804
            3483.       0.5805228
           3483.4       0.5704414
           3483.8        0.556969
           3484.2       0.5634594
           3484.6       0.5771689
