#K OBJECT   '65583'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 65583
#K OBJRA    08:00:32.13
#K OBJDEC   +29:12:44.5
#K OBJBMAG  7.710000E+00
#K OBJVMAG  6.940000E+00
#K SPTYPE   G8V
#K OBJRV    1.320000E+01
#K HDNAME   HD 65583
#K BDNAME   BD+29 1664
#K HIPNAME  HIP 39157
#K SAONAME  SAO 79856
#K VHELIO   -1.30464984016121E+01
#K VLSR     -2.13600772894988E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435480E+03
#K CMAX1    4.763658E+03
#K PICKTYPE G8V
#K NCOMBINE 4
#K TEFF     5500  2000A&A...353..978M (Mishenina)
#K LOGG     5.000000E+00  2000A&A...353..978M (Mishenina)
#K FEH      -6.400000E-01  2000A&A...353..978M (Mishenina)
#K COVERAGE 3465.0-9444.2
#K GAPS     6010.6-6790.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.4112166
           3465.4        0.332519
           3465.8       0.2937093
           3466.2       0.2930904
           3466.6       0.3410926
            3467.       0.3875107
           3467.4       0.4190918
           3467.8       0.4491549
           3468.2       0.4623785
           3468.6       0.4476369
            3469.       0.4247388
           3469.4       0.4198734
           3469.8       0.4394844
           3470.2       0.4666028
           3470.6       0.4738727
            3471.       0.4535552
           3471.4       0.4276642
           3471.8       0.3972002
           3472.2       0.3656108
           3472.6       0.3451384
            3473.         0.34868
           3473.4       0.3453471
           3473.8       0.3309649
           3474.2       0.3148267
           3474.6       0.2870906
            3475.       0.2493289
           3475.4       0.2184041
           3475.8        0.206518
           3476.2        0.213056
           3476.6       0.2223756
            3477.       0.2545235
           3477.4       0.3095542
           3477.8       0.3730545
           3478.2       0.4034611
           3478.6        0.415851
            3479.        0.421659
           3479.4       0.4269974
           3479.8       0.4298403
           3480.2       0.4255302
           3480.6       0.4279133
            3481.       0.4348103
           3481.4       0.4363168
           3481.8       0.4460118
           3482.2       0.4391408
           3482.6       0.4137467
            3483.       0.3797579
           3483.4       0.3546109
           3483.8       0.3519232
           3484.2       0.3772201
           3484.6        0.391204
            3485.       0.3822956
           3485.4       0.3826312
           3485.8        0.401238
           3486.2       0.4294826
           3486.6       0.4636503
            3487.       0.4882893
           3487.4       0.4823759
           3487.8       0.4601246
           3488.2       0.4402253
           3488.6       0.4024902
            3489.       0.3594982
           3489.4       0.3194357
           3489.8       0.2786089
           3490.2       0.2396874
           3490.6       0.2197457
            3491.       0.2430995
           3491.4       0.3002267
           3491.8         0.33702
           3492.2       0.3224965
           3492.6       0.2834132
            3493.       0.2636812
           3493.4       0.2886617
           3493.8       0.3431659
           3494.2       0.3866005
           3494.6       0.4058997
            3495.       0.3898897
           3495.4       0.3593709
           3495.8       0.3338554
           3496.2       0.3150156
           3496.6         0.30567
            3497.       0.2900575
           3497.4       0.2748488
           3497.8       0.2846425
           3498.2       0.3228351
           3498.6       0.3942667
            3499.       0.4459194
           3499.4       0.4687699
           3499.8       0.4722886
           3500.2        0.451574
           3500.6       0.4233915
            3501.       0.4234363
           3501.4       0.4438311
           3501.8       0.4452708
           3502.2       0.4284698
           3502.6       0.4283395
            3503.       0.4647106
           3503.4       0.5038586
           3503.8       0.5107898
           3504.2       0.4860028
           3504.6       0.4469146
            3505.       0.4181574
           3505.4       0.4132778
           3505.8       0.4131337
           3506.2         0.39977
           3506.6       0.3966227
            3507.       0.4207402
           3507.4       0.4463826
           3507.8       0.4623374
           3508.2       0.4738792
           3508.6       0.4698696
            3509.       0.4551503
           3509.4       0.4113659
           3509.8       0.3528973
           3510.2       0.3150014
           3510.6        0.323262
            3511.       0.3693967
           3511.4        0.406327
           3511.8       0.4098852
           3512.2       0.3915603
           3512.6        0.365451
            3513.       0.3394875
           3513.4       0.3040436
           3513.8       0.2837881
           3514.2        0.269942
           3514.6       0.2617147
            3515.       0.2663359
           3515.4       0.3011217
           3515.8       0.3553878
           3516.2       0.3987178
           3516.6       0.4335319
            3517.       0.4605496
           3517.4       0.4775218
           3517.8       0.4877288
           3518.2       0.4739158
           3518.6       0.4530449
            3519.        0.440712
           3519.4        0.421409
           3519.8       0.3881937
           3520.2       0.3718506
           3520.6       0.3616871
            3521.       0.3348247
           3521.4       0.3133293
           3521.8       0.3311723
           3522.2       0.3661636
           3522.6       0.3760389
            3523.       0.3542451
           3523.4       0.3140742
           3523.8       0.2688521
           3524.2       0.2207333
           3524.6        0.203496
            3525.       0.2276068
           3525.4       0.2482404
           3525.8       0.2320459
           3526.2       0.2030628
           3526.6       0.2240265
            3527.        0.292395
           3527.4       0.3499933
           3527.8       0.3834883
           3528.2       0.4173546
           3528.6       0.4462951
            3529.       0.4492497
           3529.4        0.429785
           3529.8        0.416171
           3530.2       0.4146023
           3530.6       0.4358562
            3531.       0.4538316
           3531.4       0.4456195
           3531.8       0.4186433
           3532.2       0.3928497
           3532.6       0.3737687
            3533.        0.369767
           3533.4       0.4003595
           3533.8       0.4549482
           3534.2        0.492219
           3534.6       0.4980784
            3535.         0.48875
           3535.4       0.4736178
           3535.8       0.4635046
           3536.2       0.4484341
           3536.6       0.4356056
            3537.       0.4305784
           3537.4       0.4308062
           3537.8       0.4286649
           3538.2       0.4415593
           3538.6       0.4849273
            3539.       0.5302674
           3539.4       0.5461344
           3539.8       0.5235423
           3540.2       0.4782974
           3540.6       0.4305237
            3541.       0.3936223
           3541.4       0.3917927
           3541.8        0.404313
           3542.2       0.4197279
           3542.6       0.4431212
            3543.       0.4741846
           3543.4       0.4961286
           3543.8       0.5090642
           3544.2       0.5215468
           3544.6       0.5140734
            3545.       0.4920281
           3545.4       0.4771688
           3545.8        0.472598
           3546.2       0.4942468
           3546.6       0.5117342
            3547.       0.5003881
           3547.4       0.4636266
           3547.8       0.4342623
           3548.2       0.4254244
           3548.6       0.4565182
            3549.       0.5047963
           3549.4       0.5196432
           3549.8       0.5164112
           3550.2       0.5076025
           3550.6       0.5024725
            3551.        0.496949
           3551.4       0.4897118
           3551.8       0.4819617
           3552.2       0.4782911
           3552.6       0.4667681
            3553.       0.4389627
           3553.4       0.4141675
           3553.8       0.3923004
           3554.2       0.3637415
           3554.6       0.3483126
            3555.       0.3664652
           3555.4       0.4190674
           3555.8       0.4779746
           3556.2       0.4841955
           3556.6       0.4499772
            3557.       0.4380843
           3557.4       0.4555603
           3557.8       0.4391909
           3558.2       0.3887859
           3558.6       0.3545252
            3559.         0.36993
           3559.4       0.4185733
           3559.8       0.4582647
           3560.2       0.4711568
           3560.6       0.4682423
            3561.       0.4706468
           3561.4       0.4765618
           3561.8       0.4793978
           3562.2       0.5084983
           3562.6       0.5350757
            3563.       0.5467306
           3563.4       0.5385476
           3563.8       0.5035131
           3564.2       0.4352804
           3564.6       0.3476628
            3565.       0.2606199
           3565.4       0.1971475
           3565.8       0.1845988
           3566.2       0.2078716
           3566.6       0.2599609
            3567.       0.3271248
           3567.4       0.3833752
           3567.8       0.4103802
           3568.2       0.4193549
           3568.6       0.3876095
            3569.       0.3242204
           3569.4       0.2410729
           3569.8       0.1750878
           3570.2       0.1653326
           3570.6       0.2020049
            3571.       0.2591968
           3571.4       0.2934955
           3571.8       0.3031127
           3572.2       0.3196037
           3572.6       0.3630123
            3573.       0.4017344
           3573.4       0.4010301
           3573.8       0.3823779
           3574.2        0.375853
           3574.6       0.3785998
            3575.       0.3781296
           3575.4        0.381018
           3575.8       0.3933061
           3576.2         0.41289
           3576.6       0.4390445
            3577.       0.4480434
           3577.4        0.441309
           3577.8       0.4079961
           3578.2       0.3399953
           3578.6       0.2883525
            3579.       0.2864182
           3579.4       0.3090946
           3579.8       0.3066018
           3580.2       0.2616746
           3580.6         0.19668
            3581.       0.1429646
           3581.4       0.1263459
           3581.8       0.1561897
           3582.2       0.2135857
           3582.6       0.2746848
            3583.       0.3300881
           3583.4       0.3641327
           3583.8       0.3713118
           3584.2       0.3503942
           3584.6        0.293423
            3585.       0.2202466
           3585.4       0.1799358
           3585.8       0.1914874
           3586.2       0.2201357
           3586.6       0.2287945
            3587.       0.2271073
