#K OBJECT   '72946'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 72946
#K OBJRA    08:35:51.27
#K OBJDEC   +06:37:22.0
#K OBJBMAG  7.960000E+00
#K OBJVMAG  7.250000E+00
#K SPTYPE   G5V
#K OBJRV    2.670000E+01
#K HDNAME   HD 72946
#K BDNAME   BD+07 1997B
#K HIPNAME  HIP 42173
#K SAONAME  SAO 116931
#K VHELIO   -5.33656647357206E+00
#K VLSR     -1.77408371978346E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434151E+03
#K CMAX1    4.762330E+03
#K PICKTYPE G5V
#K NCOMBINE 3
#K TEFF     5911  1998A&AS..129..237F (Feltzing)
#K LOGG     5.000000E+00  1998A&AS..129..237F (Feltzing)
#K FEH      2.400000E-01  1998A&AS..129..237F (Feltzing)
#K COVERAGE 3465.0-8126.2
#K GAPS     6010.6-6790.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.4665141
           3465.4       0.3968877
           3465.8         0.34417
           3466.2       0.3481151
           3466.6       0.3865747
            3467.       0.4291272
           3467.4        0.475437
           3467.8       0.5035352
           3468.2       0.5090747
           3468.6       0.4953474
            3469.       0.4677686
           3469.4        0.463717
           3469.8       0.5068195
           3470.2       0.5537512
           3470.6       0.5596312
            3471.        0.531696
           3471.4       0.4824947
           3471.8       0.4344946
           3472.2       0.4031988
           3472.6       0.3885827
            3473.       0.4014956
           3473.4       0.3981056
           3473.8       0.3803424
           3474.2       0.3615745
           3474.6       0.3370181
            3475.        0.306977
           3475.4       0.2757212
           3475.8       0.2618502
           3476.2       0.2705858
           3476.6       0.2748857
            3477.       0.3089123
           3477.4       0.3764098
           3477.8       0.4240322
           3478.2        0.455366
           3478.6       0.4636876
            3479.        0.479918
           3479.4       0.4884118
           3479.8       0.4748588
           3480.2       0.4611935
           3480.6       0.4578436
            3481.       0.4550119
           3481.4       0.4488388
           3481.8       0.4452243
           3482.2       0.4353979
           3482.6       0.4083296
            3483.       0.3772295
           3483.4       0.3590448
           3483.8       0.3645546
