#K OBJECT   '74462'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 74462
#K OBJRA    08:48:20.65
#K OBJDEC   +67:26:59.9
#K OBJBMAG  9.650000E+00
#K OBJVMAG  8.690000E+00
#K SPTYPE   G5IV
#K OBJRV    -1.681000E+02
#K HDNAME   HD 74462
#K BDNAME   BD+67 559
#K HIPNAME  HIP 43228
#K SAONAME  SAO 14665
#K VHELIO   -1.27866299675967E+01
#K VLSR     -8.54939208898634E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.460817E+03
#K CMAX1    4.786583E+03
#K PICKTYPE G5IV
#K NCOMBINE 2
#K TEFF     4658  2000A&A...354..169G (Gratton)
#K LOGG     1.560000E+00  2000A&A...354..169G (Gratton)
#K FEH      -1.360000E+00  2000A&A...354..169G (Gratton)
#K COVERAGE 3465.0-6022.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.4185159
           3465.4        0.425441
           3465.8       0.3946967
           3466.2       0.3432428
           3466.6       0.3525946
            3467.       0.3932886
           3467.4       0.4122519
           3467.8       0.4363266
           3468.2       0.4247463
           3468.6       0.4474523
            3469.       0.4327146
           3469.4       0.3899359
           3469.8       0.4054042
           3470.2       0.4113887
           3470.6       0.4252983
            3471.       0.4774868
           3471.4       0.4529538
           3471.8       0.4236987
           3472.2       0.4386688
           3472.6       0.3836048
            3473.       0.3686769
           3473.4       0.3656718
           3473.8       0.3382022
           3474.2       0.3214767
           3474.6       0.2976431
            3475.        0.281816
           3475.4       0.2528518
           3475.8       0.2684345
           3476.2       0.2610306
           3476.6       0.2711189
            3477.       0.2968894
           3477.4       0.2956587
           3477.8       0.3323794
           3478.2       0.3565488
           3478.6       0.3581156
            3479.       0.3699861
           3479.4        0.402082
           3479.8       0.4193551
           3480.2       0.4113148
           3480.6       0.3970054
            3481.       0.3666818
           3481.4       0.3668938
           3481.8       0.3929379
           3482.2       0.4249709
           3482.6       0.4278343
            3483.       0.3699928
           3483.4       0.3271412
           3483.8       0.3197643
           3484.2       0.3173575
           3484.6       0.3713123
            3485.       0.3724844
           3485.4       0.3750215
           3485.8       0.3717504
           3486.2       0.3728275
           3486.6       0.3904273
            3487.       0.4265865
           3487.4       0.4312316
           3487.8       0.4033903
           3488.2       0.3993222
           3488.6       0.4040018
            3489.       0.3767034
           3489.4       0.3214035
           3489.8       0.3258232
           3490.2       0.2819313
           3490.6       0.2374295
            3491.       0.2637119
