#K OBJECT   '7476'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 7476
#K OBJRA    01:14:49.17
#K OBJDEC   -00:58:25.7
#K OBJBMAG  6.120000E+00
#K OBJVMAG  5.700000E+00
#K SPTYPE   F5V
#K OBJRV    2.550000E+01
#K HDNAME   HD 7476
#K BDNAME   BD-01 162
#K HIPNAME  HIP 5833
#K SAONAME  SAO 129196
#K VHELIO   -2.38308815002421E+00
#K VLSR     -7.82938362035188E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453100E+03
#K CMAX1    4.777608E+03
#K PICKTYPE F5V
#K NCOMBINE 4
#K TEFF     6517  1993A&A...275..101E (Edvardsson)
#K LOGG     4.010000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -2.400000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6789.4-8144.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.7517844
           3465.4       0.7027836
           3465.8         0.67197
           3466.2       0.6973709
           3466.6       0.7232909
            3467.       0.7468624
           3467.4       0.7537491
           3467.8       0.7774248
           3468.2         0.78444
           3468.6       0.7518696
            3469.       0.7357348
           3469.4       0.7391399
           3469.8       0.7706104
           3470.2        0.803005
           3470.6       0.7899145
            3471.       0.7647282
           3471.4       0.7568739
           3471.8       0.7475107
           3472.2       0.7390398
           3472.6       0.7292799
            3473.       0.7382154
           3473.4        0.687977
           3473.8       0.6640061
           3474.2       0.6601223
           3474.6       0.6568122
            3475.       0.6250562
           3475.4        0.611969
           3475.8       0.6129399
           3476.2       0.5952785
           3476.6       0.5886946
            3477.       0.6058965
           3477.4       0.6375304
           3477.8       0.6857585
           3478.2       0.7152562
           3478.6       0.7408431
            3479.        0.724492
           3479.4        0.733501
           3479.8       0.7137616
           3480.2       0.7368612
           3480.6       0.7346357
            3481.       0.7414546
           3481.4       0.7472165
           3481.8       0.7363013
           3482.2       0.7328869
           3482.6       0.6939434
            3483.       0.6656367
           3483.4       0.6397445
           3483.8       0.6616989
           3484.2       0.6882678
           3484.6       0.7061072
            3485.       0.7109265
           3485.4         0.72859
           3485.8       0.7385809
           3486.2       0.7647598
           3486.6       0.7963494
            3487.        0.812428
           3487.4       0.8083748
           3487.8       0.7769649
           3488.2       0.7398885
           3488.6       0.6904128
            3489.       0.6608293
           3489.4       0.6640326
           3489.8       0.6549517
           3490.2       0.6478975
           3490.6       0.6469023
            3491.       0.6736225
           3491.4         0.72951
           3491.8       0.7640277
           3492.2       0.7438774
           3492.6       0.6845944
            3493.       0.6569583
           3493.4       0.6864866
           3493.8       0.7015736
           3494.2       0.7189945
           3494.6       0.6950307
            3495.       0.6549153
           3495.4       0.6058416
           3495.8       0.5750398
           3496.2       0.5612523
           3496.6       0.5588507
            3497.       0.5795373
           3497.4       0.5979763
           3497.8       0.6399892
           3498.2       0.7196975
           3498.6       0.7690288
            3499.       0.7901371
           3499.4       0.7972607
           3499.8       0.7906044
           3500.2        0.754235
           3500.6       0.7457257
            3501.         0.75546
           3501.4       0.7728148
           3501.8       0.7722831
           3502.2       0.7623113
           3502.6         0.75642
            3503.       0.7784285
           3503.4       0.8154972
           3503.8       0.8146099
           3504.2       0.7780856
           3504.6       0.7248801
            3505.       0.6870136
           3505.4       0.6782306
           3505.8        0.681036
           3506.2       0.7043352
           3506.6       0.7191429
            3507.       0.7248998
           3507.4       0.7513511
           3507.8       0.7583508
           3508.2       0.7584372
           3508.6       0.7703866
            3509.       0.7681957
           3509.4       0.7587098
           3509.8        0.718707
           3510.2        0.686666
           3510.6       0.7028685
            3511.       0.7179058
           3511.4       0.7262613
           3511.8       0.7359994
           3512.2       0.7336386
           3512.6       0.7203868
            3513.       0.7111215
           3513.4       0.6837676
           3513.8        0.665415
           3514.2        0.682128
           3514.6       0.7062598
            3515.        0.748197
           3515.4       0.7723812
           3515.8        0.777274
           3516.2       0.7681022
           3516.6       0.7795067
            3517.       0.7995607
           3517.4       0.8152977
           3517.8       0.8118852
