#K OBJECT   '76932'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 76932
#K OBJRA    08:58:43.93
#K OBJDEC   -16:07:57.8
#K OBJBMAG  6.390000E+00
#K OBJVMAG  5.860000E+00
#K SPTYPE   F7/F8IV/V
#K OBJRV    1.208000E+02
#K HDNAME   HD 76932
#K BDNAME   BD-15 2656
#K HIPNAME  HIP 44075
#K SAONAME  SAO 154804
#K VHELIO   1.05715535255587E+00
#K VLSR     -1.37457770492381E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.433148E+03
#K CMAX1    4.760938E+03
#K PICKTYPE F8IV
#K NCOMBINE 6
#K TEFF     5965  1993A&A...275..101E (Edvardsson)
#K LOGG     4.370000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -8.200000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9440.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.5904105
           3465.4       0.5547532
           3465.8       0.5225993
           3466.2       0.5233743
           3466.6       0.5556585
            3467.       0.5867417
           3467.4       0.6038641
           3467.8       0.6149672
           3468.2       0.6194801
           3468.6       0.6019666
            3469.       0.5872316
           3469.4        0.579624
           3469.8       0.5973709
           3470.2       0.6175122
           3470.6       0.6262991
            3471.        0.620187
           3471.4       0.6036318
           3471.8       0.5897951
           3472.2       0.5813667
           3472.6       0.5744367
            3473.       0.5675569
           3473.4        0.555583
           3473.8       0.5347152
           3474.2       0.5235642
           3474.6       0.5103629
            3475.       0.4867598
           3475.4        0.470124
           3475.8       0.4656223
           3476.2       0.4650511
           3476.6       0.4620965
            3477.       0.4652999
           3477.4       0.5028812
           3477.8       0.5583082
           3478.2       0.5813861
           3478.6       0.5932178
            3479.       0.5924701
           3479.4       0.5942988
           3479.8       0.5971085
           3480.2       0.5957952
           3480.6       0.5970577
            3481.        0.586902
           3481.4       0.5890152
           3481.8       0.6039658
           3482.2       0.5993226
           3482.6       0.5702885
            3483.       0.5389035
           3483.4       0.5250219
           3483.8       0.5304906
           3484.2       0.5507861
           3484.6       0.5704319
            3485.       0.5785092
           3485.4       0.5692177
           3485.8       0.5828319
           3486.2       0.6093485
           3486.6       0.6253539
            3487.       0.6389396
           3487.4       0.6420911
           3487.8        0.629131
           3488.2       0.6111383
           3488.6       0.5847493
            3489.       0.5583607
           3489.4       0.5351858
           3489.8       0.5099249
           3490.2       0.5023837
           3490.6       0.4779055
            3491.       0.4839656
           3491.4       0.5291943
           3491.8       0.5697275
           3492.2       0.5737984
           3492.6       0.5399924
            3493.       0.5123289
           3493.4       0.5258012
           3493.8       0.5602993
           3494.2        0.589903
           3494.6       0.5899231
            3495.       0.5604541
           3495.4       0.5214849
           3495.8       0.4906127
           3496.2       0.4762192
           3496.6       0.4834269
            3497.       0.4907426
           3497.4       0.4989869
           3497.8       0.5174367
           3498.2       0.5515633
           3498.6       0.5975032
            3499.       0.6280127
           3499.4       0.6335965
           3499.8       0.6298403
           3500.2       0.6092236
           3500.6       0.5861303
            3501.       0.5901662
           3501.4       0.6044015
           3501.8       0.5963303
           3502.2       0.5841404
           3502.6        0.595391
            3503.       0.6154444
           3503.4       0.6437416
           3503.8       0.6575356
           3504.2       0.6297587
           3504.6       0.5981653
            3505.       0.5754036
           3505.4       0.5699648
           3505.8       0.5658595
           3506.2       0.5678777
           3506.6       0.5769919
            3507.        0.587205
           3507.4       0.6052746
           3507.8       0.6192041
           3508.2       0.6223412
           3508.6       0.6258156
            3509.       0.6246624
           3509.4       0.6092905
           3509.8       0.5769912
           3510.2        0.536087
           3510.6       0.5361529
            3511.       0.5685574
           3511.4       0.5978352
           3511.8       0.6006317
           3512.2       0.5887433
           3512.6       0.5785277
            3513.       0.5583567
           3513.4       0.5350309
           3513.8       0.5231717
           3514.2       0.5262545
           3514.6       0.5352281
            3515.       0.5403407
           3515.4       0.5625413
           3515.8       0.6061949
           3516.2       0.6215914
           3516.6       0.6202852
            3517.         0.63785
           3517.4       0.6435027
           3517.8       0.6436319
           3518.2       0.6257631
           3518.6       0.6145346
            3519.       0.6217103
           3519.4        0.607944
           3519.8        0.577628
           3520.2        0.568441
           3520.6       0.5645062
            3521.       0.5513763
           3521.4       0.5473266
           3521.8       0.5511246
           3522.2       0.5766945
           3522.6       0.6021063
            3523.       0.5969541
           3523.4       0.5645065
           3523.8       0.5117486
           3524.2       0.4728114
           3524.6       0.4760449
            3525.        0.506701
           3525.4       0.5225766
           3525.8       0.4878778
           3526.2       0.4343631
           3526.6       0.4382831
            3527.       0.4966072
           3527.4       0.5539478
           3527.8       0.5988085
           3528.2       0.6202807
           3528.6       0.6342574
            3529.       0.6351648
           3529.4       0.6262231
           3529.8       0.6085365
           3530.2       0.6059772
           3530.6       0.6246287
            3531.       0.6279942
           3531.4       0.6244975
           3531.8       0.6121192
           3532.2       0.5988311
           3532.6       0.5844845
            3533.       0.5776384
           3533.4       0.5936463
           3533.8       0.6344791
           3534.2       0.6602667
           3534.6       0.6603562
            3535.       0.6440968
           3535.4       0.6247818
           3535.8       0.6193506
           3536.2       0.6287864
           3536.6        0.639551
            3537.       0.6379555
           3537.4       0.6315326
           3537.8       0.6196181
           3538.2       0.6346964
           3538.6       0.6705475
            3539.       0.6900463
           3539.4       0.7034321
           3539.8       0.6978166
           3540.2       0.6679451
           3540.6       0.6427994
            3541.       0.6323107
           3541.4       0.6258972
           3541.8       0.6240676
           3542.2       0.6312593
           3542.6       0.6494406
            3543.       0.6724326
           3543.4       0.6840289
           3543.8       0.6897122
           3544.2        0.691122
           3544.6       0.6868039
            3545.       0.6677673
           3545.4       0.6518919
           3545.8       0.6529421
           3546.2       0.6685405
           3546.6       0.6903996
            3547.       0.6848626
           3547.4       0.6500353
           3547.8       0.6347705
           3548.2       0.6221513
           3548.6         0.63428
            3549.       0.6620695
           3549.4       0.6849679
           3549.8       0.6952425
           3550.2        0.696302
           3550.6       0.6954945
            3551.        0.681397
           3551.4       0.6693268
           3551.8       0.6691797
           3552.2       0.6607253
           3552.6       0.6591871
            3553.       0.6552538
           3553.4        0.639468
           3553.8       0.6232049
           3554.2        0.608275
           3554.6       0.6021187
            3555.       0.6130695
           3555.4       0.6528522
           3555.8       0.6829738
           3556.2       0.6721835
           3556.6        0.641331
            3557.       0.6298986
           3557.4       0.6542391
           3557.8        0.676423
           3558.2       0.6560801
           3558.6       0.6319468
            3559.        0.638754
           3559.4       0.6650368
           3559.8       0.6729379
           3560.2       0.6830193
           3560.6       0.6689379
            3561.       0.6496192
           3561.4       0.6427678
           3561.8       0.6500987
           3562.2       0.6810309
           3562.6       0.7214701
            3563.        0.750394
           3563.4       0.7494377
           3563.8       0.7110364
           3564.2       0.6738031
           3564.6       0.6203914
            3565.       0.5489964
           3565.4       0.4882315
           3565.8       0.4666968
           3566.2       0.4883713
           3566.6       0.5326661
            3567.       0.5825173
           3567.4        0.627675
           3567.8          0.6507
           3568.2       0.6486827
           3568.6       0.6315019
            3569.       0.5850657
           3569.4       0.5177416
           3569.8       0.4563545
           3570.2       0.4481413
           3570.6       0.5068815
            3571.       0.5741268
           3571.4       0.5919855
           3571.8       0.5707219
           3572.2       0.5555546
           3572.6       0.5707898
            3573.        0.599708
           3573.4       0.6064758
           3573.8       0.5906302
           3574.2       0.5912459
           3574.6       0.6088118
            3575.       0.5996677
           3575.4       0.5837087
           3575.8       0.6000564
           3576.2       0.6181805
           3576.6       0.6290377
            3577.       0.6497778
           3577.4       0.6670542
           3577.8        0.662834
           3578.2       0.6347449
           3578.6       0.6095177
            3579.       0.6275389
           3579.4       0.6620684
           3579.8       0.6719366
           3580.2       0.6378349
           3580.6       0.5343316
            3581.       0.4358149
           3581.4       0.4057112
           3581.8       0.4461433
           3582.2       0.5296216
           3582.6       0.6063056
            3583.       0.6528075
           3583.4       0.6682503
           3583.8       0.6570933
           3584.2       0.6231855
           3584.6       0.5482895
