#K OBJECT   '76943'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 76943
#K OBJRA    09:00:38.37
#K OBJDEC   +41:46:58.5
#K OBJBMAG  4.410000E+00
#K OBJVMAG  3.970000E+00
#K SPTYPE   F5V
#K OBJRV    2.640000E+01
#K HDNAME   HD 76943
#K BDNAME   BD+42 1956
#K HIPNAME  HIP 44248
#K SAONAME  SAO 42642
#K VHELIO   -1.12545509450404E+01
#K VLSR     -1.38491934120993E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790874E+03
#K CMAX1    8.126187E+03
#K PICKTYPE F5V
#K NCOMBINE 6
#K TEFF     6590  1994AJ....108..271G (Glaspey)
#K LOGG     4.000000E+00  1994AJ....108..271G (Glaspey)
#K FEH      2.500000E-01  1994AJ....108..271G (Glaspey)
#K COVERAGE 3465.0-9443.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.7460945
           3465.4       0.7052091
           3465.8       0.6765274
           3466.2       0.6836694
           3466.6       0.7063563
            3467.        0.743431
           3467.4       0.7756006
           3467.8       0.7739292
           3468.2       0.7709668
           3468.6       0.7498548
            3469.       0.7287549
           3469.4        0.739749
           3469.8       0.7697398
           3470.2        0.814513
           3470.6       0.8221137
            3471.       0.7972457
           3471.4       0.7596776
           3471.8       0.7342902
           3472.2       0.7193964
           3472.6       0.7228239
            3473.       0.7303033
           3473.4       0.7201855
           3473.8        0.680091
           3474.2       0.6521067
           3474.6       0.6443816
            3475.       0.6201226
           3475.4       0.5957332
           3475.8       0.5890801
           3476.2       0.5921458
           3476.6       0.5882452
            3477.       0.5933362
           3477.4       0.6451609
           3477.8       0.6976612
           3478.2       0.7309206
           3478.6       0.7386757
            3479.       0.7424183
           3479.4       0.7450401
           3479.8       0.7413398
           3480.2       0.7370661
           3480.6       0.7326027
            3481.       0.7355351
           3481.4       0.7380818
           3481.8       0.7365401
           3482.2       0.7229173
           3482.6       0.6816769
            3483.        0.643118
           3483.4         0.63049
           3483.8       0.6409516
           3484.2       0.6631895
           3484.6       0.6801799
            3485.       0.6888813
           3485.4       0.6958842
           3485.8       0.7114156
           3486.2       0.7517963
           3486.6       0.8005161
            3487.       0.8243818
           3487.4       0.8219076
           3487.8       0.7860229
           3488.2       0.7370859
           3488.6       0.6859629
            3489.       0.6537383
           3489.4       0.6408316
           3489.8       0.6452936
           3490.2       0.6466475
           3490.6       0.6392463
            3491.        0.658099
           3491.4        0.704923
           3491.8       0.7378404
           3492.2       0.7337603
           3492.6       0.6988123
            3493.        0.661904
           3493.4       0.6756328
           3493.8       0.7163832
           3494.2        0.730545
           3494.6       0.7133378
            3495.       0.6714492
           3495.4       0.6218576
           3495.8       0.5830737
           3496.2        0.567372
           3496.6       0.5721521
            3497.       0.5766207
           3497.4       0.5898099
           3497.8       0.6158366
           3498.2       0.6871939
           3498.6       0.7660263
            3499.       0.8193148
           3499.4       0.8285657
           3499.8        0.817844
           3500.2       0.7808845
           3500.6       0.7610075
            3501.       0.7836469
           3501.4       0.8042105
           3501.8       0.7975161
           3502.2       0.7802629
           3502.6        0.794166
            3503.        0.830704
           3503.4       0.8597681
           3503.8       0.8547459
           3504.2       0.8113957
           3504.6       0.7617789
            3505.       0.7211133
           3505.4       0.7041851
           3505.8       0.7080203
           3506.2        0.714402
           3506.6       0.7272766
            3507.       0.7461178
           3507.4       0.7562268
           3507.8       0.7660061
           3508.2       0.7740682
           3508.6       0.7912698
            3509.       0.8089067
           3509.4       0.7873894
           3509.8       0.7260243
           3510.2       0.6951959
           3510.6       0.6905707
            3511.       0.7098128
           3511.4       0.7481153
           3511.8       0.7544889
           3512.2       0.7341581
           3512.6         0.72646
            3513.        0.707474
           3513.4       0.6824148
           3513.8       0.6678634
           3514.2         0.67856
           3514.6       0.7027602
            3515.       0.7215703
           3515.4       0.7571929
           3515.8       0.7895802
           3516.2       0.7958218
           3516.6        0.802039
            3517.       0.8185831
           3517.4       0.8271216
           3517.8       0.8299452
           3518.2       0.8226947
           3518.6       0.8002064
            3519.       0.8025751
           3519.4        0.790533
           3519.8       0.7398955
           3520.2       0.7137659
           3520.6       0.7152731
            3521.       0.7034547
           3521.4       0.6942102
           3521.8       0.7099795
           3522.2       0.7409171
           3522.6       0.7576375
            3523.       0.7348622
           3523.4       0.6984782
           3523.8       0.6781778
           3524.2       0.6447262
           3524.6       0.6418752
            3525.       0.6840848
           3525.4       0.6868315
           3525.8       0.6247447
           3526.2       0.5607551
           3526.6        0.559595
            3527.       0.6280966
           3527.4         0.70079
           3527.8        0.744284
           3528.2       0.7832667
           3528.6       0.8178043
            3529.       0.8274693
           3529.4       0.8050615
           3529.8       0.7829248
           3530.2       0.7582451
           3530.6       0.7627336
            3531.       0.7830475
           3531.4       0.7623627
           3531.8        0.731895
           3532.2       0.7046815
           3532.6       0.6916055
            3533.       0.6993111
           3533.4       0.7290596
           3533.8       0.7874931
           3534.2       0.8275955
           3534.6       0.8236539
            3535.       0.7993933
           3535.4       0.7609943
           3535.8         0.75381
           3536.2       0.7699604
           3536.6       0.7865118
            3537.       0.7836803
           3537.4        0.763543
           3537.8       0.7562912
           3538.2       0.7740105
           3538.6       0.8195068
            3539.       0.8719378
           3539.4       0.8940895
           3539.8       0.8911854
           3540.2       0.8436368
           3540.6       0.7986038
            3541.       0.7637963
           3541.4       0.7740259
           3541.8       0.7710435
           3542.2       0.7671955
           3542.6       0.7962644
            3543.       0.8262793
           3543.4       0.8426669
           3543.8       0.8546931
           3544.2       0.8605627
           3544.6       0.8490234
            3545.       0.8113995
           3545.4       0.7943583
           3545.8       0.8061094
           3546.2       0.8412171
           3546.6       0.8644219
            3547.       0.8567251
           3547.4       0.8180776
           3547.8       0.7705299
           3548.2       0.7645968
           3548.6       0.7994425
            3549.       0.8275748
           3549.4       0.8384221
           3549.8       0.8568022
           3550.2       0.8736182
           3550.6       0.8592112
            3551.       0.8432373
           3551.4       0.8278723
           3551.8       0.8082434
           3552.2       0.8143879
           3552.6       0.8098716
            3553.       0.7860502
           3553.4       0.7612115
           3553.8       0.7350133
           3554.2       0.7151385
           3554.6        0.718586
            3555.       0.7510894
           3555.4       0.8049707
           3555.8       0.8426099
           3556.2       0.8265094
           3556.6       0.7834696
            3557.       0.7824853
           3557.4       0.8124146
           3557.8       0.8315241
           3558.2       0.7990338
           3558.6       0.7677426
            3559.       0.7729205
           3559.4       0.8019276
           3559.8       0.8146324
           3560.2       0.7960343
           3560.6       0.7746367
            3561.       0.7512309
           3561.4       0.7520743
           3561.8       0.7769856
           3562.2       0.8293902
           3562.6       0.8858617
            3563.       0.9147384
           3563.4       0.9193628
           3563.8       0.8872393
           3564.2       0.8293401
           3564.6       0.7551019
            3565.       0.6687153
           3565.4       0.5985588
           3565.8       0.5675315
           3566.2       0.5753933
           3566.6         0.62445
            3567.       0.7021689
           3567.4       0.7322427
           3567.8       0.7476499
           3568.2       0.7583044
           3568.6       0.7333128
            3569.       0.6816404
           3569.4       0.6073442
           3569.8       0.5487904
           3570.2       0.5589829
           3570.6       0.6313586
            3571.       0.7018117
           3571.4       0.7121873
           3571.8       0.6771344
           3572.2       0.6518089
           3572.6       0.6675029
            3573.       0.7048286
           3573.4       0.6926092
           3573.8       0.6734943
           3574.2        0.683736
           3574.6       0.6985334
            3575.       0.6949966
           3575.4       0.6962228
           3575.8       0.7114846
           3576.2       0.7184334
           3576.6       0.7276089
            3577.       0.7548249
           3577.4       0.7732903
           3577.8       0.7636097
           3578.2       0.7258804
           3578.6        0.714973
            3579.       0.7412338
           3579.4       0.7806812
           3579.8       0.7884662
           3580.2       0.7367958
           3580.6       0.6416039
            3581.       0.5493982
           3581.4       0.5218979
           3581.8       0.5617296
           3582.2       0.6177112
           3582.6       0.6950117
            3583.       0.7471341
           3583.4       0.7600889
           3583.8         0.73611
           3584.2       0.6913808
           3584.6       0.6111436
            3585.       0.5279896
           3585.4       0.4970243
           3585.8       0.5252739
           3586.2       0.5658224
           3586.6       0.5708364
            3587.       0.5555563
           3587.4       0.5612928
           3587.8       0.5853209
           3588.2       0.6234276
           3588.6       0.6343178
            3589.       0.6253532
           3589.4       0.6153968
           3589.8       0.6349318
           3590.2       0.6742425
           3590.6       0.7311402
            3591.       0.7857067
           3591.4       0.8058441
           3591.8       0.8013316
           3592.2       0.7921507
           3592.6       0.7655966
            3593.       0.7278702
           3593.4       0.7175952
           3593.8         0.73597
           3594.2       0.7670755
           3594.6       0.7719549
            3595.       0.7563921
           3595.4        0.768456
           3595.8       0.7761728
           3596.2       0.7952387
           3596.6       0.8222364
            3597.       0.8326154
           3597.4        0.830862
           3597.8       0.8182328
           3598.2       0.8194762
           3598.6       0.8202173
            3599.       0.7952605
           3599.4       0.7962102
           3599.8       0.8179348
           3600.2        0.843786
           3600.6       0.8580797
            3601.       0.8505439
           3601.4       0.8184302
           3601.8       0.7517607
           3602.2       0.6939552
           3602.6       0.6760553
            3603.       0.6761324
           3603.4       0.6832294
           3603.8       0.6784618
           3604.2       0.6986611
           3604.6       0.7009821
            3605.       0.6742245
           3605.4       0.6523546
           3605.8       0.6660265
           3606.2       0.6983151
           3606.6       0.7294689
            3607.       0.7534635
           3607.4       0.7676669
           3607.8       0.7547643
           3608.2       0.7020822
           3608.6       0.6399007
            3609.       0.6149086
           3609.4       0.6343529
           3609.8       0.6477465
           3610.2       0.6394802
           3610.6       0.6442934
            3611.       0.6860209
           3611.4       0.7359986
           3611.8       0.7647584
           3612.2       0.7519296
           3612.6       0.7063884
            3613.       0.6546573
           3613.4       0.6173552
           3613.8       0.6122527
           3614.2       0.6384298
           3614.6       0.6837937
            3615.       0.7437543
           3615.4       0.7861178
           3615.8       0.7997039
           3616.2       0.7847605
           3616.6       0.7758999
            3617.       0.7705008
           3617.4       0.7382944
           3617.8       0.6796164
           3618.2       0.6093864
           3618.6       0.5483771
            3619.       0.5312572
           3619.4       0.5712262
           3619.8       0.6408646
           3620.2       0.6925593
           3620.6       0.7029762
            3621.       0.6799954
           3621.4       0.6624429
           3621.8       0.6893305
           3622.2       0.7541568
           3622.6       0.7967032
            3623.       0.7800442
           3623.4       0.7467659
           3623.8       0.7130174
           3624.2       0.6830785
           3624.6        0.697197
            3625.       0.7283024
           3625.4       0.7823286
           3625.8        0.852353
           3626.2       0.8839859
