#K OBJECT   '78479'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 78479
#K OBJRA    09:09:02.31
#K OBJDEC   +17:28:10.7
#K OBJBMAG  8.419000E+00
#K OBJVMAG  7.189000E+00
#K SPTYPE   K3III
#K OBJRV    7.650000E+01
#K HDNAME   HD 78479
#K BDNAME   BD+18 2129
#K HIPNAME  HIP 44918
#K SAONAME  SAO 98389
#K VHELIO   1.23284587812169E+01
#K VLSR     3.91484238085126E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.442781E+03
#K CMAX1    4.768050E+03
#K PICKTYPE K3III
#K NCOMBINE 5
#K TEFF     4509  Jones..Coude.Feed.Library
#K LOGG     2.540000E+00  Jones..Coude.Feed.Library
#K FEH      5.700000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9448.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.09509043
           3465.4      0.07738457
           3465.8      0.06773876
           3466.2      0.05950315
           3466.6      0.07032734
            3467.       0.0863237
           3467.4      0.09354555
           3467.8       0.1077456
           3468.2       0.1070563
           3468.6       0.1089176
            3469.       0.1063625
           3469.4       0.1031373
           3469.8       0.1155057
           3470.2       0.1339162
           3470.6        0.140278
            3471.       0.1324049
           3471.4       0.1179614
           3471.8       0.1028229
           3472.2      0.09070032
           3472.6      0.08526188
            3473.       0.0838953
           3473.4      0.08280501
           3473.8      0.07575943
           3474.2      0.06791426
           3474.6      0.05532731
            3475.      0.04668623
           3475.4      0.05071766
           3475.8      0.05371163
           3476.2      0.04961159
           3476.6      0.05302934
            3477.        0.067958
           3477.4      0.08158413
           3477.8       0.0906892
           3478.2       0.1035117
           3478.6       0.1029494
            3479.       0.1025111
           3479.4       0.1073521
           3479.8       0.1040984
           3480.2       0.1014141
           3480.6       0.1033483
            3481.       0.1067994
           3481.4       0.1081979
           3481.8        0.107587
           3482.2       0.1107247
           3482.6      0.09328762
            3483.      0.08113859
           3483.4      0.07909251
           3483.8      0.07608049
           3484.2       0.0920617
           3484.6      0.09908995
            3485.       0.0956321
           3485.4      0.08581541
           3485.8      0.08741014
           3486.2       0.1124764
           3486.6       0.1351832
            3487.       0.1466614
           3487.4       0.1506016
           3487.8       0.1314029
           3488.2       0.1218774
           3488.6       0.1042779
            3489.      0.09013299
           3489.4      0.07067082
           3489.8      0.06201896
           3490.2      0.05815927
           3490.6      0.05587673
            3491.      0.05992309
           3491.4      0.07116493
           3491.8      0.07877225
           3492.2       0.0716181
           3492.6      0.06241351
            3493.      0.06345106
           3493.4      0.07052161
           3493.8      0.08798623
           3494.2        0.110042
           3494.6       0.1161073
            3495.       0.1146564
           3495.4       0.1041461
           3495.8      0.08468942
           3496.2      0.07462086
           3496.6      0.07009944
            3497.      0.06436405
           3497.4      0.06256123
           3497.8      0.07105744
           3498.2      0.09426167
           3498.6       0.1093954
            3499.       0.1406084
           3499.4       0.1586168
           3499.8       0.1625907
           3500.2       0.1433784
           3500.6       0.1355626
            3501.       0.1276247
           3501.4        0.127858
           3501.8        0.127094
           3502.2       0.1181892
           3502.6       0.1309875
            3503.       0.1560456
           3503.4        0.173763
           3503.8          0.1918
           3504.2       0.1769836
           3504.6       0.1549037
            3505.       0.1461443
           3505.4       0.1305335
           3505.8       0.1191931
           3506.2       0.1150264
           3506.6       0.1168644
            3507.       0.1277192
           3507.4       0.1391086
           3507.8       0.1465255
           3508.2       0.1500263
           3508.6       0.1462573
            3509.       0.1375504
           3509.4       0.1133606
           3509.8      0.09356004
           3510.2      0.08014552
           3510.6      0.09166826
            3511.       0.1029604
           3511.4       0.1149209
           3511.8       0.1142276
           3512.2       0.1071055
           3512.6       0.0926815
            3513.      0.07670339
           3513.4       0.0704353
           3513.8      0.06289019
           3514.2      0.06249009
           3514.6      0.05828278
            3515.       0.0623425
           3515.4      0.07800336
           3515.8       0.1054565
           3516.2        0.116782
           3516.6       0.1252218
            3517.       0.1386444
           3517.4       0.1645867
           3517.8        0.177924
           3518.2       0.1597565
           3518.6       0.1416596
            3519.       0.1392176
           3519.4       0.1315438
           3519.8       0.1170479
           3520.2       0.1089835
           3520.6       0.1014655
            3521.       0.0902576
           3521.4      0.07963099
           3521.8      0.07905441
           3522.2      0.08724342
           3522.6      0.09010893
            3523.      0.07677686
           3523.4      0.06355496
           3523.8      0.05438139
           3524.2      0.04207171
           3524.6      0.04299184
            3525.      0.05119615
           3525.4       0.0562494
           3525.8      0.05221151
           3526.2      0.04634249
           3526.6      0.06120687
            3527.      0.08493506
           3527.4        0.102221
           3527.8       0.1117251
           3528.2       0.1209897
           3528.6       0.1317586
            3529.       0.1367925
           3529.4       0.1294803
           3529.8       0.1166917
           3530.2       0.1168912
           3530.6       0.1250463
            3531.       0.1199319
           3531.4       0.1172463
           3531.8      0.09754316
           3532.2      0.09377664
           3532.6      0.08938894
            3533.      0.08781625
           3533.4       0.1031044
           3533.8       0.1218881
           3534.2       0.1369988
           3534.6       0.1442918
            3535.       0.1406532
           3535.4       0.1390785
           3535.8       0.1333835
           3536.2       0.1303163
           3536.6       0.1365835
            3537.       0.1297805
           3537.4       0.1215511
           3537.8       0.1195291
           3538.2       0.1191782
           3538.6       0.1252191
            3539.       0.1483964
           3539.4       0.1649391
           3539.8        0.161533
           3540.2          0.1524
           3540.6       0.1339284
            3541.       0.1181103
           3541.4       0.1152498
           3541.8       0.1190013
           3542.2       0.1100915
           3542.6       0.1086717
            3543.       0.1126754
           3543.4       0.1168044
           3543.8       0.1271254
           3544.2       0.1404674
           3544.6       0.1485044
            3545.       0.1455705
           3545.4       0.1320554
           3545.8       0.1255561
           3546.2       0.1318029
           3546.6       0.1212704
            3547.       0.1027237
           3547.4      0.09969106
           3547.8      0.09254106
           3548.2      0.08832309
           3548.6       0.1007129
            3549.         0.11935
           3549.4       0.1285498
           3549.8       0.1280001
           3550.2       0.1136389
           3550.6      0.09762193
            3551.       0.0977338
           3551.4      0.09802464
           3551.8       0.1008175
           3552.2       0.1064731
           3552.6       0.1022204
            3553.      0.09069157
           3553.4      0.08487662
           3553.8      0.08351826
           3554.2      0.08167592
           3554.6      0.08193284
            3555.      0.09147656
           3555.4       0.1096338
           3555.8       0.1206768
           3556.2       0.1083428
           3556.6      0.09552843
            3557.       0.1083814
           3557.4       0.1040052
           3557.8      0.09135599
           3558.2      0.07373473
           3558.6      0.06918012
            3559.      0.07811481
           3559.4      0.08281938
           3559.8       0.0922225
           3560.2      0.09326646
           3560.6      0.08818955
            3561.      0.08607524
           3561.4      0.08622687
           3561.8      0.09023812
           3562.2      0.08977246
           3562.6       0.1065734
            3563.       0.1131478
           3563.4       0.1190703
           3563.8       0.1147074
           3564.2      0.09785812
           3564.6      0.07197705
            3565.      0.05263305
           3565.4      0.04741959
           3565.8      0.04394514
           3566.2      0.04267496
           3566.6      0.05301083
            3567.      0.06769212
           3567.4      0.07671756
           3567.8      0.08095446
           3568.2      0.08470847
           3568.6      0.06668662
            3569.      0.05848596
           3569.4      0.04508086
           3569.8      0.03485224
           3570.2      0.03918814
           3570.6      0.04824191
            3571.      0.05747315
           3571.4      0.06537908
           3571.8      0.06414001
           3572.2      0.06173283
           3572.6      0.07587195
            3573.       0.0935061
           3573.4      0.09294578
           3573.8      0.08770353
           3574.2      0.08300427
           3574.6      0.08681695
            3575.      0.08238354
           3575.4      0.08163794
           3575.8      0.08072782
           3576.2      0.08517098
           3576.6      0.08999231
            3577.      0.08447272
           3577.4      0.07448102
           3577.8      0.06400812
           3578.2      0.05612127
           3578.6      0.04629549
            3579.      0.04261758
           3579.4      0.04727577
           3579.8        0.049283
           3580.2      0.04411905
           3580.6      0.03687249
            3581.      0.03032907
           3581.4      0.02670503
           3581.8      0.02759234
           3582.2      0.03594388
           3582.6      0.04648618
            3583.      0.05191347
           3583.4      0.05577309
           3583.8      0.05537334
           3584.2      0.05392817
           3584.6      0.05079838
            3585.      0.04184587
           3585.4      0.03407763
           3585.8      0.03173791
           3586.2      0.04116945
           3586.6      0.04312036
            3587.      0.04141687
           3587.4      0.04849433
           3587.8      0.05484398
           3588.2      0.05751162
