#K OBJECT   '79158'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 79158
#K OBJRA    09:13:48.21
#K OBJDEC   +43:13:04.2
#K OBJBMAG  5.163000E+00
#K OBJVMAG  5.289000E+00
#K SPTYPE   B8IIImnp
#K OBJRV    2.090000E+01
#K HDNAME   HD 79158
#K BDNAME   BD+43 1893
#K HIPNAME  HIP 45290
#K SAONAME  SAO 42759
#K VHELIO   -1.11581355742853E+01
#K VLSR     -1.28370936331488E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790077E+03
#K CMAX1    8.125523E+03
#K PICKTYPE B9III
#K NCOMBINE 6
#K TEFF     13700  1993A&A...274..335S (Smith)
#K LOGG     3.650000E+00  1993A&A...274..335S (Smith)
#K FEH      6.000000E-01  1993A&A...274..335S (Smith)
#K COVERAGE 3465.0-9449.8

#      wavelength        spectrum
#       angstroms                

            3465.        1.147418
           3465.4        1.133762
           3465.8        1.153244
           3466.2        1.175565
           3466.6        1.196055
            3467.        1.199455
           3467.4        1.195783
           3467.8        1.201764
           3468.2        1.195868
           3468.6        1.177751
            3469.        1.170828
           3469.4        1.170985
           3469.8        1.176981
           3470.2        1.170387
           3470.6         1.16442
            3471.        1.148849
           3471.4         1.14563
           3471.8        1.147842
           3472.2        1.155191
           3472.6        1.174581
            3473.        1.180898
           3473.4        1.178198
           3473.8        1.177359
           3474.2        1.168316
           3474.6        1.161189
            3475.          1.1526
           3475.4        1.151217
           3475.8        1.166581
           3476.2        1.158134
           3476.6         1.16032
            3477.        1.163583
           3477.4        1.151704
           3477.8        1.163788
           3478.2        1.191583
           3478.6        1.198077
            3479.        1.197512
           3479.4        1.196584
           3479.8         1.19094
           3480.2        1.197603
           3480.6        1.181826
            3481.        1.174949
           3481.4        1.193863
           3481.8        1.187002
           3482.2        1.160662
           3482.6        1.159809
            3483.         1.16135
           3483.4        1.160084
           3483.8        1.168132
           3484.2        1.175197
           3484.6        1.180926
            3485.        1.191494
           3485.4        1.191706
           3485.8        1.187393
           3486.2        1.204151
           3486.6        1.194411
            3487.        1.190213
           3487.4        1.187835
           3487.8        1.187398
           3488.2        1.177283
           3488.6        1.171536
            3489.        1.167148
           3489.4        1.153617
           3489.8        1.156009
           3490.2        1.171953
           3490.6        1.162659
            3491.        1.151071
           3491.4        1.166401
           3491.8        1.168365
           3492.2        1.174494
           3492.6        1.180668
            3493.         1.16275
           3493.4        1.132154
           3493.8        1.122531
           3494.2        1.127362
           3494.6        1.125507
            3495.        1.112593
           3495.4        1.104813
           3495.8        1.115519
           3496.2        1.133648
           3496.6        1.156539
            3497.        1.154645
           3497.4        1.153198
           3497.8        1.153986
           3498.2        1.172543
           3498.6        1.183299
            3499.        1.185101
           3499.4        1.171752
           3499.8        1.163069
           3500.2         1.15888
           3500.6        1.147188
            3501.        1.145387
           3501.4        1.135576
           3501.8        1.130627
           3502.2        1.161018
           3502.6        1.180886
            3503.        1.182859
           3503.4        1.179457
           3503.8        1.157645
           3504.2        1.146165
           3504.6        1.136941
            3505.        1.125517
           3505.4        1.137396
           3505.8        1.168692
           3506.2        1.181035
           3506.6        1.168374
            3507.        1.156878
           3507.4        1.131357
           3507.8        1.139489
           3508.2        1.162986
           3508.6        1.170146
            3509.        1.168451
           3509.4        1.167526
           3509.8        1.157041
           3510.2        1.133835
           3510.6        1.126244
            3511.        1.132079
           3511.4        1.124041
           3511.8        1.127178
           3512.2         1.15063
           3512.6        1.146722
            3513.        1.133416
           3513.4        1.130656
           3513.8        1.120946
           3514.2        1.124814
           3514.6        1.127942
            3515.        1.151839
           3515.4        1.153854
           3515.8        1.157504
           3516.2        1.164776
           3516.6        1.143424
            3517.        1.139171
           3517.4         1.13643
           3517.8         1.13897
           3518.2        1.148436
           3518.6        1.146958
            3519.        1.148593
           3519.4        1.147645
           3519.8        1.140372
           3520.2        1.143139
           3520.6        1.150601
            3521.        1.149384
           3521.4        1.155721
           3521.8        1.167511
           3522.2         1.16583
           3522.6        1.164847
            3523.        1.156152
           3523.4        1.134482
           3523.8         1.13963
           3524.2         1.14515
           3524.6        1.139813
            3525.        1.152447
           3525.4        1.148053
           3525.8        1.132453
           3526.2        1.135456
           3526.6        1.145562
            3527.        1.151577
           3527.4        1.154233
           3527.8         1.15501
           3528.2        1.160931
           3528.6        1.154211
            3529.        1.155337
           3529.4        1.153828
           3529.8        1.158878
           3530.2        1.157864
           3530.6        1.154502
            3531.         1.15023
           3531.4        1.146055
           3531.8        1.146814
           3532.2         1.15325
           3532.6        1.151223
            3533.        1.144339
           3533.4        1.148631
           3533.8        1.137202
           3534.2        1.134343
           3534.6         1.11979
            3535.        1.090579
           3535.4        1.080244
           3535.8        1.086642
           3536.2        1.106191
           3536.6          1.1227
            3537.        1.131283
           3537.4         1.14443
           3537.8        1.148429
           3538.2        1.142886
           3538.6        1.143325
            3539.        1.126048
           3539.4        1.129513
           3539.8        1.141889
           3540.2        1.142157
           3540.6         1.14313
            3541.        1.131167
           3541.4        1.129536
           3541.8        1.140006
           3542.2        1.142327
           3542.6        1.131939
            3543.        1.121903
           3543.4        1.116269
           3543.8        1.109236
           3544.2         1.10881
           3544.6        1.105607
            3545.         1.10407
           3545.4        1.113548
           3545.8        1.123278
           3546.2        1.132413
           3546.6         1.12449
            3547.        1.128569
           3547.4         1.13057
           3547.8        1.129661
           3548.2        1.126117
           3548.6        1.123066
            3549.        1.136647
           3549.4        1.131708
           3549.8         1.13471
           3550.2        1.121024
           3550.6        1.116922
            3551.        1.115665
           3551.4        1.127181
           3551.8        1.127473
           3552.2         1.11961
           3552.6        1.114683
            3553.        1.112519
           3553.4        1.117643
           3553.8        1.123067
           3554.2        1.120263
           3554.6        1.112671
            3555.        1.101864
           3555.4        1.110357
           3555.8         1.10176
           3556.2        1.103158
           3556.6        1.103535
            3557.        1.106434
           3557.4         1.10345
           3557.8         1.09252
           3558.2        1.096773
           3558.6        1.096282
            3559.        1.094509
           3559.4        1.108057
           3559.8        1.093417
           3560.2        1.072068
           3560.6        1.062723
            3561.        1.047171
           3561.4        1.050891
           3561.8        1.076335
           3562.2        1.087205
           3562.6        1.105407
            3563.        1.105467
           3563.4        1.100312
           3563.8        1.102885
           3564.2        1.086472
           3564.6        1.068216
            3565.        1.061165
           3565.4        1.042472
           3565.8        1.039189
           3566.2         1.04089
           3566.6        1.038075
            3567.        1.059027
           3567.4         1.07658
           3567.8        1.074022
           3568.2        1.073488
           3568.6        1.080837
            3569.        1.084329
           3569.4        1.082316
           3569.8        1.077586
           3570.2        1.073232
           3570.6        1.078155
            3571.        1.087554
           3571.4        1.086368
           3571.8        1.084837
           3572.2        1.073151
           3572.6        1.061147
            3573.        1.075957
           3573.4        1.070172
           3573.8        1.053434
           3574.2        1.054457
           3574.6        1.053776
            3575.        1.049483
           3575.4        1.050028
           3575.8        1.046942
           3576.2        1.043732
           3576.6        1.025669
            3577.        1.033797
           3577.4        1.046521
           3577.8        1.051918
           3578.2        1.057812
           3578.6          1.0669
            3579.        1.075926
           3579.4        1.080588
           3579.8        1.085585
           3580.2        1.075854
           3580.6        1.054392
            3581.        1.053181
           3581.4        1.057546
           3581.8        1.068622
           3582.2        1.085277
           3582.6        1.085756
            3583.        1.084311
           3583.4        1.083791
           3583.8        1.077256
           3584.2        1.061952
           3584.6        1.034772
            3585.        1.007159
           3585.4       0.9939547
           3585.8       0.9971479
           3586.2        1.021339
           3586.6        1.046167
            3587.        1.042145
           3587.4        1.059173
           3587.8        1.061067
           3588.2         1.06333
           3588.6        1.063628
            3589.        1.057248
           3589.4        1.049306
           3589.8         1.04269
           3590.2        1.047246
           3590.6        1.049358
            3591.        1.053259
           3591.4        1.068409
           3591.8        1.070493
           3592.2        1.071629
           3592.6        1.059855
            3593.        1.068619
           3593.4        1.071892
           3593.8        1.067089
           3594.2        1.064166
           3594.6        1.061509
            3595.        1.055668
           3595.4        1.041812
           3595.8        1.030865
           3596.2        1.039842
           3596.6        1.050969
            3597.        1.049728
           3597.4        1.056012
           3597.8          1.0554
           3598.2        1.054707
           3598.6         1.06382
            3599.        1.070137
           3599.4        1.067677
           3599.8        1.073275
           3600.2        1.066636
           3600.6        1.060125
            3601.        1.067819
           3601.4        1.069229
           3601.8        1.065912
           3602.2        1.064912
           3602.6        1.046569
            3603.         1.02337
           3603.4        1.012247
           3603.8       0.9998159
           3604.2        1.005981
           3604.6         1.02274
            3605.         1.02994
           3605.4        1.041425
           3605.8        1.029143
           3606.2        1.022101
           3606.6        1.040659
            3607.        1.045723
           3607.4        1.038454
           3607.8        1.038226
           3608.2        1.040592
           3608.6         1.03256
            3609.        1.030676
           3609.4        1.039326
           3609.8        1.045224
           3610.2        1.042091
           3610.6        1.036175
            3611.        1.040253
           3611.4        1.042655
           3611.8        1.041137
           3612.2        1.042063
           3612.6        1.028574
            3613.        1.005272
           3613.4       0.9992722
           3613.8        1.001139
           3614.2        1.015235
           3614.6        1.024039
            3615.        1.032082
           3615.4        1.043535
           3615.8         1.05231
           3616.2        1.054988
           3616.6        1.058381
            3617.        1.057434
           3617.4        1.050333
           3617.8        1.049901
           3618.2        1.051803
           3618.6        1.049666
            3619.        1.054418
           3619.4        1.049245
           3619.8        1.045116
           3620.2        1.035189
