#K OBJECT   '79452'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 79452
#K OBJRA    09:15:14.25
#K OBJDEC   +34:38:00.7
#K OBJBMAG  6.802000E+00
#K OBJVMAG  5.992000E+00
#K SPTYPE   G6III
#K OBJRV    5.640000E+01
#K HDNAME   HD 79452
#K BDNAME   BD+35 1966
#K HIPNAME  HIP 45412
#K SAONAME  SAO 61361
#K VHELIO   9.91070980884956E+00
#K VLSR     6.02904744187751E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.442984E+03
#K CMAX1    4.768331E+03
#K PICKTYPE G5III
#K NCOMBINE 5
#K TEFF     5150  1998A&A...338..623M (Mallik)
#K LOGG     2.200000E+00  1998A&A...338..623M (Mallik)
#K FEH      -3.500000E-01  1998A&A...338..623M (Mallik)
#K COVERAGE 3465.0-9448.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.3266439
           3465.4       0.2938823
           3465.8       0.2636063
           3466.2       0.2566953
           3466.6       0.2736626
            3467.       0.2948623
           3467.4       0.3102199
           3467.8         0.32258
           3468.2       0.3278453
           3468.6       0.3220689
            3469.        0.309149
           3469.4       0.3022749
           3469.8       0.3276396
           3470.2       0.3533315
           3470.6       0.3647103
            3471.       0.3435368
           3471.4       0.3163941
           3471.8       0.3011523
           3472.2        0.289569
           3472.6       0.2831792
            3473.       0.2806644
           3473.4       0.2676716
           3473.8       0.2499897
           3474.2       0.2411685
           3474.6       0.2301317
            3475.       0.2184619
           3475.4       0.2076401
           3475.8       0.2040399
           3476.2       0.2024865
           3476.6       0.1972436
            3477.        0.203249
           3477.4       0.2326052
           3477.8       0.2632562
           3478.2       0.2733278
           3478.6       0.2742178
            3479.       0.2766405
           3479.4       0.2753842
           3479.8       0.2734051
           3480.2       0.2713072
           3480.6       0.2805761
            3481.       0.2874743
           3481.4       0.2935805
           3481.8       0.3030677
           3482.2       0.3002217
           3482.6       0.2767452
            3483.       0.2525087
           3483.4       0.2392525
           3483.8       0.2420878
           3484.2       0.2583441
           3484.6       0.2639851
            3485.       0.2557553
           3485.4       0.2583059
           3485.8       0.2849336
           3486.2       0.3101367
           3486.6       0.3345084
            3487.       0.3515688
           3487.4       0.3502853
           3487.8        0.330557
           3488.2       0.3102491
           3488.6       0.2892903
            3489.       0.2644919
           3489.4       0.2465209
           3489.8       0.2356035
           3490.2       0.2213338
           3490.6       0.2062827
            3491.       0.2208174
           3491.4       0.2591068
           3491.8       0.2829746
           3492.2       0.2799669
           3492.6       0.2477209
            3493.       0.2225688
           3493.4       0.2325863
           3493.8       0.2611677
           3494.2       0.2817581
           3494.6       0.2823289
            3495.       0.2634902
           3495.4       0.2344075
           3495.8        0.208939
           3496.2       0.2033798
           3496.6       0.2040069
            3497.       0.2056821
           3497.4       0.2091943
           3497.8       0.2266344
           3498.2       0.2549957
           3498.6       0.2887045
            3499.       0.3198991
           3499.4       0.3310442
           3499.8       0.3225867
           3500.2       0.3105184
           3500.6       0.3033625
            3501.       0.3086558
           3501.4       0.3178281
           3501.8       0.3156895
           3502.2       0.3022418
           3502.6       0.3107606
            3503.       0.3374364
           3503.4        0.363899
           3503.8       0.3675258
           3504.2       0.3415703
           3504.6       0.3028469
            3505.        0.277778
           3505.4       0.2684049
           3505.8        0.260619
           3506.2       0.2589275
           3506.6       0.2646624
            3507.       0.2776698
           3507.4       0.2901725
           3507.8       0.3099494
           3508.2       0.3190615
           3508.6       0.3281987
            3509.       0.3229503
           3509.4       0.3014223
           3509.8       0.2716355
           3510.2       0.2445086
           3510.6       0.2492747
            3511.       0.2824055
           3511.4       0.2989309
           3511.8       0.2894976
           3512.2       0.2686533
           3512.6       0.2585146
            3513.       0.2477296
           3513.4       0.2367459
           3513.8        0.226587
           3514.2       0.2270731
           3514.6         0.23153
