#K OBJECT   '80499'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 80499
#K OBJRA    09:19:46.38
#K OBJDEC   -11:58:29.5
#K OBJBMAG  5.699000E+00
#K OBJVMAG  4.783000E+00
#K SPTYPE   G8III
#K OBJRV    -2.000000E+00
#K HDNAME   HD 80499
#K BDNAME   BD-11 2609
#K HIPNAME  HIP 45751
#K SAONAME  SAO 155096
#K VHELIO   1.46645749814260E+01
#K VLSR     1.47008806187338E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678585E+03
#K CMAX1    6.005529E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4920  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.880000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -2.000000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9450.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2446366
           3465.4          0.2109
           3465.8       0.1797943
           3466.2        0.171635
           3466.6       0.1809279
            3467.        0.197075
           3467.4       0.2147108
           3467.8       0.2299125
           3468.2       0.2354827
           3468.6       0.2263589
            3469.       0.2215767
           3469.4       0.2294943
           3469.8       0.2451603
           3470.2       0.2670625
           3470.6       0.2729789
            3471.       0.2592856
           3471.4       0.2374217
           3471.8       0.2142068
           3472.2       0.2026156
           3472.6       0.1984834
            3473.       0.1929445
           3473.4       0.1937408
           3473.8       0.1843457
           3474.2       0.1739076
           3474.6       0.1697651
            3475.       0.1588811
           3475.4       0.1454215
           3475.8       0.1417778
           3476.2       0.1400137
           3476.6       0.1354903
            3477.       0.1424838
           3477.4       0.1666588
           3477.8       0.1934121
           3478.2       0.2077206
           3478.6       0.2098888
            3479.       0.2095231
           3479.4        0.206027
           3479.8       0.2013797
           3480.2       0.1938387
           3480.6       0.1926866
            3481.       0.1997116
           3481.4       0.2062355
           3481.8       0.2081558
           3482.2       0.2063899
           3482.6       0.1928937
            3483.       0.1701232
           3483.4       0.1628501
           3483.8       0.1703048
           3484.2       0.1846817
           3484.6       0.1857045
            3485.        0.179802
           3485.4       0.1771468
           3485.8       0.1931069
           3486.2       0.2201063
           3486.6       0.2475228
            3487.       0.2698008
           3487.4       0.2746575
           3487.8        0.261441
           3488.2       0.2383368
           3488.6       0.2050077
            3489.       0.1796132
           3489.4        0.172913
           3489.8       0.1638205
           3490.2       0.1549188
           3490.6        0.146652
            3491.       0.1579186
           3491.4       0.1844181
           3491.8       0.2040519
           3492.2       0.1989084
           3492.6       0.1790185
            3493.       0.1644668
           3493.4       0.1677918
           3493.8       0.1951679
           3494.2         0.22192
           3494.6       0.2311407
            3495.       0.2229047
           3495.4       0.1931745
           3495.8        0.164058
           3496.2       0.1460914
           3496.6       0.1441945
            3497.       0.1443669
           3497.4       0.1450293
           3497.8       0.1586119
           3498.2       0.1848464
           3498.6       0.2202482
            3499.       0.2556852
           3499.4       0.2721888
           3499.8       0.2769281
           3500.2       0.2699719
           3500.6       0.2552014
            3501.       0.2640795
           3501.4       0.2751051
           3501.8        0.262784
           3502.2       0.2482376
           3502.6        0.257056
            3503.       0.2917179
           3503.4       0.3264781
           3503.8       0.3323613
           3504.2       0.3056062
           3504.6       0.2600813
            3505.        0.228149
           3505.4       0.2228497
           3505.8       0.2161705
           3506.2       0.2141405
           3506.6       0.2159877
            3507.       0.2306356
           3507.4       0.2460718
           3507.8       0.2594781
           3508.2       0.2703703
           3508.6       0.2758263
            3509.       0.2694797
           3509.4       0.2441706
           3509.8       0.2114446
           3510.2        0.190764
           3510.6       0.2016539
            3511.       0.2213107
           3511.4       0.2388889
           3511.8       0.2341429
           3512.2       0.2159446
           3512.6       0.1991884
            3513.       0.1884403
           3513.4       0.1782035
           3513.8       0.1697969
           3514.2       0.1668829
           3514.6       0.1649961
            3515.       0.1689564
           3515.4       0.1894797
           3515.8       0.2199409
           3516.2       0.2480353
           3516.6       0.2651063
            3517.       0.2769791
           3517.4       0.3020349
           3517.8       0.3111811
           3518.2       0.3044668
           3518.6       0.2952732
            3519.       0.2867895
           3519.4       0.2788898
           3519.8       0.2619872
           3520.2       0.2390994
           3520.6       0.2238553
            3521.       0.2045386
           3521.4       0.1910825
           3521.8       0.1965694
           3522.2       0.2078876
           3522.6       0.2143087
            3523.         0.19977
           3523.4        0.176428
           3523.8       0.1578569
           3524.2       0.1404404
           3524.6       0.1382617
            3525.       0.1580376
           3525.4       0.1697042
           3525.8       0.1551235
           3526.2       0.1326369
           3526.6       0.1413513
            3527.       0.1790419
           3527.4       0.2146436
           3527.8        0.230369
           3528.2       0.2472561
           3528.6       0.2663294
            3529.       0.2705458
           3529.4       0.2572846
           3529.8       0.2444513
           3530.2       0.2404717
           3530.6       0.2428867
            3531.       0.2466097
           3531.4       0.2316447
           3531.8       0.2095245
           3532.2       0.1974609
           3532.6       0.1934196
            3533.       0.1939751
           3533.4       0.2132282
           3533.8        0.246115
           3534.2       0.2731765
           3534.6       0.2827288
            3535.         0.27246
           3535.4       0.2585448
           3535.8       0.2566893
           3536.2       0.2578222
           3536.6       0.2550683
            3537.       0.2508895
           3537.4       0.2451652
           3537.8       0.2327167
           3538.2       0.2324245
           3538.6       0.2516362
            3539.       0.2819128
           3539.4       0.3034073
           3539.8        0.303394
           3540.2       0.2821003
           3540.6       0.2591882
            3541.       0.2459929
           3541.4         0.23578
           3541.8       0.2329553
           3542.2       0.2319393
           3542.6       0.2320186
            3543.       0.2362508
           3543.4       0.2489306
           3543.8       0.2595695
           3544.2       0.2706408
           3544.6       0.2761474
            3545.       0.2658759
           3545.4       0.2484022
           3545.8       0.2418233
           3546.2       0.2506979
           3546.6       0.2563905
            3547.       0.2417025
           3547.4       0.2218904
           3547.8       0.2126634
           3548.2       0.2139696
           3548.6       0.2283565
            3549.       0.2513929
           3549.4       0.2617329
           3549.8       0.2605326
           3550.2       0.2519328
           3550.6       0.2414535
            3551.       0.2299776
           3551.4       0.2180176
           3551.8       0.2148526
           3552.2       0.2197787
           3552.6       0.2192961
            3553.       0.2077577
           3553.4       0.1963994
           3553.8       0.1889955
           3554.2       0.1867131
           3554.6       0.1911202
            3555.       0.2025843
           3555.4       0.2249345
           3555.8       0.2494988
           3556.2       0.2436992
           3556.6       0.2204029
            3557.       0.2159969
           3557.4       0.2238569
           3557.8       0.2266915
           3558.2       0.1997234
           3558.6       0.1747404
            3559.       0.1769949
           3559.4        0.187829
           3559.8       0.1970109
           3560.2       0.1989107
           3560.6       0.1916879
            3561.       0.1865372
           3561.4       0.1851963
           3561.8       0.1909976
           3562.2       0.2098484
           3562.6       0.2371792
            3563.       0.2632013
           3563.4       0.2691213
           3563.8       0.2588889
           3564.2       0.2303279
           3564.6       0.1888226
            3565.       0.1495067
           3565.4        0.122724
           3565.8       0.1098883
           3566.2       0.1166587
           3566.6       0.1356482
            3567.       0.1654944
           3567.4       0.1909585
           3567.8       0.1952115
           3568.2       0.1968688
           3568.6        0.188627
            3569.       0.1632321
           3569.4       0.1282103
           3569.8       0.1035726
           3570.2       0.1100724
           3570.6       0.1442678
            3571.       0.1701024
           3571.4       0.1720866
           3571.8       0.1734433
           3572.2       0.1846367
           3572.6       0.2035824
            3573.       0.2217514
           3573.4       0.2180171
           3573.8       0.2045906
           3574.2       0.2050507
           3574.6       0.2071085
            3575.        0.203861
           3575.4        0.200535
           3575.8       0.2081624
           3576.2       0.2146224
           3576.6        0.218842
            3577.       0.2188192
           3577.4       0.2127684
           3577.8       0.1919699
           3578.2       0.1618195
           3578.6       0.1488916
            3579.       0.1522562
           3579.4       0.1601751
           3579.8       0.1549037
           3580.2       0.1335535
           3580.6       0.1093713
            3581.      0.08243353
           3581.4       0.0728901
           3581.8       0.0824697
           3582.2      0.09615261
           3582.6       0.1118942
            3583.       0.1221768
           3583.4        0.123998
           3583.8       0.1236879
           3584.2       0.1152498
           3584.6       0.1035016
            3585.      0.08723234
           3585.4      0.08028766
           3585.8      0.09430465
           3586.2       0.1080402
           3586.6       0.1107697
            3587.       0.1059648
           3587.4       0.1054908
           3587.8       0.1132571
           3588.2       0.1268481
           3588.6       0.1311491
            3589.       0.1202287
           3589.4       0.1133748
           3589.8       0.1182586
           3590.2       0.1476959
           3590.6       0.1954702
            3591.       0.2417896
           3591.4       0.2693367
           3591.8        0.279763
           3592.2       0.2719421
           3592.6       0.2510147
            3593.       0.2202534
           3593.4       0.2072909
           3593.8       0.2277751
           3594.2       0.2560728
           3594.6       0.2669423
            3595.       0.2624671
           3595.4       0.2721145
           3595.8       0.2819823
           3596.2       0.3037871
           3596.6       0.3374163
            3597.       0.3469888
           3597.4       0.3289188
           3597.8       0.3092622
           3598.2       0.3140855
           3598.6       0.3180616
            3599.       0.3086385
           3599.4       0.3112221
           3599.8       0.3281358
           3600.2       0.3476676
           3600.6       0.3540939
            3601.        0.344479
           3601.4       0.3091844
           3601.8       0.2624379
           3602.2        0.226909
           3602.6       0.2182523
            3603.        0.232701
           3603.4       0.2406009
           3603.8       0.2398425
           3604.2       0.2426156
           3604.6       0.2357326
            3605.       0.2193967
           3605.4       0.2165617
           3605.8       0.2257659
           3606.2       0.2445667
           3606.6       0.2687507
            3607.       0.2831566
           3607.4       0.2898149
           3607.8       0.2557582
           3608.2        0.201087
           3608.6       0.1555434
            3609.       0.1377593
           3609.4        0.151244
           3609.8       0.1703794
           3610.2       0.1771742
           3610.6       0.1861173
            3611.       0.2144482
           3611.4       0.2568421
           3611.8        0.278106
           3612.2       0.2818706
           3612.6       0.2562013
            3613.       0.2262014
           3613.4        0.205567
           3613.8       0.2133131
           3614.2       0.2426748
           3614.6        0.270034
            3615.       0.2985086
           3615.4        0.319699
           3615.8       0.3152538
           3616.2        0.309911
           3616.6       0.3066126
            3617.       0.2872393
           3617.4       0.2517767
           3617.8       0.2049846
           3618.2       0.1579145
           3618.6       0.1192748
            3619.       0.1056219
           3619.4       0.1152124
           3619.8       0.1531209
           3620.2       0.2056918
           3620.6       0.2333224
            3621.       0.2356806
           3621.4       0.2430429
           3621.8       0.2680956
           3622.2       0.3104074
           3622.6       0.3482307
            3623.       0.3319234
           3623.4       0.2883137
           3623.8        0.258996
           3624.2       0.2550642
           3624.6       0.2654234
            3625.        0.294783
           3625.4       0.3381537
           3625.8        0.379956
           3626.2       0.4084952
           3626.6       0.4097515
            3627.       0.3946119
           3627.4       0.3713498
           3627.8       0.3578489
           3628.2       0.3559834
           3628.6       0.3599328
            3629.       0.3784319
           3629.4        0.370515
           3629.8       0.3370148
           3630.2       0.2734127
           3630.6        0.199767
            3631.       0.1505198
           3631.4       0.1295476
           3631.8       0.1473436
           3632.2       0.1862625
           3632.6        0.218982
            3633.       0.2413455
           3633.4       0.2518361
           3633.8       0.2531708
           3634.2       0.2379251
           3634.6         0.21689
            3635.       0.2187201
           3635.4       0.2517329
           3635.8       0.2875781
           3636.2       0.2914156
           3636.6       0.2754574
            3637.       0.2760797
           3637.4       0.2831198
           3637.8       0.2848635
           3638.2       0.3046357
           3638.6       0.3342365
            3639.       0.3610898
           3639.4       0.3675708
           3639.8       0.3610781
           3640.2       0.3727455
           3640.6       0.3799842
            3641.       0.3524567
           3641.4       0.3235542
           3641.8       0.3167667
           3642.2       0.3146784
           3642.6       0.3094253
            3643.       0.2962104
           3643.4       0.3117612
           3643.8       0.3166604
           3644.2       0.3002398
           3644.6       0.2619657
            3645.       0.2268087
           3645.4       0.2195479
           3645.8       0.2512565
           3646.2       0.2873127
           3646.6       0.2952532
            3647.       0.2646039
           3647.4       0.2116602
           3647.8       0.1838403
           3648.2       0.1923057
           3648.6       0.2343642
            3649.       0.2503065
           3649.4       0.2380289
           3649.8       0.2323239
           3650.2       0.2518596
           3650.6       0.2817489
            3651.        0.293874
           3651.4       0.2820861
           3651.8       0.2867069
           3652.2       0.3297136
           3652.6         0.37072
            3653.       0.3723144
           3653.4       0.3462664
           3653.8       0.3337334
           3654.2       0.3453101
           3654.6       0.3462978
            3655.       0.3308215
           3655.4       0.3215647
           3655.8       0.3336026
           3656.2       0.3596653
           3656.6       0.3819278
            3657.       0.3919674
           3657.4       0.3844472
           3657.8       0.3708434
           3658.2       0.3836035
           3658.6       0.4216511
            3659.       0.4427391
           3659.4       0.4162762
           3659.8       0.3757534
           3660.2       0.3536267
           3660.6       0.3617088
            3661.       0.3817442
           3661.4       0.3912095
           3661.8       0.3804523
           3662.2       0.3618648
           3662.6       0.3479006
            3663.       0.3355856
           3663.4       0.3207048
           3663.8       0.3043635
           3664.2       0.2989333
           3664.6       0.3230767
            3665.       0.3677152
           3665.4       0.3970422
           3665.8       0.3910699
           3666.2       0.3421603
           3666.6       0.3099002
            3667.       0.3246717
           3667.4       0.3584707
           3667.8       0.3726983
           3668.2       0.3547812
           3668.6       0.3169689
            3669.       0.2768229
           3669.4       0.2601859
           3669.8       0.2676031
           3670.2       0.2815771
           3670.6        0.303064
            3671.       0.3332542
           3671.4       0.3604243
           3671.8       0.3901042
           3672.2       0.4009134
           3672.6       0.3959535
            3673.       0.3821736
           3673.4       0.3567702
           3673.8       0.3387951
           3674.2       0.3436264
           3674.6       0.3674175
            3675.       0.3899408
           3675.4       0.4119477
           3675.8        0.402322
           3676.2        0.371931
           3676.6       0.3413561
            3677.        0.310642
           3677.4        0.281824
           3677.8       0.2763873
           3678.2       0.3018804
           3678.6       0.3288473
            3679.       0.3184763
           3679.4       0.2727825
           3679.8        0.240676
           3680.2       0.2494571
           3680.6       0.2806232
            3681.       0.3213112
           3681.4       0.3502166
           3681.8       0.3483471
           3682.2       0.3335349
           3682.6       0.3314418
            3683.       0.3454985
           3683.4        0.368699
           3683.8       0.3828899
           3684.2       0.3728101
           3684.6       0.3441259
            3685.       0.3060975
           3685.4       0.2761037
           3685.8       0.2730453
           3686.2       0.2846758
           3686.6       0.2732832
            3687.       0.2366825
           3687.4       0.2036067
           3687.8       0.2111605
           3688.2       0.2474801
           3688.6       0.2866273
            3689.       0.3062664
           3689.4       0.3162163
           3689.8        0.341232
           3690.2       0.3635643
           3690.6       0.3866602
            3691.       0.4079095
           3691.4       0.4217112
           3691.8       0.4318048
           3692.2       0.4291549
           3692.6       0.3976284
            3693.       0.3615397
           3693.4       0.3303123
           3693.8       0.3035987
           3694.2       0.3034917
           3694.6       0.3378615
            3695.       0.3654109
           3695.4       0.3566983
           3695.8        0.340024
           3696.2       0.3224325
           3696.6       0.3105852
            3697.        0.314671
           3697.4       0.3290134
           3697.8       0.3494027
           3698.2       0.3732536
           3698.6       0.4082263
            3699.       0.4394253
           3699.4        0.456594
           3699.8       0.4591569
           3700.2       0.4435181
           3700.6       0.4241755
            3701.       0.4136024
           3701.4       0.4120191
           3701.8       0.4121407
           3702.2        0.409567
           3702.6       0.4006063
            3703.       0.3870457
           3703.4       0.3325133
           3703.8       0.2740906
           3704.2        0.253621
           3704.6       0.2578334
            3705.       0.2510856
           3705.4       0.2216248
           3705.8       0.2085882
           3706.2       0.2475572
           3706.6        0.303748
            3707.       0.3088558
           3707.4       0.2695072
           3707.8       0.2493745
           3708.2       0.2632954
           3708.6       0.2604665
            3709.       0.2294781
           3709.4       0.2185311
           3709.8       0.2616265
           3710.2       0.3266687
           3710.6        0.365011
            3711.        0.366674
           3711.4       0.3500565
           3711.8        0.347391
           3712.2       0.3609542
           3712.6       0.3859764
            3713.       0.4158981
           3713.4       0.4407231
           3713.8       0.4797533
           3714.2       0.5001541
           3714.6       0.4869632
            3715.       0.4435428
           3715.4       0.4024215
           3715.8        0.388897
           3716.2       0.3929841
           3716.6       0.4151726
            3717.       0.4275862
           3717.4       0.4238265
           3717.8       0.3958459
           3718.2       0.3507671
           3718.6       0.3110087
            3719.       0.2634259
           3719.4       0.2083638
           3719.8       0.1596964
           3720.2       0.1547812
           3720.6       0.1789046
            3721.       0.1913728
           3721.4       0.1855434
           3721.8       0.1669012
           3722.2       0.1738051
           3722.6       0.2070219
            3723.        0.260922
           3723.4       0.3177081
           3723.8       0.3318861
           3724.2       0.3219483
           3724.6       0.3164588
            3725.       0.3376081
           3725.4       0.3898246
           3725.8       0.4404259
           3726.2       0.4440079
           3726.6       0.3841709
            3727.       0.2878579
           3727.4       0.2129336
           3727.8       0.2044106
           3728.2       0.2472692
           3728.6       0.3142534
            3729.        0.367894
           3729.4        0.393204
           3729.8       0.3746625
           3730.2       0.3239696
           3730.6       0.2827989
            3731.       0.2774175
           3731.4       0.2955979
           3731.8        0.303901
           3732.2       0.2864268
           3732.6       0.2563267
            3733.       0.2215762
           3733.4       0.1911236
           3733.8       0.1725642
           3734.2       0.1518386
           3734.6       0.1177976
            3735.       0.1033361
           3735.4       0.1200283
           3735.8        0.155496
           3736.2       0.1778787
           3736.6       0.1633901
            3737.       0.1415697
           3737.4       0.1547015
           3737.8       0.2014297
           3738.2        0.259724
           3738.6       0.2972823
            3739.        0.308867
           3739.4       0.3043741
           3739.8       0.3228208
           3740.2       0.3663179
           3740.6       0.3991437
            3741.        0.391047
           3741.4        0.353165
           3741.8       0.3279549
           3742.2       0.3264834
           3742.6        0.308997
            3743.       0.2591387
           3743.4       0.2198568
           3743.8       0.2236859
           3744.2       0.2595161
           3744.6       0.2912164
            3745.       0.2601043
           3745.4         0.19521
           3745.8       0.1571833
           3746.2        0.173307
           3746.6       0.2162379
            3747.       0.2486731
           3747.4       0.2516817
           3747.8       0.2173175
           3748.2       0.1652577
           3748.6       0.1284945
            3749.       0.1090363
           3749.4       0.1019959
           3749.8       0.1231681
           3750.2       0.1689273
           3750.6       0.2204657
            3751.       0.2699833
           3751.4       0.3071961
           3751.8       0.3318294
           3752.2       0.3404326
           3752.6       0.3255804
            3753.       0.3121362
           3753.4       0.3308403
           3753.8       0.3698666
           3754.2        0.406639
           3754.6       0.4205795
            3755.       0.4296311
           3755.4       0.4362475
           3755.8       0.4313738
           3756.2       0.4148907
           3756.6        0.383718
            3757.       0.3204001
           3757.4       0.2386662
           3757.8       0.1711724
           3758.2       0.1385117
           3758.6       0.1458212
            3759.       0.1698418
           3759.4       0.2035757
           3759.8       0.2472032
           3760.2       0.2692968
           3760.6       0.2826733
            3761.        0.275858
           3761.4        0.266112
           3761.8        0.284774
           3762.2       0.3073706
           3762.6       0.3106525
            3763.       0.2867922
           3763.4       0.2311163
           3763.8       0.1934779
           3764.2       0.2251866
           3764.6       0.2923687
            3765.       0.3500961
           3765.4       0.3523048
           3765.8       0.3169439
           3766.2       0.2772953
           3766.6       0.2298785
            3767.       0.1939612
           3767.4       0.1912237
           3767.8       0.2252256
           3768.2       0.2780344
           3768.6       0.3260621
            3769.         0.35956
           3769.4       0.3630132
           3769.8       0.3283623
           3770.2       0.2885865
           3770.6       0.2745599
            3771.       0.2949769
           3771.4       0.3198943
           3771.8        0.337136
           3772.2       0.3620057
           3772.6       0.3849382
            3773.       0.3920497
           3773.4       0.3796197
           3773.8       0.3601476
           3774.2       0.3483128
           3774.6       0.3433624
            3775.       0.3509412
           3775.4       0.3444397
           3775.8        0.329054
           3776.2       0.3296659
           3776.6       0.3600023
            3777.       0.3774414
           3777.4       0.3574744
           3777.8       0.3220781
           3778.2       0.3083113
           3778.6       0.3173656
            3779.       0.3359343
           3779.4       0.3609519
           3779.8       0.3856514
           3780.2       0.4078369
           3780.6       0.4065521
            3781.       0.3899101
           3781.4       0.3676468
           3781.8       0.3499842
           3782.2       0.3454907
           3782.6       0.3678531
            3783.       0.3869841
           3783.4       0.3790826
           3783.8       0.3789102
