#K OBJECT   '81192'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 81192
#K OBJRA    09:24:45.34
#K OBJDEC   +19:47:11.9
#K OBJBMAG  7.455000E+00
#K OBJVMAG  6.539000E+00
#K SPTYPE   G7III
#K OBJRV    1.353000E+02
#K HDNAME   HD 81192
#K BDNAME   BD+20 2318
#K HIPNAME  HIP 46155
#K SAONAME  SAO 80809
#K VHELIO   -2.54827168313698E+00
#K VLSR     -9.58901380292604E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434176E+03
#K CMAX1    4.761859E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4582  1986A&A...161..314C (Cottrell)
#K LOGG     2.750000E+00  1986A&A...161..314C (Cottrell)
#K FEH      -7.000000E-01  1986A&A...161..314C (Cottrell)
#K COVERAGE 3465.0-9440.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2324698
           3465.4       0.1998407
           3465.8        0.168772
           3466.2        0.163051
           3466.6       0.1786508
            3467.       0.1978775
           3467.4       0.2165995
           3467.8       0.2318006
           3468.2       0.2413154
           3468.6       0.2361283
            3469.       0.2243113
           3469.4       0.2231152
           3469.8       0.2350808
           3470.2       0.2520372
           3470.6       0.2608251
            3471.       0.2508551
           3471.4       0.2313317
           3471.8       0.2132362
           3472.2       0.1943447
           3472.6       0.1892383
            3473.       0.1853141
           3473.4       0.1804461
           3473.8       0.1687383
           3474.2        0.158869
           3474.6       0.1515617
            3475.       0.1386273
           3475.4       0.1257662
           3475.8       0.1203705
           3476.2       0.1216981
           3476.6       0.1229299
            3477.       0.1277995
           3477.4       0.1507758
           3477.8       0.1775415
           3478.2       0.1933562
           3478.6       0.1974008
            3479.       0.1992545
           3479.4       0.1971046
           3479.8       0.1924613
           3480.2       0.1961665
           3480.6       0.2017439
            3481.       0.2046075
           3481.4       0.2146516
           3481.8       0.2195989
           3482.2       0.2189121
           3482.6       0.2071893
            3483.       0.1865522
           3483.4       0.1721212
           3483.8       0.1708408
           3484.2       0.1823077
           3484.6       0.1882033
            3485.       0.1848175
           3485.4       0.1863476
           3485.8       0.2000985
           3486.2       0.2225289
           3486.6       0.2439744
            3487.       0.2562177
           3487.4       0.2579724
           3487.8       0.2489931
           3488.2       0.2341011
           3488.6       0.2129192
            3489.       0.1891034
           3489.4       0.1710814
           3489.8       0.1534648
           3490.2       0.1340003
           3490.6       0.1216335
            3491.       0.1314908
           3491.4        0.160079
           3491.8       0.1805724
           3492.2       0.1786996
           3492.6       0.1568055
            3493.       0.1378722
           3493.4       0.1449054
           3493.8       0.1760532
           3494.2       0.2016384
           3494.6       0.2075791
            3495.       0.2009545
           3495.4       0.1825459
           3495.8       0.1606683
           3496.2       0.1474264
           3496.6        0.142793
            3497.       0.1414771
           3497.4       0.1420482
           3497.8        0.150474
           3498.2       0.1696183
           3498.6       0.2016163
            3499.        0.232603
           3499.4       0.2479103
           3499.8       0.2487262
           3500.2       0.2390888
           3500.6       0.2270591
            3501.       0.2304282
           3501.4       0.2386876
           3501.8       0.2330896
           3502.2       0.2230661
           3502.6       0.2258329
            3503.       0.2509256
           3503.4       0.2779298
           3503.8       0.2871439
           3504.2        0.271349
           3504.6       0.2370007
            3505.        0.210245
           3505.4       0.2031694
           3505.8       0.1990919
           3506.2       0.1949363
           3506.6        0.198008
            3507.        0.208236
           3507.4       0.2258243
           3507.8       0.2420873
           3508.2       0.2476396
           3508.6       0.2522514
            3509.        0.242449
           3509.4       0.2227968
           3509.8       0.1953269
           3510.2       0.1714201
           3510.6       0.1732256
            3511.       0.1993769
           3511.4       0.2191763
           3511.8       0.2175675
           3512.2       0.2034994
           3512.6        0.189457
            3513.        0.178331
           3513.4       0.1643904
           3513.8       0.1534671
           3514.2       0.1481223
           3514.6       0.1463135
            3515.       0.1457422
           3515.4       0.1641414
           3515.8       0.1963162
           3516.2       0.2232737
           3516.6       0.2370071
            3517.       0.2506388
           3517.4       0.2688929
           3517.8       0.2770392
           3518.2       0.2666022
