#K OBJECT   '8207'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 8207
#K OBJRA    01:22:20.42
#K OBJDEC   +45:31:43.6
#K OBJBMAG  5.953000E+00
#K OBJVMAG  4.875000E+00
#K SPTYPE   K0III
#K OBJRV    -1.170000E+01
#K HDNAME   HD 8207
#K BDNAME   BD+44 287
#K HIPNAME  HIP 6411
#K SAONAME  SAO 37155
#K VHELIO   4.53457397674188E+00
#K VLSR     7.59506037718655E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449796E+03
#K CMAX1    4.775447E+03
#K PICKTYPE K0III
#K NCOMBINE 6
#K TEFF     4630  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.950000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      3.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2106424
           3465.4         0.17375
           3465.8       0.1395883
           3466.2       0.1344338
           3466.6        0.150429
            3467.       0.1692479
           3467.4       0.1889535
           3467.8       0.2099356
           3468.2       0.2217798
           3468.6       0.2199966
            3469.       0.2089817
           3469.4       0.2089605
           3469.8       0.2342711
           3470.2       0.2599083
           3470.6        0.265066
            3471.       0.2484778
           3471.4       0.2266477
           3471.8       0.1986601
           3472.2       0.1743081
           3472.6       0.1682337
            3473.        0.171128
           3473.4       0.1698992
           3473.8       0.1593931
           3474.2       0.1466279
           3474.6       0.1338443
            3475.       0.1193419
           3475.4       0.1098142
           3475.8        0.103632
           3476.2       0.1071094
           3476.6       0.1052072
            3477.       0.1252246
           3477.4       0.1494324
           3477.8       0.1739166
           3478.2       0.1941697
           3478.6       0.2040264
            3479.       0.2047558
           3479.4       0.1987278
           3479.8        0.190339
           3480.2       0.1848002
           3480.6       0.1848182
            3481.       0.1898848
           3481.4       0.1954721
           3481.8       0.2089461
           3482.2       0.2001554
           3482.6       0.1782027
            3483.       0.1570815
           3483.4       0.1462994
           3483.8       0.1580039
           3484.2       0.1730009
           3484.6       0.1761189
            3485.       0.1663081
           3485.4       0.1598439
           3485.8       0.1740992
           3486.2       0.1943032
           3486.6       0.2324123
            3487.       0.2591893
           3487.4       0.2660971
           3487.8       0.2587092
           3488.2       0.2253943
           3488.6       0.1927201
            3489.        0.162396
           3489.4       0.1441566
           3489.8       0.1353582
           3490.2       0.1197788
           3490.6       0.1123858
            3491.       0.1261425
           3491.4       0.1467982
           3491.8       0.1630334
           3492.2       0.1569942
           3492.6       0.1381964
            3493.       0.1291465
           3493.4       0.1451844
           3493.8       0.1767221
           3494.2       0.2131094
           3494.6       0.2270158
            3495.       0.2177536
           3495.4       0.1993355
           3495.8       0.1717703
           3496.2       0.1479559
           3496.6       0.1377592
            3497.       0.1293408
           3497.4       0.1272388
           3497.8       0.1341537
           3498.2       0.1644955
           3498.6       0.2062034
            3499.       0.2547213
           3499.4       0.2842839
           3499.8       0.2875002
           3500.2       0.2711706
           3500.6       0.2532316
            3501.       0.2551871
           3501.4       0.2639821
           3501.8       0.2552713
           3502.2       0.2416421
           3502.6       0.2460028
            3503.       0.2823202
           3503.4       0.3215072
           3503.8       0.3404073
           3504.2       0.3315929
           3504.6        0.279636
            3505.       0.2382697
           3505.4        0.229823
           3505.8       0.2227256
           3506.2       0.2097666
           3506.6       0.2076718
            3507.       0.2241215
           3507.4       0.2489888
           3507.8       0.2657452
           3508.2       0.2742347
           3508.6       0.2691619
            3509.       0.2525113
           3509.4       0.2254761
           3509.8        0.189106
           3510.2       0.1648014
           3510.6       0.1720461
            3511.       0.2002396
           3511.4       0.2179625
           3511.8       0.2155805
           3512.2       0.2036796
           3512.6       0.1833516
            3513.       0.1641766
           3513.4       0.1443853
           3513.8       0.1294374
           3514.2        0.124905
           3514.6        0.119858
            3515.        0.125106
           3515.4       0.1541852
           3515.8       0.1915085
           3516.2       0.2249093
           3516.6       0.2513299
            3517.       0.2764335
           3517.4       0.3075682
           3517.8       0.3237129
           3518.2       0.3135329
           3518.6       0.2991744
            3519.        0.283716
           3519.4       0.2634431
           3519.8       0.2378837
           3520.2       0.2131369
           3520.6       0.2029674
            3521.       0.1809453
           3521.4       0.1593532
           3521.8       0.1630678
           3522.2       0.1755617
           3522.6       0.1774505
            3523.       0.1626217
           3523.4       0.1398202
           3523.8       0.1190991
           3524.2       0.1003498
           3524.6      0.09573307
            3525.       0.1043119
           3525.4       0.1164634
           3525.8       0.1153775
           3526.2       0.1044242
           3526.6       0.1166931
            3527.       0.1579477
           3527.4       0.1958128
           3527.8       0.2152146
           3528.2       0.2319039
           3528.6       0.2542263
            3529.       0.2635863
           3529.4       0.2476109
           3529.8       0.2354464
           3530.2       0.2317156
           3530.6       0.2380998
            3531.       0.2395555
           3531.4       0.2173424
           3531.8       0.1952578
           3532.2       0.1831553
           3532.6       0.1727353
            3533.       0.1748719
           3533.4       0.1954951
           3533.8       0.2287748
           3534.2       0.2599382
           3534.6       0.2684799
            3535.       0.2640732
           3535.4       0.2512125
           3535.8       0.2469334
           3536.2       0.2523736
           3536.6       0.2458614
            3537.       0.2361379
           3537.4       0.2305246
           3537.8       0.2180223
           3538.2       0.2168889
           3538.6       0.2434939
            3539.       0.2727343
           3539.4       0.2945416
           3539.8       0.2962685
           3540.2       0.2719105
           3540.6       0.2456392
            3541.       0.2292973
           3541.4       0.2284174
           3541.8       0.2211304
           3542.2       0.2118043
           3542.6       0.2127209
            3543.       0.2162769
           3543.4       0.2266414
           3543.8       0.2467294
           3544.2       0.2622398
           3544.6       0.2722993
            3545.       0.2645501
           3545.4       0.2503566
           3545.8       0.2406719
           3546.2       0.2423109
           3546.6        0.234797
            3547.       0.2233023
           3547.4       0.2010911
           3547.8       0.1772467
           3548.2       0.1813648
           3548.6       0.2060351
            3549.       0.2322326
           3549.4       0.2519572
           3549.8       0.2432206
           3550.2        0.225163
           3550.6       0.2046151
            3551.       0.1931384
           3551.4       0.1961761
           3551.8       0.2025631
           3552.2       0.2070438
           3552.6       0.2039296
            3553.        0.183813
           3553.4       0.1683202
           3553.8       0.1637621
           3554.2       0.1576123
           3554.6       0.1589178
            3555.       0.1720653
           3555.4       0.2059188
           3555.8       0.2255513
           3556.2       0.2196698
           3556.6       0.1976614
            3557.       0.1939472
           3557.4       0.1982477
           3557.8       0.1905547
           3558.2       0.1645432
           3558.6       0.1434533
            3559.       0.1476305
           3559.4       0.1631164
           3559.8       0.1724185
           3560.2       0.1745222
           3560.6       0.1728664
            3561.       0.1699903
           3561.4       0.1685304
           3561.8       0.1726047
           3562.2       0.1849581
           3562.6       0.2044934
            3563.       0.2274639
           3563.4       0.2391821
           3563.8        0.230211
           3564.2       0.2006477
           3564.6       0.1537938
            3565.        0.109342
           3565.4      0.08723581
           3565.8      0.08028445
           3566.2      0.08931066
           3566.6       0.1079861
            3567.       0.1299939
           3567.4       0.1547382
           3567.8       0.1629624
           3568.2       0.1601839
           3568.6       0.1478646
            3569.       0.1219875
           3569.4      0.09213868
           3569.8      0.07459612
           3570.2      0.07321154
           3570.6      0.08797037
            3571.       0.1149542
           3571.4       0.1226221
           3571.8       0.1290993
           3572.2       0.1423515
           3572.6       0.1703365
            3573.       0.1937325
           3573.4       0.1965569
           3573.8       0.1830162
           3574.2       0.1807885
           3574.6       0.1811807
            3575.       0.1766295
           3575.4         0.17852
           3575.8       0.1773407
           3576.2       0.1830456
           3576.6        0.192539
            3577.       0.1905986
           3577.4       0.1731373
           3577.8       0.1478327
           3578.2       0.1199021
           3578.6       0.0972774
            3579.      0.09889062
           3579.4       0.1044545
           3579.8       0.1016367
           3580.2      0.09380878
           3580.6      0.07638368
            3581.      0.05825633
           3581.4      0.05194031
           3581.8       0.0595822
           3582.2      0.06932077
           3582.6      0.08627337
            3583.      0.09913042
           3583.4       0.1045297
           3583.8       0.1065203
           3584.2      0.09913979
           3584.6      0.08552644
            3585.      0.07181749
           3585.4      0.06515511
           3585.8      0.07023319
           3586.2      0.07763874
           3586.6      0.08014742
            3587.      0.08014587
           3587.4      0.08048405
           3587.8      0.09578987
           3588.2       0.1053971
           3588.6       0.1048542
            3589.       0.1003661
           3589.4      0.09664175
           3589.8      0.09964882
           3590.2        0.120563
           3590.6       0.1610371
            3591.       0.2048547
           3591.4       0.2355933
           3591.8       0.2466976
           3592.2       0.2364645
           3592.6       0.2099591
            3593.       0.1708597
           3593.4       0.1453173
           3593.8       0.1468466
           3594.2       0.1724218
           3594.6       0.1918363
            3595.       0.2071504
           3595.4       0.2206718
           3595.8       0.2442149
           3596.2       0.2809814
           3596.6       0.3095049
            3597.       0.3156118
           3597.4       0.2875897
           3597.8       0.2603633
           3598.2       0.2713484
           3598.6       0.2834674
            3599.       0.2863804
           3599.4       0.2878607
           3599.8       0.3070288
           3600.2       0.3322583
           3600.6       0.3434547
            3601.       0.3367475
           3601.4       0.3052361
           3601.8       0.2463456
           3602.2       0.1949349
           3602.6       0.1884768
            3603.       0.2049397
           3603.4       0.2110958
           3603.8       0.2069868
           3604.2       0.2015059
           3604.6       0.1910851
            3605.        0.167433
           3605.4       0.1487081
           3605.8        0.158884
           3606.2       0.1878326
           3606.6       0.2106344
            3607.       0.2273464
           3607.4       0.2359025
           3607.8       0.2090734
           3608.2        0.153035
           3608.6       0.1079519
            3609.      0.09193487
           3609.4       0.0995108
           3609.8       0.1146527
           3610.2       0.1262857
           3610.6       0.1457777
            3611.       0.1815847
           3611.4       0.2222482
           3611.8       0.2447865
           3612.2       0.2424294
           3612.6       0.2225615
            3613.       0.1946958
           3613.4       0.1806707
           3613.8       0.1852541
           3614.2       0.2158042
           3614.6       0.2458515
            3615.       0.2760286
           3615.4       0.2957023
           3615.8       0.3002523
           3616.2       0.2936976
           3616.6       0.2813343
            3617.       0.2554968
           3617.4       0.2072383
           3617.8       0.1539575
           3618.2        0.115699
           3618.6      0.08654773
            3619.      0.06973084
           3619.4      0.07818694
           3619.8       0.1081781
           3620.2       0.1494555
           3620.6       0.1801671
            3621.       0.1916999
           3621.4       0.2014831
           3621.8       0.2304195
           3622.2       0.2711679
           3622.6       0.3009478
            3623.       0.2954813
           3623.4       0.2579536
           3623.8       0.2328949
           3624.2       0.2273223
           3624.6       0.2405322
            3625.       0.2736186
           3625.4       0.3101285
           3625.8       0.3580559
           3626.2       0.3862289
           3626.6       0.3906461
            3627.        0.381305
           3627.4       0.3616107
           3627.8       0.3416437
           3628.2       0.3318965
           3628.6       0.3353295
            3629.       0.3468478
           3629.4       0.3439873
           3629.8       0.3013157
           3630.2       0.2452121
           3630.6       0.1757624
            3631.       0.1162108
           3631.4      0.08909334
           3631.8       0.1001159
           3632.2       0.1358766
           3632.6       0.1659691
            3633.       0.1850131
           3633.4       0.2051011
           3633.8        0.216573
           3634.2       0.2083112
           3634.6       0.1900591
            3635.       0.1886841
           3635.4       0.2143823
           3635.8       0.2568966
           3636.2       0.2750707
           3636.6       0.2600417
            3637.        0.256599
           3637.4       0.2680947
           3637.8       0.2723682
           3638.2       0.2879194
           3638.6       0.3256976
            3639.        0.350011
           3639.4       0.3440987
           3639.8        0.335329
           3640.2       0.3421036
           3640.6       0.3516416
            3641.       0.3503754
           3641.4       0.3227635
           3641.8       0.3059943
           3642.2       0.3015977
           3642.6       0.2865948
            3643.       0.2824685
           3643.4       0.2924794
           3643.8       0.2982781
           3644.2       0.2892132
           3644.6       0.2499468
            3645.        0.205402
           3645.4       0.1900442
           3645.8       0.2102117
           3646.2        0.240577
           3646.6       0.2377571
            3647.       0.2036653
           3647.4       0.1525513
           3647.8       0.1169508
           3648.2       0.1208605
           3648.6       0.1480165
            3649.       0.1716356
           3649.4       0.1826586
           3649.8       0.1920415
           3650.2       0.2194845
           3650.6       0.2556975
            3651.        0.272462
           3651.4       0.2529133
           3651.8       0.2556967
           3652.2        0.297089
           3652.6       0.3441318
            3653.       0.3523477
           3653.4       0.3291689
           3653.8       0.3146833
           3654.2       0.3186474
           3654.6       0.3243128
            3655.       0.3204269
           3655.4       0.3116021
           3655.8       0.3205922
           3656.2       0.3514813
           3656.6       0.3801247
            3657.       0.3885377
           3657.4         0.37644
           3657.8       0.3623264
           3658.2       0.3752717
           3658.6       0.4211943
            3659.       0.4456032
           3659.4       0.4256488
           3659.8       0.3901598
           3660.2       0.3630433
           3660.6       0.3664429
            3661.       0.3859083
           3661.4        0.397069
           3661.8       0.3879665
           3662.2       0.3638147
           3662.6       0.3440767
            3663.       0.3225104
           3663.4       0.3016778
           3663.8       0.2868561
           3664.2       0.2853687
           3664.6       0.3031721
            3665.       0.3500434
           3665.4       0.3977384
           3665.8       0.3843166
           3666.2       0.3270986
           3666.6       0.2852426
            3667.       0.3046127
           3667.4       0.3469274
           3667.8       0.3671595
           3668.2       0.3419395
           3668.6        0.299897
            3669.       0.2630045
           3669.4       0.2333968
           3669.8       0.2279327
           3670.2       0.2455893
           3670.6       0.2683358
            3671.       0.3022073
           3671.4       0.3435257
           3671.8       0.3757683
           3672.2       0.3897846
           3672.6       0.3859951
            3673.       0.3624649
           3673.4       0.3396849
           3673.8       0.3218396
           3674.2       0.3215717
           3674.6       0.3442033
            3675.        0.379557
           3675.4       0.3991423
           3675.8        0.387301
           3676.2       0.3604474
           3676.6       0.3260065
            3677.       0.2907226
           3677.4       0.2559298
           3677.8       0.2428301
           3678.2       0.2669306
           3678.6       0.2950318
            3679.       0.2805451
           3679.4       0.2309089
           3679.8       0.1883521
           3680.2       0.1829435
           3680.6        0.214089
            3681.       0.2630102
           3681.4       0.3051165
           3681.8       0.3166443
           3682.2       0.3021833
           3682.6       0.2924396
            3683.       0.3050548
           3683.4       0.3287282
           3683.8        0.349239
           3684.2       0.3460659
           3684.6       0.3242143
            3685.       0.2814834
           3685.4       0.2413092
           3685.8       0.2333587
           3686.2       0.2354748
           3686.6       0.2173895
            3687.       0.1834039
           3687.4       0.1486393
           3687.8       0.1454806
           3688.2       0.1795011
           3688.6       0.2254916
            3689.       0.2537035
           3689.4       0.2679923
           3689.8       0.2901932
           3690.2       0.3214792
           3690.6       0.3536687
            3691.       0.3888927
           3691.4       0.4207747
           3691.8       0.4316742
           3692.2       0.4151506
           3692.6       0.3765598
