#K OBJECT   '82621'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 82621
#K OBJRA    09:34:49.43
#K OBJDEC   +52:03:05.3
#K OBJBMAG  4.524000E+00
#K OBJVMAG  4.479000E+00
#K SPTYPE   A2V
#K OBJRV    2.310000E+01
#K HDNAME   HD 82621
#K BDNAME   BD+52 1402
#K HIPNAME  HIP 47006
#K SAONAME  SAO 27298
#K VHELIO   -7.91502676270854E+00
#K VLSR     -6.47584603490999E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679482E+03
#K CMAX1    6.009552E+03
#K PICKTYPE A2V
#K NCOMBINE 4
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6010.2-6790.2,8127.0-8136.2

#      wavelength        spectrum
#       angstroms                

            3465.        0.857573
           3465.4       0.8598968
           3465.8       0.8648506
           3466.2       0.8599859
           3466.6       0.8688199
            3467.          0.8626
           3467.4       0.8788618
           3467.8       0.8723353
           3468.2       0.8726762
           3468.6       0.8708136
            3469.       0.8671772
           3469.4       0.8714313
           3469.8       0.8628592
           3470.2       0.8579798
           3470.6       0.8649453
            3471.       0.8675827
           3471.4       0.8609823
           3471.8       0.8476339
           3472.2       0.8483934
           3472.6       0.8347472
            3473.       0.8299484
           3473.4       0.8251418
           3473.8       0.8206269
           3474.2       0.8189616
           3474.6       0.8122741
            3475.       0.8039708
           3475.4       0.8121057
           3475.8       0.8162182
           3476.2       0.8130562
           3476.6       0.8217986
            3477.       0.8300101
           3477.4       0.8394533
           3477.8        0.837559
           3478.2        0.850814
           3478.6       0.8596407
            3479.       0.8481337
           3479.4       0.8544179
           3479.8       0.8517216
           3480.2        0.851016
           3480.6       0.8586857
            3481.       0.8574612
           3481.4       0.8428234
           3481.8       0.8299424
           3482.2       0.8339073
           3482.6       0.8382424
            3483.       0.8362646
           3483.4        0.840759
           3483.8       0.8424911
           3484.2       0.8457626
