#K OBJECT   '82635'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 82635
#K OBJRA    09:34:13.38
#K OBJDEC   +36:23:51.2
#K OBJBMAG  5.470000E+00
#K OBJVMAG  4.600000E+00
#K SPTYPE   G8III
#K OBJRV    -1.170000E+01
#K HDNAME   HD 82635
#K BDNAME   BD+37 2004
#K HIPNAME  HIP 46952
#K SAONAME  SAO 61570
#K VHELIO   9.21712612323245E+00
#K VLSR     6.68312290299936E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678735E+03
#K CMAX1    6.005604E+03
#K PICKTYPE G8III
#K NCOMBINE 2
#K TEFF     4960  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.000000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.500000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-6005.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.2373018
           3465.4        0.208245
           3465.8       0.1793831
           3466.2       0.1719523
           3466.6       0.1816361
            3467.       0.1967299
           3467.4       0.2123486
           3467.8       0.2280168
           3468.2       0.2319814
           3468.6       0.2280837
            3469.       0.2243408
           3469.4       0.2325062
           3469.8       0.2484848
           3470.2       0.2638786
           3470.6       0.2732093
            3471.       0.2676055
           3471.4       0.2440623
           3471.8       0.2181196
           3472.2       0.2026297
           3472.6       0.1938973
            3473.       0.1943536
           3473.4       0.1951442
           3473.8       0.1803584
           3474.2       0.1692118
           3474.6       0.1639643
            3475.       0.1509609
           3475.4       0.1429702
           3475.8       0.1405524
           3476.2       0.1353496
           3476.6       0.1349597
            3477.       0.1469859
           3477.4       0.1702747
           3477.8       0.1942907
           3478.2        0.204182
           3478.6       0.2110808
            3479.       0.2121997
           3479.4       0.2044816
           3479.8       0.2092825
           3480.2       0.2003137
           3480.6       0.1984427
            3481.       0.2058759
           3481.4       0.2078839
           3481.8       0.2097079
           3482.2       0.2054149
           3482.6       0.1907132
            3483.       0.1786826
           3483.4        0.168354
           3483.8       0.1697129
           3484.2       0.1837008
           3484.6       0.1856142
            3485.       0.1824057
           3485.4       0.1737495
           3485.8       0.1874123
           3486.2       0.2173294
           3486.6       0.2399647
            3487.       0.2545563
           3487.4       0.2615438
           3487.8       0.2485817
           3488.2       0.2207029
           3488.6       0.1980725
            3489.       0.1805312
           3489.4       0.1656744
           3489.8       0.1531443
           3490.2       0.1478089
           3490.6       0.1425167
            3491.       0.1457386
           3491.4       0.1717456
           3491.8       0.1894105
           3492.2       0.1774146
           3492.6       0.1602731
            3493.       0.1557264
           3493.4       0.1661933
           3493.8       0.1949636
           3494.2       0.2211389
           3494.6       0.2272719
            3495.       0.2142179
           3495.4       0.1828289
           3495.8       0.1639943
           3496.2       0.1524539
           3496.6       0.1437441
            3497.       0.1417095
           3497.4       0.1404029
           3497.8       0.1545646
           3498.2       0.1832825
           3498.6       0.2149475
            3499.       0.2534134
           3499.4       0.2777125
           3499.8       0.2757132
           3500.2       0.2561157
           3500.6       0.2504577
            3501.       0.2632221
           3501.4       0.2690944
           3501.8       0.2553343
           3502.2       0.2456657
           3502.6       0.2578306
            3503.       0.2855291
           3503.4       0.3126839
           3503.8       0.3203217
           3504.2       0.2938654
           3504.6       0.2510607
            3505.       0.2277673
           3505.4       0.2162736
           3505.8       0.2110563
           3506.2       0.2119191
           3506.6       0.2145741
            3507.       0.2302758
           3507.4       0.2456815
           3507.8       0.2578815
           3508.2       0.2705509
           3508.6       0.2698162
            3509.       0.2549866
           3509.4       0.2351774
           3509.8       0.2080483
           3510.2       0.1902767
           3510.6       0.1956596
            3511.       0.2069959
           3511.4       0.2241266
           3511.8       0.2241839
           3512.2       0.2165284
           3512.6       0.2024622
            3513.       0.1854472
           3513.4       0.1730056
           3513.8       0.1658345
           3514.2       0.1627386
           3514.6       0.1629175
            3515.       0.1684456
           3515.4       0.1900468
           3515.8       0.2236354
           3516.2       0.2445047
           3516.6       0.2644997
            3517.       0.2787057
           3517.4       0.2928952
           3517.8       0.2981307
           3518.2       0.2955972
           3518.6       0.2861809
            3519.       0.2777396
           3519.4       0.2678398
           3519.8       0.2469545
           3520.2       0.2276799
           3520.6       0.2142228
            3521.       0.1947824
           3521.4       0.1881792
           3521.8       0.1911293
           3522.2       0.2049473
           3522.6       0.2066606
            3523.       0.1945098
           3523.4       0.1771012
           3523.8       0.1505705
           3524.2       0.1356038
           3524.6       0.1437714
            3525.       0.1585565
           3525.4       0.1574727
           3525.8       0.1399305
           3526.2       0.1314853
           3526.6       0.1424387
            3527.       0.1810365
           3527.4       0.2039408
           3527.8       0.2290928
           3528.2        0.250884
           3528.6       0.2656953
            3529.       0.2677879
           3529.4       0.2553329
           3529.8       0.2441959
           3530.2       0.2411083
           3530.6       0.2405774
            3531.       0.2388069
           3531.4       0.2290721
           3531.8       0.2134725
           3532.2       0.1986016
           3532.6       0.1889457
            3533.       0.1932425
           3533.4       0.2143061
           3533.8       0.2460024
           3534.2       0.2664259
           3534.6       0.2719228
            3535.       0.2682238
           3535.4       0.2581118
           3535.8       0.2512724
           3536.2       0.2520209
           3536.6       0.2517862
            3537.       0.2469206
           3537.4       0.2382113
           3537.8       0.2326087
           3538.2       0.2322488
           3538.6       0.2555957
            3539.       0.2911821
           3539.4       0.3106636
           3539.8       0.3048504
           3540.2       0.2824465
           3540.6       0.2543612
            3541.       0.2380386
           3541.4       0.2312043
           3541.8       0.2217163
           3542.2       0.2245217
           3542.6       0.2336729
            3543.       0.2414399
           3543.4        0.253731
           3543.8       0.2662222
           3544.2       0.2790579
           3544.6       0.2765902
            3545.       0.2629113
           3545.4       0.2517945
           3545.8       0.2531407
           3546.2        0.256253
           3546.6       0.2552409
            3547.        0.248772
           3547.4       0.2250977
           3547.8       0.2074083
           3548.2       0.2130286
           3548.6       0.2385391
            3549.       0.2622805
           3549.4       0.2662907
           3549.8       0.2644577
           3550.2       0.2542825
           3550.6        0.244223
            3551.       0.2374004
           3551.4       0.2265649
           3551.8         0.22177
           3552.2       0.2282762
           3552.6       0.2277956
            3553.       0.2156345
           3553.4       0.2036089
           3553.8       0.1939753
           3554.2       0.1843113
           3554.6       0.1883972
            3555.       0.2058612
           3555.4       0.2372667
           3555.8       0.2513447
           3556.2       0.2349184
