#K OBJECT   '82741'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 82741
#K OBJRA    09:35:03.83
#K OBJDEC   +39:37:17.4
#K OBJBMAG  5.795000E+00
#K OBJVMAG  4.815000E+00
#K SPTYPE   G9.5III
#K OBJRV    -1.190000E+01
#K HDNAME   HD 82741
#K BDNAME   BD+40 2224
#K HIPNAME  HIP 47029
#K SAONAME  SAO 61578
#K VHELIO   -5.59791845682455E+00
#K VLSR     -7.28515652474401E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680719E+03
#K CMAX1    6.010881E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4730  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.780000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.800000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.8-8137.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2328828
           3465.4       0.1912743
           3465.8       0.1624344
           3466.2       0.1599579
           3466.6       0.1765292
            3467.       0.2049184
           3467.4        0.217695
           3467.8       0.2353469
           3468.2        0.246205
           3468.6       0.2382458
            3469.       0.2337618
           3469.4       0.2393972
           3469.8       0.2559876
           3470.2       0.2805663
           3470.6       0.2869006
            3471.       0.2662002
           3471.4       0.2384944
           3471.8       0.2129498
           3472.2       0.1984145
           3472.6        0.188943
            3473.        0.191875
           3473.4       0.1866039
           3473.8       0.1709133
           3474.2       0.1628726
           3474.6       0.1574933
            3475.       0.1425692
           3475.4         0.12553
           3475.8        0.122458
           3476.2       0.1244272
           3476.6       0.1223734
            3477.       0.1389837
           3477.4       0.1722134
           3477.8       0.1969705
           3478.2       0.2121303
           3478.6       0.2157432
            3479.       0.2154146
           3479.4       0.2155624
           3479.8       0.2054792
           3480.2       0.1957131
           3480.6       0.1964996
            3481.       0.2069596
           3481.4       0.2161827
           3481.8       0.2176006
           3482.2       0.2138721
           3482.6       0.1948201
            3483.       0.1721714
           3483.4         0.15907
           3483.8       0.1707932
           3484.2       0.1863257
           3484.6        0.188016
            3485.       0.1738565
           3485.4       0.1739221
           3485.8       0.1940688
           3486.2       0.2274637
           3486.6       0.2603889
            3487.       0.2798495
           3487.4       0.2844743
           3487.8       0.2630177
           3488.2       0.2343704
           3488.6       0.2051591
            3489.       0.1813665
           3489.4       0.1653422
           3489.8       0.1512202
           3490.2       0.1307166
           3490.6       0.1231727
            3491.        0.142029
           3491.4       0.1744132
           3491.8       0.1904905
           3492.2       0.1782454
           3492.6       0.1558101
            3493.       0.1447815
           3493.4       0.1641632
           3493.8       0.2011821
           3494.2       0.2273703
           3494.6       0.2346741
            3495.       0.2205913
           3495.4       0.1965521
           3495.8       0.1706606
           3496.2       0.1526063
           3496.6       0.1457738
            3497.       0.1434057
           3497.4       0.1433834
           3497.8       0.1548513
           3498.2       0.1847374
           3498.6       0.2271498
            3499.       0.2707043
           3499.4        0.292415
           3499.8        0.286267
           3500.2       0.2683768
           3500.6       0.2606957
            3501.       0.2715062
           3501.4       0.2792552
           3501.8       0.2679877
           3502.2       0.2548834
           3502.6       0.2657205
            3503.       0.2998534
           3503.4       0.3360599
           3503.8       0.3495012
           3504.2       0.3174933
           3504.6       0.2677203
            3505.       0.2338077
           3505.4       0.2281907
           3505.8       0.2281631
           3506.2       0.2183977
           3506.6       0.2205214
            3507.       0.2365786
           3507.4       0.2592176
           3507.8       0.2802419
           3508.2        0.285383
           3508.6       0.2803058
            3509.       0.2695579
           3509.4       0.2406443
           3509.8        0.204627
           3510.2       0.1803613
           3510.6        0.196873
            3511.       0.2249706
           3511.4       0.2393961
           3511.8       0.2324526
           3512.2       0.2136575
           3512.6       0.1976434
            3513.       0.1848008
           3513.4       0.1692125
           3513.8       0.1562828
           3514.2       0.1504186
           3514.6       0.1462059
            3515.       0.1538816
           3515.4       0.1793827
           3515.8       0.2211038
           3516.2       0.2511375
           3516.6       0.2741693
            3517.       0.2873819
           3517.4       0.3167615
           3517.8       0.3300969
           3518.2       0.3097844
           3518.6        0.298146
            3519.       0.2952295
           3519.4       0.2788599
           3519.8        0.253084
           3520.2       0.2321458
           3520.6       0.2217938
            3521.       0.1956024
           3521.4       0.1772171
           3521.8         0.18864
           3522.2       0.2041403
           3522.6       0.2022464
            3523.       0.1848785
           3523.4       0.1630591
           3523.8       0.1386012
           3524.2       0.1169011
           3524.6       0.1168543
            3525.        0.134224
           3525.4        0.144802
           3525.8       0.1341122
           3526.2       0.1186711
           3526.6       0.1341361
            3527.       0.1776115
           3527.4       0.2151063
           3527.8       0.2322362
           3528.2       0.2480308
           3528.6       0.2702394
            3529.       0.2765654
           3529.4       0.2633838
           3529.8       0.2527975
           3530.2       0.2495369
           3530.6       0.2536987
            3531.       0.2553336
           3531.4       0.2406644
           3531.8       0.2181028
           3532.2       0.2067695
           3532.6       0.2039621
            3533.       0.2058387
           3533.4       0.2233825
           3533.8       0.2545484
           3534.2        0.281482
           3534.6       0.2875668
            3535.       0.2771954
           3535.4       0.2701084
           3535.8       0.2652259
           3536.2        0.264897
           3536.6        0.267838
            3537.       0.2608508
           3537.4       0.2495814
           3537.8       0.2434683
           3538.2       0.2456099
           3538.6       0.2721168
            3539.       0.3098912
           3539.4       0.3290825
           3539.8        0.324726
           3540.2       0.3022604
           3540.6       0.2697591
            3541.       0.2477065
           3541.4        0.243031
           3541.8       0.2423039
           3542.2       0.2340475
           3542.6        0.235391
            3543.       0.2471707
           3543.4       0.2560288
           3543.8       0.2724224
           3544.2       0.2887969
           3544.6       0.2875912
            3545.       0.2743852
           3545.4       0.2599491
           3545.8       0.2553277
           3546.2       0.2655746
           3546.6       0.2658329
            3547.       0.2542886
           3547.4       0.2309212
           3547.8       0.2087096
           3548.2       0.2126059
           3548.6       0.2383037
            3549.       0.2683071
           3549.4       0.2816817
           3549.8       0.2724908
           3550.2       0.2567107
           3550.6       0.2471778
            3551.       0.2395605
           3551.4       0.2307345
           3551.8       0.2278641
           3552.2       0.2303518
           3552.6       0.2296218
            3553.       0.2045771
           3553.4       0.1957426
           3553.8       0.1931561
           3554.2       0.1895614
           3554.6       0.1912507
            3555.       0.2104435
           3555.4       0.2454886
           3555.8       0.2662905
           3556.2         0.25458
           3556.6       0.2319835
            3557.       0.2270159
           3557.4       0.2369403
           3557.8       0.2248705
           3558.2       0.1929186
           3558.6       0.1677591
            3559.       0.1757828
           3559.4       0.1965267
           3559.8       0.2064895
           3560.2       0.2077209
           3560.6        0.205548
            3561.       0.2017985
           3561.4       0.2001394
           3561.8       0.2041769
           3562.2       0.2217845
           3562.6       0.2503291
            3563.       0.2656495
           3563.4        0.275375
           3563.8       0.2627171
           3564.2       0.2239852
           3564.6       0.1741232
            3565.       0.1284043
           3565.4        0.103322
           3565.8      0.09712717
           3566.2       0.1056639
           3566.6       0.1313303
            3567.       0.1615516
           3567.4       0.1850273
           3567.8       0.1983952
           3568.2       0.1919389
           3568.6       0.1738949
            3569.       0.1456304
           3569.4       0.1110246
           3569.8      0.08890463
           3570.2      0.09577042
           3570.6       0.1197511
            3571.       0.1449844
           3571.4       0.1583511
           3571.8       0.1594905
           3572.2       0.1692845
           3572.6       0.1958913
            3573.       0.2180459
           3573.4       0.2142197
           3573.8       0.2100601
           3574.2       0.2060222
           3574.6       0.2102154
            3575.       0.2052046
           3575.4       0.2024434
           3575.8       0.2090606
           3576.2       0.2169605
           3576.6       0.2248845
            3577.       0.2242967
           3577.4        0.209174
           3577.8       0.1858966
           3578.2       0.1531462
           3578.6       0.1318775
            3579.       0.1345839
           3579.4        0.144235
           3579.8       0.1383414
           3580.2       0.1196394
           3580.6      0.08996344
            3581.      0.06680996
           3581.4       0.0606959
           3581.8      0.06980878
           3582.2      0.08860914
           3582.6       0.1087313
            3583.        0.121803
           3583.4       0.1255674
           3583.8       0.1294892
           3584.2       0.1250445
           3584.6       0.1040627
            3585.      0.08370131
           3585.4      0.07488528
           3585.8         0.08278
           3586.2      0.09731608
           3586.6       0.1020838
            3587.      0.09795746
           3587.4       0.1019516
           3587.8       0.1171079
           3588.2       0.1289041
           3588.6       0.1301257
            3589.       0.1232826
           3589.4       0.1184275
