#K OBJECT   '83506'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 83506
#K OBJRA    09:42:57.19
#K OBJDEC   +72:15:09.4
#K OBJBMAG  6.171000E+00
#K OBJVMAG  5.149000E+00
#K SPTYPE   K0III
#K OBJRV    -1.730000E+01
#K HDNAME   HD 83506
#K BDNAME   BD+72 466
#K HIPNAME  HIP 47654
#K SAONAME  SAO 6936
#K VHELIO   -8.73740793503249E+00
#K VLSR     -2.25633575615366E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680790E+03
#K CMAX1    6.010962E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4710  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.770000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      2.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8122.6-8137.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.2186409
           3465.4       0.1724113
           3465.8        0.148567
           3466.2       0.1503026
           3466.6        0.156894
            3467.       0.1622895
           3467.4       0.1911696
           3467.8       0.2111843
           3468.2       0.2128697
           3468.6       0.2110289
            3469.        0.195302
           3469.4       0.1890457
           3469.8       0.2172052
           3470.2       0.2466548
           3470.6       0.2722566
            3471.       0.2628557
           3471.4       0.2280912
           3471.8       0.2033791
           3472.2       0.1785138
           3472.6       0.1746472
            3473.       0.1790332
           3473.4        0.177668
           3473.8       0.1625477
           3474.2       0.1406588
           3474.6       0.1381572
            3475.       0.1393274
           3475.4       0.1194955
           3475.8       0.1076085
           3476.2        0.114025
           3476.6       0.1200769
            3477.        0.134552
           3477.4       0.1475866
           3477.8       0.1687008
           3478.2        0.180567
           3478.6       0.1871577
            3479.        0.187982
           3479.4       0.1831041
           3479.8       0.1742835
           3480.2       0.1642736
           3480.6       0.1710994
            3481.       0.1754957
           3481.4       0.1939583
           3481.8       0.1924482
           3482.2       0.1795353
           3482.6       0.1730678
            3483.        0.155307
           3483.4        0.140301
           3483.8       0.1447232
           3484.2       0.1619059
           3484.6       0.1633635
            3485.       0.1618644
           3485.4       0.1718859
           3485.8       0.1688348
           3486.2       0.1897231
           3486.6       0.2268193
            3487.       0.2517099
           3487.4       0.2585345
           3487.8       0.2489333
           3488.2       0.2149197
           3488.6        0.182519
            3489.       0.1591882
           3489.4       0.1405794
           3489.8       0.1424886
           3490.2       0.1350525
           3490.6       0.1114291
            3491.        0.129398
           3491.4       0.1619606
           3491.8       0.1771646
           3492.2       0.1785307
           3492.6       0.1514625
            3493.       0.1258973
           3493.4       0.1500661
           3493.8       0.1886094
           3494.2       0.2127506
           3494.6       0.2139719
            3495.       0.2009588
           3495.4       0.1755195
           3495.8       0.1505656
           3496.2       0.1395478
           3496.6       0.1247372
            3497.       0.1255019
           3497.4       0.1225724
           3497.8       0.1224538
           3498.2       0.1618623
           3498.6       0.2108801
            3499.       0.2422573
           3499.4       0.2775899
           3499.8       0.2829586
           3500.2       0.2617496
           3500.6       0.2514839
            3501.       0.2513382
           3501.4       0.2518623
           3501.8       0.2449078
           3502.2        0.230895
           3502.6       0.2373465
            3503.       0.2778903
           3503.4       0.3178462
           3503.8       0.3329739
           3504.2       0.3127007
           3504.6       0.2645889
            3505.       0.2274122
           3505.4       0.2124054
           3505.8       0.2107789
           3506.2       0.2091612
           3506.6       0.2020387
            3507.       0.2163904
           3507.4       0.2481514
           3507.8       0.2561955
           3508.2       0.2698716
           3508.6       0.2774736
            3509.       0.2580333
           3509.4       0.2087012
           3509.8       0.1791785
           3510.2       0.1546822
           3510.6       0.1634767
            3511.       0.1987239
           3511.4       0.2140907
           3511.8       0.2077742
           3512.2       0.1948297
           3512.6       0.1841583
            3513.       0.1667507
           3513.4       0.1582033
           3513.8       0.1419335
           3514.2        0.151594
           3514.6       0.1360218
            3515.       0.1402929
           3515.4       0.1646407
           3515.8       0.1877735
           3516.2       0.2236845
           3516.6         0.25757
            3517.       0.2741489
           3517.4       0.2928756
           3517.8       0.3089104
           3518.2       0.3073523
           3518.6       0.2950963
            3519.       0.2811049
           3519.4       0.2644215
           3519.8       0.2489554
           3520.2       0.2252133
           3520.6       0.2069558
            3521.       0.1864893
           3521.4       0.1707142
           3521.8       0.1723542
           3522.2       0.1800828
           3522.6       0.1706488
            3523.       0.1523023
           3523.4       0.1520135
           3523.8       0.1366327
           3524.2        0.120458
           3524.6       0.1147571
            3525.       0.1221842
           3525.4       0.1386845
           3525.8       0.1314718
           3526.2       0.1221668
           3526.6       0.1348156
            3527.       0.1619522
           3527.4       0.1849176
           3527.8       0.2063039
           3528.2       0.2294997
           3528.6       0.2402677
            3529.       0.2518911
           3529.4       0.2430208
           3529.8       0.2339101
           3530.2       0.2243725
           3530.6       0.2317484
            3531.       0.2254477
           3531.4        0.206387
           3531.8       0.1913734
           3532.2       0.1795142
           3532.6       0.1687758
            3533.       0.1798399
           3533.4       0.2083585
           3533.8       0.2234645
           3534.2       0.2486764
           3534.6         0.26936
            3535.       0.2440949
           3535.4       0.2355948
           3535.8       0.2395701
           3536.2       0.2391279
           3536.6       0.2415635
            3537.       0.2316757
           3537.4       0.2174675
           3537.8       0.2147345
           3538.2       0.2244832
           3538.6       0.2434863
            3539.       0.2692845
           3539.4       0.2964525
           3539.8       0.2941183
           3540.2       0.2751523
           3540.6        0.246447
            3541.        0.238561
           3541.4       0.2228646
           3541.8       0.2191597
           3542.2       0.2096186
           3542.6       0.2106573
            3543.       0.2289885
           3543.4       0.2311773
           3543.8       0.2323381
           3544.2       0.2433123
           3544.6       0.2472583
            3545.       0.2640506
           3545.4       0.2336048
           3545.8       0.2215656
           3546.2       0.2233032
           3546.6       0.2195152
            3547.       0.2197807
           3547.4       0.2032524
           3547.8        0.176497
