#K OBJECT   '83618'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 83618
#K OBJRA    09:39:51.36
#K OBJDEC   -01:08:34.1
#K OBJBMAG  5.246000E+00
#K OBJVMAG  3.909000E+00
#K SPTYPE   K2.5III
#K OBJRV    2.320000E+01
#K HDNAME   HD 83618
#K BDNAME   BD-00 2231
#K HIPNAME  HIP 47431
#K SAONAME  SAO 137035
#K VHELIO   1.59102307005510E+00
#K VLSR     -8.78834278668608E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680313E+03
#K CMAX1    6.010351E+03
#K PICKTYPE K3III
#K NCOMBINE 6
#K TEFF     4220  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.210000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.400000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.0-8136.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.0891125
           3465.4       0.0712878
           3465.8       0.0593111
           3466.2      0.05863611
           3466.6      0.06622252
            3467.      0.07451174
           3467.4       0.0899661
           3467.8       0.1016101
           3468.2       0.1089812
           3468.6       0.1121283
            3469.       0.1096822
           3469.4       0.1090092
           3469.8       0.1141224
           3470.2       0.1272119
           3470.6        0.140741
            3471.       0.1308424
           3471.4       0.1158575
           3471.8      0.09630223
           3472.2       0.0866588
           3472.6      0.08182086
            3473.      0.07819462
           3473.4      0.07477157
           3473.8      0.06609785
           3474.2       0.0567256
           3474.6      0.05242872
            3475.      0.04894838
           3475.4      0.04345269
           3475.8      0.04011798
           3476.2      0.04203391
           3476.6      0.04349085
            3477.      0.05708874
           3477.4      0.07799939
           3477.8       0.0899622
           3478.2      0.09821573
           3478.6      0.09868345
            3479.        0.102137
           3479.4        0.104349
           3479.8      0.09762198
           3480.2       0.0940621
           3480.6      0.09864597
            3481.       0.1048354
           3481.4        0.107514
           3481.8       0.1131011
           3482.2       0.1120745
           3482.6      0.09629167
            3483.       0.0834861
           3483.4      0.07697697
           3483.8      0.08220391
           3484.2      0.09083861
           3484.6      0.09400012
            3485.      0.08895179
           3485.4      0.08443563
           3485.8      0.09534109
           3486.2       0.1153698
           3486.6       0.1298008
            3487.       0.1372158
           3487.4       0.1409045
           3487.8        0.134359
           3488.2       0.1193959
           3488.6         0.10366
            3489.      0.08904573
           3489.4      0.07237055
           3489.8       0.0597652
           3490.2      0.05018736
           3490.6      0.04728355
            3491.      0.05278514
           3491.4      0.06093604
           3491.8      0.07514136
           3492.2      0.07058479
           3492.6      0.06019244
            3493.      0.05838059
           3493.4      0.06890614
           3493.8      0.08822635
           3494.2       0.1011974
           3494.6       0.1075383
            3495.       0.1060231
           3495.4      0.09399713
           3495.8      0.07990883
           3496.2      0.07179002
           3496.6      0.06623377
            3497.      0.05965092
           3497.4      0.05899287
           3497.8      0.06743314
           3498.2      0.07844444
           3498.6       0.0967563
            3499.       0.1246107
           3499.4       0.1457057
           3499.8       0.1450064
           3500.2       0.1309893
           3500.6       0.1186955
            3501.       0.1207276
           3501.4       0.1298358
           3501.8        0.126651
           3502.2       0.1198353
           3502.6       0.1269013
            3503.       0.1496209
           3503.4       0.1768095
           3503.8       0.1822993
           3504.2       0.1738741
           3504.6       0.1528832
            3505.       0.1290446
           3505.4       0.1177225
           3505.8       0.1133889
           3506.2       0.1090871
           3506.6       0.1090891
            3507.       0.1154546
           3507.4       0.1279345
           3507.8       0.1435377
           3508.2        0.151469
           3508.6        0.142493
            3509.       0.1291548
           3509.4       0.1083446
           3509.8      0.08743032
           3510.2      0.07589194
           3510.6      0.08156122
            3511.      0.09872822
           3511.4       0.1103278
           3511.8       0.1092856
           3512.2       0.1014203
           3512.6      0.08986375
            3513.        0.075646
           3513.4      0.06433821
           3513.8      0.05559556
           3514.2      0.05095569
           3514.6      0.05290591
            3515.      0.05866463
           3515.4      0.07100221
           3515.8      0.08954123
           3516.2       0.1073887
           3516.6       0.1247928
            3517.       0.1409115
           3517.4       0.1565998
           3517.8        0.169081
           3518.2       0.1645544
           3518.6        0.152773
            3519.       0.1432513
           3519.4       0.1317002
           3519.8        0.109941
           3520.2      0.09824974
           3520.6      0.09228005
            3521.      0.08408149
           3521.4      0.07388107
           3521.8      0.07628039
           3522.2      0.08708227
           3522.6      0.08492171
            3523.      0.07323053
           3523.4      0.06324685
           3523.8      0.04979945
           3524.2      0.03865419
           3524.6      0.03875811
            3525.       0.0449345
           3525.4      0.04908507
           3525.8      0.04751759
           3526.2      0.04902693
           3526.6      0.05954979
            3527.      0.07666916
           3527.4      0.09151556
           3527.8       0.1044766
           3528.2       0.1199506
           3528.6        0.133706
            3529.       0.1403461
           3529.4       0.1319078
           3529.8       0.1241314
           3530.2       0.1201052
           3530.6       0.1260431
            3531.       0.1266155
           3531.4       0.1169162
           3531.8       0.1077541
           3532.2      0.09947861
           3532.6       0.0963148
            3533.      0.09868687
           3533.4       0.1075105
           3533.8       0.1301476
           3534.2       0.1469569
           3534.6        0.143863
            3535.       0.1405716
           3535.4       0.1351164
           3535.8         0.13852
           3536.2       0.1341433
           3536.6        0.133628
            3537.       0.1318489
           3537.4       0.1282434
           3537.8       0.1245232
           3538.2       0.1282494
           3538.6       0.1418391
            3539.       0.1571871
           3539.4       0.1736495
           3539.8       0.1768512
           3540.2       0.1620754
           3540.6       0.1376323
            3541.       0.1243568
           3541.4       0.1230902
           3541.8       0.1268756
           3542.2       0.1225359
           3542.6        0.120916
            3543.       0.1282949
           3543.4       0.1331676
           3543.8       0.1383575
           3544.2       0.1514029
           3544.6       0.1572746
            3545.       0.1483729
           3545.4       0.1382791
           3545.8       0.1277483
           3546.2       0.1302172
           3546.6       0.1266279
            3547.       0.1233217
