#K OBJECT   '84453'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 84453
#K OBJRA    09:46:42.49
#K OBJDEC   +45:06:51.8
#K OBJBMAG  7.751000E+00
#K OBJVMAG  6.825000E+00
#K SPTYPE   K0IV
#K OBJRV    -4.370000E+01
#K HDNAME   HD 84453
#K BDNAME   BD+45 1762
#K HIPNAME  HIP 47973
#K SAONAME  SAO 43030
#K VHELIO   -5.33315344336743E+00
#K VLSR     -5.13219411392336E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.681243E+03
#K CMAX1    6.011547E+03
#K PICKTYPE K0IV
#K NCOMBINE 6
#K TEFF     4854  Jones..Coude.Feed.Library
#K LOGG     2.870000E+00  Jones..Coude.Feed.Library
#K FEH      -7.000000E-02  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     8128.6-8138.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.2364239
           3465.4       0.1948837
           3465.8       0.1618346
           3466.2       0.1638308
           3466.6       0.1881757
            3467.       0.2095038
           3467.4       0.2316922
           3467.8       0.2558914
           3468.2       0.2659613
           3468.6        0.263171
            3469.       0.2514567
           3469.4       0.2544646
           3469.8       0.2801602
           3470.2       0.3093387
           3470.6       0.3166836
            3471.       0.2953659
           3471.4        0.258542
           3471.8       0.2271569
           3472.2       0.2089216
           3472.6       0.2025656
            3473.       0.2109954
           3473.4       0.2061251
           3473.8       0.1899994
           3474.2       0.1731679
           3474.6       0.1589369
            3475.       0.1400368
           3475.4       0.1245887
           3475.8       0.1213427
           3476.2        0.125236
           3476.6       0.1300067
            3477.       0.1489447
           3477.4        0.184889
           3477.8       0.2157402
           3478.2       0.2364814
           3478.6        0.241708
            3479.       0.2516159
           3479.4       0.2478737
           3479.8       0.2359838
           3480.2       0.2255961
           3480.6       0.2281736
            3481.       0.2329132
           3481.4       0.2410112
           3481.8       0.2485715
           3482.2       0.2417436
           3482.6       0.2196336
            3483.       0.1915774
           3483.4       0.1806179
           3483.8       0.1909377
           3484.2       0.2053712
           3484.6       0.2097385
            3485.        0.193897
           3485.4       0.1974385
           3485.8       0.2170392
           3486.2       0.2453396
           3486.6       0.2827777
            3487.        0.310032
           3487.4       0.3072864
           3487.8       0.2835293
           3488.2       0.2563851
           3488.6       0.2231518
            3489.        0.188521
           3489.4       0.1714127
           3489.8       0.1550822
           3490.2       0.1347211
           3490.6       0.1298034
            3491.        0.150672
           3491.4        0.186382
           3491.8        0.201414
           3492.2       0.1819285
           3492.6       0.1542564
            3493.       0.1514014
           3493.4       0.1812218
           3493.8       0.2242988
           3494.2       0.2588802
           3494.6       0.2698093
            3495.       0.2579841
           3495.4       0.2321226
           3495.8       0.2006613
           3496.2       0.1798114
           3496.6       0.1654326
            3497.       0.1573402
           3497.4       0.1526395
           3497.8       0.1610997
           3498.2       0.1979396
           3498.6       0.2513812
            3499.       0.2991102
           3499.4       0.3294283
           3499.8       0.3386291
           3500.2       0.3098746
           3500.6       0.2895201
            3501.        0.302822
           3501.4       0.3091205
           3501.8       0.2969264
           3502.2       0.2855883
           3502.6        0.294768
            3503.        0.336828
           3503.4       0.3825912
           3503.8       0.3892319
           3504.2       0.3588519
           3504.6       0.3141529
            3505.       0.2829764
           3505.4       0.2679824
           3505.8        0.267374
           3506.2       0.2536223
           3506.6       0.2538273
            3507.        0.277263
           3507.4       0.3043188
           3507.8       0.3208981
           3508.2        0.323572
           3508.6       0.3212731
            3509.       0.3059163
           3509.4       0.2642117
           3509.8       0.2224487
           3510.2       0.1967574
           3510.6       0.2077677
            3511.       0.2447542
           3511.4       0.2641573
           3511.8       0.2553633
           3512.2       0.2335697
           3512.6       0.2181026
            3513.       0.2006745
           3513.4       0.1773403
           3513.8       0.1627764
           3514.2       0.1569989
           3514.6       0.1530339
            3515.       0.1625491
           3515.4       0.1949434
           3515.8       0.2403778
           3516.2       0.2745135
           3516.6       0.2944588
            3517.       0.3193345
           3517.4       0.3458933
           3517.8       0.3656346
           3518.2       0.3543123
           3518.6       0.3300029
            3519.       0.3181575
           3519.4       0.2996787
           3519.8       0.2676249
           3520.2       0.2494094
           3520.6       0.2418867
            3521.       0.2103357
           3521.4       0.1909796
           3521.8       0.2068845
           3522.2       0.2249375
           3522.6       0.2204293
            3523.       0.1997374
           3523.4       0.1759989
           3523.8        0.145075
           3524.2       0.1184215
           3524.6       0.1196706
            3525.       0.1384805
           3525.4       0.1465038
           3525.8        0.136162
           3526.2       0.1215486
           3526.6        0.139211
            3527.       0.1845168
           3527.4       0.2304435
           3527.8       0.2477819
           3528.2       0.2705991
           3528.6       0.2977088
            3529.       0.3008078
           3529.4       0.2821498
           3529.8        0.269805
           3530.2       0.2739944
           3530.6       0.2816907
            3531.       0.2859177
           3531.4        0.270588
           3531.8       0.2368435
           3532.2       0.2176084
           3532.6       0.2115216
            3533.       0.2135232
           3533.4        0.234233
           3533.8       0.2788401
           3534.2        0.311679
           3534.6       0.3151476
            3535.        0.303147
           3535.4       0.2938592
           3535.8       0.2919796
           3536.2       0.2841362
           3536.6       0.2784685
            3537.         0.27354
           3537.4       0.2610557
           3537.8       0.2570153
           3538.2       0.2684774
           3538.6       0.2924874
            3539.        0.331965
           3539.4       0.3542392
           3539.8        0.344784
           3540.2       0.3160075
           3540.6       0.2797807
            3541.       0.2578102
           3541.4       0.2545653
           3541.8       0.2487481
           3542.2       0.2471081
           3542.6       0.2542491
            3543.       0.2601198
           3543.4       0.2695214
           3543.8       0.2894693
           3544.2       0.3069215
           3544.6       0.3092299
            3545.       0.2953767
           3545.4       0.2822131
           3545.8       0.2790853
           3546.2       0.2833614
           3546.6       0.2879923
            3547.        0.274085
           3547.4       0.2501736
           3547.8       0.2257304
           3548.2       0.2306218
           3548.6       0.2609932
            3549.       0.2917713
           3549.4       0.3044215
           3549.8       0.2939339
           3550.2       0.2743816
           3550.6       0.2581213
            3551.       0.2478545
           3551.4       0.2441074
           3551.8       0.2487746
           3552.2       0.2554367
           3552.6       0.2436902
            3553.       0.2235017
           3553.4       0.2048286
           3553.8       0.1968972
           3554.2       0.1898356
           3554.6       0.1908465
            3555.       0.2089168
           3555.4       0.2452294
           3555.8       0.2701362
           3556.2        0.258705
           3556.6       0.2351504
            3557.        0.232457
           3557.4       0.2412258
           3557.8       0.2315705
           3558.2       0.2006238
           3558.6       0.1729659
            3559.       0.1794679
           3559.4       0.2007002
           3559.8       0.2126864
           3560.2        0.213872
           3560.6       0.2141757
            3561.        0.215895
           3561.4        0.216837
           3561.8       0.2218413
           3562.2       0.2356585
           3562.6       0.2574938
            3563.       0.2811053
           3563.4       0.2864586
           3563.8       0.2669412
           3564.2       0.2261399
           3564.6       0.1722743
            3565.       0.1213513
           3565.4      0.09718117
           3565.8      0.09618414
           3566.2       0.1055375
           3566.6       0.1292776
            3567.       0.1653162
           3567.4       0.1922621
           3567.8        0.199582
           3568.2        0.194939
           3568.6       0.1759971
            3569.       0.1431099
           3569.4       0.1110102
           3569.8      0.08328107
           3570.2      0.08386505
           3570.6       0.1063872
            3571.       0.1372915
           3571.4       0.1534717
           3571.8       0.1577059
           3572.2       0.1718769
           3572.6       0.2033436
            3573.       0.2326832
           3573.4       0.2287074
           3573.8       0.2103499
           3574.2       0.2074345
           3574.6       0.2112072
            3575.       0.2065712
           3575.4       0.2057169
           3575.8       0.2188393
           3576.2       0.2268169
           3576.6       0.2300867
            3577.       0.2274135
           3577.4       0.2121872
           3577.8       0.1882087
           3578.2       0.1538214
           3578.6       0.1216063
            3579.       0.1195682
           3579.4       0.1301249
           3579.8       0.1299159
           3580.2       0.1121082
           3580.6      0.08330864
            3581.      0.06293253
           3581.4       0.0583348
           3581.8      0.06852983
           3582.2      0.08629869
           3582.6         0.10367
            3583.       0.1125349
           3583.4       0.1169243
           3583.8       0.1224097
           3584.2       0.1151021
           3584.6       0.1013801
            3585.      0.08051469
           3585.4      0.07132073
           3585.8       0.0794322
           3586.2      0.09428622
           3586.6      0.09758523
            3587.       0.0952315
           3587.4       0.1020691
           3587.8        0.120202
           3588.2       0.1356598
           3588.6       0.1360253
            3589.       0.1265737
           3589.4        0.119442
           3589.8       0.1259688
           3590.2       0.1552678
           3590.6       0.2097978
            3591.       0.2578858
           3591.4       0.2849156
           3591.8       0.2943819
           3592.2       0.2815627
           3592.6       0.2492074
            3593.        0.204488
           3593.4       0.1765819
           3593.8       0.1882733
           3594.2        0.217684
           3594.6       0.2434412
            3595.       0.2614738
           3595.4       0.2751214
           3595.8       0.3012558
           3596.2       0.3251567
           3596.6       0.3452218
            3597.       0.3419828
           3597.4       0.3088987
           3597.8       0.2864251
           3598.2       0.2963262
           3598.6       0.3121955
            3599.       0.3105387
           3599.4       0.3123222
           3599.8        0.339844
           3600.2       0.3650769
           3600.6        0.373796
            3601.       0.3713689
           3601.4       0.3337331
           3601.8       0.2760734
           3602.2       0.2288898
           3602.6       0.2159399
            3603.       0.2282799
           3603.4       0.2302755
           3603.8       0.2274639
           3604.2       0.2295246
           3604.6       0.2172051
            3605.       0.1908825
           3605.4       0.1730433
           3605.8        0.190249
           3606.2       0.2134203
           3606.6       0.2292962
            3607.       0.2506989
           3607.4       0.2544024
           3607.8       0.2254945
           3608.2       0.1695402
           3608.6       0.1211683
            3609.       0.1040476
           3609.4       0.1174428
           3609.8       0.1403314
           3610.2       0.1505335
           3610.6       0.1680894
            3611.       0.2093381
           3611.4        0.249056
           3611.8       0.2793172
           3612.2       0.2702055
           3612.6        0.248783
            3613.       0.2208762
           3613.4       0.2047479
           3613.8       0.2077796
           3614.2       0.2342266
           3614.6       0.2676426
            3615.       0.2947561
           3615.4       0.3173326
           3615.8       0.3166295
           3616.2       0.3035798
           3616.6       0.2923633
            3617.       0.2685281
           3617.4       0.2206613
           3617.8       0.1715838
           3618.2       0.1220069
           3618.6      0.08758275
            3619.      0.07893234
           3619.4      0.09446636
           3619.8        0.129127
           3620.2       0.1747717
           3620.6       0.2098423
            3621.       0.2164618
           3621.4       0.2187521
           3621.8       0.2469306
           3622.2        0.294119
           3622.6       0.3180674
            3623.       0.3140057
           3623.4       0.2790497
           3623.8       0.2438888
           3624.2       0.2416055
           3624.6       0.2575673
            3625.        0.281573
           3625.4       0.3220576
           3625.8       0.3645943
           3626.2       0.3899746
           3626.6       0.3975423
            3627.       0.3870799
           3627.4       0.3690338
           3627.8       0.3522626
           3628.2       0.3479087
           3628.6       0.3470035
            3629.        0.353936
           3629.4       0.3491246
           3629.8       0.3116399
           3630.2       0.2518072
           3630.6       0.1830975
            3631.       0.1242147
           3631.4      0.09863365
           3631.8       0.1096075
           3632.2       0.1512663
           3632.6       0.1886479
            3633.       0.2149214
           3633.4       0.2338867
           3633.8       0.2394622
           3634.2       0.2239456
           3634.6       0.2034658
            3635.       0.2041929
           3635.4       0.2400867
           3635.8       0.2791768
           3636.2       0.2845718
           3636.6       0.2684555
            3637.       0.2653464
           3637.4       0.2793673
           3637.8       0.2775073
           3638.2       0.2931558
           3638.6       0.3293293
            3639.       0.3498158
           3639.4       0.3441401
           3639.8        0.337598
           3640.2       0.3515203
           3640.6       0.3611247
            3641.       0.3493665
           3641.4       0.3324264
           3641.8       0.3208233
           3642.2       0.3104844
           3642.6       0.2954386
            3643.       0.2840533
           3643.4       0.2923915
           3643.8       0.2960653
           3644.2        0.281757
           3644.6       0.2454735
            3645.        0.213416
           3645.4       0.2077606
           3645.8       0.2309428
           3646.2       0.2575712
           3646.6       0.2514639
            3647.        0.211871
           3647.4       0.1639671
           3647.8       0.1312399
           3648.2       0.1420267
           3648.6       0.1760896
            3649.       0.2007318
           3649.4       0.2027846
           3649.8       0.2129883
           3650.2       0.2458106
           3650.6        0.276561
            3651.       0.2842042
           3651.4       0.2692178
           3651.8       0.2733064
           3652.2       0.3207444
           3652.6       0.3669971
            3653.       0.3719876
           3653.4       0.3499967
           3653.8       0.3378999
           3654.2       0.3351214
           3654.6       0.3431238
            3655.       0.3381897
           3655.4       0.3303605
           3655.8       0.3376592
           3656.2       0.3653774
           3656.6       0.3915584
            3657.       0.3946361
           3657.4       0.3726797
           3657.8       0.3591098
           3658.2       0.3847141
           3658.6       0.4195192
            3659.       0.4426968
           3659.4       0.4236554
           3659.8       0.3908824
           3660.2       0.3691504
           3660.6       0.3678045
            3661.       0.3923538
           3661.4       0.4083708
           3661.8       0.3956249
           3662.2       0.3746165
           3662.6       0.3595532
            3663.       0.3412071
           3663.4       0.3184919
           3663.8       0.3010009
           3664.2       0.2938489
           3664.6        0.320306
            3665.        0.365547
           3665.4       0.3970798
           3665.8        0.377434
           3666.2       0.3340695
           3666.6       0.3091379
            3667.       0.3212371
           3667.4       0.3562358
           3667.8       0.3738472
           3668.2       0.3551471
           3668.6       0.3204314
            3669.        0.286808
           3669.4       0.2629472
           3669.8       0.2638313
           3670.2       0.2765368
           3670.6       0.2883433
            3671.       0.3229585
           3671.4       0.3634629
           3671.8       0.3936744
           3672.2       0.4036137
           3672.6       0.3934845
            3673.       0.3736532
           3673.4       0.3536648
           3673.8       0.3400643
           3674.2       0.3377794
           3674.6       0.3560112
            3675.        0.389931
           3675.4       0.4010803
           3675.8       0.3915515
           3676.2       0.3670867
           3676.6       0.3365806
            3677.       0.3053261
           3677.4       0.2700915
           3677.8       0.2564738
           3678.2       0.2842011
           3678.6        0.312193
            3679.       0.2927773
           3679.4       0.2412581
           3679.8       0.2038763
           3680.2       0.2048985
           3680.6       0.2344947
            3681.       0.2839781
           3681.4       0.3285487
           3681.8       0.3254131
           3682.2       0.3061283
           3682.6       0.3011217
            3683.       0.3164083
           3683.4       0.3403906
           3683.8       0.3551418
           3684.2       0.3529239
           3684.6       0.3297144
            3685.       0.2926999
           3685.4       0.2669385
           3685.8       0.2596324
           3686.2       0.2611282
           3686.6        0.248503
            3687.       0.2081802
           3687.4        0.170564
           3687.8       0.1783909
           3688.2       0.2204809
           3688.6       0.2569139
            3689.       0.2765456
           3689.4       0.2949834
           3689.8       0.3195465
           3690.2       0.3466204
           3690.6       0.3784496
            3691.       0.4109295
           3691.4       0.4377611
           3691.8       0.4439196
           3692.2        0.424047
           3692.6       0.3813125
            3693.       0.3417259
           3693.4       0.3026234
           3693.8        0.275511
           3694.2       0.2897759
           3694.6       0.3253598
            3695.       0.3447034
           3695.4       0.3445821
           3695.8       0.3275342
           3696.2       0.3119397
           3696.6       0.3057595
            3697.       0.3171072
           3697.4       0.3391354
           3697.8       0.3547845
           3698.2       0.3807171
           3698.6       0.4015833
            3699.       0.4230067
           3699.4       0.4417124
           3699.8       0.4447164
           3700.2       0.4363989
           3700.6       0.4129951
            3701.        0.389533
           3701.4        0.386767
           3701.8       0.3957738
           3702.2       0.3855016
           3702.6        0.385056
            3703.       0.3746067
           3703.4        0.329654
           3703.8       0.2687957
           3704.2       0.2335418
           3704.6       0.2240031
            3705.        0.203683
           3705.4       0.1694297
           3705.8       0.1655989
           3706.2       0.2110163
           3706.6       0.2585716
            3707.       0.2654142
           3707.4       0.2327963
           3707.8       0.2078815
           3708.2       0.2194131
           3708.6       0.2169454
            3709.       0.1863714
           3709.4       0.1777777
           3709.8       0.2183369
           3710.2       0.2874324
           3710.6       0.3429139
            3711.       0.3578184
           3711.4       0.3500949
           3711.8       0.3551119
           3712.2       0.3811169
           3712.6       0.3962042
            3713.       0.4158771
           3713.4       0.4380749
           3713.8       0.4616184
           3714.2       0.4773764
           3714.6       0.4664327
            3715.       0.4311409
           3715.4       0.3911271
           3715.8       0.3601573
           3716.2       0.3491677
           3716.6       0.3583237
            3717.       0.3663397
           3717.4       0.3573789
           3717.8       0.3193347
           3718.2       0.2728776
           3718.6       0.2258726
            3719.       0.1756191
           3719.4       0.1293198
           3719.8      0.09924885
           3720.2      0.09267326
           3720.6       0.1119986
            3721.       0.1296372
           3721.4       0.1292802
           3721.8       0.1291393
           3722.2       0.1293824
           3722.6        0.150841
            3723.       0.2009721
           3723.4       0.2498669
           3723.8        0.274249
           3724.2       0.2843891
           3724.6       0.2938363
            3725.       0.3183386
           3725.4       0.3589572
           3725.8       0.3960045
           3726.2       0.3932934
           3726.6       0.3327936
            3727.       0.2432016
           3727.4       0.1756094
           3727.8       0.1707502
           3728.2       0.2198601
           3728.6       0.2785193
            3729.       0.3341312
           3729.4       0.3589325
           3729.8        0.340546
           3730.2       0.2977628
           3730.6        0.261276
            3731.       0.2528643
           3731.4       0.2600732
           3731.8       0.2568009
           3732.2        0.234151
           3732.6       0.1975504
            3733.       0.1605892
           3733.4       0.1281276
           3733.8       0.1142255
           3734.2       0.0982416
           3734.6       0.0784261
            3735.       0.0692579
           3735.4      0.08284129
           3735.8       0.1060306
           3736.2       0.1146315
           3736.6       0.1035052
            3737.      0.09313309
           3737.4       0.1056157
           3737.8       0.1400702
           3738.2       0.1843039
           3738.6       0.2263401
            3739.       0.2436037
           3739.4       0.2555812
           3739.8        0.278815
           3740.2       0.3222073
           3740.6       0.3464568
            3741.       0.3446821
           3741.4       0.3272098
           3741.8        0.305337
           3742.2       0.2849762
           3742.6       0.2538944
            3743.       0.2092174
           3743.4       0.1731427
           3743.8       0.1686221
           3744.2       0.1882666
           3744.6       0.1959016
            3745.       0.1665389
           3745.4       0.1225682
           3745.8       0.1019356
           3746.2       0.1167336
           3746.6       0.1500362
            3747.       0.1718262
           3747.4       0.1718943
           3747.8       0.1502904
           3748.2       0.1136699
           3748.6      0.09047674
            3749.      0.08130565
           3749.4      0.07765454
           3749.8      0.09591438
           3750.2       0.1327739
           3750.6       0.1852477
            3751.       0.2345139
           3751.4       0.2784832
           3751.8       0.3062182
           3752.2       0.3124495
           3752.6       0.3040064
            3753.        0.294192
           3753.4       0.3052419
           3753.8       0.3387617
           3754.2       0.3678172
           3754.6       0.3839704
            3755.        0.403616
           3755.4       0.4099317
           3755.8       0.4001364
           3756.2       0.3781449
           3756.6       0.3307326
            3757.       0.2674381
           3757.4       0.1981464
           3757.8       0.1358795
           3758.2       0.1083568
           3758.6       0.1180666
            3759.       0.1456865
           3759.4       0.1872185
           3759.8       0.2286753
           3760.2       0.2557726
           3760.6       0.2711048
            3761.       0.2715374
           3761.4       0.2683183
           3761.8       0.2838089
           3762.2       0.2965056
           3762.6       0.2812382
            3763.        0.241309
           3763.4       0.1882252
           3763.8        0.156024
           3764.2       0.1831892
           3764.6       0.2480686
            3765.       0.2990669
           3765.4       0.3044391
           3765.8       0.2879646
           3766.2       0.2580201
           3766.6       0.2111875
            3767.       0.1647745
           3767.4       0.1587514
           3767.8       0.1993255
           3768.2       0.2587342
           3768.6       0.3189143
            3769.       0.3695101
           3769.4       0.3834109
           3769.8       0.3515994
           3770.2       0.3156485
           3770.6       0.3047394
            3771.        0.325262
           3771.4       0.3425524
           3771.8       0.3640014
           3772.2       0.3903333
           3772.6       0.4080299
            3773.       0.4077452
           3773.4       0.3900917
           3773.8       0.3751926
           3774.2       0.3665026
           3774.6       0.3533854
            3775.       0.3465175
           3775.4       0.3353033
           3775.8       0.3215122
           3776.2       0.3333582
           3776.6       0.3700557
            3777.       0.3872136
           3777.4       0.3605951
           3777.8       0.3265621
