#K OBJECT   '84748'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 84748
#K OBJRA    09:47:33.49
#K OBJDEC   +11:25:43.6
#K OBJBMAG  7.320000E+00
#K OBJVMAG  6.020000E+00
#K SPTYPE   M8IIIe
#K OBJRV    1.340000E+01
#K HDNAME   HD 84748
#K BDNAME   BD+12 2096
#K HIPNAME  HIP 48036
#K SAONAME  SAO 98769
#K VHELIO   -4.99256785041984E-01
#K VLSR     -8.02846739043256E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679745E+03
#K CMAX1    6.009890E+03
#K PICKTYPE M8III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8123.4-8136.6

#      wavelength        spectrum
#       angstroms                

            3465.         0.16343
           3465.4       0.1528224
           3465.8       0.1560909
           3466.2       0.1661263
           3466.6       0.1702471
            3467.       0.1722069
           3467.4         0.18732
           3467.8       0.2004143
           3468.2       0.1862562
           3468.6       0.1819638
            3469.       0.2040201
           3469.4       0.1888524
           3469.8       0.1802748
           3470.2       0.1997565
           3470.6       0.2052036
            3471.       0.2117211
           3471.4       0.2138105
           3471.8       0.1951309
           3472.2       0.1844385
           3472.6       0.1723715
            3473.       0.1672488
           3473.4       0.1770305
           3473.8       0.1709874
           3474.2       0.1588621
           3474.6        0.142076
            3475.       0.1234147
           3475.4       0.1370948
           3475.8       0.1363703
           3476.2       0.1522398
           3476.6       0.1529554
            3477.       0.1758251
           3477.4       0.1993831
           3477.8       0.2195256
           3478.2       0.2352952
           3478.6       0.2380112
            3479.       0.2352201
           3479.4       0.2318125
           3479.8       0.2341615
           3480.2       0.2165116
           3480.6       0.2384178
            3481.       0.2361602
           3481.4       0.2247794
           3481.8       0.2412003
           3482.2       0.2503238
           3482.6         0.23217
            3483.        0.205711
           3483.4       0.1870183
           3483.8       0.1826719
           3484.2       0.1921812
           3484.6       0.2091835
            3485.       0.2264824
           3485.4       0.2299004
           3485.8       0.2265335
           3486.2         0.23671
           3486.6       0.2193493
            3487.       0.2321835
           3487.4       0.2356317
           3487.8       0.2342548
           3488.2       0.2477498
           3488.6        0.251145
            3489.       0.2246155
           3489.4       0.2001695
           3489.8       0.1837044
           3490.2       0.1546644
           3490.6       0.1557016
            3491.       0.1577488
           3491.4       0.1797681
           3491.8       0.1633878
           3492.2       0.1708402
           3492.6       0.1647534
            3493.       0.1597202
           3493.4       0.1680808
           3493.8       0.1807061
           3494.2       0.1901154
           3494.6       0.2197684
            3495.       0.2402082
           3495.4       0.2035979
           3495.8       0.1970733
           3496.2       0.2032997
           3496.6       0.1907607
            3497.       0.1736762
           3497.4       0.1819981
           3497.8       0.1905352
           3498.2        0.180316
           3498.6       0.1935672
            3499.       0.2272532
           3499.4       0.2365053
           3499.8       0.2180815
           3500.2       0.2039237
           3500.6       0.1992045
            3501.       0.1917698
           3501.4       0.1980655
           3501.8       0.1953078
           3502.2       0.1790969
           3502.6       0.1936647
            3503.       0.2319458
           3503.4       0.2609172
           3503.8       0.2492913
           3504.2       0.2474361
           3504.6       0.2485187
            3505.       0.2374006
           3505.4       0.2349189
           3505.8       0.2255639
           3506.2       0.2134811
           3506.6       0.2038784
            3507.       0.2092715
           3507.4       0.2097493
           3507.8       0.2061665
           3508.2       0.1931848
           3508.6         0.22482
            3509.       0.2284634
           3509.4        0.204695
           3509.8       0.1865464
           3510.2       0.1628191
           3510.6       0.1457219
            3511.       0.1606745
           3511.4       0.1895453
           3511.8       0.1916642
           3512.2        0.173087
           3512.6        0.138284
            3513.       0.1566695
           3513.4       0.1513523
           3513.8       0.1377849
           3514.2       0.1317847
           3514.6        0.127134
            3515.        0.133765
           3515.4       0.1588686
           3515.8       0.1740714
           3516.2       0.1772226
           3516.6       0.1847127
            3517.       0.1701679
           3517.4       0.1712215
           3517.8       0.1828718
           3518.2       0.1823425
           3518.6       0.1652548
            3519.        0.165701
           3519.4       0.1588269
           3519.8       0.1513651
           3520.2       0.1610985
           3520.6       0.1551398
            3521.        0.149806
           3521.4       0.1550282
           3521.8       0.1501394
           3522.2       0.1664889
           3522.6         0.15659
            3523.       0.1533505
           3523.4       0.1574346
           3523.8       0.1317103
           3524.2       0.1106201
           3524.6       0.1338666
            3525.       0.1302523
           3525.4       0.1168938
           3525.8        0.126156
           3526.2         0.12846
           3526.6       0.1327896
            3527.        0.161624
           3527.4       0.1795537
           3527.8       0.1688643
           3528.2       0.1675873
           3528.6       0.1723857
            3529.       0.1726599
           3529.4       0.1668467
           3529.8       0.1826128
           3530.2       0.1985857
           3530.6       0.1986286
            3531.       0.2076388
           3531.4       0.2182699
           3531.8       0.2084457
           3532.2        0.192001
           3532.6       0.1859705
            3533.       0.1958032
           3533.4       0.2039833
           3533.8       0.1906035
           3534.2       0.2048241
           3534.6       0.2208873
            3535.       0.2129919
           3535.4       0.2155134
           3535.8        0.220878
           3536.2       0.2249133
           3536.6       0.2354959
            3537.       0.2451785
           3537.4       0.2409629
           3537.8       0.2390037
           3538.2       0.2487749
           3538.6       0.2246051
            3539.       0.2358163
           3539.4       0.2600065
           3539.8       0.2408643
           3540.2       0.2490842
           3540.6       0.2480083
            3541.       0.2374006
           3541.4       0.2265238
           3541.8       0.2271046
           3542.2       0.2404099
           3542.6       0.2314191
            3543.       0.2110082
           3543.4       0.2218923
           3543.8       0.2404685
           3544.2       0.2465122
           3544.6       0.2545435
            3545.       0.2685152
           3545.4       0.2509892
           3545.8       0.2545514
           3546.2        0.240407
           3546.6       0.2287931
            3547.       0.2299574
           3547.4       0.2192146
           3547.8       0.2004096
           3548.2       0.1987419
           3548.6        0.220076
            3549.       0.2248678
           3549.4       0.2384592
           3549.8       0.2368877
           3550.2       0.2216033
           3550.6        0.230066
            3551.       0.2252025
           3551.4       0.2212346
           3551.8       0.2120319
           3552.2       0.2209637
           3552.6       0.2211698
            3553.       0.2007332
           3553.4        0.210836
           3553.8       0.2277294
           3554.2        0.220765
           3554.6       0.2132906
            3555.       0.2331208
           3555.4       0.2589392
           3555.8       0.2669139
           3556.2       0.2756605
           3556.6       0.2706263
            3557.       0.2700666
           3557.4       0.2601392
           3557.8       0.2379816
           3558.2       0.2174562
           3558.6       0.2074115
            3559.       0.2177918
           3559.4       0.2364991
           3559.8       0.2573492
           3560.2       0.2514695
           3560.6       0.2570085
            3561.       0.2596823
           3561.4       0.2538564
           3561.8        0.249971
           3562.2       0.2685823
           3562.6       0.2889868
            3563.         0.29874
           3563.4       0.2906704
           3563.8       0.2537144
           3564.2       0.2150954
           3564.6        0.192595
            3565.       0.1657747
           3565.4       0.1469569
           3565.8       0.1346165
           3566.2       0.1573094
           3566.6       0.1858204
            3567.        0.199924
           3567.4       0.2224231
           3567.8       0.2296917
           3568.2        0.215828
           3568.6       0.1951352
            3569.       0.1707007
           3569.4       0.1481381
           3569.8       0.1300238
           3570.2       0.1275824
           3570.6        0.147095
            3571.       0.1605779
           3571.4       0.1562661
           3571.8       0.1566475
           3572.2       0.1660389
           3572.6       0.1809414
            3573.       0.1917228
           3573.4       0.2056635
           3573.8       0.2073328
           3574.2       0.1897256
           3574.6        0.177417
            3575.       0.1724016
           3575.4        0.161602
           3575.8       0.1522171
           3576.2       0.1589476
           3576.6       0.1410084
            3577.       0.1146135
           3577.4       0.1069028
           3577.8      0.08775719
           3578.2      0.07368032
           3578.6      0.07835699
            3579.      0.07448473
           3579.4      0.08174948
           3579.8       0.1014129
           3580.2       0.1054611
           3580.6       0.1145353
            3581.        0.116407
           3581.4       0.1310363
           3581.8        0.126016
           3582.2       0.1391711
           3582.6       0.1795545
            3583.       0.1935914
           3583.4       0.1919182
           3583.8       0.1883169
           3584.2       0.1820975
           3584.6       0.1624969
            3585.       0.1363848
           3585.4       0.1269036
           3585.8       0.1335246
           3586.2       0.1499336
           3586.6       0.1588445
            3587.       0.1602305
           3587.4       0.1535332
           3587.8       0.1685448
           3588.2           0.185
           3588.6       0.1937089
            3589.       0.1815058
           3589.4       0.1854882
           3589.8       0.1955856
           3590.2        0.193253
           3590.6       0.1972452
            3591.       0.1902684
