#K OBJECT   '85235'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 85235
#K OBJRA    09:52:06.36
#K OBJDEC   +54:03:51.6
#K OBJBMAG  4.607000E+00
#K OBJVMAG  4.560000E+00
#K SPTYPE   A3IV
#K OBJRV    -1.190000E+01
#K HDNAME   HD 85235
#K BDNAME   BD+54 1331
#K HIPNAME  HIP 48402
#K SAONAME  SAO 27408
#K VHELIO   -1.88396556185955E+01
#K VLSR     -1.62685127800395E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.440164E+03
#K CMAX1    4.766063E+03
#K PICKTYPE A3V
#K NCOMBINE 5
#K TEFF     11200  1976IAUCo..32..521K (Kodaira)
#K LOGG     3.550000E+00  1976IAUCo..32..521K (Kodaira)
#K FEH      -4.000000E-01  1976IAUCo..32..521K (Kodaira)
#K COVERAGE 3465.0-9469.0
#K GAPS     8122.6-8137.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.8176485
           3465.4       0.8185099
           3465.8        0.809327
           3466.2       0.8283575
           3466.6       0.8622979
            3467.       0.8465652
           3467.4       0.8411735
           3467.8       0.8223466
           3468.2       0.8241938
           3468.6        0.835219
            3469.       0.8327012
           3469.4       0.8381038
           3469.8       0.8231224
           3470.2       0.8397052
           3470.6       0.8605791
            3471.       0.8238559
           3471.4       0.8096654
           3471.8       0.8120402
           3472.2       0.8041252
           3472.6       0.8119814
            3473.       0.8020804
           3473.4       0.7955124
           3473.8       0.7775876
           3474.2       0.7823607
           3474.6       0.7772831
            3475.       0.7636892
           3475.4       0.7610787
           3475.8       0.7691624
           3476.2       0.7925901
           3476.6       0.7937267
            3477.       0.7649046
           3477.4       0.7775258
           3477.8       0.7862335
           3478.2       0.8052019
           3478.6       0.8158121
            3479.       0.8018888
           3479.4       0.8158907
           3479.8       0.8413993
           3480.2       0.8203081
           3480.6       0.8068975
            3481.       0.8122245
           3481.4       0.7940654
           3481.8       0.7872939
           3482.2       0.7992242
           3482.6       0.7889431
            3483.       0.7791598
           3483.4       0.7724889
           3483.8       0.7922862
           3484.2        0.810871
           3484.6       0.8304878
            3485.       0.8283828
           3485.4       0.8327842
           3485.8       0.8371817
           3486.2       0.8348233
           3486.6        0.837597
            3487.       0.8357276
           3487.4       0.8220204
           3487.8       0.8042276
           3488.2       0.7972042
           3488.6       0.7969584
            3489.       0.7871996
           3489.4       0.7660182
           3489.8       0.7771128
           3490.2       0.7804921
           3490.6       0.7808543
            3491.       0.7659774
           3491.4       0.8004817
           3491.8       0.8195744
           3492.2       0.7895727
           3492.6       0.7928765
            3493.       0.7742464
           3493.4       0.7699747
           3493.8       0.7818215
           3494.2       0.7763906
           3494.6       0.7714673
            3495.       0.7637659
           3495.4       0.7538095
           3495.8       0.7414272
