#K OBJECT   '86322'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 86322
#K OBJRA    10:01:59.32
#K OBJDEC   +74:45:32.7
#K OBJBMAG  7.935000E+00
#K OBJVMAG  6.894000E+00
#K SPTYPE   K1III
#K OBJRV    6.400000E+00
#K HDNAME   HD 86322
#K BDNAME   BD+75 399
#K HIPNAME  HIP 49163
#K SAONAME  SAO 7031
#K VHELIO   1.40950529288220E-01
#K VLSR     7.48254027536842E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678223E+03
#K CMAX1    6.005065E+03
#K PICKTYPE K1III
#K NCOMBINE 5
#K TEFF     4722  Jones..Coude.Feed.Library
#K LOGG     2.400000E+00  Jones..Coude.Feed.Library
#K FEH      -5.000000E-02  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.8-8137.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.1708667
           3465.4       0.1428967
           3465.8       0.1241687
           3466.2       0.1188506
           3466.6        0.120311
            3467.       0.1384189
           3467.4       0.1563676
           3467.8       0.1683179
           3468.2       0.1809615
           3468.6       0.1819822
            3469.       0.1727228
           3469.4       0.1697257
           3469.8       0.1796365
           3470.2       0.2045416
           3470.6       0.2165632
            3471.       0.1995403
           3471.4       0.1840708
           3471.8       0.1591362
           3472.2       0.1411294
           3472.6       0.1453677
            3473.        0.143092
           3473.4        0.136808
           3473.8       0.1294213
           3474.2       0.1136637
           3474.6       0.1091884
            3475.      0.09441964
           3475.4       0.0884036
           3475.8      0.08603302
           3476.2       0.0795499
           3476.6      0.08312857
            3477.      0.09695727
           3477.4       0.1176974
           3477.8       0.1419563
           3478.2       0.1535836
           3478.6       0.1551145
            3479.       0.1540824
           3479.4       0.1529638
           3479.8       0.1526883
           3480.2        0.142756
           3480.6       0.1412632
            3481.       0.1448637
           3481.4       0.1592198
           3481.8       0.1675848
           3482.2       0.1540543
           3482.6       0.1418246
            3483.        0.127698
           3483.4       0.1206606
           3483.8       0.1245433
           3484.2       0.1301678
           3484.6       0.1342698
            3485.       0.1307002
           3485.4       0.1278355
           3485.8       0.1424231
           3486.2       0.1649081
           3486.6       0.1906651
            3487.       0.2064471
           3487.4       0.2132434
           3487.8       0.2000791
           3488.2       0.1736921
           3488.6       0.1521598
            3489.       0.1319361
           3489.4       0.1139135
           3489.8       0.1048819
           3490.2      0.09624123
           3490.6      0.08891702
            3491.      0.09878644
           3491.4       0.1224454
           3491.8       0.1360381
           3492.2       0.1273066
           3492.6       0.1089526
            3493.       0.1010482
           3493.4       0.1129387
           3493.8         0.14091
           3494.2       0.1636836
           3494.6       0.1670996
            3495.       0.1607534
           3495.4       0.1475479
           3495.8       0.1272105
           3496.2       0.1155294
           3496.6       0.1064473
            3497.      0.09956785
           3497.4       0.1068039
           3497.8       0.1176002
           3498.2       0.1354136
           3498.6       0.1636762
            3499.       0.1944511
           3499.4       0.2123328
           3499.8       0.2153187
           3500.2       0.2096201
           3500.6       0.1973007
            3501.       0.1963405
           3501.4       0.2085722
           3501.8       0.1996032
           3502.2       0.1916036
           3502.6       0.1914938
            3503.       0.2160106
           3503.4       0.2497696
           3503.8       0.2581502
           3504.2       0.2407322
           3504.6       0.2081322
            3505.       0.1831635
           3505.4       0.1734838
           3505.8       0.1697368
           3506.2       0.1677444
           3506.6       0.1680629
            3507.       0.1760738
           3507.4        0.189874
           3507.8       0.2067961
           3508.2       0.2106814
           3508.6       0.2127935
            3509.       0.1953913
           3509.4       0.1690949
           3509.8       0.1437791
           3510.2       0.1349382
           3510.6       0.1462266
            3511.       0.1634056
           3511.4       0.1738176
           3511.8       0.1703973
           3512.2       0.1581975
           3512.6       0.1462186
            3513.       0.1318336
           3513.4       0.1207785
           3513.8       0.1060058
           3514.2       0.1034703
           3514.6       0.1030461
            3515.       0.1103756
           3515.4       0.1267124
           3515.8       0.1542303
           3516.2       0.1859625
           3516.6       0.2028937
            3517.       0.2158474
           3517.4       0.2380416
           3517.8       0.2432696
           3518.2       0.2349821
           3518.6       0.2290845
            3519.       0.2229892
           3519.4       0.2087038
           3519.8       0.1904261
           3520.2       0.1762558
           3520.6       0.1622111
            3521.       0.1417408
           3521.4        0.129923
           3521.8        0.133873
           3522.2       0.1427101
           3522.6       0.1446174
            3523.       0.1301312
           3523.4       0.1125401
           3523.8      0.09273467
           3524.2      0.08112081
           3524.6      0.08020333
            3525.      0.08865128
           3525.4      0.09432866
           3525.8      0.08699454
           3526.2      0.08353943
           3526.6       0.1028425
            3527.        0.130692
           3527.4       0.1524803
           3527.8       0.1721001
           3528.2       0.1905546
           3528.6       0.2035581
            3529.       0.1967405
           3529.4       0.1966762
           3529.8       0.1825898
           3530.2       0.1897132
           3530.6       0.1861704
            3531.       0.1831804
           3531.4       0.1772959
           3531.8       0.1574224
           3532.2       0.1433443
           3532.6       0.1410179
            3533.       0.1435063
           3533.4       0.1557406
           3533.8       0.1794082
           3534.2        0.208574
           3534.6       0.2064858
            3535.       0.2128988
           3535.4       0.2028226
           3535.8       0.1982984
           3536.2       0.1932033
           3536.6       0.1873997
            3537.       0.1938691
           3537.4       0.1894069
           3537.8       0.1759077
           3538.2       0.1777933
           3538.6       0.1924319
            3539.       0.2188347
           3539.4       0.2349662
           3539.8       0.2318724
           3540.2       0.2150142
           3540.6       0.1957877
            3541.       0.1797574
           3541.4       0.1685185
           3541.8       0.1664465
           3542.2       0.1631977
           3542.6       0.1748821
            3543.       0.1885647
           3543.4       0.1864462
           3543.8       0.1957423
           3544.2       0.2112848
           3544.6       0.2103969
            3545.       0.2007864
           3545.4       0.1926747
           3545.8       0.1812181
           3546.2       0.1850638
           3546.6        0.188303
            3547.       0.1791437
           3547.4       0.1624842
           3547.8        0.151738
           3548.2       0.1489986
           3548.6       0.1677323
            3549.       0.1950082
           3549.4       0.1989903
           3549.8       0.1993761
           3550.2       0.1820207
           3550.6       0.1642211
            3551.       0.1550612
           3551.4       0.1578337
           3551.8       0.1579438
           3552.2       0.1612421
           3552.6        0.159269
            3553.        0.148287
           3553.4       0.1389945
           3553.8       0.1335684
           3554.2       0.1287022
           3554.6       0.1297539
            3555.       0.1438067
           3555.4       0.1650717
           3555.8       0.1760518
           3556.2       0.1737215
           3556.6       0.1682821
            3557.       0.1652353
           3557.4       0.1628532
           3557.8       0.1537235
           3558.2       0.1299239
           3558.6       0.1136788
            3559.       0.1174648
           3559.4        0.131366
           3559.8       0.1445381
           3560.2       0.1461864
           3560.6       0.1421712
            3561.       0.1362257
           3561.4       0.1400184
           3561.8       0.1476238
           3562.2       0.1548533
           3562.6       0.1715961
            3563.       0.1822443
           3563.4       0.1908395
           3563.8         0.18173
           3564.2        0.153862
           3564.6       0.1243117
            3565.      0.09283723
           3565.4      0.07019646
           3565.8      0.06736811
           3566.2      0.07626952
           3566.6      0.09486203
            3567.       0.1080494
           3567.4       0.1306261
           3567.8       0.1384481
           3568.2       0.1323288
           3568.6       0.1181878
            3569.       0.0946736
           3569.4       0.0728254
           3569.8       0.0626011
           3570.2      0.06414469
           3570.6      0.07869123
            3571.      0.09851836
           3571.4       0.1089414
           3571.8       0.1158455
           3572.2       0.1287498
           3572.6       0.1508184
            3573.       0.1644515
           3573.4        0.163819
           3573.8       0.1545905
           3574.2       0.1509993
           3574.6       0.1480116
            3575.       0.1428324
           3575.4       0.1445633
           3575.8       0.1507574
           3576.2       0.1549991
           3576.6       0.1566995
            3577.       0.1556628
           3577.4       0.1454719
           3577.8       0.1267792
           3578.2       0.1001752
           3578.6       0.0924237
            3579.      0.09140456
           3579.4      0.08901195
           3579.8      0.08579666
           3580.2      0.07421497
           3580.6      0.05647007
            3581.      0.04636422
           3581.4      0.04452318
           3581.8      0.04552087
           3582.2      0.05657597
           3582.6      0.06686074
            3583.      0.07687183
           3583.4      0.08287267
           3583.8      0.08428282
           3584.2      0.07654428
           3584.6      0.06773951
            3585.       0.0598878
           3585.4      0.04925723
           3585.8      0.05352509
           3586.2      0.06685649
           3586.6      0.06799679
            3587.      0.07095406
           3587.4      0.07164942
           3587.8      0.08023298
           3588.2      0.08743431
           3588.6      0.08515735
            3589.      0.07866474
           3589.4      0.08035995
           3589.8      0.08653232
           3590.2       0.1049622
           3590.6       0.1403728
            3591.       0.1773901
           3591.4       0.1950819
           3591.8       0.1937488
           3592.2       0.1876315
           3592.6       0.1683551
            3593.       0.1391456
           3593.4       0.1323845
           3593.8       0.1408437
           3594.2       0.1608043
           3594.6       0.1717265
            3595.        0.180962
           3595.4        0.191485
           3595.8       0.2077965
           3596.2       0.2350358
           3596.6       0.2526981
            3597.       0.2485814
           3597.4       0.2347964
           3597.8       0.2183252
           3598.2       0.2208581
           3598.6       0.2344861
            3599.       0.2308462
           3599.4       0.2364119
           3599.8       0.2487727
           3600.2        0.274875
           3600.6       0.2782895
            3601.       0.2650568
           3601.4       0.2411004
           3601.8       0.2014284
           3602.2       0.1676182
           3602.6       0.1583314
            3603.       0.1697365
           3603.4       0.1751837
           3603.8       0.1775833
           3604.2       0.1740334
           3604.6       0.1613116
            3605.       0.1426049
           3605.4       0.1320348
           3605.8       0.1440421
           3606.2         0.16868
           3606.6       0.1898946
            3607.       0.2009411
           3607.4       0.1957253
           3607.8       0.1697249
           3608.2       0.1285985
           3608.6      0.09295885
            3609.       0.0824933
           3609.4      0.08357731
           3609.8       0.1024039
           3610.2       0.1124927
           3610.6       0.1285764
            3611.       0.1611739
           3611.4       0.1863913
           3611.8       0.1988309
           3612.2        0.200825
           3612.6       0.1859848
            3613.       0.1644191
           3613.4       0.1541962
           3613.8       0.1564549
           3614.2       0.1710736
           3614.6       0.2050691
            3615.       0.2335018
           3615.4       0.2494072
           3615.8       0.2406034
           3616.2       0.2307568
           3616.6       0.2280114
            3617.       0.2054964
           3617.4       0.1634878
           3617.8       0.1228689
           3618.2      0.09308937
           3618.6      0.07377478
            3619.      0.06190049
           3619.4      0.07139222
           3619.8       0.1009023
           3620.2       0.1312516
           3620.6       0.1565186
            3621.       0.1699677
           3621.4       0.1776514
           3621.8       0.1983027
           3622.2       0.2267667
           3622.6       0.2510609
            3623.        0.245612
           3623.4        0.211546
           3623.8       0.1884994
           3624.2       0.1858215
           3624.6       0.2034819
            3625.       0.2360266
           3625.4       0.2601263
           3625.8       0.2836838
           3626.2       0.3036623
           3626.6       0.3072141
            3627.       0.2996612
           3627.4        0.286463
           3627.8       0.2670858
           3628.2       0.2619912
           3628.6       0.2743181
            3629.       0.2785233
           3629.4        0.269975
           3629.8       0.2437246
           3630.2       0.1898904
           3630.6       0.1353548
            3631.      0.09779315
           3631.4      0.08164459
           3631.8      0.09519467
           3632.2       0.1203243
           3632.6       0.1534804
            3633.        0.171245
           3633.4       0.1768404
           3633.8       0.1800044
           3634.2       0.1694278
           3634.6       0.1590745
            3635.       0.1642287
           3635.4       0.1857542
           3635.8       0.2096643
           3636.2       0.2166603
           3636.6       0.2037295
            3637.       0.2060065
           3637.4       0.2137523
           3637.8       0.2190716
           3638.2       0.2263498
           3638.6       0.2523348
            3639.       0.2773022
           3639.4       0.2711949
           3639.8       0.2648739
           3640.2       0.2792335
           3640.6       0.2811758
            3641.       0.2693284
           3641.4       0.2581193
           3641.8       0.2450629
           3642.2       0.2398363
           3642.6       0.2276445
            3643.       0.2243317
           3643.4       0.2326659
           3643.8       0.2371014
           3644.2       0.2215325
           3644.6       0.1878706
            3645.       0.1611551
           3645.4       0.1579476
           3645.8       0.1778675
           3646.2       0.2044136
           3646.6       0.2035176
            3647.       0.1687486
           3647.4       0.1280985
           3647.8       0.1015164
           3648.2       0.1097813
           3648.6       0.1421068
            3649.         0.16194
           3649.4        0.160337
           3649.8        0.170103
           3650.2       0.1935194
           3650.6       0.2095621
            3651.       0.2231046
           3651.4       0.2081122
           3651.8       0.2094528
           3652.2       0.2471084
           3652.6       0.2828487
            3653.       0.2915699
           3653.4       0.2710376
           3653.8       0.2566388
           3654.2       0.2576976
           3654.6       0.2626691
            3655.       0.2567695
           3655.4       0.2574007
           3655.8       0.2780079
           3656.2       0.2840793
           3656.6       0.2968841
            3657.        0.306258
           3657.4        0.296765
           3657.8       0.2863084
           3658.2       0.3028082
           3658.6       0.3419526
            3659.       0.3476171
           3659.4       0.3243369
           3659.8       0.2982839
           3660.2       0.2865809
           3660.6        0.290588
            3661.        0.297507
           3661.4       0.3046652
           3661.8       0.2957216
           3662.2       0.2868871
           3662.6       0.2759542
            3663.       0.2565976
           3663.4       0.2424484
           3663.8        0.233711
           3664.2       0.2319014
           3664.6       0.2413801
            3665.       0.2771998
           3665.4       0.3097893
           3665.8       0.2922612
           3666.2       0.2525281
           3666.6       0.2390018
            3667.       0.2511979
           3667.4       0.2822061
           3667.8       0.2854464
           3668.2       0.2677957
           3668.6       0.2412702
            3669.         0.21181
           3669.4       0.1940725
           3669.8       0.1995463
           3670.2       0.2115655
           3670.6        0.224827
            3671.        0.249577
           3671.4       0.2807255
           3671.8       0.3001315
           3672.2       0.3035201
           3672.6       0.3063219
            3673.       0.2900207
           3673.4       0.2730833
           3673.8       0.2614002
           3674.2       0.2635188
           3674.6       0.2900549
            3675.       0.3163009
           3675.4       0.3160461
           3675.8       0.3060315
           3676.2       0.2890684
           3676.6       0.2618456
            3677.       0.2356699
           3677.4       0.2071315
           3677.8       0.2058757
           3678.2       0.2314005
           3678.6       0.2510248
            3679.       0.2252333
           3679.4       0.1787673
           3679.8       0.1554375
           3680.2        0.161202
           3680.6       0.1923441
            3681.       0.2278995
           3681.4       0.2562808
           3681.8       0.2604305
           3682.2       0.2383446
           3682.6       0.2356475
            3683.       0.2505308
           3683.4       0.2697172
           3683.8       0.2790542
           3684.2       0.2711883
           3684.6       0.2478354
            3685.       0.2210392
           3685.4         0.20124
           3685.8       0.1971844
           3686.2       0.1956216
           3686.6       0.1829966
            3687.       0.1541805
           3687.4       0.1256643
           3687.8       0.1313692
           3688.2       0.1633608
           3688.6        0.196973
            3689.       0.2160831
           3689.4       0.2316658
           3689.8       0.2457162
           3690.2       0.2727238
           3690.6       0.2940292
            3691.       0.3164651
           3691.4       0.3418916
           3691.8        0.346016
           3692.2       0.3268897
           3692.6       0.2961717
            3693.       0.2566621
           3693.4       0.2237502
           3693.8        0.208782
           3694.2       0.2196769
           3694.6       0.2491064
            3695.        0.268286
           3695.4       0.2552601
           3695.8       0.2438895
           3696.2       0.2370963
           3696.6       0.2243246
            3697.       0.2364157
           3697.4       0.2598663
           3697.8       0.2717306
           3698.2       0.2957727
           3698.6       0.3201276
            3699.       0.3371576
           3699.4       0.3422179
           3699.8       0.3395262
           3700.2        0.324248
           3700.6        0.309007
            3701.       0.3048515
           3701.4       0.3049315
           3701.8       0.3028092
           3702.2       0.2998123
           3702.6       0.3004526
            3703.       0.2912849
           3703.4       0.2505251
           3703.8       0.1982851
           3704.2       0.1745304
           3704.6        0.167308
            3705.       0.1486533
           3705.4       0.1344123
           3705.8       0.1318091
           3706.2       0.1613991
           3706.6       0.2095723
            3707.       0.2136602
           3707.4       0.1756602
           3707.8       0.1565789
           3708.2       0.1636857
           3708.6       0.1572407
            3709.       0.1352628
           3709.4       0.1301342
           3709.8       0.1608893
           3710.2       0.2174789
           3710.6       0.2607424
            3711.       0.2728808
           3711.4       0.2688302
           3711.8       0.2788823
           3712.2       0.2883864
           3712.6       0.3049521
            3713.       0.3199654
           3713.4       0.3316624
           3713.8       0.3546783
           3714.2        0.367201
           3714.6       0.3617246
            3715.       0.3333114
           3715.4        0.301327
           3715.8       0.2793653
           3716.2       0.2734777
           3716.6       0.2783933
            3717.        0.286323
           3717.4       0.2742284
           3717.8       0.2505108
           3718.2       0.2154578
           3718.6       0.1788051
            3719.       0.1405879
           3719.4      0.09467945
           3719.8      0.07614628
           3720.2      0.06927372
           3720.6       0.0880622
            3721.       0.1025303
           3721.4       0.1002373
           3721.8        0.100493
           3722.2       0.1000154
           3722.6       0.1179876
            3723.       0.1600468
           3723.4       0.2008601
           3723.8       0.2164985
           3724.2       0.2149963
           3724.6       0.2184931
            3725.        0.237443
           3725.4       0.2745241
           3725.8       0.2979683
           3726.2       0.2955975
           3726.6        0.250811
            3727.       0.1781505
           3727.4       0.1265782
           3727.8       0.1192041
           3728.2       0.1585093
           3728.6       0.2069257
            3729.       0.2460161
           3729.4       0.2660587
           3729.8       0.2483705
           3730.2        0.215314
           3730.6       0.1866257
            3731.       0.1794789
           3731.4       0.1940614
           3731.8       0.1942838
           3732.2       0.1764209
           3732.6       0.1478875
            3733.       0.1205823
           3733.4       0.1010401
           3733.8      0.08914204
           3734.2      0.07371197
           3734.6       0.0542325
            3735.      0.04854595
           3735.4      0.06167771
           3735.8      0.07980161
           3736.2       0.0864479
           3736.6      0.07871493
            3737.      0.07252035
           3737.4      0.08064663
           3737.8       0.1110197
           3738.2       0.1460733
           3738.6       0.1734313
            3739.       0.1857119
           3739.4       0.1922657
           3739.8       0.2104131
           3740.2       0.2416287
           3740.6       0.2696494
            3741.       0.2656709
           3741.4       0.2331492
           3741.8       0.2212213
           3742.2       0.2112391
           3742.6       0.1899717
