#K OBJECT   '86728'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 86728
#K OBJRA    10:01:00.66
#K OBJDEC   +31:55:25.2
#K OBJBMAG  6.020000E+00
#K OBJVMAG  5.400000E+00
#K SPTYPE   G3Va
#K OBJRV    5.600000E+01
#K HDNAME   HD 86728
#K BDNAME   BD+32 1964
#K HIPNAME  HIP 49081
#K SAONAME  SAO 61808
#K VHELIO   -8.86606147602023E-02
#K VLSR     -2.30671902155365E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434377E+03
#K CMAX1    4.762443E+03
#K PICKTYPE G2V
#K NCOMBINE 5
#K TEFF     5746  1993A&A...275..101E (Edvardsson)
#K LOGG     4.020000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      1.000000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9467.4
#K GAPS     8121.0-8134.2

#      wavelength        spectrum
#       angstroms                

            3465.        0.550101
           3465.4       0.4837413
           3465.8       0.4280649
           3466.2       0.4207763
           3466.6       0.4526683
            3467.       0.5007709
           3467.4       0.5430753
           3467.8       0.5674834
           3468.2       0.5731644
           3468.6        0.554105
            3469.       0.5348675
           3469.4         0.54212
           3469.8        0.580647
           3470.2       0.6264903
           3470.6       0.6409615
            3471.           0.602
           3471.4       0.5503628
           3471.8       0.4991978
           3472.2       0.4628894
           3472.6       0.4679956
            3473.       0.4837443
           3473.4       0.4820279
           3473.8       0.4619299
           3474.2       0.4398963
           3474.6       0.4194193
            3475.       0.3893071
           3475.4       0.3559425
           3475.8       0.3463176
           3476.2       0.3488835
           3476.6       0.3511783
            3477.       0.3748442
           3477.4       0.4273166
           3477.8         0.47273
           3478.2        0.499153
           3478.6       0.5253699
            3479.         0.53374
           3479.4       0.5353587
           3479.8       0.5235999
           3480.2       0.5088493
           3480.6       0.5030736
            3481.       0.5074576
           3481.4       0.5064377
           3481.8       0.5065231
           3482.2       0.4926484
           3482.6       0.4622214
            3483.       0.4303625
           3483.4       0.4070992
           3483.8       0.4131414
           3484.2         0.43072
           3484.6       0.4352296
            3485.       0.4267344
           3485.4       0.4292403
           3485.8       0.4586882
           3486.2       0.5005625
           3486.6       0.5606024
            3487.       0.6068539
           3487.4       0.6124581
           3487.8       0.5859368
           3488.2       0.5343307
           3488.6       0.4702338
            3489.       0.4189126
           3489.4        0.388434
           3489.8       0.3744342
           3490.2       0.3626041
           3490.6       0.3516894
            3491.       0.3790842
           3491.4       0.4340761
           3491.8       0.4692686
           3492.2       0.4442505
           3492.6        0.393488
            3493.       0.3705498
           3493.4       0.4007919
           3493.8       0.4705084
           3494.2       0.5282372
           3494.6       0.5459965
            3495.       0.5246348
           3495.4       0.4805031
           3495.8       0.4293679
           3496.2       0.4006641
           3496.6       0.3806837
            3497.       0.3640001
           3497.4       0.3593274
           3497.8       0.3744763
           3498.2       0.4262156
           3498.6       0.5181499
            3499.       0.6016105
           3499.4       0.6429927
           3499.8          0.6533
           3500.2       0.6174154
           3500.6       0.5956197
            3501.       0.5990283
           3501.4       0.6076188
           3501.8       0.6017805
           3502.2       0.5832404
           3502.6       0.5984594
            3503.       0.6509145
           3503.4       0.6999568
           3503.8        0.712388
           3504.2       0.6727082
           3504.6       0.6022587
            3505.        0.552744
           3505.4       0.5395749
           3505.8       0.5371551
           3506.2        0.528133
           3506.6       0.5282308
            3507.       0.5537068
           3507.4       0.5847648
           3507.8       0.6094197
           3508.2       0.6166918
           3508.6       0.6159254
            3509.       0.6027063
           3509.4       0.5601788
           3509.8       0.4936903
           3510.2       0.4404979
           3510.6       0.4528658
            3511.       0.5010192
           3511.4       0.5440509
           3511.8       0.5330133
           3512.2       0.5085656
           3512.6       0.4831492
            3513.       0.4550772
           3513.4       0.4243478
           3513.8       0.4056313
           3514.2       0.3937338
           3514.6       0.3856205
            3515.       0.4045088
           3515.4       0.4554949
           3515.8        0.518297
           3516.2       0.5624803
           3516.6       0.5919237
            3517.       0.6236827
           3517.4       0.6626772
           3517.8       0.6871328
           3518.2       0.6675786
           3518.6       0.6354171
            3519.        0.626397
           3519.4       0.6106635
           3519.8       0.5710704
           3520.2       0.5415027
           3520.6       0.5256436
            3521.       0.4930439
           3521.4       0.4561343
           3521.8       0.4655056
           3522.2       0.4995519
           3522.6       0.5084363
            3523.       0.4866631
           3523.4       0.4401051
           3523.8        0.394125
           3524.2       0.3520445
           3524.6       0.3343048
            3525.       0.3674426
           3525.4       0.3976985
           3525.8       0.3615214
           3526.2       0.3108433
           3526.6       0.3233203
            3527.       0.3916153
           3527.4       0.4680721
           3527.8       0.5146037
           3528.2       0.5575637
           3528.6       0.5995719
            3529.       0.6173071
           3529.4       0.5938388
           3529.8       0.5619941
           3530.2       0.5659201
           3530.6       0.5928152
            3531.       0.5996975
           3531.4       0.5726397
           3531.8       0.5271557
           3532.2       0.4847196
           3532.6       0.4519259
            3533.       0.4630457
           3533.4       0.5175776
           3533.8       0.5907461
           3534.2       0.6429788
           3534.6       0.6456779
            3535.       0.6265376
           3535.4        0.607217
           3535.8       0.5840989
           3536.2       0.5732295
           3536.6       0.5737966
            3537.        0.561627
           3537.4       0.5480195
           3537.8       0.5383594
           3538.2       0.5560868
           3538.6       0.6202042
            3539.       0.6830605
           3539.4       0.7261093
           3539.8       0.7192548
           3540.2       0.6593292
           3540.6       0.5885924
            3541.       0.5438383
           3541.4        0.528282
           3541.8       0.5221443
           3542.2       0.5273359
