#K OBJECT   '8705'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 8705
#K OBJRA    01:25:37.23
#K OBJDEC   -14:35:55.7
#K OBJBMAG  6.157000E+00
#K OBJVMAG  4.918000E+00
#K SPTYPE   K2III
#K OBJRV    -2.310000E+01
#K HDNAME   HD 8705
#K BDNAME   BD-15 266
#K HIPNAME  HIP 6670
#K SAONAME  SAO 147803
#K VHELIO   -3.63585646686899E+00
#K VLSR     -1.20105544749906E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453644E+03
#K CMAX1    4.778362E+03
#K PICKTYPE K2III
#K NCOMBINE 5
#K TEFF     4340  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.300000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -3.200000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.8-8146.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.1118688
           3465.4      0.08610401
           3465.8      0.07447684
           3466.2      0.07802816
           3466.6      0.08589501
            3467.      0.09614994
           3467.4       0.1121956
           3467.8       0.1235547
           3468.2        0.144067
           3468.6       0.1468422
            3469.       0.1356595
           3469.4       0.1381197
           3469.8       0.1490203
           3470.2       0.1594371
           3470.6       0.1642286
            3471.        0.156569
           3471.4       0.1474999
           3471.8       0.1260287
           3472.2       0.1049924
           3472.6       0.1022267
            3473.       0.1009313
           3473.4      0.09121962
           3473.8       0.0822356
           3474.2      0.07463639
           3474.6      0.06525908
            3475.      0.05760239
           3475.4      0.05563297
           3475.8      0.05511242
           3476.2      0.05181202
           3476.6      0.05428853
            3477.      0.06595218
           3477.4      0.09369601
           3477.8       0.1114796
           3478.2       0.1178445
           3478.6       0.1198502
            3479.       0.1211231
           3479.4        0.125214
           3479.8       0.1214259
           3480.2       0.1157011
           3480.6       0.1142849
            3481.       0.1155278
           3481.4       0.1284316
           3481.8       0.1342913
           3482.2       0.1324497
           3482.6       0.1225449
            3483.      0.09859021
           3483.4      0.09924629
           3483.8       0.1018531
           3484.2        0.103602
           3484.6       0.1078191
            3485.       0.1073179
           3485.4       0.1067427
           3485.8       0.1175049
           3486.2       0.1363038
           3486.6       0.1577059
