#K OBJECT   '89449'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 89449
#K OBJRA    10:19:44.17
#K OBJDEC   +19:28:15.3
#K OBJBMAG  5.240000E+00
#K OBJVMAG  4.800000E+00
#K SPTYPE   F6IV
#K OBJRV    6.800000E+00
#K HDNAME   HD 89449
#K BDNAME   BD+20 2466
#K HIPNAME  HIP 50564
#K SAONAME  SAO 99065
#K VHELIO   2.15811365934344E+00
#K VLSR     -1.67204970851335E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680135E+03
#K CMAX1    6.010325E+03
#K PICKTYPE F5IV
#K NCOMBINE 7
#K TEFF     6333  2001MNRAS.326..981C (Cenarro)
#K LOGG     4.060000E+00  2001MNRAS.326..981C (Cenarro)
#K FEH      2.100000E-01  2001MNRAS.326..981C (Cenarro)
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.8-8135.8
#K OBSTITLE 89499

#      wavelength        spectrum
#       angstroms                

            3465.       0.7438015
           3465.4       0.7005664
           3465.8       0.6692027
           3466.2        0.672866
           3466.6       0.7009938
            3467.       0.7279322
           3467.4       0.7461436
           3467.8       0.7644784
           3468.2       0.7595114
           3468.6       0.7390728
            3469.       0.7172009
           3469.4        0.718545
           3469.8       0.7561652
           3470.2       0.7999201
           3470.6       0.8073857
            3471.       0.7806228
           3471.4       0.7466192
           3471.8       0.7187477
           3472.2       0.7072082
           3472.6       0.7114159
            3473.       0.7123052
           3473.4       0.6995464
           3473.8        0.665207
           3474.2       0.6411179
           3474.6       0.6339777
            3475.       0.6065803
           3475.4       0.5722585
           3475.8       0.5817081
           3476.2       0.5836794
           3476.6       0.5697446
            3477.       0.5771957
           3477.4       0.6159925
           3477.8       0.6720772
           3478.2       0.7039989
           3478.6        0.710233
            3479.       0.7235073
           3479.4       0.7157404
           3479.8       0.7094518
           3480.2       0.7110567
           3480.6        0.709152
            3481.       0.7088883
           3481.4       0.7137139
           3481.8       0.7106878
           3482.2       0.6926569
           3482.6       0.6571206
            3483.       0.6204445
           3483.4       0.6103227
           3483.8       0.6185526
           3484.2       0.6370029
           3484.6       0.6633893
            3485.       0.6617062
           3485.4       0.6609694
           3485.8        0.693152
           3486.2       0.7321516
           3486.6       0.7728553
            3487.        0.807065
           3487.4       0.8047332
           3487.8       0.7620046
           3488.2       0.7116321
           3488.6       0.6686608
            3489.       0.6300844
           3489.4       0.6199471
           3489.8       0.6287329
           3490.2       0.6242756
           3490.6       0.6201485
            3491.       0.6302896
           3491.4       0.6811522
           3491.8       0.7200091
           3492.2       0.7134462
           3492.6       0.6676322
            3493.       0.6317709
           3493.4       0.6432894
           3493.8       0.6777058
           3494.2       0.7022402
           3494.6       0.6929975
            3495.       0.6476134
           3495.4       0.5818412
           3495.8       0.5552025
           3496.2       0.5462816
           3496.6       0.5483605
            3497.       0.5493875
           3497.4        0.556375
           3497.8       0.5881733
           3498.2       0.6621823
           3498.6       0.7455434
            3499.       0.7965658
           3499.4       0.8118734
           3499.8       0.7844716
           3500.2       0.7569246
           3500.6        0.742754
            3501.       0.7543204
