#K OBJECT   '91889'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 91889
#K OBJRA    10:36:32.38
#K OBJDEC   -12:13:48.4
#K OBJBMAG  6.220000E+00
#K OBJVMAG  5.700000E+00
#K SPTYPE   F7V
#K OBJRV    -5.800000E+00
#K HDNAME   HD 91889
#K BDNAME   BD-11 2918
#K HIPNAME  HIP 51933
#K SAONAME  SAO 156095
#K VHELIO   2.24435761642202E+01
#K VLSR     1.40318175849616E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678759E+03
#K CMAX1    6.005754E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     6140  1993A&A...275..101E (Edvardsson)
#K LOGG     4.220000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -2.400000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     8122.6-8136.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.6082247
           3465.4       0.5533241
           3465.8       0.5086873
           3466.2       0.5161511
           3466.6       0.5544397
            3467.       0.5793753
           3467.4       0.6122485
           3467.8       0.6226008
           3468.2        0.618255
           3468.6       0.6126283
            3469.       0.5974594
           3469.4       0.5911692
           3469.8        0.610152
           3470.2       0.6456454
           3470.6       0.6650705
            3471.       0.6378527
           3471.4       0.6063985
           3471.8       0.6077483
           3472.2       0.5809446
           3472.6       0.5609617
            3473.       0.5876938
           3473.4        0.544596
           3473.8       0.5089076
           3474.2       0.5285963
           3474.6       0.5251536
            3475.       0.4806355
           3475.4       0.4519671
           3475.8       0.4500656
           3476.2       0.4520934
           3476.6       0.4607503
            3477.       0.4726096
           3477.4       0.4968527
           3477.8       0.5425267
           3478.2       0.5866205
           3478.6       0.6053078
            3479.       0.5842228
           3479.4       0.5767042
           3479.8       0.5811279
           3480.2       0.5801883
           3480.6        0.591754
            3481.       0.5980535
           3481.4       0.5973372
           3481.8       0.6079636
           3482.2       0.5726383
           3482.6       0.5343935
            3483.       0.5374173
           3483.4       0.5056977
           3483.8       0.5143765
           3484.2       0.5368526
           3484.6       0.5623425
            3485.       0.5523383
           3485.4       0.5550894
           3485.8       0.5947915
           3486.2       0.6200269
           3486.6       0.6356542
            3487.       0.6571879
           3487.4       0.6616321
           3487.8       0.6389114
