#K OBJECT   '94669'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 94669
#K OBJRA    10:56:14.52
#K OBJDEC   +42:00:29.4
#K OBJBMAG  7.169000E+00
#K OBJVMAG  6.037000E+00
#K SPTYPE   K2III
#K OBJRV    -5.440000E+01
#K HDNAME   HD 94669
#K BDNAME   BD+42 2162
#K HIPNAME  HIP 53465
#K SAONAME  SAO 43535
#K VHELIO   8.93267437138892E-01
#K VLSR     3.84488996168227E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.681042E+03
#K CMAX1    6.011498E+03
#K PICKTYPE K2III
#K NCOMBINE 5
#K TEFF     4470  Jones..Coude.Feed.Library
#K LOGG     2.400000E+00  Jones..Coude.Feed.Library
#K FEH      -1.400000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     8123.8-8138.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.1228488
           3465.4       0.1012122
           3465.8      0.08238045
           3466.2      0.07535905
           3466.6       0.0800522
            3467.       0.0956971
           3467.4       0.1113064
           3467.8       0.1233222
           3468.2       0.1326186
           3468.6       0.1329027
            3469.       0.1302722
           3469.4       0.1291316
           3469.8       0.1392895
           3470.2       0.1579326
           3470.6       0.1636824
            3471.       0.1533701
           3471.4       0.1393451
           3471.8       0.1219201
           3472.2       0.1065523
           3472.6        0.100799
            3473.       0.1007365
           3473.4      0.09684804
           3473.8      0.09062847
           3474.2      0.08126182
           3474.6      0.07295509
            3475.       0.0644077
           3475.4      0.05528549
           3475.8      0.05155877
           3476.2      0.05219207
           3476.6      0.05508533
            3477.      0.06561678
           3477.4      0.08350014
           3477.8       0.1035789
           3478.2       0.1159187
           3478.6       0.1185406
            3479.       0.1205778
           3479.4       0.1221166
           3479.8       0.1156302
           3480.2       0.1100278
           3480.6       0.1109091
            3481.       0.1117932
           3481.4       0.1168666
           3481.8       0.1235612
           3482.2       0.1209323
           3482.6       0.1128796
            3483.      0.09883586
           3483.4      0.09312186
           3483.8      0.09401164
           3484.2       0.1033847
           3484.6       0.1080005
            3485.       0.1007666
           3485.4      0.09705135
           3485.8       0.1017539
           3486.2        0.120835
           3486.6       0.1426076
            3487.       0.1530906
           3487.4       0.1578598
           3487.8       0.1529489
           3488.2       0.1383194
           3488.6       0.1206538
            3489.      0.09955909
           3489.4      0.08519202
           3489.8      0.07262526
           3490.2      0.06328291
           3490.6      0.05842286
            3491.      0.06174242
           3491.4      0.07740158
           3491.8      0.09127723
           3492.2      0.08811604
           3492.6      0.07433572
            3493.      0.06825463
           3493.4      0.07983561
           3493.8      0.09964074
           3494.2       0.1195958
           3494.6       0.1264348
            3495.       0.1289218
           3495.4       0.1148392
           3495.8      0.09970449
           3496.2      0.08719171
           3496.6       0.0803837
            3497.       0.0746063
           3497.4      0.07032181
           3497.8      0.07646247
           3498.2      0.09541783
           3498.6       0.1253349
            3499.       0.1477096
           3499.4       0.1620849
           3499.8       0.1695221
           3500.2       0.1628549
           3500.6       0.1492991
            3501.       0.1467744
           3501.4       0.1510414
           3501.8       0.1463894
           3502.2       0.1417878
           3502.6       0.1469348
            3503.       0.1639916
           3503.4       0.1905018
           3503.8       0.2029075
           3504.2       0.1917451
           3504.6       0.1722999
            3505.       0.1470653
           3505.4       0.1371381
           3505.8       0.1332531
           3506.2       0.1280884
           3506.6       0.1240358
            3507.       0.1304221
           3507.4       0.1464488
           3507.8       0.1629756
           3508.2       0.1685425
           3508.6       0.1627843
            3509.       0.1515621
           3509.4       0.1306913
           3509.8        0.109565
           3510.2      0.09283888
           3510.6      0.09763075
            3511.       0.1161317
           3511.4       0.1317509
           3511.8        0.127822
           3512.2       0.1187675
           3512.6       0.1077322
            3513.      0.09576284
           3513.4      0.08477157
           3513.8      0.07620216
           3514.2      0.07271186
           3514.6      0.06652992
            3515.      0.06812645
           3515.4      0.08301158
           3515.8       0.1053488
           3516.2       0.1327943
           3516.6       0.1480219
            3517.       0.1637536
           3517.4       0.1803118
           3517.8       0.1888512
           3518.2        0.187721
           3518.6       0.1781604
            3519.       0.1645609
           3519.4        0.151806
           3519.8        0.137644
           3520.2       0.1248027
           3520.6       0.1193969
            3521.        0.101472
           3521.4       0.0915223
           3521.8      0.09229495
           3522.2        0.103201
           3522.6       0.1042815
            3523.      0.09610116
           3523.4      0.08150617
           3523.8      0.06733231
           3524.2      0.05596549
           3524.6      0.04798843
            3525.      0.05419633
           3525.4      0.06109357
           3525.8      0.05817717
           3526.2      0.05632727
           3526.6      0.06448703
            3527.      0.08953562
           3527.4       0.1123158
           3527.8       0.1269801
           3528.2       0.1411256
           3528.6       0.1510041
            3529.       0.1539012
           3529.4       0.1509407
           3529.8       0.1440855
           3530.2       0.1432505
           3530.6        0.148198
            3531.        0.145194
           3531.4       0.1370948
           3531.8       0.1214921
           3532.2       0.1137268
           3532.6       0.1068758
            3533.       0.1110036
           3533.4        0.123667
           3533.8       0.1459171
           3534.2       0.1643519
           3534.6       0.1678415
            3535.       0.1636455
           3535.4       0.1581357
