#K OBJECT   '97907'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 97907
#K OBJRA    11:15:51.90
#K OBJDEC   +13:18:27.3
#K OBJBMAG  6.519000E+00
#K OBJVMAG  5.319000E+00
#K SPTYPE   K3III
#K OBJRV    1.810000E+01
#K HDNAME   HD 97907
#K BDNAME   BD+14 2367
#K HIPNAME  HIP 55016
#K SAONAME  SAO 99525
#K VHELIO   9.53928459463953E+00
#K VLSR     8.33855145000194E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679798E+03
#K CMAX1    6.009967E+03
#K PICKTYPE K3III
#K NCOMBINE 6
#K TEFF     3818  1968ApJS...16....1H (Helfer)
#K LOGG     2.070000E+00  1968ApJS...16....1H (Helfer)
#K FEH      -1.700000E-01  1968ApJS...16....1H (Helfer)
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.4-8136.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.08493149
           3465.4      0.07576337
           3465.8      0.07022353
           3466.2       0.0709039
           3466.6      0.07821383
            3467.      0.08509748
           3467.4      0.09523825
           3467.8       0.1021899
           3468.2       0.1058118
           3468.6       0.1042471
            3469.      0.09910057
           3469.4      0.09971835
           3469.8       0.1093173
           3470.2       0.1211315
           3470.6        0.123849
            3471.       0.1152948
           3471.4       0.1039545
           3471.8      0.09404441
           3472.2      0.08597172
           3472.6      0.08254709
            3473.      0.08048145
           3473.4      0.08068322
           3473.8      0.07491988
           3474.2      0.06681657
           3474.6      0.06203088
            3475.      0.05786061
           3475.4      0.05599756
           3475.8      0.05722065
           3476.2      0.05667751
           3476.6      0.05675038
            3477.      0.06198735
           3477.4      0.07263849
           3477.8      0.08821268
           3478.2      0.09467631
           3478.6      0.09738974
            3479.      0.09616438
           3479.4      0.09575763
           3479.8      0.09292391
           3480.2      0.09388363
           3480.6      0.09565043
            3481.       0.1000286
           3481.4       0.1026241
           3481.8      0.09864507
           3482.2      0.09629492
           3482.6      0.09190021
            3483.      0.07952486
           3483.4      0.07564948
           3483.8      0.08237963
           3484.2      0.08580139
           3484.6      0.08779917
            3485.       0.0877659
           3485.4      0.08904484
