#K OBJECT   '98231'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 98231
#K OBJRA    11:18:10.92
#K OBJDEC   +31:31:45.1
#K OBJBMAG  5.000000E+00
#K OBJVMAG  4.410000E+00
#K SPTYPE   G0V
#K OBJRV    -1.550000E+01
#K HDNAME   HD 98231
#K BDNAME   BD+32 2132A
#K SAONAME  SAO 62484
#K VHELIO   5.37531306165393E+00
#K VLSR     7.68376956614153E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680257E+03
#K CMAX1    6.010558E+03
#K PICKTYPE G0V
#K NCOMBINE 5
#K TEFF     5950  1994A&A...291..505C (Cayrel)
#K LOGG     4.300000E+00  1994A&A...291..505C (Cayrel)
#K FEH      -3.500000E-01  1994A&A...291..505C (Cayrel)
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.4-6828.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.5595654
           3465.4        0.520354
           3465.8       0.4769164
           3466.2       0.4618729
           3466.6       0.4913816
            3467.       0.5296198
           3467.4       0.5638511
           3467.8       0.5842814
           3468.2       0.5847182
           3468.6       0.5724659
            3469.       0.5602107
           3469.4        0.558377
           3469.8        0.574381
           3470.2       0.6035734
           3470.6       0.6193959
            3471.         0.60689
           3471.4       0.5850874
           3471.8       0.5448199
           3472.2       0.5274386
           3472.6         0.51996
            3473.       0.5159411
           3473.4       0.5132656
           3473.8       0.4997634
           3474.2       0.4766462
           3474.6       0.4564482
            3475.       0.4326478
           3475.4       0.4044358
           3475.8       0.3934742
           3476.2       0.3938792
           3476.6       0.3998839
            3477.       0.4187419
           3477.4        0.456214
           3477.8       0.5029768
           3478.2       0.5412693
           3478.6       0.5617099
            3479.       0.5693464
           3479.4       0.5698807
           3479.8       0.5712984
           3480.2        0.569459
           3480.6       0.5631728
            3481.       0.5684173
           3481.4       0.5761417
           3481.8       0.5749909
           3482.2        0.568678
           3482.6       0.5400904
            3483.       0.5078796
           3483.4       0.4872273
           3483.8       0.4922984
           3484.2       0.5047779
           3484.6        0.513917
            3485.       0.5206747
           3485.4       0.5260109
           3485.8       0.5434331
           3486.2       0.5794148
           3486.6       0.6156817
            3487.       0.6372424
           3487.4       0.6421779
           3487.8       0.6324251
           3488.2       0.5974135
           3488.6       0.5534297
            3489.       0.5087114
           3489.4       0.4805414
           3489.8        0.459465
           3490.2       0.4363431
           3490.6       0.4248214
            3491.       0.4428355
           3491.4       0.4871589
           3491.8       0.5255049
           3492.2       0.5269934
           3492.6       0.4907857
            3493.       0.4651824
           3493.4       0.4787322
           3493.8       0.5102925
           3494.2       0.5503607
           3494.6       0.5647528
            3495.       0.5421895
           3495.4       0.5072189
           3495.8       0.4721054
           3496.2       0.4439329
           3496.6        0.432676
            3497.       0.4291478
           3497.4       0.4257206
           3497.8       0.4414856
           3498.2       0.4938662
           3498.6       0.5513195
            3499.       0.6165316
           3499.4       0.6473203
           3499.8       0.6449276
           3500.2       0.6238245
           3500.6       0.6069245
            3501.       0.6021996
           3501.4       0.6093038
           3501.8       0.6162267
           3502.2       0.6067451
           3502.6        0.608161
            3503.       0.6405023
           3503.4       0.6730803
           3503.8       0.6857626
           3504.2       0.6626058
           3504.6       0.6162845
            3505.        0.583011
           3505.4       0.5706148
           3505.8       0.5670623
           3506.2       0.5634063
           3506.6       0.5675266
            3507.       0.5837237
           3507.4       0.6006967
           3507.8       0.6101638
