#K OBJECT   '98430'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 98430
#K OBJRA    11:19:20.45
#K OBJDEC   -14:46:42.7
#K OBJBMAG  4.680000E+00
#K OBJVMAG  3.560000E+00
#K SPTYPE   K0III
#K OBJRV    -5.200000E+00
#K HDNAME   HD 98430
#K BDNAME   BD-13 3345
#K HIPNAME  HIP 55282
#K SAONAME  SAO 156605
#K VHELIO   1.66421165063189E+01
#K VLSR     1.08597616453135E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435302E+03
#K CMAX1    4.763714E+03
#K PICKTYPE K0III
#K NCOMBINE 6
#K TEFF     4500  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.590000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -4.800000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2272155
           3465.4       0.1998381
           3465.8       0.1639226
           3466.2       0.1416565
           3466.6       0.1456317
            3467.       0.1653712
           3467.4       0.1864098
           3467.8       0.2064904
           3468.2       0.2247033
           3468.6        0.228855
            3469.       0.2204942
           3469.4       0.2142397
           3469.8       0.2232473
           3470.2       0.2415356
           3470.6        0.257055
            3471.       0.2569976
           3471.4       0.2386056
           3471.8       0.2102905
           3472.2       0.1834297
           3472.6       0.1704452
            3473.       0.1677973
           3473.4       0.1667587
           3473.8       0.1558697
           3474.2       0.1408141
           3474.6       0.1317506
            3475.       0.1254391
           3475.4       0.1121365
           3475.8       0.1036836
           3476.2       0.1030518
           3476.6       0.1026199
            3477.       0.1099989
           3477.4       0.1321627
           3477.8       0.1612906
           3478.2       0.1849137
           3478.6       0.1929242
            3479.       0.1921318
           3479.4        0.193757
           3479.8        0.190219
           3480.2       0.1856443
           3480.6        0.186848
            3481.       0.1918193
           3481.4       0.1991868
           3481.8       0.2082868
           3482.2       0.2113218
           3482.6       0.2014433
            3483.       0.1813643
           3483.4       0.1603207
           3483.8       0.1556038
           3484.2       0.1684271
           3484.6       0.1803009
            3485.       0.1786888
           3485.4       0.1731801
           3485.8       0.1780234
           3486.2       0.2015843
           3486.6       0.2349031
            3487.        0.259463
           3487.4       0.2699395
           3487.8       0.2661476
           3488.2       0.2465804
           3488.6       0.2211203
            3489.       0.1901847
           3489.4       0.1638905
           3489.8       0.1440469
           3490.2       0.1243978
           3490.6       0.1115771
            3491.       0.1126505
           3491.4       0.1339851
           3491.8       0.1597095
           3492.2       0.1682086
           3492.6       0.1522759
            3493.       0.1291521
           3493.4       0.1296839
           3493.8       0.1548171
           3494.2       0.1886838
           3494.6       0.2087926
            3495.        0.211479
           3495.4       0.1936506
           3495.8       0.1671755
           3496.2       0.1444141
           3496.6       0.1335654
            3497.       0.1288708
           3497.4       0.1258904
           3497.8       0.1312225
           3498.2       0.1496904
           3498.6       0.1822923
            3499.       0.2232237
           3499.4       0.2537041
           3499.8       0.2646999
           3500.2       0.2584775
           3500.6       0.2431204
            3501.       0.2361505
           3501.4       0.2449142
           3501.8       0.2486394
           3502.2       0.2350117
           3502.6       0.2311828
            3503.        0.257005
           3503.4       0.2950266
