#K OBJECT   '9856'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 9856
#K OBJRA    01:35:58.97
#K OBJDEC   -15:24:00.7
#K OBJBMAG  6.674000E+00
#K OBJVMAG  5.415000E+00
#K SPTYPE   K1III
#K OBJRV    2.360000E+01
#K HDNAME   HD 9856
#K BDNAME   BD-16 270
#K HIPNAME  HIP 7450
#K SAONAME  SAO 147901
#K VHELIO   -8.12293957054861E+00
#K VLSR     -1.73127280410020E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453610E+03
#K CMAX1    4.778673E+03
#K PICKTYPE K1III
#K NCOMBINE 5
#K TEFF     4370  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.430000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.700000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8120.6-8144.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.1589454
           3465.4       0.1309913
           3465.8       0.1148243
           3466.2       0.1129405
           3466.6       0.1274077
            3467.       0.1450392
           3467.4       0.1612807
           3467.8       0.1763859
           3468.2        0.190539
           3468.6       0.1820608
            3469.        0.183023
           3469.4        0.196707
           3469.8       0.2060211
           3470.2       0.2209022
           3470.6       0.2265327
            3471.       0.2038746
           3471.4       0.1802556
           3471.8       0.1633797
           3472.2       0.1466493
           3472.6       0.1395749
            3473.       0.1349405
           3473.4       0.1272439
           3473.8       0.1166528
           3474.2       0.1023515
           3474.6      0.09120513
            3475.      0.08249046
           3475.4      0.07590766
           3475.8       0.0761705
           3476.2      0.08194999
           3476.6      0.09089708
            3477.       0.1041613
           3477.4       0.1314961
           3477.8       0.1486046
           3478.2       0.1645485
           3478.6       0.1630538
            3479.       0.1681242
           3479.4       0.1607233
           3479.8       0.1575813
           3480.2       0.1649421
           3480.6       0.1661436
            3481.       0.1649154
           3481.4       0.1720431
           3481.8       0.1783221
           3482.2        0.163672
           3482.6       0.1560366
            3483.       0.1391134
           3483.4       0.1367551
           3483.8       0.1400093
           3484.2        0.142708
           3484.6       0.1476883
            3485.       0.1464093
           3485.4       0.1491464
           3485.8        0.163796
           3486.2       0.1869951
           3486.6       0.2134407
            3487.        0.224087
           3487.4       0.2171435
           3487.8       0.2086644
           3488.2       0.1829368
           3488.6       0.1533025
            3489.       0.1361673
           3489.4       0.1165448
           3489.8       0.1020183
           3490.2       0.0885034
           3490.6      0.08836456
            3491.       0.1001787
           3491.4       0.1147708
           3491.8       0.1234532
           3492.2       0.1167481
           3492.6       0.1083419
            3493.       0.1024816
           3493.4       0.1225302
           3493.8       0.1384741
           3494.2       0.1665961
           3494.6       0.1791855
            3495.       0.1674845
           3495.4       0.1409491
           3495.8       0.1236323
           3496.2       0.1079578
           3496.6       0.1023947
            3497.       0.1047931
           3497.4      0.09869055
           3497.8       0.1129813
           3498.2       0.1399178
           3498.6       0.1780951
            3499.       0.2018261
           3499.4       0.2214059
           3499.8       0.2137771
           3500.2       0.2053328
           3500.6       0.1985716
            3501.       0.1991645
           3501.4       0.1940926
           3501.8       0.1914513
           3502.2       0.1973906
           3502.6       0.2062836
            3503.       0.2401533
           3503.4       0.2762072
           3503.8       0.2805018
           3504.2       0.2531279
           3504.6        0.213966
            3505.       0.1856809
           3505.4       0.1750306
           3505.8       0.1672476
           3506.2       0.1647382
           3506.6       0.1724758
            3507.       0.1882948
           3507.4        0.209573
           3507.8       0.2167345
           3508.2       0.2116056
           3508.6       0.2154156
            3509.       0.1953403
           3509.4       0.1695781
           3509.8       0.1338979
