#K OBJECT   '98991'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 98991
#K OBJRA    11:23:21.88
#K OBJDEC   -18:46:47.9
#K OBJBMAG  5.510000E+00
#K OBJVMAG  5.090000E+00
#K SPTYPE   F3IV
#K OBJRV    1.130000E+01
#K HDNAME   HD 98991
#K BDNAME   BD-17 3367
#K HIPNAME  HIP 55598
#K SAONAME  SAO 156646
#K VHELIO   2.57637063984321E+01
#K VLSR     1.96635782326772E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678540E+03
#K CMAX1    6.005474E+03
#K PICKTYPE F5IV
#K NCOMBINE 6
#K TEFF     6643  1993A&A...275..101E (Edvardsson)
#K LOGG     3.980000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -1.000000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.7528779
           3465.4       0.7544591
           3465.8       0.7122183
           3466.2       0.6956828
           3466.6       0.7203389
            3467.       0.7338881
           3467.4       0.7485693
           3467.8       0.7699849
           3468.2       0.7724626
           3468.6       0.7522122
            3469.       0.7211347
           3469.4       0.7324648
           3469.8       0.7518587
           3470.2       0.7708312
           3470.6       0.7934599
            3471.       0.7964144
           3471.4       0.7740756
           3471.8       0.7537471
           3472.2       0.7277387
           3472.6       0.7226129
            3473.       0.7304291
           3473.4       0.7153053
           3473.8        0.692057
           3474.2       0.6609884
           3474.6       0.6471187
            3475.       0.6239169
           3475.4       0.5924481
           3475.8       0.5830893
           3476.2       0.5970316
           3476.6       0.5948905
            3477.       0.5911857
           3477.4       0.6128117
           3477.8       0.6603761
           3478.2       0.6992594
           3478.6       0.7062672
            3479.       0.7022204
           3479.4       0.6958804
           3479.8        0.686003
           3480.2       0.6935707
           3480.6       0.7113857
            3481.       0.7000483
           3481.4       0.7051093
           3481.8       0.7167299
           3482.2       0.7112929
           3482.6       0.7003165
            3483.        0.662317
           3483.4       0.6252909
           3483.8       0.6169488
           3484.2       0.6325962
           3484.6       0.6763881
            3485.       0.6864678
           3485.4       0.6912086
           3485.8       0.6987606
           3486.2       0.7401785
           3486.6       0.7781293
            3487.       0.8088639
           3487.4       0.8010303
           3487.8       0.7769266
           3488.2       0.7458392
           3488.6       0.6966962
            3489.       0.6606336
           3489.4        0.656258
           3489.8       0.6544105
           3490.2       0.6386594
           3490.6       0.6259058
            3491.       0.6429645
           3491.4       0.6652294
           3491.8       0.7155205
           3492.2       0.7376972
           3492.6       0.7044663
            3493.       0.6692836
           3493.4       0.6710804
           3493.8       0.6925291
           3494.2       0.7092773
           3494.6       0.7036569
            3495.        0.659382
           3495.4       0.5991091
           3495.8        0.553853
           3496.2       0.5170207
           3496.6       0.5342793
            3497.       0.5570948
           3497.4       0.5662407
           3497.8       0.5854541
           3498.2       0.6458846
           3498.6       0.7102768
            3499.       0.7569005
           3499.4       0.7750038
           3499.8       0.7536746
           3500.2       0.7346208
           3500.6       0.7345917
            3501.       0.7272366
           3501.4       0.7390434
           3501.8       0.7537236
           3502.2         0.74568
           3502.6       0.7392687
            3503.        0.761162
           3503.4       0.7903688
           3503.8       0.7861453
           3504.2       0.7739346
           3504.6       0.7380832
            3505.       0.6713819
           3505.4       0.6371794
           3505.8       0.6422101
           3506.2       0.6601018
           3506.6       0.6656008
            3507.       0.6918752
           3507.4       0.7102478
           3507.8        0.722075
           3508.2       0.7415906
           3508.6       0.7512196
            3509.        0.766322
           3509.4       0.7640464
           3509.8       0.7267687
           3510.2       0.6789569
           3510.6       0.6578559
            3511.       0.6758315
           3511.4       0.6942536
           3511.8       0.7104983
           3512.2       0.7049921
           3512.6        0.702603
            3513.       0.6943439
           3513.4       0.6786482
           3513.8       0.6590773
           3514.2       0.6536379
           3514.6       0.6756407
            3515.       0.6984276
           3515.4       0.7181267
           3515.8       0.7412052
           3516.2        0.755228
           3516.6       0.7695833
            3517.       0.7677844
           3517.4       0.7711365
           3517.8       0.7779283
           3518.2       0.7780925
           3518.6       0.7669321
            3519.       0.7743061
           3519.4       0.7549199
           3519.8       0.7233614
           3520.2       0.6882967
           3520.6       0.6742882
            3521.       0.6785045
           3521.4       0.6619961
           3521.8       0.6795579
           3522.2       0.7152215
           3522.6       0.7362008
            3523.       0.7463302
           3523.4       0.7084205
           3523.8       0.6855819
           3524.2       0.6425273
           3524.6       0.6300437
            3525.       0.6524482
           3525.4       0.6814343
           3525.8       0.6676268
           3526.2        0.592101
           3526.6        0.535134
            3527.       0.5601986
           3527.4       0.6427222
           3527.8       0.7053902
           3528.2       0.7395598
           3528.6       0.7660635
            3529.       0.7905951
           3529.4       0.7638916
           3529.8       0.7410446
           3530.2       0.7270187
           3530.6       0.7283763
            3531.       0.7420949
           3531.4       0.7349561
           3531.8       0.7191183
           3532.2        0.707737
           3532.6       0.6859311
            3533.       0.6801423
           3533.4       0.7029955
           3533.8       0.7236126
           3534.2       0.7693667
           3534.6        0.803661
            3535.       0.7911731
           3535.4       0.7450111
           3535.8       0.7144563
           3536.2       0.7242151
           3536.6         0.75065
            3537.       0.7639534
           3537.4       0.7500578
           3537.8       0.7303448
           3538.2       0.7499756
           3538.6       0.7732244
            3539.       0.8046734
           3539.4       0.8437183
           3539.8       0.8440816
           3540.2       0.8270276
           3540.6       0.7935125
            3541.       0.7630256
           3541.4       0.7489944
           3541.8       0.7450625
           3542.2       0.7419083
           3542.6       0.7403958
            3543.       0.7631044
           3543.4       0.7974963
           3543.8       0.8181933
           3544.2       0.8134553
           3544.6       0.8135394
            3545.       0.7956537
           3545.4       0.7699917
           3545.8       0.7615042
           3546.2       0.7917325
           3546.6       0.8284265
            3547.       0.8352664
           3547.4       0.8122481
           3547.8       0.7736737
           3548.2       0.7430014
           3548.6       0.7386607
            3549.       0.7659791
           3549.4       0.7781925
           3549.8       0.8037964
           3550.2       0.8154073
           3550.6       0.8363216
            3551.       0.8473521
           3551.4        0.824188
           3551.8       0.7879873
           3552.2       0.7670488
           3552.6       0.7697973
            3553.       0.7719629
           3553.4       0.7568591
           3553.8       0.7464157
           3554.2       0.7286609
           3554.6       0.7194221
            3555.       0.7194837
           3555.4        0.757993
           3555.8       0.8125113
           3556.2       0.8136725
           3556.6       0.7745112
            3557.        0.745373
           3557.4       0.7620842
           3557.8       0.8012372
           3558.2       0.7975053
           3558.6       0.7658104
            3559.       0.7667914
           3559.4       0.7773646
           3559.8       0.7898224
           3560.2       0.8013684
           3560.6       0.7753596
            3561.       0.7554045
           3561.4       0.7327957
           3561.8       0.7388376
           3562.2       0.7706853
           3562.6        0.812496
            3563.       0.8550078
           3563.4       0.8817386
           3563.8       0.8795946
           3564.2       0.8402949
           3564.6       0.7905893
            3565.       0.7255575
           3565.4       0.6522956
           3565.8       0.5940859
           3566.2       0.5637924
           3566.6       0.6004741
            3567.       0.6657594
