#K OBJECT   'BD+18_2976'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  SAO 101380
#K OBJRA    15:07:24.29
#K OBJDEC   +17:26:58.3
#K OBJBMAG  1.063000E+01
#K OBJVMAG  9.850000E+00
#K SPTYPE   G0
#K OBJRV    -173
#K BDNAME   BD+18 2976
#K HIPNAME  HIP 74003
#K SAONAME  SAO 101380
#K VHELIO   1.58523695676977E+01
#K VLSR     3.07134370526026E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.443425E+03
#K CMAX1    4.770102E+03
#K PICKTYPE G0V
#K NCOMBINE 5
#K TEFF     4550  2003AJ....125..293C (Carney)
#K LOGG     1.300000E+00  2003AJ....125..293C (Carney)
#K FEH      -2.420000E+00  2003AJ....125..293C (Carney)
#K COVERAGE 3465.0-8111.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.6003131
           3465.4       0.5316739
           3465.8       0.5083032
           3466.2       0.4623238
           3466.6       0.4850683
            3467.       0.5258799
           3467.4       0.5586597
           3467.8       0.5957797
           3468.2       0.5553713
           3468.6        0.569097
            3469.       0.5454608
           3469.4       0.5639669
           3469.8       0.5917372
           3470.2       0.5892069
           3470.6       0.5776199
            3471.       0.5776788
           3471.4       0.5644555
           3471.8       0.5419511
           3472.2       0.5421544
           3472.6       0.5514354
            3473.       0.5617046
           3473.4       0.5344539
           3473.8       0.4987832
           3474.2       0.5198475
           3474.6       0.4971349
            3475.       0.5018634
           3475.4       0.4504432
           3475.8       0.4214245
           3476.2       0.4563881
           3476.6       0.4521909
            3477.       0.4271477
           3477.4       0.4591245
           3477.8       0.5327565
           3478.2       0.5739146
           3478.6       0.5683797
            3479.       0.5559734
           3479.4       0.5816182
           3479.8       0.5899036
           3480.2       0.5406374
           3480.6       0.5664269
            3481.       0.5783688
           3481.4       0.5761676
           3481.8       0.5945843
           3482.2       0.5830948
           3482.6       0.5431249
            3483.       0.5096252
           3483.4        0.478682
           3483.8        0.501084
           3484.2       0.5429642
           3484.6       0.5156778
            3485.       0.5487511
           3485.4       0.5523735
           3485.8       0.5522796
           3486.2       0.5844455
           3486.6       0.6088328
            3487.       0.5987916
           3487.4       0.5909074
           3487.8       0.5896914
           3488.2       0.5572811
           3488.6       0.5353063
            3489.       0.5456815
           3489.4       0.5346882
           3489.8       0.4887322
           3490.2       0.4518248
           3490.6       0.4203456
            3491.       0.4512599
           3491.4       0.4807779
           3491.8       0.5382856
           3492.2        0.555737
           3492.6       0.5524697
            3493.       0.5172601
           3493.4       0.5170683
           3493.8       0.5495106
           3494.2        0.564966
           3494.6       0.5546198
            3495.       0.4908668
           3495.4       0.4428687
           3495.8       0.4219663
           3496.2       0.4288183
           3496.6       0.4380488
            3497.       0.4395217
           3497.4       0.4666792
           3497.8       0.4836264
           3498.2       0.5128649
           3498.6       0.5935612
            3499.       0.6095861
           3499.4       0.5744952
           3499.8       0.5812217
           3500.2       0.5640453
           3500.6       0.5194141
            3501.       0.5198411
           3501.4       0.5752862
           3501.8       0.5680429
           3502.2       0.4921635
           3502.6       0.4810408
            3503.       0.5423702
           3503.4       0.6069523
           3503.8       0.6106793
           3504.2       0.5955378
           3504.6       0.5848634
            3505.       0.5412119
           3505.4       0.5315698
           3505.8       0.5228519
           3506.2        0.501627
           3506.6       0.5259215
            3507.       0.5430183
           3507.4       0.5696549
           3507.8       0.5854428
           3508.2        0.580968
           3508.6       0.5737629
            3509.       0.5729074
           3509.4       0.5665135
           3509.8        0.557219
           3510.2       0.5497797
           3510.6       0.5140957
            3511.       0.5324874
           3511.4       0.5926629
           3511.8       0.5657904
           3512.2       0.5862603
           3512.6       0.5475099
            3513.       0.5131547
           3513.4       0.4818161
           3513.8       0.4819874
           3514.2       0.5041187
           3514.6       0.5109956
            3515.       0.5329463
           3515.4       0.5532534
           3515.8       0.5588937
           3516.2       0.6287212
           3516.6       0.6047366
            3517.       0.6069909
           3517.4       0.6024797
           3517.8       0.5858848
           3518.2       0.5833023
           3518.6       0.6097802
            3519.       0.6123857
           3519.4       0.5728544
           3519.8       0.5092524
           3520.2       0.4843347
           3520.6       0.5136961
            3521.        0.511611
           3521.4       0.5290076
           3521.8       0.5370373
           3522.2       0.5647796
           3522.6       0.5645511
            3523.       0.5670847
           3523.4       0.5582738
           3523.8       0.5023768
           3524.2       0.4578064
           3524.6       0.4758745
            3525.       0.4982857
           3525.4        0.487611
           3525.8       0.4756276
           3526.2       0.4526951
           3526.6        0.452015
            3527.       0.4760829
           3527.4       0.5320402
           3527.8       0.5408275
           3528.2       0.5725454
           3528.6       0.5719005
            3529.       0.5711261
           3529.4        0.565209
           3529.8       0.5917517
           3530.2       0.5848265
           3530.6       0.5386099
            3531.       0.5691172
           3531.4       0.5878311
           3531.8         0.59035
           3532.2       0.6288882
           3532.6       0.6063724
            3533.       0.6029125
           3533.4       0.5515381
           3533.8       0.6091986
           3534.2       0.6051817
           3534.6       0.6427031
            3535.       0.6322594
           3535.4       0.5702095
           3535.8       0.5674734
           3536.2       0.6171635
           3536.6       0.6407936
            3537.       0.6240339
           3537.4       0.6103224
           3537.8       0.6071061
           3538.2       0.6167991
           3538.6       0.6774769
            3539.       0.6610031
           3539.4       0.6534421
           3539.8       0.6218733
           3540.2       0.6003332
           3540.6        0.588841
            3541.       0.5938891
           3541.4       0.6204806
           3541.8       0.6251273
           3542.2       0.6238354
           3542.6       0.6248434
            3543.       0.6300695
           3543.4       0.6448131
           3543.8       0.6631042
           3544.2       0.6550106
           3544.6       0.6482162
            3545.       0.6210674
           3545.4       0.6121444
           3545.8       0.6282135
           3546.2       0.6379879
           3546.6       0.6803797
            3547.       0.7057686
           3547.4       0.6568647
           3547.8       0.6450108
           3548.2       0.6240972
           3548.6       0.6216778
            3549.       0.6390501
           3549.4       0.6528862
           3549.8       0.6383775
           3550.2       0.6187744
           3550.6        0.619118
            3551.       0.6239222
           3551.4       0.6271287
           3551.8       0.6116834
           3552.2        0.597168
           3552.6       0.6101005
            3553.       0.5803585
           3553.4       0.5715365
           3553.8       0.5817245
           3554.2       0.5336434
           3554.6         0.57413
            3555.       0.6202739
           3555.4        0.612687
           3555.8       0.6390219
           3556.2       0.6606867
           3556.6       0.6176431
            3557.       0.5982786
           3557.4       0.6309813
           3557.8       0.6386164
           3558.2       0.6396266
           3558.6        0.613686
            3559.       0.6213653
           3559.4       0.6534146
           3559.8       0.6495417
           3560.2       0.6491607
           3560.6        0.654516
            3561.       0.5856664
           3561.4       0.5618528
           3561.8       0.5893384
           3562.2       0.6308592
           3562.6       0.6678331
            3563.       0.6620455
           3563.4       0.6847957
           3563.8       0.7168765
           3564.2       0.6577566
           3564.6       0.5907598
            3565.        0.535998
           3565.4       0.4958094
           3565.8       0.4357209
           3566.2       0.4649019
           3566.6       0.5544819
            3567.       0.5417539
           3567.4       0.5788805
           3567.8       0.6434423
           3568.2       0.6130375
           3568.6       0.6044337
            3569.       0.5889373
           3569.4       0.5242406
           3569.8        0.519397
           3570.2       0.5013487
           3570.6       0.5608585
            3571.       0.5897635
           3571.4       0.5739906
           3571.8       0.5546036
           3572.2       0.5385177
           3572.6       0.5524787
            3573.       0.5709051
           3573.4       0.5677744
           3573.8       0.5809334
           3574.2       0.5819964
           3574.6       0.6060466
            3575.       0.5494512
           3575.4       0.5644333
           3575.8       0.5777991
           3576.2       0.5755587
           3576.6        0.575201
            3577.       0.6054522
           3577.4       0.6542521
           3577.8       0.6774153
           3578.2        0.662488
           3578.6       0.6428886
            3579.       0.6431456
           3579.4        0.672357
           3579.8       0.6765558
           3580.2       0.6517659
           3580.6       0.5774568
            3581.       0.4912966
           3581.4       0.4612198
           3581.8       0.5103861
           3582.2        0.576212
           3582.6        0.643854
            3583.       0.6552534
           3583.4       0.6407911
           3583.8       0.6530657
           3584.2       0.6255436
           3584.6       0.5365776
            3585.       0.4653746
           3585.4       0.4223195
           3585.8       0.4497741
           3586.2       0.4779608
           3586.6       0.5237786
            3587.       0.4911694
           3587.4       0.4629067
           3587.8       0.4944268
           3588.2       0.5186664
           3588.6       0.5260919
            3589.       0.5221775
           3589.4       0.5023643
           3589.8       0.5087247
           3590.2       0.5068002
           3590.6       0.5889022
            3591.       0.6248229
           3591.4       0.6485645
           3591.8       0.6645701
           3592.2       0.6682297
           3592.6       0.6563318
            3593.       0.5960954
           3593.4       0.5798035
           3593.8        0.635128
           3594.2       0.6499162
           3594.6       0.6394753
            3595.       0.6227967
           3595.4       0.5958006
           3595.8        0.592473
           3596.2       0.6149024
           3596.6       0.6220207
            3597.       0.6538662
           3597.4       0.6377374
           3597.8       0.6381469
           3598.2       0.6747526
           3598.6        0.663445
            3599.       0.6812816
           3599.4       0.6937434
           3599.8       0.6783947
           3600.2       0.7081293
           3600.6       0.6916838
            3601.       0.6620771
           3601.4       0.6378939
           3601.8       0.5973591
           3602.2       0.5508561
           3602.6       0.5255569
            3603.        0.523306
           3603.4       0.5858763
           3603.8       0.6146889
           3604.2       0.6330838
           3604.6       0.6392908
            3605.       0.5941981
           3605.4       0.5944135
           3605.8       0.6026927
           3606.2       0.6120309
           3606.6       0.6478891
            3607.       0.6775501
           3607.4       0.6863107
           3607.8       0.6466291
           3608.2       0.6095923
           3608.6       0.5713724
            3609.       0.5319874
           3609.4       0.5441098
           3609.8       0.5672661
           3610.2       0.5485686
           3610.6       0.5436771
            3611.       0.5788262
           3611.4       0.6063421
           3611.8        0.611068
           3612.2       0.6318991
           3612.6       0.5921484
            3613.       0.5463675
           3613.4       0.5374063
           3613.8       0.5507802
           3614.2       0.5668168
           3614.6       0.5911552
            3615.       0.6263573
           3615.4       0.6436301
           3615.8       0.6659247
           3616.2        0.676259
           3616.6       0.6637126
            3617.       0.6635894
           3617.4       0.6640224
           3617.8       0.6590811
           3618.2       0.5630778
           3618.6       0.5014485
            3619.        0.493278
           3619.4       0.5162224
           3619.8       0.5614577
           3620.2       0.6194119
           3620.6       0.6544319
            3621.        0.629212
           3621.4       0.6202457
           3621.8       0.6360448
           3622.2       0.6368921
           3622.6       0.6755376
            3623.       0.6900392
           3623.4       0.6537265
           3623.8       0.6252276
           3624.2       0.6394041
           3624.6       0.6208272
            3625.       0.5910857
           3625.4       0.6133413
           3625.8       0.7112824
           3626.2       0.7537715
           3626.6       0.7070851
            3627.       0.7059398
           3627.4       0.6941438
           3627.8       0.6465637
           3628.2       0.6366315
           3628.6       0.6668094
            3629.       0.6991082
           3629.4       0.6657784
           3629.8       0.6565403
           3630.2       0.6355878
           3630.6       0.5782938
            3631.        0.536917
           3631.4       0.5001525
           3631.8        0.508899
           3632.2        0.580982
           3632.6       0.6473387
            3633.       0.6561625
           3633.4       0.6306987
           3633.8       0.6355145
           3634.2       0.6357844
           3634.6       0.6160121
            3635.       0.6048388
           3635.4       0.6090546
           3635.8       0.5994815
           3636.2       0.6234826
           3636.6       0.6619871
            3637.       0.6172796
           3637.4        0.617851
           3637.8       0.6476943
           3638.2       0.6656702
           3638.6       0.6732963
            3639.       0.6967284
           3639.4       0.6964992
           3639.8       0.6642714
           3640.2       0.6781803
           3640.6       0.6865308
            3641.       0.6727116
           3641.4       0.6536104
           3641.8        0.654758
           3642.2       0.6399572
           3642.6       0.6027092
            3643.       0.5588108
           3643.4       0.5722289
           3643.8       0.5980121
           3644.2       0.5834354
