#K OBJECT   'BD-15_872'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  SAO 149918
#K OBJRA    04:49:44.29
#K OBJDEC   -15:44:28.3
#K OBJBMAG  1.001000E+01
#K OBJVMAG  9.690000E+00
#K SPTYPE   F2
#K OBJRV    7.000000E+01
#K BDNAME   BD-15 872
#K HIPNAME  HIP 22442
#K SAONAME  SAO 149918
#K VHELIO   -2.35317671897951E+01
#K VLSR     -4.20507054868086E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789648E+03
#K CMAX1    8.124712E+03
#K PICKTYPE F2V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9441.8
#K OBSTITLE RX_Eri

#      wavelength        spectrum
#       angstroms                

            3465.       0.7506644
           3465.4       0.7285163
           3465.8        0.697285
           3466.2       0.7091429
           3466.6       0.7231194
            3467.        0.749173
           3467.4       0.7160191
           3467.8       0.7291841
           3468.2       0.7502778
           3468.6       0.7316988
            3469.       0.7237482
           3469.4       0.6877122
           3469.8        0.694963
           3470.2       0.7610639
           3470.6       0.6538957
            3471.       0.7017174
           3471.4       0.8293711
           3471.8       0.8281279
           3472.2        0.778236
           3472.6       0.7719932
            3473.       0.7171145
           3473.4       0.6963316
           3473.8       0.7308288
           3474.2       0.6733958
           3474.6       0.6071972
            3475.       0.6198277
           3475.4       0.5690624
           3475.8       0.5975225
           3476.2       0.7256189
           3476.6       0.5856767
            3477.        0.515272
           3477.4       0.5725408
           3477.8       0.6077337
           3478.2       0.6535946
           3478.6       0.7404203
            3479.       0.7106138
           3479.4       0.6588405
           3479.8       0.7300456
           3480.2       0.7493085
           3480.6       0.7034608
            3481.       0.7429692
           3481.4       0.7397097
           3481.8       0.7788649
           3482.2       0.7874973
           3482.6       0.7418188
            3483.        0.687611
           3483.4       0.5963638
           3483.8       0.6564745
           3484.2       0.7498058
           3484.6       0.7661487
            3485.       0.7867709
           3485.4       0.7714719
           3485.8       0.7462494
           3486.2       0.7571306
           3486.6       0.6951228
            3487.        0.743295
           3487.4       0.7995672
           3487.8       0.8018558
           3488.2       0.7325897
           3488.6       0.7087619
            3489.       0.7050076
           3489.4       0.6361563
           3489.8        0.602406
           3490.2       0.6323628
           3490.6       0.6332242
            3491.       0.5923638
           3491.4       0.5904663
           3491.8       0.7054957
           3492.2         0.76837
           3492.6       0.7865966
            3493.       0.7344486
           3493.4       0.6972213
           3493.8       0.6916111
           3494.2       0.6629019
           3494.6       0.6935554
            3495.       0.6645399
           3495.4       0.5939403
           3495.8       0.6295756
           3496.2       0.6490105
           3496.6       0.5793504
            3497.       0.5668303
           3497.4       0.6406923
           3497.8       0.6361536
           3498.2       0.6189935
           3498.6       0.6375596
            3499.       0.7296996
           3499.4       0.7160272
           3499.8       0.7137667
           3500.2       0.7044269
           3500.6       0.6827403
            3501.       0.6937742
           3501.4       0.6937301
           3501.8       0.6865439
           3502.2       0.6748813
           3502.6       0.7401764
            3503.       0.7629714
           3503.4       0.8099231
           3503.8       0.7106324
           3504.2       0.7293397
           3504.6       0.7469493
            3505.       0.6357666
           3505.4       0.6024703
           3505.8       0.6516659
           3506.2       0.6519051
           3506.6       0.6993204
            3507.       0.7571433
           3507.4       0.7270594
           3507.8       0.8056891
           3508.2       0.7893631
           3508.6       0.7997348
            3509.        0.819104
           3509.4       0.7855743
           3509.8       0.7199079
           3510.2       0.6413813
           3510.6        0.644734
            3511.       0.6199602
           3511.4       0.6166182
           3511.8       0.6870005
           3512.2       0.7032965
           3512.6       0.7663174
            3513.       0.8087633
           3513.4       0.6795588
           3513.8       0.5675436
           3514.2       0.5716726
           3514.6       0.6103327
            3515.       0.6517083
           3515.4       0.7179865
           3515.8       0.7363111
           3516.2       0.7343429
           3516.6       0.7801216
            3517.       0.8255875
           3517.4         0.77187
           3517.8       0.7182853
           3518.2       0.8002455
           3518.6       0.7788028
            3519.       0.7363569
           3519.4       0.6810083
           3519.8       0.7257808
           3520.2       0.6705329
           3520.6       0.6313466
            3521.       0.6159195
           3521.4        0.642441
           3521.8       0.6808211
           3522.2       0.7172284
           3522.6       0.7370622
            3523.       0.7308146
           3523.4       0.8143687
           3523.8       0.8080727
           3524.2       0.6960147
           3524.6       0.6763507
            3525.       0.6916251
           3525.4       0.6128178
           3525.8       0.6663805
           3526.2       0.6960356
           3526.6       0.5919408
            3527.       0.5239879
           3527.4       0.6019881
           3527.8       0.7387836
           3528.2       0.8202398
           3528.6       0.8240276
            3529.       0.7936419
           3529.4        0.818102
           3529.8       0.7443013
           3530.2       0.7588661
           3530.6       0.7434917
            3531.       0.7530182
           3531.4       0.7252042
           3531.8       0.7576096
           3532.2       0.7412663
           3532.6        0.698173
            3533.       0.7132889
           3533.4       0.6836694
           3533.8       0.7282548
           3534.2       0.8477389
           3534.6       0.8189865
            3535.       0.7451916
           3535.4       0.7691358
           3535.8       0.7041698
           3536.2       0.6840787
           3536.6       0.7202475
            3537.       0.6957444
           3537.4        0.693759
           3537.8       0.7796023
           3538.2       0.8243312
           3538.6       0.7858372
            3539.       0.7992435
           3539.4       0.8467926
           3539.8       0.8112968
           3540.2       0.8236839
           3540.6        0.779775
            3541.       0.6861798
           3541.4       0.7173827
           3541.8       0.7307343
           3542.2       0.7208014
           3542.6       0.7553265
            3543.       0.7647288
           3543.4       0.7560488
           3543.8       0.7755612
           3544.2        0.753251
           3544.6       0.7280843
            3545.       0.7903482
           3545.4       0.7964763
           3545.8       0.7693874
           3546.2         0.74293
           3546.6       0.8144106
            3547.        0.808822
           3547.4       0.7440281
           3547.8       0.7284442
           3548.2       0.7991655
           3548.6       0.7959701
            3549.        0.757982
           3549.4       0.7884219
           3549.8        0.771496
           3550.2       0.8185484
           3550.6       0.7808757
            3551.        0.829264
           3551.4       0.8266269
           3551.8       0.7978313
           3552.2       0.8620128
           3552.6        0.861358
            3553.       0.7837263
           3553.4       0.7372091
           3553.8       0.7124425
           3554.2       0.6613998
           3554.6       0.6734043
            3555.       0.7393857
           3555.4       0.7274105
           3555.8       0.8081511
           3556.2       0.8168752
           3556.6       0.7705482
            3557.        0.741266
           3557.4       0.7258596
           3557.8       0.7820783
           3558.2       0.7770363
           3558.6       0.7335321
            3559.       0.7373539
           3559.4       0.7456403
           3559.8       0.7713133
           3560.2       0.8029943
           3560.6       0.7701593
            3561.       0.7681815
           3561.4       0.7632464
           3561.8       0.7530621
           3562.2       0.7459725
           3562.6       0.7023742
            3563.       0.7986516
           3563.4       0.9434233
           3563.8       0.9675909
           3564.2       0.8541932
           3564.6       0.7723943
            3565.       0.7817218
           3565.4       0.7098528
           3565.8       0.6050583
           3566.2       0.6282008
           3566.6       0.6215367
            3567.       0.6385124
           3567.4       0.7471656
           3567.8       0.7673806
           3568.2       0.7849516
           3568.6       0.7644155
            3569.       0.7598962
           3569.4       0.7814649
           3569.8       0.7051342
           3570.2       0.6101535
           3570.6       0.6384647
            3571.       0.7051001
           3571.4       0.7379928
           3571.8       0.7405114
           3572.2       0.7353474
           3572.6       0.6052292
            3573.       0.5901642
           3573.4       0.6079463
           3573.8       0.6787964
           3574.2       0.7309691
           3574.6       0.7307444
            3575.       0.7683287
           3575.4       0.7455593
           3575.8       0.6538213
           3576.2       0.6634639
           3576.6       0.6678476
            3577.       0.6556858
           3577.4       0.6764107
           3577.8       0.7069588
           3578.2       0.7312349
           3578.6       0.7454729
            3579.       0.7693186
           3579.4       0.8354051
           3579.8       0.8390028
           3580.2       0.8359277
           3580.6        0.774921
            3581.       0.6943612
           3581.4       0.7530169
           3581.8       0.7075385
           3582.2       0.6418917
           3582.6       0.7316098
            3583.       0.7864322
           3583.4       0.7491052
           3583.8       0.8025001
           3584.2        0.803268
           3584.6       0.6984805
            3585.       0.6554488
           3585.4       0.5886387
           3585.8       0.5054294
           3586.2       0.5387424
           3586.6       0.5707068
            3587.       0.5896089
           3587.4       0.6736327
           3587.8       0.6218377
           3588.2       0.5787491
           3588.6       0.6553639
            3589.       0.6339595
           3589.4       0.6632487
           3589.8       0.6326519
           3590.2       0.5772775
           3590.6       0.6476145
            3591.       0.7776726
           3591.4       0.7890944
           3591.8       0.7536209
           3592.2       0.8028876
           3592.6       0.7874767
            3593.       0.7640122
           3593.4       0.7293352
           3593.8        0.693131
           3594.2       0.7475474
           3594.6       0.8218763
            3595.       0.8084589
           3595.4       0.7966782
           3595.8       0.7364536
           3596.2        0.645243
           3596.6       0.6338926
            3597.       0.6961811
           3597.4       0.7729558
           3597.8        0.767502
           3598.2       0.7237098
           3598.6       0.7863972
            3599.       0.7629002
           3599.4       0.7715816
           3599.8       0.8207786
           3600.2       0.7931205
           3600.6         0.77168
            3601.        0.769124
           3601.4       0.7746085
           3601.8       0.7934892
           3602.2       0.7369237
           3602.6       0.6516434
            3603.       0.6911795
           3603.4       0.7384004
           3603.8       0.7196525
           3604.2       0.7159603
           3604.6       0.7368899
            3605.       0.7305422
           3605.4       0.7715485
           3605.8       0.7248099
           3606.2       0.7284991
           3606.6       0.7621794
            3607.       0.7431589
           3607.4        0.749689
           3607.8       0.7596765
           3608.2        0.745647
           3608.6       0.7305409
            3609.       0.7087804
           3609.4       0.6609169
           3609.8       0.6085745
           3610.2       0.7119086
           3610.6       0.6399384
            3611.       0.6203132
           3611.4        0.690806
           3611.8       0.7558896
           3612.2       0.7443429
           3612.6       0.6966434
            3613.       0.7100202
           3613.4       0.6844227
           3613.8       0.6228872
           3614.2       0.6228132
           3614.6       0.6502607
            3615.       0.7227066
           3615.4       0.8128459
           3615.8       0.7660438
           3616.2       0.7566773
           3616.6       0.8474821
            3617.       0.7727246
           3617.4       0.6938083
           3617.8        0.738814
           3618.2        0.718261
           3618.6       0.6454509
            3619.       0.5972641
           3619.4       0.6355732
           3619.8       0.6525854
           3620.2       0.7739713
           3620.6         0.79308
            3621.       0.8050774
           3621.4        0.766979
           3621.8       0.6987564
           3622.2       0.7238369
           3622.6       0.7513143
            3623.       0.7196727
           3623.4       0.7299122
           3623.8       0.7330788
           3624.2       0.6897441
           3624.6       0.7135944
            3625.       0.6915727
           3625.4       0.7155051
           3625.8        0.749468
           3626.2       0.8332099
           3626.6       0.7482396
            3627.       0.8156108
           3627.4        0.843241
           3627.8       0.7961773
           3628.2       0.8138163
           3628.6       0.8120773
            3629.       0.7905502
           3629.4       0.7924935
           3629.8       0.8384386
           3630.2       0.8223765
           3630.6       0.7045671
            3631.       0.6443952
           3631.4       0.6018081
           3631.8       0.5726171
           3632.2       0.6142517
           3632.6       0.6101711
            3633.       0.7004424
           3633.4       0.7847341
           3633.8       0.7696981
           3634.2       0.7590649
           3634.6        0.733256
            3635.       0.7892715
           3635.4       0.7856603
           3635.8       0.8098308
           3636.2       0.7598466
           3636.6       0.7556103
            3637.        0.797216
           3637.4       0.7711996
           3637.8       0.7650113
           3638.2       0.7892713
           3638.6       0.8058905
            3639.       0.8079579
           3639.4       0.8108283
           3639.8       0.8288946
           3640.2        0.821629
           3640.6        0.790763
            3641.       0.7162306
           3641.4        0.734703
           3641.8       0.7434025
           3642.2       0.8062394
           3642.6       0.7895232
            3643.       0.7009996
           3643.4       0.7139643
           3643.8       0.7210293
           3644.2       0.7085375
           3644.6       0.7311994
            3645.       0.7073222
           3645.4       0.6913182
           3645.8        0.678183
           3646.2       0.7388539
           3646.6       0.8469713
            3647.       0.8203055
           3647.4       0.7806099
           3647.8       0.7170687
           3648.2       0.6457707
           3648.6       0.6480449
            3649.       0.6891622
           3649.4       0.7425151
           3649.8       0.7385575
           3650.2       0.7321601
           3650.6       0.8050647
            3651.       0.7445958
           3651.4       0.7270801
           3651.8       0.7101012
           3652.2       0.6818268
           3652.6       0.7257944
            3653.       0.8304235
           3653.4       0.8395448
           3653.8       0.7437808
           3654.2       0.7345608
           3654.6       0.7818307
            3655.       0.7878271
           3655.4       0.7937464
           3655.8       0.7881284
           3656.2       0.7936988
           3656.6       0.8206402
            3657.         0.79524
           3657.4       0.8353673
           3657.8       0.8045381
           3658.2       0.7969055
           3658.6       0.8545362
            3659.       0.8375078
           3659.4       0.7484185
           3659.8       0.7150712
           3660.2       0.7001176
           3660.6       0.7264996
            3661.       0.8251814
           3661.4       0.8297393
           3661.8       0.8143094
           3662.2       0.7642058
           3662.6       0.8000615
            3663.       0.7540119
           3663.4       0.7366332
           3663.8       0.7281464
           3664.2       0.7399393
           3664.6       0.7516974
            3665.        0.743259
           3665.4       0.7726672
           3665.8       0.8238892
           3666.2       0.8243858
           3666.6       0.7964937
            3667.       0.7761766
           3667.4       0.8023457
           3667.8       0.8751807
           3668.2        0.833384
           3668.6        0.800248
            3669.       0.7651098
