#K OBJECT   'G_103-68'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 265866
#K OBJRA    06:54:48.96
#K OBJDEC   +33:16:05.4
#K OBJBMAG  1.147000E+01
#K OBJVMAG  9.890000E+00
#K SPTYPE   M3
#K OBJRV    36
#K HDNAME   HD 265866
#K HIPNAME  HIP 33226
#K VHELIO   -1.89648778483134E+01
#K VLSR     -2.76032673869317E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434393E+03
#K CMAX1    4.762464E+03
#K PICKTYPE M3V
#K NCOMBINE 3
#K TEFF     5.511000E+03  1994AJ....107.2240C (Carney)
#K LOGG     4.000000E+00  1994AJ....107.2240C (Carney)
#K FEH      -6.300000E-01  1994AJ....107.2240C (Carney)
#K COVERAGE 3465.0-7265.8
#K OBSTITLE HI33226

#      wavelength        spectrum
#       angstroms                

            3465.      0.06459595
           3465.4      0.05229053
           3465.8      0.03093456
           3466.2      0.03753056
           3466.6       0.0554499
            3467.      0.06091349
           3467.4       0.0718252
           3467.8      0.07803039
           3468.2       0.1026041
           3468.6       0.1052234
            3469.      0.09246741
           3469.4      0.08800507
           3469.8      0.08305213
           3470.2       0.1036069
           3470.6       0.1192155
            3471.       0.1086421
           3471.4      0.09075238
           3471.8      0.08684754
           3472.2      0.07006559
           3472.6       0.0463664
            3473.      0.06590311
           3473.4       0.0747063
           3473.8      0.06286933
           3474.2      0.06336033
           3474.6      0.04951947
            3475.      0.04647625
           3475.4      0.04560221
           3475.8      0.03872027
           3476.2      0.02339575
           3476.6      0.04286535
            3477.      0.07450327
           3477.4      0.06946512
           3477.8      0.07718949
           3478.2       0.1052621
           3478.6      0.09691139
            3479.       0.1054164
           3479.4       0.1154493
           3479.8       0.1077772
           3480.2       0.1246889
           3480.6       0.1132945
            3481.       0.1053115
           3481.4       0.1142027
           3481.8       0.1070141
           3482.2       0.1026824
           3482.6      0.09169555
            3483.      0.06595249
           3483.4      0.06920975
           3483.8       0.0779608
           3484.2      0.08804461
           3484.6       0.1000008
            3485.        0.101884
           3485.4       0.1146442
           3485.8        0.110134
           3486.2       0.1353672
           3486.6       0.1297909
            3487.       0.1071425
           3487.4       0.1055258
           3487.8      0.09936201
           3488.2      0.08880717
           3488.6      0.08527153
            3489.      0.07890183
           3489.4      0.06768113
           3489.8      0.04922612
           3490.2       0.0402604
           3490.6      0.04450844
            3491.      0.05057201
           3491.4      0.05708972
           3491.8      0.04169088
           3492.2      0.05668478
           3492.6      0.06263037
            3493.      0.05565637
           3493.4      0.06916194
           3493.8      0.07997657
           3494.2       0.1064876
           3494.6       0.1032951
            3495.       0.0983207
           3495.4      0.09138983
           3495.8       0.0870143
           3496.2      0.06840316
           3496.6       0.0849761
            3497.      0.07472893
           3497.4      0.05647709
           3497.8      0.06461161
           3498.2      0.05907692
           3498.6      0.06020266
            3499.       0.0945534
           3499.4       0.1148021
           3499.8       0.1203678
           3500.2       0.1042844
           3500.6      0.09173825
            3501.      0.09088068
           3501.4      0.09790922
           3501.8      0.09104813
           3502.2      0.08211359
           3502.6       0.1021126
            3503.       0.1223181
           3503.4       0.1332648
           3503.8       0.1384276
           3504.2        0.132904
           3504.6       0.1251705
            3505.       0.1104361
           3505.4       0.1229326
           3505.8       0.1101592
           3506.2      0.09833741
           3506.6       0.1136184
            3507.       0.1179826
           3507.4       0.1127766
           3507.8       0.1123758
           3508.2       0.1164216
           3508.6       0.1123956
            3509.       0.1114468
           3509.4       0.1003601
           3509.8      0.07391725
           3510.2      0.08561294
           3510.6      0.08780693
            3511.      0.07768653
           3511.4      0.07109972
           3511.8      0.07659496
           3512.2      0.08499473
           3512.6      0.08798894
            3513.      0.06338729
           3513.4       0.0578701
           3513.8      0.05800561
           3514.2      0.04842878
           3514.6      0.04524539
            3515.      0.03976303
           3515.4      0.06276044
           3515.8      0.09432374
           3516.2       0.1091664
           3516.6        0.116735
            3517.       0.1171875
           3517.4        0.122995
           3517.8       0.1109173
           3518.2       0.1029934
           3518.6       0.1158181
            3519.      0.09708951
           3519.4      0.08269846
           3519.8      0.08989163
           3520.2      0.08622924
           3520.6       0.1045889
            3521.      0.08631904
           3521.4      0.07539479
           3521.8      0.07853987
           3522.2      0.09861945
           3522.6      0.09277098
            3523.      0.07561689
           3523.4      0.07225665
           3523.8      0.06055557
           3524.2      0.04472597
           3524.6      0.04395499
            3525.      0.04795735
           3525.4      0.05067558
           3525.8      0.05345691
           3526.2      0.05670698
           3526.6      0.07010544
            3527.       0.0606232
           3527.4      0.08951702
           3527.8       0.0933668
           3528.2      0.09223176
           3528.6      0.09421081
            3529.       0.1026153
           3529.4       0.1010389
           3529.8       0.0959449
           3530.2       0.1075914
           3530.6       0.1209636
            3531.       0.1193346
           3531.4       0.1064175
           3531.8      0.09505793
           3532.2      0.09091962
           3532.6       0.1018132
            3533.      0.06933631
           3533.4      0.07425401
           3533.8       0.1098533
           3534.2       0.1458336
           3534.6       0.1421723
            3535.       0.1342176
           3535.4       0.1280141
           3535.8       0.1078511
           3536.2       0.1208341
           3536.6       0.1377374
