#K OBJECT   'G_107-27'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 49601
#K OBJRA    06:51:32.39
#K OBJDEC   +47:22:04.1
#K OBJBMAG  1.021000E+01
#K OBJVMAG  8.980000E+00
#K SPTYPE   K2
#K OBJRV    2.220000E+01
#K HDNAME   HD 49601
#K BDNAME   BD+47 1355
#K HIPNAME  HIP 32919
#K VHELIO   -1.82967446710606E+01
#K VLSR     -2.24155627130862E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434562E+03
#K CMAX1    4.762697E+03
#K PICKTYPE K2V
#K NCOMBINE 3
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-7265.8
#K OBSTITLE HI32919

#      wavelength        spectrum
#       angstroms                

            3465.       0.1965936
           3465.4       0.1474685
           3465.8       0.1330141
           3466.2       0.1402676
           3466.6       0.1487533
            3467.       0.1867381
           3467.4       0.2129532
           3467.8       0.2588101
           3468.2       0.2957849
           3468.6       0.3104996
            3469.       0.3026621
           3469.4       0.2817381
           3469.8       0.2986709
           3470.2       0.3400462
           3470.6       0.3480104
            3471.       0.3239876
           3471.4       0.2711279
           3471.8       0.2408512
           3472.2       0.1850958
           3472.6       0.1797835
            3473.       0.1691801
           3473.4       0.1707927
           3473.8       0.1587903
           3474.2       0.1446161
           3474.6       0.1064137
            3475.      0.08302184
           3475.4      0.08899228
           3475.8      0.07798833
           3476.2      0.09108499
           3476.6       0.1034273
            3477.        0.125603
           3477.4       0.1793511
           3477.8       0.2024066
           3478.2        0.242506
           3478.6       0.2714389
            3479.       0.2997036
           3479.4       0.2985741
           3479.8       0.3034056
           3480.2        0.326305
           3480.6       0.3465151
            3481.       0.3542054
           3481.4       0.3364109
           3481.8       0.3493449
           3482.2       0.3542837
           3482.6       0.3043326
            3483.       0.2540456
           3483.4       0.2345708
           3483.8       0.2410535
           3484.2       0.2514833
           3484.6       0.2472547
            3485.       0.2555068
           3485.4        0.279841
           3485.8       0.2923472
           3486.2       0.3066879
           3486.6       0.3282808
            3487.        0.336111
           3487.4       0.3482399
           3487.8       0.3204665
           3488.2       0.2959265
           3488.6       0.2635573
            3489.       0.2079873
           3489.4        0.160941
           3489.8       0.1375091
           3490.2       0.1073955
           3490.6       0.1069161
            3491.        0.113769
           3491.4       0.1068211
           3491.8       0.1403972
           3492.2       0.1470598
           3492.6         0.11485
            3493.       0.1178487
           3493.4       0.1441876
           3493.8       0.1758379
           3494.2       0.2334392
           3494.6       0.2671826
            3495.       0.2575885
           3495.4        0.236081
           3495.8       0.2161774
           3496.2       0.1909477
           3496.6       0.1797744
            3497.       0.1766821
           3497.4       0.1448675
           3497.8        0.133413
           3498.2       0.1686477
           3498.6       0.2136055
            3499.       0.2645442
           3499.4       0.3037759
           3499.8       0.3223397
           3500.2       0.3166349
           3500.6       0.2938004
            3501.        0.288628
           3501.4       0.2854171
           3501.8       0.2774825
           3502.2       0.2940224
           3502.6       0.3281787
            3503.        0.394807
           3503.4       0.4619915
           3503.8       0.4785103
           3504.2       0.4324191
           3504.6       0.4244396
            3505.        0.366527
           3505.4       0.3497064
           3505.8        0.335063
           3506.2       0.3206977
           3506.6       0.3234675
            3507.       0.3392853
           3507.4       0.3672764
           3507.8       0.3703496
           3508.2       0.3932297
           3508.6       0.3849413
            3509.       0.3308685
           3509.4       0.2730142
           3509.8        0.222603
           3510.2       0.1727038
           3510.6       0.1709377
            3511.       0.2369684
           3511.4       0.2789162
           3511.8       0.2750105
           3512.2       0.2519961
           3512.6       0.2148225
            3513.       0.1932373
           3513.4       0.1680808
           3513.8       0.1338628
           3514.2       0.1313609
           3514.6       0.1287509
            3515.       0.1296682
           3515.4       0.1472059
           3515.8       0.1840941
           3516.2       0.2230384
           3516.6       0.2872691
            3517.       0.3493848
           3517.4       0.3805537
           3517.8        0.384062
           3518.2       0.3616062
           3518.6       0.3374474
            3519.       0.2966039
           3519.4       0.2728456
           3519.8        0.253498
           3520.2        0.236812
           3520.6       0.2213317
            3521.       0.1958043
           3521.4       0.1793991
           3521.8       0.1809921
