#K OBJECT   'G_119-32'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  BD+29 2091
#K OBJRA    10:47:23.16
#K OBJDEC   +28:23:55.9
#K OBJBMAG  1.072000E+01
#K OBJVMAG  1.022000E+01
#K SPTYPE   F5
#K OBJRV    74
#K BDNAME   BD+29 2091
#K HIPNAME  HIP 52771
#K VHELIO   5.01117353970827E+00
#K VLSR     4.77888548663582E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434955E+03
#K CMAX1    4.762943E+03
#K PICKTYPE F5V
#K NCOMBINE 2
#K TEFF     5700  2000AJ....120.1841F (Fulbright)
#K LOGG     4.500000E+00  2000AJ....120.1841F (Fulbright)
#K FEH      -1.980000E+00  2000AJ....120.1841F (Fulbright)
#K COVERAGE 3465.0-6009.4
#K OBSTITLE BD+29_2091

#      wavelength        spectrum
#       angstroms                

            3465.       0.7561143
           3465.4       0.7168356
           3465.8       0.6687317
           3466.2       0.6633768
           3466.6        0.695465
            3467.       0.7197744
           3467.4       0.7385576
           3467.8       0.7365754
           3468.2       0.7588989
           3468.6        0.726468
            3469.        0.711061
           3469.4        0.745324
           3469.8       0.7641157
           3470.2       0.7592953
           3470.6        0.765536
            3471.       0.7569987
           3471.4       0.7341201
           3471.8       0.7372907
           3472.2       0.7138084
           3472.6        0.709266
            3473.       0.7383767
           3473.4       0.7283955
           3473.8       0.7034184
           3474.2       0.6865853
           3474.6        0.691833
            3475.       0.6914441
           3475.4       0.6610849
           3475.8       0.6449543
           3476.2       0.6543157
           3476.6       0.6422075
            3477.       0.6441817
           3477.4       0.6892381
           3477.8       0.6973112
           3478.2       0.7296734
           3478.6       0.7658706
            3479.       0.7730052
           3479.4       0.7753456
           3479.8       0.7700465
           3480.2       0.7903658
           3480.6       0.7834349
            3481.       0.7595237
           3481.4       0.7755922
           3481.8       0.7841063
           3482.2       0.7729622
           3482.6       0.7635632
            3483.       0.7302961
           3483.4       0.7110167
           3483.8       0.7238715
           3484.2       0.7253914
           3484.6       0.7466822
            3485.       0.7483903
           3485.4       0.7617394
           3485.8        0.748169
           3486.2       0.7477965
           3486.6       0.7832909
            3487.       0.7880949
           3487.4       0.7924979
           3487.8       0.7921306
           3488.2       0.7734101
           3488.6       0.7575932
            3489.       0.7224361
           3489.4       0.6858748
           3489.8       0.6662558
           3490.2       0.6502389
           3490.6       0.6465337
            3491.       0.6665732
           3491.4        0.697581
           3491.8       0.7344393
           3492.2       0.7612488
           3492.6       0.7380944
            3493.       0.6888204
           3493.4       0.6876466
           3493.8       0.7155063
           3494.2       0.7262998
           3494.6       0.7490335
            3495.       0.7433465
           3495.4       0.7387298
           3495.8       0.7060295
           3496.2       0.7000734
           3496.6       0.7076788
            3497.       0.7064058
           3497.4       0.7036967
           3497.8       0.6828598
           3498.2       0.7073864
           3498.6       0.7653981
            3499.       0.7726542
           3499.4       0.7908115
           3499.8       0.7734917
           3500.2       0.7499562
           3500.6       0.7358785
            3501.       0.7436529
           3501.4       0.7523608
           3501.8       0.7394205
           3502.2       0.7209324
           3502.6       0.7326405
            3503.       0.7638533
           3503.4       0.7811241
           3503.8       0.7928423
           3504.2       0.7791711
           3504.6       0.7587246
            3505.       0.7448018
           3505.4       0.7714796
           3505.8       0.7560354
           3506.2       0.7210487
           3506.6       0.7236707
            3507.       0.7477335
           3507.4       0.7584113
           3507.8       0.7615136
           3508.2       0.7701699
           3508.6       0.7698147
            3509.       0.7639122
           3509.4       0.7625865
           3509.8       0.7215478
           3510.2       0.6872825
           3510.6       0.6909385
            3511.       0.7299113
           3511.4       0.7467079
           3511.8       0.7352468
           3512.2       0.7492532
           3512.6       0.7466244
            3513.       0.7221358
           3513.4       0.6987022
           3513.8       0.6665719
           3514.2       0.6656493
           3514.6       0.6538726
            3515.       0.6806471
           3515.4       0.7278157
           3515.8       0.7603893
           3516.2       0.7622256
           3516.6       0.7752799
            3517.       0.7591491
           3517.4       0.7677267
           3517.8       0.7672285
           3518.2       0.7454195
           3518.6       0.7525102
            3519.       0.7583275
           3519.4       0.7574943
           3519.8       0.7390122
           3520.2       0.7139756
           3520.6       0.7179161
            3521.       0.7397073
           3521.4       0.7099427
           3521.8        0.697395
           3522.2       0.7237858
           3522.6       0.7413213
            3523.       0.7413042
           3523.4        0.716319
           3523.8       0.6804048
           3524.2       0.6619644
           3524.6       0.6426744
            3525.       0.6534171
           3525.4       0.7015519
           3525.8        0.654501
           3526.2        0.595543
           3526.6       0.5831243
            3527.       0.6234742
           3527.4       0.6706708
           3527.8       0.7192246
           3528.2       0.7284973
           3528.6       0.7265359
            3529.        0.751533
           3529.4       0.7498594
           3529.8       0.7249488
           3530.2        0.726571
           3530.6       0.7434689
            3531.       0.7767014
           3531.4       0.7770677
           3531.8       0.7599801
           3532.2       0.7550618
           3532.6       0.7474154
            3533.       0.7142268
           3533.4       0.7246761
           3533.8       0.7700903
           3534.2       0.7779872
           3534.6       0.7679144
            3535.       0.7711818
           3535.4        0.768981
           3535.8        0.769143
           3536.2       0.7638377
           3536.6        0.744777
            3537.       0.7504619
           3537.4       0.7581916
           3537.8       0.7459198
           3538.2       0.7593675
           3538.6       0.7781739
            3539.       0.7922569
           3539.4       0.7882827
           3539.8       0.7737355
           3540.2       0.7650887
           3540.6       0.7374414
            3541.       0.7397093
           3541.4       0.7405903
           3541.8       0.7368156
           3542.2       0.7304166
           3542.6       0.7557002
            3543.       0.7729455
           3543.4       0.7846902
           3543.8       0.8000426
           3544.2       0.8030319
           3544.6       0.8066689
            3545.       0.8097838
           3545.4       0.7828581
           3545.8       0.7589283
           3546.2        0.775493
           3546.6        0.785273
            3547.       0.7929538
           3547.4       0.7931716
           3547.8       0.7579641
           3548.2       0.7597396
           3548.6       0.7855554
            3549.       0.7868626
           3549.4       0.7845923
           3549.8       0.7923168
           3550.2       0.7946575
           3550.6       0.7759508
            3551.       0.7658174
           3551.4       0.7916358
           3551.8       0.7747804
           3552.2        0.779519
           3552.6       0.7720615
            3553.       0.7575676
           3553.4       0.7499661
           3553.8       0.7353359
           3554.2        0.730701
           3554.6       0.7375653
            3555.       0.7455773
           3555.4       0.7708431
           3555.8       0.7816153
           3556.2        0.751199
           3556.6       0.7410861
            3557.        0.741153
           3557.4       0.7351797
           3557.8       0.7421011
           3558.2       0.7439979
           3558.6       0.7314709
            3559.       0.7282135
           3559.4       0.7574356
           3559.8        0.785016
           3560.2       0.7675916
           3560.6       0.7564434
            3561.       0.7715555
           3561.4       0.7623358
           3561.8       0.7575278
           3562.2       0.7781225
           3562.6       0.7953413
            3563.        0.788665
           3563.4       0.7852125
           3563.8       0.7843349
           3564.2       0.7690763
           3564.6       0.7328686
            3565.       0.6836284
           3565.4       0.6434167
           3565.8       0.6226456
           3566.2       0.6311798
           3566.6       0.6733081
            3567.       0.7216447
           3567.4        0.747939
           3567.8       0.7447543
           3568.2       0.7515998
           3568.6       0.7680522
            3569.        0.732385
           3569.4       0.6852046
           3569.8       0.6103922
           3570.2       0.5867379
           3570.6       0.6095937
            3571.       0.6621102
           3571.4       0.7066817
           3571.8        0.696314
           3572.2       0.6788681
           3572.6       0.6720321
            3573.       0.7027498
           3573.4       0.6908008
           3573.8        0.685853
           3574.2       0.7215033
           3574.6       0.7395773
            3575.       0.7222368
           3575.4       0.7196686
           3575.8       0.7230242
           3576.2       0.7168187
           3576.6       0.7170688
            3577.        0.739722
           3577.4       0.7803926
           3577.8        0.787484
           3578.2       0.7523631
           3578.6        0.739691
            3579.       0.7261592
           3579.4       0.7546812
           3579.8       0.7646374
           3580.2       0.7491047
           3580.6       0.6713368
            3581.       0.5905149
           3581.4       0.5544384
           3581.8       0.5855923
           3582.2       0.6779428
           3582.6        0.745807
            3583.       0.7730255
           3583.4       0.7876588
           3583.8       0.7481018
           3584.2       0.7122602
           3584.6       0.6905417
            3585.       0.6221933
           3585.4       0.5880975
           3585.8       0.5887463
           3586.2       0.6187497
           3586.6       0.6489954
            3587.        0.633575
           3587.4         0.63273
           3587.8       0.6723122
           3588.2        0.680634
           3588.6       0.6911231
            3589.       0.7048599
           3589.4        0.698119
           3589.8       0.6960731
           3590.2       0.7389762
           3590.6        0.736835
            3591.       0.7482361
           3591.4       0.7776961
           3591.8       0.7887113
           3592.2       0.7851501
           3592.6       0.7653242
            3593.       0.7274457
           3593.4       0.7130066
           3593.8       0.7344879
           3594.2        0.727399
           3594.6       0.7405071
            3595.       0.7369611
           3595.4       0.7384074
           3595.8       0.7347127
           3596.2       0.7304946
           3596.6       0.7555383
            3597.       0.7722879
           3597.4       0.7565108
           3597.8       0.7418461
           3598.2       0.7604069
           3598.6       0.7860014
            3599.       0.7805874
           3599.4       0.7837814
           3599.8       0.7711675
           3600.2       0.7754235
           3600.6       0.7836754
            3601.       0.7785463
           3601.4        0.788569
           3601.8       0.7700558
           3602.2       0.7438856
           3602.6       0.7282527
            3603.       0.7066494
           3603.4        0.712791
           3603.8       0.7448425
           3604.2       0.7473502
           3604.6       0.7457265
            3605.       0.7400026
           3605.4       0.6776331
           3605.8       0.6625806
           3606.2       0.6983687
           3606.6       0.7332264
            3607.       0.7423783
           3607.4       0.7679698
           3607.8       0.7660748
           3608.2         0.72021
           3608.6       0.6650199
            3609.        0.621772
           3609.4       0.6415616
           3609.8       0.6832291
           3610.2       0.6943619
           3610.6       0.6966012
            3611.       0.6985831
           3611.4       0.7126632
           3611.8       0.7432318
           3612.2       0.7643013
           3612.6       0.7406617
            3613.       0.7082658
           3613.4       0.7036399
           3613.8       0.7095244
           3614.2       0.7140085
           3614.6        0.732156
            3615.       0.7704844
           3615.4        0.797616
           3615.8       0.7940494
           3616.2       0.7885925
           3616.6       0.7760812
            3617.       0.7851058
           3617.4       0.7534807
           3617.8       0.7293707
           3618.2       0.6747835
           3618.6       0.5987586
            3619.       0.5775727
           3619.4       0.6034361
           3619.8       0.6554379
           3620.2       0.7206534
           3620.6       0.7840472
            3621.       0.7724327
           3621.4       0.7360502
           3621.8       0.7444409
           3622.2       0.7520348
           3622.6       0.7577055
            3623.       0.7763199
           3623.4        0.773401
           3623.8       0.7652456
           3624.2       0.7505634
           3624.6       0.7275255
            3625.       0.7346255
           3625.4       0.7530686
           3625.8       0.7837519
           3626.2       0.7982421
           3626.6        0.817094
            3627.       0.8116384
           3627.4       0.7863376
           3627.8       0.7972209
           3628.2       0.8112217
           3628.6       0.8122907
            3629.       0.8047739
           3629.4       0.7960203
           3629.8       0.7836668
           3630.2       0.7516168
           3630.6       0.7053705
            3631.       0.6454793
           3631.4       0.6004736
           3631.8       0.6014737
           3632.2       0.6608613
           3632.6       0.7116973
            3633.       0.7388905
           3633.4        0.759348
           3633.8       0.7641243
           3634.2       0.7345857
           3634.6       0.7317269
            3635.       0.7543201
           3635.4       0.7446908
           3635.8       0.7515289
           3636.2       0.7730235
           3636.6       0.7807575
            3637.       0.7969084
           3637.4       0.8034589
           3637.8       0.7940332
           3638.2        0.775947
           3638.6       0.7812283
            3639.       0.7980399
           3639.4       0.8041702
           3639.8       0.8054882
           3640.2       0.7962838
           3640.6       0.7707793
            3641.       0.7660423
           3641.4       0.7886001
           3641.8       0.7751631
           3642.2       0.7450277
           3642.6       0.7530497
            3643.       0.7362838
           3643.4       0.7318313
           3643.8       0.7761511
           3644.2       0.7690408
           3644.6       0.7394387
            3645.       0.7425553
           3645.4       0.7340536
           3645.8       0.7432179
           3646.2       0.7850142
           3646.6       0.7870126
            3647.       0.7842134
           3647.4       0.7134748
           3647.8       0.6907725
           3648.2       0.6794219
           3648.6       0.7033045
            3649.       0.7308119
           3649.4        0.739839
           3649.8       0.7485654
           3650.2       0.7598057
           3650.6       0.7658908
            3651.       0.7746701
           3651.4       0.7797005
           3651.8       0.7640875
           3652.2        0.757729
           3652.6       0.7845566
            3653.       0.8113268
           3653.4       0.7926368
           3653.8       0.7864257
           3654.2       0.7982759
           3654.6       0.8175395
            3655.       0.8157099
           3655.4       0.7996455
           3655.8       0.7841224
           3656.2       0.7941386
           3656.6       0.8310954
            3657.       0.8315233
           3657.4       0.8189837
           3657.8       0.8261608
           3658.2       0.8069234
           3658.6        0.821933
