#K OBJECT   'G_124-40'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 126614
#K OBJRA    14:26:48.28
#K OBJDEC   -05:10:40.0
#K OBJBMAG  9.900000E+00
#K OBJVMAG  8.700000E+00
#K SPTYPE   K0
#K HDNAME   HD 126614
#K BDNAME   BD-04 3690
#K HIPNAME  HIP 70623
#K SAONAME  SAO 139932
#K VHELIO   2.87883606326115E+01
#K VLSR     3.79610192446564E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435832E+03
#K CMAX1    4.764429E+03
#K PICKTYPE K0V
#K NCOMBINE 3
#K TEFF     5500  1997AJ....114..376C (Castro)
#K LOGG     4.200000E+00  1997AJ....114..376C (Castro)
#K FEH      5.500000E-01  1997AJ....114..376C (Castro)
#K COVERAGE 3465.0-8129.0
#K GAPS     6070.6-6792.2
#K OBSTITLE 126614

#      wavelength        spectrum
#       angstroms                

            3465.       0.3923606
           3465.4       0.3393904
           3465.8       0.2918449
           3466.2       0.2914916
           3466.6       0.3043143
            3467.       0.3592564
           3467.4       0.3824517
           3467.8       0.4026562
           3468.2       0.4090635
           3468.6       0.3976677
            3469.       0.3813944
           3469.4       0.3852091
           3469.8       0.4219394
           3470.2       0.4657519
           3470.6       0.4762616
            3471.       0.4570097
           3471.4       0.4208402
           3471.8       0.3520229
           3472.2       0.3306034
           3472.6       0.3235582
            3473.       0.3429802
           3473.4       0.3405297
           3473.8        0.328532
           3474.2       0.3084236
           3474.6       0.2891425
            3475.       0.2692605
           3475.4       0.2442101
           3475.8       0.2322165
           3476.2       0.2325677
           3476.6       0.2389679
            3477.       0.2645544
           3477.4       0.3025237
           3477.8       0.3413412
           3478.2       0.3763073
           3478.6       0.3955107
            3479.       0.4074336
           3479.4       0.4035957
           3479.8       0.3853812
           3480.2       0.3627715
           3480.6        0.348837
            3481.        0.352189
           3481.4       0.3617978
           3481.8       0.3575446
           3482.2       0.3352364
           3482.6       0.3249699
            3483.       0.2992645
           3483.4       0.2807136
           3483.8       0.2890608
           3484.2        0.303485
           3484.6       0.3041607
            3485.       0.2927838
           3485.4       0.2927754
           3485.8       0.3126675
           3486.2       0.3424088
           3486.6       0.3941559
            3487.       0.4467922
           3487.4       0.4402967
           3487.8       0.4223361
           3488.2       0.3819201
           3488.6       0.3283755
            3489.       0.2942383
           3489.4       0.2794458
           3489.8       0.2613622
           3490.2       0.2381645
           3490.6       0.2359672
            3491.       0.2618257
           3491.4       0.3005827
           3491.8       0.3222477
           3492.2        0.302228
           3492.6       0.2721933
            3493.       0.2594284
           3493.4       0.2910859
           3493.8       0.3488496
           3494.2       0.4021087
           3494.6       0.4195745
            3495.       0.3990122
           3495.4       0.3605967
           3495.8        0.326524
           3496.2       0.2937052
           3496.6       0.2645934
            3497.       0.2518576
           3497.4       0.2470529
           3497.8        0.264294
           3498.2       0.3200442
           3498.6       0.3884006
            3499.       0.4664989
           3499.4       0.5215682
           3499.8       0.5378693
           3500.2       0.4982803
           3500.6       0.4665494
            3501.       0.4699374
           3501.4       0.4803991
           3501.8       0.4603343
           3502.2       0.4320342
           3502.6        0.458885
            3503.       0.5141756
           3503.4       0.5768355
           3503.8       0.5785121
           3504.2       0.5398469
           3504.6        0.478344
            3505.       0.4288273
           3505.4       0.4148154
           3505.8       0.4102377
           3506.2       0.3887589
           3506.6       0.3901531
            3507.       0.4239474
           3507.4       0.4537863
           3507.8       0.4790652
           3508.2       0.4845681
           3508.6       0.4687304
            3509.       0.4572664
           3509.4       0.4150662
           3509.8       0.3560699
           3510.2       0.3162727
           3510.6       0.3207042
            3511.        0.370702
           3511.4       0.3948952
           3511.8       0.3799402
           3512.2       0.3608621
           3512.6       0.3460388
            3513.       0.3257343
           3513.4       0.2859978
           3513.8        0.272694
           3514.2       0.2672878
           3514.6       0.2576841
            3515.       0.2767735
           3515.4       0.3145615
           3515.8       0.3692458
           3516.2       0.4081707
           3516.6       0.4454662
            3517.       0.4875654
           3517.4       0.5173308
           3517.8        0.533493
           3518.2       0.5278933
           3518.6       0.5056822
            3519.       0.4872332
           3519.4       0.4660721
           3519.8       0.4325922
           3520.2       0.3982643
           3520.6        0.381576
            3521.       0.3434663
           3521.4       0.3202274
           3521.8        0.322818
           3522.2       0.3415024
           3522.6       0.3532977
            3523.        0.326872
           3523.4       0.2887339
           3523.8       0.2601675
           3524.2       0.2246877
           3524.6       0.2228102
            3525.       0.2382061
           3525.4       0.2557151
           3525.8       0.2290359
           3526.2        0.210307
           3526.6       0.2212309
            3527.       0.2781221
           3527.4       0.3385426
           3527.8       0.3811113
           3528.2       0.4213248
           3528.6       0.4447634
            3529.       0.4471937
           3529.4       0.4288059
           3529.8        0.423655
           3530.2       0.4170371
           3530.6       0.4223616
            3531.       0.4370713
           3531.4       0.4110298
           3531.8       0.3635786
           3532.2       0.3241023
           3532.6       0.3058225
            3533.       0.3038638
           3533.4         0.33922
           3533.8       0.4139019
           3534.2       0.4632913
           3534.6       0.4708595
            3535.        0.447856
           3535.4       0.4366723
           3535.8       0.4163435
           3536.2       0.4144108
           3536.6       0.4119456
            3537.       0.3884376
           3537.4       0.3800623
           3537.8       0.3726563
           3538.2       0.3784709
           3538.6       0.4281587
            3539.       0.4909917
           3539.4       0.5258839
           3539.8       0.5092348
           3540.2       0.4641242
           3540.6       0.4089461
            3541.        0.371203
           3541.4       0.3551618
           3541.8       0.3527427
           3542.2       0.3573686
           3542.6       0.3750182
            3543.       0.3889983
           3543.4        0.400013
           3543.8       0.4257698
           3544.2       0.4544384
           3544.6       0.4627362
            3545.       0.4468377
           3545.4       0.4243585
           3545.8       0.4196648
           3546.2       0.4385076
           3546.6       0.4417962
            3547.       0.4067339
           3547.4       0.3764718
           3547.8       0.3401928
           3548.2       0.3400727
           3548.6       0.3776493
            3549.       0.4203471
           3549.4       0.4544387
           3549.8       0.4517262
           3550.2       0.4251153
           3550.6       0.3890251
            3551.       0.3635035
           3551.4       0.3618489
           3551.8       0.3728938
           3552.2       0.3750136
           3552.6       0.3625305
            3553.        0.336504
           3553.4       0.3136009
           3553.8       0.2935697
           3554.2       0.2781671
           3554.6       0.2798369
            3555.        0.301222
           3555.4       0.3483042
           3555.8       0.3989338
           3556.2       0.3968479
           3556.6         0.34966
            3557.       0.3474652
           3557.4        0.363638
           3557.8       0.3493336
           3558.2       0.3135894
           3558.6       0.2796635
            3559.       0.2847218
           3559.4       0.3107338
           3559.8       0.3251984
           3560.2       0.3364434
           3560.6       0.3375685
            3561.       0.3392414
           3561.4       0.3438167
           3561.8       0.3522737
           3562.2       0.3662531
           3562.6       0.3946309
            3563.       0.4274536
           3563.4       0.4333591
           3563.8        0.421673
           3564.2       0.3787687
           3564.6        0.291336
            3565.       0.2146177
           3565.4       0.1765823
           3565.8       0.1578238
           3566.2       0.1776267
           3566.6       0.2097243
            3567.       0.2594109
           3567.4       0.3110493
           3567.8       0.3333899
           3568.2       0.3209026
           3568.6        0.286853
            3569.       0.2435669
           3569.4       0.1902452
           3569.8       0.1520244
           3570.2       0.1551798
           3570.6       0.1860574
            3571.       0.2205062
           3571.4       0.2415275
           3571.8       0.2506588
           3572.2       0.2754435
           3572.6       0.3238879
            3573.        0.349943
           3573.4       0.3458661
           3573.8       0.3245162
           3574.2       0.3184631
           3574.6       0.3202434
            3575.        0.316016
           3575.4       0.3190702
           3575.8       0.3390885
           3576.2       0.3633792
           3576.6       0.3707101
            3577.       0.3646612
           3577.4       0.3409192
           3577.8       0.2938032
           3578.2       0.2534581
           3578.6       0.2153881
            3579.       0.2025792
           3579.4       0.2189894
           3579.8       0.2174572
           3580.2       0.1927439
           3580.6       0.1519945
            3581.       0.1169241
           3581.4       0.1179159
           3581.8        0.122649
           3582.2       0.1425843
           3582.6       0.1739448
            3583.       0.1788869
           3583.4       0.1841245
           3583.8        0.180385
           3584.2        0.167973
           3584.6       0.1580677
            3585.       0.1377299
           3585.4       0.1228048
           3585.8       0.1359776
           3586.2       0.1562354
           3586.6       0.1597393
            3587.       0.1570781
           3587.4       0.1689513
           3587.8       0.1924718
           3588.2       0.2055725
           3588.6       0.2018337
            3589.       0.1991366
           3589.4       0.1965049
           3589.8       0.2048806
           3590.2       0.2360348
           3590.6       0.3135946
            3591.       0.3974188
           3591.4       0.4305762
           3591.8       0.4375499
           3592.2       0.4350211
           3592.6       0.3986493
            3593.       0.3396088
           3593.4       0.2931471
           3593.8       0.2941893
           3594.2       0.3380303
           3594.6       0.3776628
            3595.       0.4077173
           3595.4       0.4455235
           3595.8        0.479319
           3596.2       0.5019888
           3596.6       0.5102717
            3597.       0.4956974
           3597.4       0.4656833
           3597.8       0.4354714
           3598.2       0.4316622
           3598.6        0.431614
            3599.       0.4242322
           3599.4       0.4365983
           3599.8       0.4765677
           3600.2       0.5238025
           3600.6       0.5447245
            3601.       0.5331889
           3601.4        0.489761
           3601.8       0.4173419
           3602.2       0.3471809
           3602.6        0.317318
            3603.        0.323911
           3603.4       0.3252608
           3603.8       0.3241064
           3604.2        0.326592
           3604.6       0.3158259
            3605.        0.287639
           3605.4       0.2684937
           3605.8       0.2704296
           3606.2       0.3068739
           3606.6       0.3493094
            3607.       0.3781416
           3607.4       0.3796014
           3607.8       0.3284237
           3608.2       0.2636338
           3608.6       0.2038911
            3609.       0.1825156
           3609.4       0.2016916
           3609.8       0.2180389
           3610.2       0.2330769
           3610.6       0.2627347
            3611.       0.3226077
           3611.4       0.3690948
           3611.8       0.3911602
           3612.2        0.396214
           3612.6       0.3709082
            3613.       0.3322615
           3613.4        0.306567
           3613.8       0.3147286
           3614.2       0.3468002
           3614.6       0.3711883
            3615.       0.4131384
           3615.4       0.4476167
           3615.8       0.4605732
           3616.2       0.4422178
           3616.6       0.4164962
            3617.       0.3872304
           3617.4       0.3370718
           3617.8       0.2688712
           3618.2       0.2025604
           3618.6       0.1561106
            3619.        0.131643
           3619.4       0.1514535
           3619.8        0.205629
           3620.2       0.2569967
           3620.6       0.2968582
            3621.       0.3088367
           3621.4       0.3157839
           3621.8       0.3360787
           3622.2       0.3939213
           3622.6       0.4401528
            3623.       0.4200091
           3623.4       0.3760542
           3623.8       0.3455274
           3624.2       0.3425357
           3624.6       0.3716106
            3625.       0.4133245
           3625.4       0.4598779
           3625.8       0.5211029
           3626.2       0.5705701
           3626.6       0.5873802
            3627.       0.5634389
           3627.4       0.5395122
           3627.8       0.5240285
           3628.2        0.511496
           3628.6       0.5169231
            3629.       0.5257645
           3629.4       0.5203049
           3629.8       0.4598463
           3630.2       0.3729576
           3630.6       0.2800905
            3631.       0.2067401
           3631.4       0.1741923
           3631.8        0.184474
           3632.2       0.2295829
           3632.6        0.284828
            3633.       0.3309129
           3633.4       0.3555216
           3633.8        0.354539
           3634.2       0.3310109
           3634.6       0.2966021
            3635.       0.3089976
           3635.4       0.3678491
           3635.8       0.4131885
           3636.2       0.4183144
           3636.6       0.3968463
            3637.       0.3841196
           3637.4       0.4080596
           3637.8       0.4237245
           3638.2       0.4403956
           3638.6       0.4845148
            3639.       0.5103798
           3639.4       0.5022227
           3639.8       0.4955145
           3640.2        0.511197
           3640.6       0.5253045
            3641.       0.5040886
           3641.4        0.492776
           3641.8       0.4679657
           3642.2       0.4623261
           3642.6       0.4448246
            3643.       0.4275339
