#K OBJECT   'G_136-45'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 132756
#K OBJRA    15:00:35.00
#K OBJDEC   +08:36:00.6
#K OBJBMAG  8.010000E+00
#K OBJVMAG  7.310000E+00
#K SPTYPE   G0
#K HDNAME   HD 132756
#K BDNAME   BD+09 2983
#K HIPNAME  HIP 73449
#K SAONAME  SAO 120789
#K VHELIO   -1.13129776993766E+01
#K VLSR     2.11993092981655E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445360E+03
#K CMAX1    4.770848E+03
#K PICKTYPE G0V
#K NCOMBINE 6
#K TEFF     5309  1994AJ....107.2240C (Carney)
#K LOGG     4.000000E+00  1994AJ....107.2240C (Carney)
#K FEH      -6.800000E-01  1994AJ....107.2240C (Carney)
#K COVERAGE 3465.0-9469.0
#K GAPS     5414.6-5459.8
#K OBSTITLE G66-49

#      wavelength        spectrum
#       angstroms                

            3465.       0.5583549
           3465.4       0.4720125
           3465.8       0.4094183
           3466.2       0.4199291
           3466.6       0.4778768
            3467.       0.5391527
           3467.4       0.5865365
           3467.8       0.6169886
           3468.2       0.6232055
           3468.6       0.5993963
            3469.       0.5767087
           3469.4       0.5813125
           3469.8       0.6263655
           3470.2       0.6662392
           3470.6       0.6682789
            3471.       0.6423171
           3471.4       0.5862014
           3471.8       0.5353947
           3472.2       0.5053971
           3472.6       0.4968421
            3473.       0.5155729
           3473.4       0.5127202
           3473.8       0.4769098
           3474.2       0.4583414
           3474.6       0.4327585
            3475.       0.3847015
           3475.4       0.3433886
           3475.8       0.3333449
           3476.2       0.3446068
           3476.6       0.3582194
            3477.       0.3952524
           3477.4       0.4672101
           3477.8        0.544262
           3478.2       0.5715727
           3478.6       0.5832282
            3479.       0.6039677
           3479.4       0.6155446
           3479.8        0.605516
           3480.2       0.5882656
           3480.6       0.5888016
            3481.       0.5924762
           3481.4        0.592683
           3481.8       0.6007395
           3482.2       0.5840051
           3482.6       0.5432992
            3483.       0.5036498
           3483.4       0.4703467
           3483.8       0.4793677
           3484.2       0.5155243
           3484.6       0.5316038
            3485.       0.5097224
           3485.4       0.5093129
           3485.8       0.5504595
           3486.2       0.6067799
           3486.6       0.6597559
            3487.        0.692638
           3487.4       0.6959445
           3487.8       0.6638656
           3488.2       0.6044106
           3488.6       0.5465326
            3489.        0.481873
           3489.4       0.4434441
           3489.8       0.4151615
           3490.2        0.375306
           3490.6       0.3586138
            3491.       0.4002909
           3491.4       0.4812474
           3491.8       0.5330675
           3492.2       0.5033642
           3492.6       0.4330197
            3493.       0.4100406
           3493.4       0.4558538
           3493.8       0.5415192
           3494.2       0.6056914
           3494.6       0.6185203
            3495.       0.5915501
           3495.4       0.5351892
           3495.8       0.4841162
           3496.2       0.4622217
           3496.6       0.4402122
            3497.       0.4135921
           3497.4       0.4020291
           3497.8       0.4191215
           3498.2       0.4955504
           3498.6       0.6008905
            3499.       0.6867647
           3499.4       0.7391335
           3499.8       0.7365723
           3500.2       0.6873789
           3500.6       0.6581698
            3501.       0.6700981
           3501.4       0.6905744
           3501.8       0.6756327
           3502.2       0.6473795
           3502.6       0.6689973
            3503.       0.7337229
           3503.4       0.7856573
           3503.8       0.7978188
           3504.2        0.751095
           3504.6       0.6679362
            3505.       0.6260901
           3505.4       0.6232988
           3505.8       0.6121063
           3506.2       0.5924633
