#K OBJECT   'G_144-6'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 194598
#K OBJRA    20:26:11.92
#K OBJDEC   +09:27:00.4
#K OBJBMAG  8.850000E+00
#K OBJVMAG  8.360000E+00
#K SPTYPE   F7V-VI
#K OBJRV    -2.463000E+02
#K HDNAME   HD 194598
#K BDNAME   BD+09 4529
#K HIPNAME  HIP 100792
#K SAONAME  SAO 125806
#K VHELIO   2.17926408238063E+01
#K VLSR     3.73289393141880E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    8.122802E+03
#K CMAX1    9.459605E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     6058  2000A&A...362.1077Z (Zhao)
#K LOGG     4.330000E+00  2000A&A...362.1077Z (Zhao)
#K FEH      -1.120000E+00  2000A&A...362.1077Z (Zhao)
#K COVERAGE 3465.0-9459.8
#K GAPS     8115.0-8122.2
#K OBSTITLE 194598

#      wavelength        spectrum
#       angstroms                

            3465.       0.5919195
           3465.4       0.5482516
           3465.8       0.5318873
           3466.2       0.5420553
           3466.6        0.556683
            3467.       0.5762074
           3467.4       0.5943516
           3467.8       0.6024032
           3468.2       0.5960623
           3468.6       0.5919516
            3469.       0.5994204
           3469.4       0.5870646
           3469.8       0.5939305
           3470.2       0.6156301
           3470.6       0.6172196
            3471.       0.6159762
           3471.4       0.6097346
           3471.8       0.5935947
           3472.2       0.5801732
           3472.6       0.5763423
            3473.       0.5778617
           3473.4       0.5697814
           3473.8       0.5477738
           3474.2       0.5260727
           3474.6       0.5128797
            3475.       0.5071809
           3475.4       0.4789829
           3475.8       0.4723405
           3476.2       0.4809232
           3476.6       0.4797812
            3477.       0.4879317
           3477.4       0.5245425
           3477.8       0.5688855
           3478.2       0.5952739
           3478.6       0.5991877
            3479.       0.5990104
           3479.4       0.6018746
           3479.8       0.5978503
           3480.2       0.6080099
           3480.6       0.6135696
            3481.       0.6144592
           3481.4       0.6093367
           3481.8        0.618543
           3482.2       0.6064264
           3482.6       0.5877783
            3483.       0.5626867
           3483.4       0.5424748
           3483.8       0.5521331
           3484.2       0.5701096
           3484.6       0.5879022
            3485.       0.6028456
           3485.4       0.5820189
           3485.8       0.5936855
           3486.2       0.6124213
           3486.6       0.6285035
            3487.       0.6428168
           3487.4       0.6467107
           3487.8       0.6184186
           3488.2       0.6021072
           3488.6       0.5911791
            3489.       0.5624197
           3489.4       0.5387421
           3489.8        0.531018
           3490.2       0.5241872
           3490.6       0.5030375
            3491.       0.5140184
           3491.4        0.555759
           3491.8       0.5868707
           3492.2        0.592195
           3492.6        0.567315
            3493.       0.5560324
           3493.4       0.5609732
           3493.8       0.5857686
           3494.2       0.6098422
           3494.6       0.5971781
            3495.       0.5639901
           3495.4       0.5354804
           3495.8       0.5254695
           3496.2       0.5341167
           3496.6       0.5133034
            3497.        0.502658
           3497.4       0.5245414
           3497.8       0.5451296
           3498.2       0.5765726
           3498.6       0.6140854
            3499.        0.645044
           3499.4       0.6454665
           3499.8       0.6241665
           3500.2       0.6119273
           3500.6       0.6077104
            3501.       0.6139745
           3501.4       0.6102383
           3501.8       0.6045063
           3502.2       0.5949971
           3502.6       0.5983183
            3503.       0.6222511
           3503.4       0.6433445
           3503.8       0.6500144
           3504.2       0.6364101
           3504.6       0.6041142
            3505.       0.5842054
           3505.4       0.5905585
           3505.8       0.5915613
           3506.2       0.5788669
           3506.6       0.5792153
            3507.        0.597117
           3507.4       0.6166694
           3507.8        0.615396
           3508.2       0.6233215
           3508.6        0.627155
            3509.       0.6155427
           3509.4       0.5990552
           3509.8       0.5727158
           3510.2       0.5455088
           3510.6       0.5441858
            3511.       0.5660564
           3511.4        0.590196
           3511.8       0.6011311
           3512.2       0.5925338
           3512.6       0.5886301
            3513.       0.5640175
           3513.4       0.5415695
           3513.8       0.5283645
           3514.2       0.5452645
           3514.6       0.5528485
            3515.       0.5633976
           3515.4       0.5902056
           3515.8       0.6181553
           3516.2       0.6327611
           3516.6       0.6175485
            3517.       0.6268281
           3517.4       0.6394455
           3517.8       0.6382792
           3518.2       0.6231248
           3518.6         0.62159
            3519.       0.6193407
           3519.4       0.6076902
           3519.8        0.602444
           3520.2       0.5946535
           3520.6       0.5746543
            3521.       0.5659209
           3521.4       0.5724264
           3521.8       0.5817941
           3522.2       0.6022897
           3522.6       0.6043405
            3523.       0.5959707
           3523.4       0.5783504
           3523.8       0.5511544
           3524.2       0.5157212
           3524.6       0.5235669
            3525.        0.551316
           3525.4       0.5539606
           3525.8       0.5115473
           3526.2        0.459818
           3526.6       0.4692299
            3527.       0.5275273
           3527.4       0.5775105
           3527.8       0.6194104
           3528.2       0.6355549
           3528.6       0.6406835
            3529.       0.6282195
           3529.4       0.6311423
           3529.8       0.6157964
           3530.2        0.615192
           3530.6       0.6229676
            3531.       0.6309735
           3531.4       0.6379061
           3531.8       0.6331551
           3532.2       0.6219577
           3532.6       0.5952766
            3533.       0.5890362
           3533.4       0.6026436
           3533.8       0.6393142
           3534.2       0.6635302
           3534.6        0.667501
            3535.       0.6490946
           3535.4       0.6320741
           3535.8         0.62891
           3536.2       0.6342103
           3536.6       0.6362911
            3537.       0.6317314
           3537.4       0.6306984
           3537.8       0.6375358
           3538.2       0.6498483
           3538.6       0.6667426
            3539.       0.6994663
           3539.4       0.6897511
           3539.8         0.67166
           3540.2       0.6588181
           3540.6       0.6262749
            3541.       0.6067706
           3541.4       0.6116446
           3541.8       0.6209101
           3542.2       0.6338596
           3542.6       0.6532707
            3543.       0.6697191
           3543.4        0.676807
           3543.8       0.6919222
           3544.2       0.6862478
           3544.6       0.6780152
            3545.       0.6560526
           3545.4       0.6629596
           3545.8       0.6647455
           3546.2        0.660975
           3546.6       0.6771614
            3547.       0.6763367
           3547.4       0.6548378
           3547.8       0.6408485
           3548.2       0.6321554
           3548.6       0.6522697
            3549.       0.6666349
           3549.4       0.6776527
           3549.8       0.6857677
           3550.2       0.6773877
           3550.6       0.6805083
            3551.        0.676573
           3551.4       0.6622223
           3551.8       0.6596403
           3552.2       0.6673715
           3552.6       0.6574314
            3553.       0.6365368
           3553.4       0.6298119
           3553.8       0.6189072
           3554.2       0.6087389
           3554.6       0.5962477
            3555.       0.6088841
           3555.4       0.6506999
           3555.8       0.6738461
           3556.2       0.6616791
           3556.6       0.6359609
            3557.       0.6344974
           3557.4       0.6452886
           3557.8        0.653023
           3558.2        0.647479
