#K OBJECT   'G_160-27'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 24156
#K OBJRA    03:50:41.61
#K OBJDEC   -04:37:20.3
#K OBJBMAG  8.830000E+00
#K OBJVMAG  8.150000E+00
#K SPTYPE   G0
#K OBJRV    1.718000E+01
#K HDNAME   HD 24156
#K BDNAME   BD-05 762
#K HIPNAME  HIP 17987
#K SAONAME  SAO 130766
#K VHELIO   1.28953147195499E+01
#K VLSR     -2.34135672553501E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449878E+03
#K CMAX1    4.775435E+03
#K PICKTYPE G0V
#K NCOMBINE 5
#K TEFF     5354  1994AJ....107.2240C (Carney)
#K LOGG     4.000000E+00  1994AJ....107.2240C (Carney)
#K FEH      -7.600000E-01  1994AJ....107.2240C (Carney)
#K COVERAGE 3465.0-9449.0
#K GAPS     6789.8-6811.0
#K OBSTITLE G160-27

#      wavelength        spectrum
#       angstroms                

            3465.       0.5787873
           3465.4       0.5259202
           3465.8       0.4629529
           3466.2       0.4536501
           3466.6       0.4945747
            3467.       0.5366657
           3467.4       0.5704643
           3467.8        0.590027
           3468.2       0.5928442
           3468.6        0.598982
            3469.       0.5956509
           3469.4       0.5743166
           3469.8       0.5846384
           3470.2       0.6172574
           3470.6       0.6330752
            3471.       0.6371539
           3471.4       0.5955198
           3471.8       0.5632668
           3472.2       0.5395339
           3472.6       0.5238353
            3473.       0.5209376
           3473.4       0.5104603
           3473.8       0.4861835
           3474.2       0.4647118
           3474.6       0.4445796
            3475.       0.4075354
           3475.4       0.3811055
           3475.8       0.3705809
           3476.2        0.373797
           3476.6       0.3752078
            3477.       0.3816902
           3477.4       0.4514437
           3477.8       0.5168366
           3478.2        0.551407
           3478.6        0.565693
            3479.       0.5624036
           3479.4       0.5720986
           3479.8       0.5744604
           3480.2       0.5517921
           3480.6       0.5553131
            3481.        0.577773
           3481.4       0.5696967
           3481.8       0.5774585
           3482.2        0.593155
           3482.6       0.5584899
            3483.        0.509241
           3483.4       0.4789078
           3483.8       0.4916987
           3484.2       0.5284996
           3484.6       0.5412909
            3485.       0.5348579
           3485.4       0.5253299
           3485.8       0.5440807
           3486.2       0.5926679
           3486.6       0.6364347
            3487.       0.6614141
           3487.4       0.6672741
           3487.8       0.6593736
           3488.2       0.6121607
           3488.6       0.5604066
            3489.        0.521564
           3489.4       0.4881241
           3489.8       0.4718525
           3490.2       0.4494661
           3490.6       0.4090728
            3491.       0.4149727
           3491.4       0.4801097
           3491.8       0.5391999
           3492.2       0.5350077
           3492.6         0.48824
            3493.       0.4414311
           3493.4       0.4507796
           3493.8       0.5172699
           3494.2       0.5787181
           3494.6       0.5935455
            3495.       0.5682024
           3495.4         0.52597
           3495.8       0.4836552
           3496.2       0.4528973
           3496.6       0.4426143
            3497.       0.4272307
           3497.4       0.4409856
           3497.8       0.4512993
           3498.2       0.5047009
           3498.6       0.5873722
            3499.       0.6538259
           3499.4       0.6733128
           3499.8       0.6762325
           3500.2       0.6577012
           3500.6       0.6145934
            3501.       0.6159124
           3501.4       0.6400567
           3501.8       0.6317556
           3502.2       0.6189625
           3502.6       0.6284173
            3503.       0.6704081
           3503.4       0.7042536
           3503.8       0.7271724
           3504.2       0.6955202
           3504.6       0.6275311
            3505.       0.5806805
           3505.4       0.5613349
