#K OBJECT   'G_17-21'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 148816
#K OBJRA    16:30:28.46
#K OBJDEC   +04:10:41.6
#K OBJBMAG  7.810000E+00
#K OBJVMAG  7.270000E+00
#K SPTYPE   F8V
#K OBJRV    -5.170000E+01
#K HDNAME   HD 148816
#K BDNAME   BD+04 3195
#K HIPNAME  HIP 80837
#K SAONAME  SAO 121653
#K VHELIO   2.71323636999386E+01
#K VLSR     4.37229019898867E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.793475E+03
#K CMAX1    8.129307E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     5867  1993A&A...275..101E (Edvardsson)
#K LOGG     4.260000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -7.400000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9453.0
#K GAPS     5415.8-5462.6
#K OBSTITLE 148816

#      wavelength        spectrum
#       angstroms                

            3465.        0.584453
           3465.4        0.546997
           3465.8       0.5185395
           3466.2       0.5227972
           3466.6       0.5586435
            3467.       0.5926525
           3467.4       0.6110077
           3467.8       0.6175265
           3468.2       0.6125627
           3468.6       0.6027974
            3469.       0.5837688
           3469.4         0.57581
           3469.8       0.6048866
           3470.2       0.6335633
           3470.6       0.6345574
            3471.       0.6226591
           3471.4       0.6005666
           3471.8       0.5831264
           3472.2       0.5774763
           3472.6         0.57054
            3473.       0.5624897
           3473.4       0.5535454
           3473.8       0.5307038
           3474.2        0.511272
           3474.6        0.506101
            3475.       0.4912519
           3475.4       0.4629118
           3475.8       0.4515818
           3476.2       0.4552566
           3476.6       0.4520369
            3477.       0.4647279
           3477.4       0.5116525
           3477.8       0.5640558
           3478.2       0.5875167
           3478.6       0.6001037
            3479.       0.6133229
           3479.4       0.6026828
           3479.8       0.5932512
           3480.2       0.5928846
           3480.6       0.6069408
            3481.       0.6171471
           3481.4       0.6151782
           3481.8       0.6234152
           3482.2       0.6202745
           3482.6       0.5930662
            3483.       0.5692997
           3483.4       0.5405138
           3483.8       0.5423905
           3484.2       0.5662343
           3484.6       0.5798938
            3485.       0.5724424
           3485.4       0.5744102
           3485.8       0.5964884
           3486.2       0.6161292
           3486.6       0.6358946
            3487.       0.6664346
           3487.4       0.6748412
           3487.8       0.6458241
           3488.2       0.6144341
           3488.6       0.5835295
            3489.       0.5716167
           3489.4        0.542322
           3489.8       0.5193556
           3490.2       0.4945402
           3490.6       0.4703744
            3491.        0.510877
           3491.4       0.5605829
           3491.8       0.5838083
           3492.2       0.5883125
           3492.6       0.5484688
            3493.       0.5177675
           3493.4       0.5219365
           3493.8       0.5745715
           3494.2       0.5976385
           3494.6       0.5867536
            3495.       0.5542719
           3495.4       0.5197617
           3495.8       0.5006737
           3496.2       0.4968186
           3496.6       0.4956642
            3497.       0.4901195
           3497.4       0.4952639
           3497.8       0.5277814
           3498.2       0.5754886
           3498.6       0.6189848
            3499.       0.6535892
           3499.4       0.6697044
           3499.8       0.6483524
           3500.2        0.626689
           3500.6        0.612839
            3501.        0.610902
           3501.4       0.6303468
           3501.8       0.6215433
           3502.2       0.6099882
           3502.6       0.6281526
            3503.       0.6516005
           3503.4       0.6793671
           3503.8       0.6797048
           3504.2       0.6494852
           3504.6       0.6104001
            3505.       0.5919112
           3505.4       0.5891274
           3505.8       0.5900218
           3506.2       0.5798679
           3506.6       0.5862395
            3507.       0.6031306
           3507.4       0.6132989
           3507.8       0.6259491
           3508.2       0.6445577
           3508.6        0.652438
            3509.       0.6370422
           3509.4       0.6137387
           3509.8       0.5877063
           3510.2       0.5482634
           3510.6       0.5531661
            3511.       0.5978742
           3511.4       0.6184852
           3511.8       0.6123466
           3512.2       0.6032358
           3512.6       0.5959955
            3513.       0.5750536
           3513.4       0.5428331
           3513.8       0.5334916
           3514.2       0.5427135
           3514.6       0.5369256
            3515.       0.5446651
           3515.4        0.573528
           3515.8       0.6149794
           3516.2       0.6324509
           3516.6       0.6375687
            3517.       0.6652223
           3517.4       0.6844304
           3517.8       0.6696634
           3518.2       0.6598213
           3518.6       0.6537048
            3519.       0.6304761
           3519.4       0.6154897
           3519.8       0.6044359
           3520.2       0.5963119
           3520.6       0.5832516
            3521.       0.5810012
           3521.4       0.5621603
           3521.8       0.5664913
           3522.2       0.5914508
           3522.6       0.6063888
            3523.       0.5932247
           3523.4       0.5612424
           3523.8       0.5185035
           3524.2       0.4797508
           3524.6       0.4843965
            3525.       0.5234221
           3525.4       0.5277459
           3525.8       0.4836132
           3526.2       0.4455492
           3526.6       0.4561023
            3527.        0.497083
           3527.4       0.5560974
           3527.8       0.5942207
           3528.2       0.6200115
           3528.6        0.659106
            3529.       0.6603236
           3529.4       0.6321455
           3529.8        0.632871
           3530.2       0.6336901
           3530.6       0.6399071
            3531.       0.6419052
           3531.4       0.6421115
           3531.8        0.634724
           3532.2       0.6121534
           3532.6       0.5958669
            3533.       0.5917677
           3533.4        0.614563
           3533.8        0.653316
           3534.2       0.6841122
           3534.6       0.6841403
            3535.       0.6635402
           3535.4       0.6617917
           3535.8       0.6609219
           3536.2       0.6524222
           3536.6       0.6635006
            3537.       0.6589945
           3537.4       0.6395836
           3537.8       0.6312176
           3538.2       0.6587492
           3538.6       0.6918062
            3539.         0.71188
           3539.4       0.7314734
           3539.8       0.7319347
           3540.2       0.6964641
           3540.6       0.6590894
            3541.       0.6403293
           3541.4       0.6311367
           3541.8       0.6353598
           3542.2       0.6362249
           3542.6       0.6793568
            3543.        0.690794
           3543.4       0.6968488
           3543.8       0.7086117
           3544.2       0.7138301
           3544.6       0.7068211
            3545.        0.687167
           3545.4       0.6724483
           3545.8       0.6728619
           3546.2       0.6860037
           3546.6       0.7100229
            3547.       0.7111486
           3547.4        0.692008
           3547.8        0.646544
           3548.2       0.6360471
           3548.6       0.6768035
            3549.        0.699914
           3549.4       0.7064354
           3549.8       0.7141161
           3550.2        0.713087
           3550.6       0.7147165
            3551.       0.7146094
           3551.4       0.6919245
           3551.8       0.6776336
           3552.2       0.6813024
           3552.6       0.6747279
            3553.       0.6728176
           3553.4       0.6402895
           3553.8       0.6326105
           3554.2       0.6148968
           3554.6       0.5966856
            3555.       0.6241009
           3555.4       0.6694777
           3555.8       0.7019515
           3556.2       0.6896918
           3556.6       0.6455253
            3557.       0.6605216
           3557.4       0.6827887
           3557.8       0.6912367
           3558.2       0.6715977
           3558.6       0.6474789
            3559.       0.6462734
           3559.4       0.6776588
           3559.8       0.6911743
           3560.2        0.684947
           3560.6       0.6728074
            3561.       0.6569885
           3561.4       0.6491514
           3561.8       0.6617503
           3562.2       0.7000408
           3562.6        0.733221
            3563.       0.7480122
           3563.4       0.7688167
           3563.8       0.7447549
           3564.2       0.6961358
           3564.6       0.6090664
            3565.       0.5166453
           3565.4       0.4769095
           3565.8       0.4646822
           3566.2        0.475362
           3566.6       0.5301589
            3567.       0.5938996
           3567.4       0.6340297
           3567.8       0.6485026
           3568.2       0.6518325
           3568.6       0.6348634
            3569.       0.5777019
           3569.4        0.480646
           3569.8       0.4425034
           3570.2       0.4496587
           3570.6       0.5189399
            3571.       0.5856339
           3571.4       0.5857615
           3571.8       0.5693206
           3572.2       0.5747409
           3572.6       0.5923969
            3573.       0.6107157
           3573.4       0.6098099
           3573.8       0.6032319
           3574.2       0.6074953
           3574.6       0.6018366
            3575.       0.5944015
           3575.4       0.5944257
           3575.8       0.6092588
           3576.2       0.6217216
           3576.6       0.6355762
            3577.       0.6631108
           3577.4       0.6771957
           3577.8       0.6588324
           3578.2       0.6334705
           3578.6       0.6200215
            3579.        0.623559
           3579.4       0.6591209
           3579.8       0.6741221
           3580.2       0.5967711
           3580.6       0.5424889
            3581.       0.4461273
           3581.4       0.4012969
           3581.8       0.4372991
           3582.2       0.4998966
           3582.6        0.582537
            3583.        0.637188
           3583.4       0.6557444
           3583.8       0.6511893
           3584.2       0.6215752
           3584.6       0.5470236
            3585.       0.4395567
           3585.4       0.4273126
           3585.8       0.4533415
           3586.2       0.4871675
           3586.6       0.4933979
            3587.       0.4779179
           3587.4       0.4854296
           3587.8        0.520947
           3588.2       0.5561447
           3588.6       0.5709493
            3589.       0.5695657
           3589.4        0.559406
           3589.8       0.5634002
           3590.2       0.5904162
           3590.6       0.6299115
            3591.       0.6797469
           3591.4       0.7030365
           3591.8       0.6991413
           3592.2       0.7010545
           3592.6       0.6769652
            3593.       0.6369981
           3593.4       0.6250962
           3593.8       0.6354327
           3594.2       0.6680599
           3594.6       0.6746536
            3595.       0.6725392
           3595.4       0.6669172
           3595.8        0.675888
           3596.2       0.6811396
           3596.6       0.6939089
            3597.       0.7095007
           3597.4       0.7169568
           3597.8       0.7073962
           3598.2       0.6933579
           3598.6       0.7050887
            3599.       0.7122043
           3599.4       0.6921344
           3599.8       0.7115323
           3600.2       0.7317698
           3600.6       0.7468808
            3601.       0.7430649
           3601.4         0.72155
           3601.8       0.6680705
           3602.2       0.6183804
           3602.6        0.591632
            3603.       0.5935916
           3603.4       0.6027516
           3603.8        0.610359
           3604.2       0.6325459
           3604.6       0.6362422
            3605.       0.6033839
           3605.4       0.5774512
           3605.8       0.5831507
           3606.2       0.6276622
           3606.6       0.6622754
            3607.       0.6700132
           3607.4       0.6717985
           3607.8        0.676707
           3608.2       0.6135459
           3608.6       0.5342757
            3609.       0.5157828
           3609.4       0.5229684
           3609.8       0.5447612
           3610.2       0.5609229
           3610.6       0.5663903
            3611.       0.6183916
           3611.4       0.6600247
           3611.8       0.6876668
           3612.2       0.6768495
           3612.6       0.6308844
            3613.       0.5884854
           3613.4       0.5598261
           3613.8       0.5617383
           3614.2       0.5913467
           3614.6       0.6211776
            3615.       0.6572038
           3615.4        0.696402
           3615.8       0.7069935
           3616.2       0.6928136
           3616.6       0.6813254
            3617.       0.6794495
           3617.4       0.6524015
           3617.8        0.591524
           3618.2        0.493436
           3618.6       0.4291041
            3619.       0.4142928
           3619.4       0.4580125
           3619.8       0.5357585
           3620.2        0.593662
           3620.6        0.635534
            3621.       0.6202394
           3621.4       0.6183537
           3621.8       0.6340042
           3622.2       0.6742122
           3622.6       0.7020885
            3623.       0.7067432
           3623.4       0.6763961
           3623.8       0.6347325
           3624.2       0.6049822
           3624.6       0.6062235
            3625.        0.638826
           3625.4       0.6812593
           3625.8       0.7237011
           3626.2       0.7529416
           3626.6        0.766613
            3627.       0.7641045
           3627.4       0.7461252
           3627.8       0.7290707
           3628.2       0.7052754
           3628.6       0.7219051
            3629.       0.7389929
           3629.4       0.7457313
           3629.8       0.7187188
           3630.2       0.6642432
           3630.6       0.5912476
            3631.       0.4751848
           3631.4       0.4188575
           3631.8       0.4522271
           3632.2       0.4947632
           3632.6       0.5753723
            3633.        0.632415
           3633.4        0.648271
           3633.8       0.6340499
           3634.2       0.6067371
           3634.6       0.5848616
            3635.       0.5816673
           3635.4       0.6042602
           3635.8       0.6298673
           3636.2        0.633001
           3636.6       0.6304691
            3637.       0.6360973
           3637.4       0.6497673
           3637.8       0.6546016
           3638.2       0.6710778
           3638.6       0.6933594
            3639.       0.7174113
           3639.4       0.7334769
           3639.8       0.7356985
           3640.2       0.7211629
           3640.6       0.7086593
            3641.        0.705744
           3641.4       0.7007102
           3641.8       0.6955531
           3642.2       0.6794777
           3642.6       0.6495294
            3643.       0.6112529
           3643.4       0.6095804
           3643.8       0.6312857
           3644.2        0.611973
           3644.6       0.5900794
            3645.       0.5801846
           3645.4       0.5734937
           3645.8       0.6031954
           3646.2       0.6547828
           3646.6       0.6708874
            3647.       0.6498716
           3647.4       0.6044498
           3647.8       0.5533268
           3648.2       0.5562693
           3648.6       0.6128491
            3649.       0.6396528
           3649.4       0.6292683
           3649.8       0.6235377
           3650.2       0.6358762
           3650.6       0.6554585
            3651.       0.6548939
           3651.4       0.6381047
           3651.8       0.6393721
           3652.2       0.6703933
           3652.6       0.7145039
            3653.       0.7343476
           3653.4       0.7230027
           3653.8       0.7016175
           3654.2       0.7012214
           3654.6       0.7148808
            3655.       0.7227169
           3655.4       0.7119017
           3655.8       0.6989757
           3656.2       0.7115743
           3656.6       0.7346891
            3657.        0.739413
           3657.4       0.7339033
           3657.8       0.7293428
           3658.2       0.7289342
           3658.6       0.7492818
            3659.        0.762576
           3659.4       0.7361112
           3659.8       0.7205089
           3660.2       0.7210633
           3660.6       0.7329419
            3661.       0.7530835
           3661.4       0.7588231
           3661.8       0.7347925
           3662.2        0.712141
           3662.6       0.7187647
            3663.       0.7194479
           3663.4       0.6951127
           3663.8        0.684175
           3664.2       0.6729258
           3664.6       0.6686419
            3665.       0.7300522
           3665.4       0.7593329
           3665.8       0.7487229
           3666.2       0.7259326
           3666.6       0.7166398
            3667.       0.7088155
           3667.4       0.7151394
           3667.8       0.7358109
           3668.2        0.718464
           3668.6       0.6915095
            3669.       0.6625872
           3669.4       0.6309557
           3669.8       0.6224359
           3670.2       0.6435478
           3670.6        0.675392
            3671.       0.7158751
           3671.4       0.7412456
           3671.8       0.7591529
           3672.2       0.7767402
           3672.6       0.7760483
            3673.       0.7502592
           3673.4       0.7250594
           3673.8       0.7100208
           3674.2       0.6820349
           3674.6       0.6991513
            3675.       0.7272047
           3675.4       0.7615125
           3675.8       0.7659371
           3676.2       0.7450028
           3676.6       0.7140701
            3677.       0.6714902
           3677.4       0.6180419
           3677.8       0.6008561
           3678.2       0.6399094
           3678.6       0.6839669
            3679.       0.6871377
           3679.4       0.6542803
           3679.8       0.6457006
           3680.2       0.6259553
           3680.6       0.6441959
            3681.       0.6755495
           3681.4        0.701116
           3681.8       0.7066876
           3682.2       0.6865938
           3682.6       0.6659566
            3683.        0.679363
           3683.4       0.7042925
           3683.8       0.7151395
           3684.2       0.7207393
           3684.6       0.6979309
            3685.       0.6672779
           3685.4       0.6362658
           3685.8       0.6433013
           3686.2       0.6604887
           3686.6       0.6556438
            3687.       0.6231276
           3687.4       0.5887355
           3687.8       0.5846665
           3688.2        0.625622
           3688.6       0.6738555
            3689.       0.6890258
           3689.4       0.6946591
           3689.8       0.7134756
           3690.2       0.7288852
           3690.6       0.7333184
            3691.       0.7467988
           3691.4       0.7492089
           3691.8        0.770741
           3692.2        0.767503
           3692.6       0.7655576
            3693.       0.7606178
           3693.4       0.7283745
           3693.8       0.6829017
           3694.2       0.6715468
           3694.6       0.7050087
            3695.       0.7239022
           3695.4        0.737787
           3695.8       0.7565275
           3696.2       0.7578127
           3696.6       0.7320778
            3697.       0.7048933
           3697.4       0.6816341
           3697.8       0.6846625
           3698.2         0.71567
           3698.6       0.7330249
            3699.       0.7557374
           3699.4       0.8045973
           3699.8       0.8350073
           3700.2       0.8368573
           3700.6       0.8154058
            3701.       0.7826523
           3701.4       0.7787054
           3701.8       0.7812954
           3702.2       0.7586265
           3702.6       0.7521026
            3703.       0.7255082
           3703.4       0.6773317
           3703.8       0.6208127
           3704.2       0.5946831
           3704.6       0.6154313
            3705.       0.6255379
           3705.4       0.5785506
           3705.8       0.5121525
           3706.2       0.5504746
           3706.6       0.6395362
            3707.       0.6626962
           3707.4        0.648185
           3707.8       0.6366032
           3708.2       0.6482447
           3708.6       0.6695393
            3709.       0.6495313
           3709.4       0.6183082
           3709.8       0.6263692
           3710.2       0.6622786
           3710.6       0.6988719
            3711.       0.6955588
           3711.4       0.6616288
           3711.8       0.6451272
           3712.2       0.6542022
           3712.6       0.6765907
            3713.       0.7078617
           3713.4        0.769274
           3713.8       0.8109769
           3714.2       0.8405799
           3714.6       0.8519642
            3715.       0.8250266
           3715.4       0.7891615
           3715.8       0.7635289
           3716.2       0.7692676
           3716.6       0.8089635
            3717.       0.8279716
           3717.4       0.8452005
           3717.8       0.8351211
           3718.2       0.8177303
           3718.6       0.7901384
            3719.       0.7475029
           3719.4       0.6050313
           3719.8       0.5028286
           3720.2        0.509051
           3720.6       0.5260573
            3721.       0.5450838
           3721.4        0.520761
           3721.8       0.4766006
           3722.2        0.473584
           3722.6        0.500639
            3723.       0.5775957
           3723.4       0.6738043
           3723.8       0.7230783
           3724.2       0.7256474
           3724.6        0.735118
            3725.       0.7634082
           3725.4       0.8082265
           3725.8       0.8478715
           3726.2       0.8438011
           3726.6        0.809657
            3727.       0.7288434
           3727.4       0.5943053
           3727.8       0.6083545
           3728.2       0.7213774
           3728.6       0.7835165
            3729.       0.8143444
           3729.4       0.8236341
           3729.8       0.8042758
           3730.2       0.7626832
           3730.6       0.7193047
            3731.       0.7061155
           3731.4       0.7252989
           3731.8       0.7306649
           3732.2       0.7002643
           3732.6       0.6529456
            3733.       0.5729799
           3733.4       0.5454389
           3733.8       0.5158074
           3734.2       0.4624777
           3734.6       0.3971558
            3735.       0.3674978
           3735.4        0.459835
           3735.8        0.554285
           3736.2       0.5633205
           3736.6       0.5258777
            3737.       0.4538441
           3737.4       0.4875234
           3737.8       0.6335385
           3738.2       0.6907936
           3738.6       0.7161537
            3739.        0.739177
           3739.4       0.7300854
           3739.8       0.7429357
           3740.2       0.7790828
           3740.6       0.8091296
            3741.       0.8096238
           3741.4       0.7858947
           3741.8       0.7784516
           3742.2       0.7899702
           3742.6       0.7753852
            3743.       0.7219222
           3743.4        0.663207
           3743.8        0.660471
           3744.2       0.6952025
           3744.6       0.7351735
            3745.       0.6735324
           3745.4        0.615613
           3745.8       0.5437974
           3746.2       0.5212789
           3746.6       0.6023616
            3747.       0.6757121
           3747.4       0.6797112
           3747.8       0.6295905
           3748.2       0.5573989
           3748.6       0.4797835
            3749.       0.4245765
           3749.4       0.3772673
           3749.8       0.3597998
           3750.2       0.4130014
           3750.6       0.4918948
            3751.       0.5723529
           3751.4       0.6496465
           3751.8       0.7117394
           3752.2       0.7314296
           3752.6       0.7287346
            3753.       0.7487754
           3753.4       0.7569596
           3753.8       0.7748071
           3754.2       0.8083296
           3754.6       0.8354343
            3755.       0.8694392
           3755.4       0.9000794
           3755.8       0.9022499
           3756.2       0.8886767
           3756.6       0.8650369
            3757.       0.7992329
           3757.4       0.7197977
           3757.8       0.6428581
           3758.2       0.5588329
           3758.6       0.5579597
            3759.        0.611037
           3759.4       0.6368082
           3759.8       0.6835818
           3760.2       0.7420457
           3760.6       0.7510304
            3761.        0.738123
           3761.4       0.7116869
           3761.8       0.7117059
           3762.2       0.7635335
           3762.6       0.8174961
            3763.       0.8170199
           3763.4       0.7508827
           3763.8       0.6775107
           3764.2       0.6834895
           3764.6       0.7540128
            3765.       0.8345925
           3765.4       0.8224778
           3765.8       0.8043874
           3766.2        0.785797
           3766.6       0.7275621
            3767.       0.6585909
           3767.4       0.6443258
           3767.8       0.6816522
           3768.2       0.7095205
           3768.6        0.723461
            3769.       0.7346584
           3769.4       0.6963315
           3769.8        0.625482
           3770.2       0.5317348
           3770.6       0.4876849
            3771.       0.5085618
           3771.4       0.5825793
           3771.8       0.6604127
           3772.2       0.7150236
           3772.6        0.757228
            3773.        0.788749
           3773.4       0.8059737
           3773.8       0.8097626
           3774.2       0.7910107
           3774.6       0.7705577
            3775.       0.7835472
           3775.4        0.782688
           3775.8       0.7790199
           3776.2        0.793324
           3776.6         0.80887
            3777.       0.8333691
           3777.4       0.8514294
           3777.8       0.8450614
           3778.2        0.829469
           3778.6       0.8175682
            3779.       0.8230841
           3779.4       0.8551298
           3779.8       0.8919707
           3780.2       0.9325492
           3780.6       0.9458572
            3781.        0.932708
           3781.4       0.9141622
           3781.8       0.9056737
           3782.2       0.9161872
           3782.6        0.911117
            3783.        0.900414
           3783.4       0.8913985
           3783.8       0.9024194
           3784.2       0.9417899
           3784.6       0.9752982
            3785.       0.9937091
           3785.4       0.9350376
           3785.8       0.8094301
           3786.2       0.7230985
           3786.6        0.726765
            3787.       0.7806154
           3787.4       0.8058692
           3787.8       0.7930753
           3788.2       0.8086123
           3788.6       0.8286139
            3789.       0.8152699
           3789.4       0.7956794
           3789.8       0.7709633
           3790.2       0.7502692
           3790.6       0.7662577
            3791.       0.8056955
           3791.4       0.8455745
           3791.8        0.839654
           3792.2       0.8144046
           3792.6       0.7875654
            3793.       0.7598691
           3793.4       0.7292914
           3793.8       0.7102229
           3794.2       0.7157655
           3794.6       0.7058977
            3795.         0.67034
           3795.4       0.6701245
           3795.8       0.7031798
           3796.2        0.735105
           3796.6        0.685919
            3797.        0.611682
           3797.4       0.5268563
           3797.8       0.4615439
           3798.2       0.4460503
           3798.6       0.4735831
            3799.       0.5325671
           3799.4       0.5851209
           3799.8       0.6367013
           3800.2       0.7151992
           3800.6       0.7850714
            3801.       0.8239573
           3801.4       0.7944777
           3801.8       0.7630586
           3802.2       0.7770989
           3802.6       0.8435424
            3803.       0.9013122
           3803.4       0.9171539
           3803.8       0.9150092
           3804.2       0.9066266
           3804.6       0.8974193
            3805.       0.8872722
           3805.4       0.8816563
           3805.8       0.8961826
           3806.2       0.8903281
           3806.6       0.8301138
            3807.       0.7684917
           3807.4       0.7632765
           3807.8       0.8132282
           3808.2       0.8570837
           3808.6        0.890021
            3809.       0.9066422
           3809.4       0.9256786
           3809.8       0.9478537
           3810.2       0.9594298
           3810.6       0.9608959
            3811.       0.9563676
           3811.4       0.9554163
           3811.8       0.9370545
           3812.2       0.9147193
           3812.6       0.8590847
            3813.       0.7974872
           3813.4       0.7419823
           3813.8       0.7455678
           3814.2       0.7535225
           3814.6       0.7567316
            3815.       0.7478157
           3815.4       0.7111012
           3815.8       0.6521854
           3816.2        0.603623
           3816.6       0.6781649
            3817.       0.8377998
           3817.4       0.8964012
           3817.8       0.9079441
           3818.2       0.9110999
           3818.6       0.9171119
            3819.       0.9070965
           3819.4       0.8095238
           3819.8       0.6587021
           3820.2       0.5562047
           3820.6       0.5593483
            3821.       0.6197891
           3821.4       0.6865669
           3821.8       0.7847322
           3822.2       0.8630377
           3822.6       0.9030873
            3823.       0.9046029
           3823.4       0.8820811
           3823.8       0.8179924
           3824.2       0.7129745
           3824.6       0.6584303
            3825.       0.6594135
           3825.4        0.653282
           3825.8       0.6025411
           3826.2        0.587595
           3826.6       0.6661082
            3827.       0.7107766
           3827.4       0.6748242
           3827.8       0.6272848
           3828.2       0.6182672
           3828.6       0.6294117
            3829.       0.5887759
           3829.4        0.553555
           3829.8       0.6028609
           3830.2       0.6775784
           3830.6       0.7184991
            3831.       0.7117011
           3831.4       0.6165645
           3831.8       0.5101246
           3832.2       0.4717367
           3832.6       0.4074298
            3833.       0.4386575
           3833.4       0.5089957
           3833.8       0.5246436
           3834.2       0.4811494
           3834.6       0.4594619
            3835.       0.4461113
           3835.4       0.4406938
           3835.8       0.4527162
           3836.2       0.4956646
           3836.6       0.5493481
            3837.       0.5665319
           3837.4       0.5602061
           3837.8       0.5204111
           3838.2         0.41601
           3838.6       0.3864882
            3839.       0.4897332
           3839.4       0.5705776
           3839.8       0.6116166
           3840.2       0.6040665
           3840.6       0.5713326
            3841.       0.5770363
           3841.4       0.6332257
           3841.8       0.7283635
           3842.2       0.8209149
           3842.6       0.8422377
            3843.       0.8109832
           3843.4       0.7846767
           3843.8       0.7972465
           3844.2        0.830566
           3844.6       0.8766876
            3845.       0.8638768
           3845.4       0.8174125
           3845.8       0.8071061
           3846.2       0.8236636
           3846.6       0.8412077
            3847.       0.8616075
           3847.4       0.9016482
           3847.8       0.9473903
           3848.2       0.9582412
           3848.6       0.9550918
            3849.       0.9219115
           3849.4       0.8806019
           3849.8       0.8125438
           3850.2       0.7839684
           3850.6        0.805467
            3851.        0.854406
           3851.4       0.9243321
           3851.8       0.9686351
           3852.2       0.9547782
           3852.6       0.9240955
            3853.       0.9236043
           3853.4       0.9337317
           3853.8        0.916189
           3854.2        0.912186
           3854.6       0.9106525
            3855.       0.9153296
           3855.4       0.8845615
           3855.8       0.8001272
           3856.2       0.7397199
           3856.6       0.7577204
            3857.       0.8461078
           3857.4       0.9078319
           3857.8        0.884873
           3858.2       0.8311105
           3858.6       0.7714617
            3859.       0.7182906
           3859.4       0.6711338
           3859.8       0.6183818
           3860.2       0.6549175
           3860.6       0.7199038
            3861.       0.7990339
           3861.4       0.8488011
           3861.8       0.9137663
           3862.2       0.9667925
           3862.6       0.9749339
            3863.       0.9708564
           3863.4       0.9535518
           3863.8       0.9373491
           3864.2       0.9462991
           3864.6       0.9581152
            3865.       0.9146922
           3865.4       0.8660278
           3865.8       0.8674953
           3866.2       0.9146504
           3866.6       0.9353834
            3867.       0.9275312
           3867.4       0.9187013
           3867.8       0.9229155
           3868.2        0.945879
           3868.6       0.9672607
