#K OBJECT   'G_175-33'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 28005
#K OBJRA    04:27:24.71
#K OBJDEC   +46:51:11.4
#K OBJBMAG  7.300000E+00
#K OBJVMAG  6.710000E+00
#K SPTYPE   G0
#K OBJRV    3.860000E+01
#K HDNAME   HD 28005
#K BDNAME   BD+46 884
#K HIPNAME  HIP 20800
#K SAONAME  SAO 39540
#K VHELIO   1.93849960285115E+01
#K VLSR     1.58676702770597E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449296E+03
#K CMAX1    4.774791E+03
#K PICKTYPE G0V
#K NCOMBINE 3
#K TEFF     5492  2001A&A...369.1048P (Prugniel)
#K LOGG     4.500000E+00  2001A&A...369.1048P (Prugniel)
#K FEH      1.300000E-01  2001A&A...369.1048P (Prugniel)
#K COVERAGE 3465.0-7265.8
#K OBSTITLE 28005

#      wavelength        spectrum
#       angstroms                

            3465.       0.5566085
           3465.4       0.4868686
           3465.8       0.4441675
           3466.2       0.4582753
           3466.6       0.5069094
            3467.       0.5655823
           3467.4       0.5969194
           3467.8       0.6156294
           3468.2       0.6085843
           3468.6       0.5806566
            3469.       0.5694976
           3469.4       0.5929032
           3469.8       0.6419185
           3470.2       0.6883258
           3470.6       0.6845294
            3471.       0.6308905
           3471.4       0.5805308
           3471.8       0.5243686
           3472.2       0.5002031
           3472.6       0.5114313
            3473.       0.5280551
           3473.4       0.5130463
           3473.8       0.4948204
           3474.2       0.4807689
           3474.6       0.4580862
            3475.        0.421311
           3475.4       0.3919613
           3475.8       0.3956596
           3476.2       0.3998115
           3476.6       0.3948863
            3477.       0.4402398
           3477.4       0.5027804
           3477.8        0.553223
           3478.2       0.5810497
           3478.6       0.5969472
            3479.       0.6113888
           3479.4       0.6038345
           3479.8        0.579567
           3480.2       0.5633795
           3480.6       0.5730429
            3481.       0.5826625
           3481.4       0.5692049
           3481.8       0.5714431
           3482.2       0.5538862
           3482.6       0.5128686
            3483.       0.4723718
           3483.4          0.4642
           3483.8       0.4747382
           3484.2       0.4966684
           3484.6        0.502696
            3485.        0.488114
           3485.4       0.4907988
           3485.8       0.5317635
           3486.2       0.6073896
           3486.6       0.6793002
            3487.       0.7030444
           3487.4       0.7034814
           3487.8       0.6467932
           3488.2        0.584076
           3488.6         0.52384
            3489.       0.4747161
           3489.4       0.4486382
           3489.8       0.4454561
           3490.2       0.4290347
           3490.6       0.4257258
            3491.       0.4771177
           3491.4       0.5348453
           3491.8       0.5381244
           3492.2        0.493425
           3492.6       0.4411082
            3493.       0.4366775
           3493.4       0.5046293
           3493.8         0.59683
           3494.2       0.6379326
           3494.6       0.6339068
            3495.       0.5973198
           3495.4        0.537353
           3495.8       0.4858542
           3496.2       0.4530436
           3496.6       0.4313853
            3497.       0.4227618
           3497.4       0.4285633
           3497.8        0.469469
           3498.2       0.5564375
           3498.6       0.6492526
            3499.       0.7325873
           3499.4       0.7760046
           3499.8        0.758094
           3500.2       0.7203679
           3500.6        0.705228
            3501.       0.7148509
           3501.4       0.7158173
           3501.8       0.6890919
           3502.2        0.671351
           3502.6       0.7111155
            3503.       0.7914115
           3503.4       0.8414533
           3503.8       0.8325122
           3504.2       0.7615157
           3504.6         0.67449
            3505.        0.634006
           3505.4       0.6272047
           3505.8       0.6275006
           3506.2       0.6103257
           3506.6       0.6272087
            3507.       0.6727855
           3507.4       0.7009955
           3507.8       0.7272567
           3508.2       0.7231565
           3508.6       0.7090412
            3509.       0.6827711
           3509.4       0.6363946
           3509.8       0.5591077
           3510.2       0.5202648
           3510.6       0.5685024
            3511.       0.6114205
           3511.4       0.6265352
           3511.8       0.6131794
           3512.2       0.5752989
           3512.6       0.5448257
            3513.       0.5130772
           3513.4       0.4804956
           3513.8       0.4702643
           3514.2       0.4685305
           3514.6       0.4664527
            3515.       0.4930722
           3515.4       0.5722021
           3515.8       0.6364656
           3516.2       0.6818719
           3516.6       0.7144439
            3517.        0.751862
           3517.4       0.7969755
           3517.8       0.8049941
           3518.2       0.7773846
           3518.6       0.7623634
            3519.       0.7509342
           3519.4       0.7181674
           3519.8        0.660886
           3520.2       0.6454323
           3520.6        0.608583
            3521.       0.5575662
           3521.4       0.5336201
           3521.8       0.5566352
           3522.2       0.5841065
           3522.6         0.57867
            3523.       0.5402222
           3523.4       0.4880511
           3523.8       0.4417931
           3524.2       0.4041941
           3524.6       0.4140403
            3525.       0.4564851
           3525.4       0.4533175
           3525.8       0.4026423
           3526.2       0.3750302
           3526.6       0.4072371
            3527.       0.5011454
           3527.4       0.5752632
           3527.8       0.6313018
           3528.2       0.6881946
           3528.6       0.7155888
            3529.       0.7137605
           3529.4       0.6794276
           3529.8       0.6577065
           3530.2       0.6512066
           3530.6       0.6896456
            3531.       0.6888461
           3531.4       0.6393853
           3531.8        0.579433
           3532.2       0.5330185
           3532.6       0.5177587
            3533.       0.5452889
           3533.4       0.6232712
           3533.8       0.7106907
           3534.2       0.7431266
           3534.6       0.7247542
            3535.       0.6946808
           3535.4       0.6813649
           3535.8       0.6571106
           3536.2       0.6578809
           3536.6       0.6341898
            3537.       0.6218202
           3537.4       0.6111554
           3537.8       0.6076653
           3538.2       0.6424515
           3538.6       0.7137361
            3539.       0.7785714
           3539.4       0.8026686
           3539.8       0.7771832
           3540.2       0.6987765
           3540.6       0.6293872
            3541.       0.6024789
           3541.4       0.6028567
           3541.8       0.5886125
           3542.2       0.5988112
           3542.6       0.6347154
            3543.       0.6597421
           3543.4        0.675672
           3543.8       0.6920006
           3544.2       0.7034498
           3544.6        0.700463
            3545.       0.6765764
           3545.4       0.6580968
           3545.8        0.674632
           3546.2        0.706626
           3546.6       0.7149308
            3547.       0.6853958
           3547.4       0.6229773
           3547.8        0.573396
           3548.2       0.5910013
           3548.6       0.6595437
            3549.       0.7152669
           3549.4       0.7275346
           3549.8       0.7202128
           3550.2       0.7016054
           3550.6       0.6593897
            3551.       0.6401683
           3551.4       0.6447384
           3551.8       0.6356404
           3552.2       0.6227746
           3552.6       0.6020318
            3553.       0.5683464
           3553.4       0.5396266
           3553.8       0.5235431
           3554.2        0.502544
           3554.6        0.491171
            3555.        0.532769
           3555.4       0.6137819
           3555.8       0.6619419
           3556.2       0.6440521
           3556.6       0.6058492
            3557.       0.6066596
           3557.4       0.6371548
           3557.8       0.6031691
           3558.2        0.537021
           3558.6       0.5008736
            3559.       0.5306195
           3559.4       0.5753248
           3559.8       0.5911869
           3560.2       0.5800148
           3560.6       0.5611815
            3561.       0.5762429
           3561.4       0.6022635
           3561.8       0.6126438
           3562.2       0.6523197
           3562.6       0.7080863
            3563.       0.7374766
           3563.4        0.744949
           3563.8       0.6810634
           3564.2       0.5914097
           3564.6        0.486622
            3565.       0.3788235
           3565.4        0.322129
           3565.8       0.3190177
           3566.2       0.3495451
           3566.6       0.4118407
            3567.       0.4978811
           3567.4       0.5511304
           3567.8        0.564205
           3568.2       0.5400072
           3568.6       0.4869304
            3569.       0.4129821
           3569.4       0.3328169
           3569.8        0.283455
           3570.2       0.3032213
           3570.6       0.3791489
            3571.       0.4462888
           3571.4       0.4618903
           3571.8       0.4584564
           3572.2       0.4895684
           3572.6       0.5436653
            3573.       0.5763099
           3573.4        0.547487
           3573.8       0.5061072
           3574.2       0.5285329
           3574.6       0.5375458
            3575.       0.5301808
           3575.4        0.552702
           3575.8       0.5823839
           3576.2       0.5983296
           3576.6         0.60696
            3577.       0.6040538
           3577.4       0.5735111
           3577.8       0.5016082
           3578.2       0.4413038
           3578.6       0.4170899
            3579.       0.4363966
           3579.4       0.4432442
           3579.8       0.4209241
           3580.2       0.3597321
           3580.6       0.2850056
            3581.       0.2304264
           3581.4       0.2145253
           3581.8       0.2456417
           3582.2       0.2976121
           3582.6       0.3428504
            3583.        0.362802
           3583.4       0.3659854
           3583.8       0.3694207
           3584.2       0.3490773
           3584.6       0.2966676
            3585.       0.2553291
           3585.4       0.2398323
           3585.8       0.2653906
           3586.2       0.2970509
           3586.6       0.2973973
            3587.       0.2991923
           3587.4       0.3243275
           3587.8       0.3637479
           3588.2       0.3968233
           3588.6       0.3941026
            3589.       0.3767678
           3589.4       0.3630228
           3589.8       0.3897118
           3590.2        0.454592
           3590.6       0.5570511
            3591.       0.6460245
           3591.4       0.6834526
           3591.8       0.6929451
           3592.2       0.6648731
           3592.6       0.5974559
            3593.       0.5488195
           3593.4       0.5235369
           3593.8       0.5586668
           3594.2       0.6014143
           3594.6       0.6278598
            3595.       0.6507589
           3595.4       0.6868066
           3595.8       0.7225409
           3596.2       0.7541131
           3596.6       0.7636862
            3597.       0.7412578
           3597.4       0.6974958
           3597.8       0.6702983
