#K OBJECT   'G_176-11'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  SAO 43609
#K OBJRA    11:05:28.58
#K OBJDEC   +43:31:36.4
#K OBJBMAG  1.022000E+01
#K OBJVMAG  8.680000E+00
#K SPTYPE   M0.5
#K OBJRV    6.490000E+01
#K BDNAME   BD+44 2051
#K HIPNAME  HIP 54211
#K SAONAME  SAO 43609
#K VHELIO   1.57146274837482E-02
#K VLSR     3.74086800560149E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790100E+03
#K CMAX1    8.125299E+03
#K PICKTYPE M0V
#K NCOMBINE 4
#K TEFF     3544  1994ApJS...94..687W (Worthey)
#K LOGG     4.850000E+00  1994ApJS...94..687W (Worthey)
#K FEH      0.000000E+00  1994ApJS...94..687W (Worthey)
#K COVERAGE 3465.0-9448.6
#K GAPS     6066.2-6789.4
#K OBSTITLE BD+44_2051

#      wavelength        spectrum
#       angstroms                

            3465.      0.07161684
           3465.4      0.06654175
           3465.8      0.05889515
           3466.2       0.0586589
           3466.6      0.07365886
            3467.       0.0789801
           3467.4      0.09136243
           3467.8      0.07970921
           3468.2      0.09104229
           3468.6       0.1138965
            3469.       0.1171305
           3469.4       0.1047277
           3469.8        0.100073
           3470.2       0.1178905
           3470.6       0.1280849
            3471.       0.1112539
           3471.4       0.1011357
           3471.8      0.09166162
           3472.2      0.06465196
           3472.6      0.06763949
            3473.      0.05614306
           3473.4       0.0566971
           3473.8       0.0516757
           3474.2      0.05407048
           3474.6      0.06246534
            3475.      0.06620665
           3475.4      0.05498109
           3475.8      0.03758283
           3476.2      0.02773341
           3476.6      0.03499645
            3477.      0.04635872
           3477.4       0.0412302
           3477.8      0.07340267
           3478.2      0.08079898
           3478.6       0.1064843
            3479.       0.1096438
           3479.4       0.1250019
           3479.8       0.1419625
           3480.2       0.1309262
           3480.6       0.1323481
            3481.       0.1353072
           3481.4       0.1339873
           3481.8        0.152663
           3482.2       0.1562677
           3482.6       0.1424486
            3483.       0.1190142
           3483.4      0.09789778
           3483.8      0.09868187
           3484.2       0.1200898
           3484.6       0.1138578
            3485.       0.1318464
           3485.4       0.1127939
           3485.8        0.111601
           3486.2       0.1278371
           3486.6       0.1375829
            3487.       0.1336046
           3487.4       0.1044463
           3487.8       0.1176848
           3488.2       0.1043802
           3488.6         0.11377
            3489.       0.1079589
           3489.4      0.07901759
           3489.8      0.05574887
           3490.2      0.04174091
           3490.6      0.04156909
            3491.      0.05076692
           3491.4      0.06974383
           3491.8      0.07301792
           3492.2      0.06419688
           3492.6      0.06615057
            3493.      0.05669993
           3493.4      0.06121236
           3493.8      0.08014719
           3494.2      0.07625806
           3494.6       0.1088792
            3495.       0.1117579
           3495.4      0.09769337
           3495.8      0.09993952
           3496.2      0.08058994
           3496.6      0.07165466
            3497.       0.0679702
           3497.4      0.05883138
           3497.8      0.06597524
           3498.2       0.0717542
           3498.6      0.09184169
            3499.       0.1090263
           3499.4       0.1273767
           3499.8       0.1204334
           3500.2       0.1392345
           3500.6        0.113706
            3501.      0.09899341
           3501.4      0.09919275
           3501.8       0.1123151
           3502.2       0.1143606
           3502.6        0.111948
            3503.         0.13299
           3503.4       0.1535261
           3503.8       0.1619619
           3504.2       0.1428977
           3504.6        0.129796
            3505.       0.1449169
           3505.4        0.144911
           3505.8       0.1092379
           3506.2       0.1062225
           3506.6       0.1201632
            3507.       0.1158464
           3507.4        0.122561
           3507.8       0.1398635
           3508.2       0.1367438
           3508.6        0.130013
            3509.       0.1279429
           3509.4       0.1076837
           3509.8       0.0904626
           3510.2      0.07291337
           3510.6      0.08553889
            3511.       0.1098351
           3511.4       0.1092732
           3511.8       0.1008499
           3512.2       0.0959551
           3512.6      0.09684759
            3513.      0.07945034
           3513.4      0.07035593
           3513.8      0.07669116
           3514.2      0.04703915
           3514.6      0.03737647
            3515.       0.0636353
           3515.4      0.07578335
           3515.8      0.08590147
           3516.2      0.09741446
           3516.6      0.09553255
            3517.          0.1313
           3517.4       0.1503483
           3517.8       0.1338249
           3518.2       0.1217734
           3518.6        0.133704
            3519.       0.1360978
           3519.4        0.110039
           3519.8      0.09749927
           3520.2      0.08698633
           3520.6      0.08034868
            3521.      0.07858896
           3521.4      0.07789718
           3521.8       0.1014053
           3522.2      0.08210222
           3522.6      0.08444878
            3523.      0.07540544
           3523.4      0.05637637
           3523.8       0.0641442
           3524.2       0.0570976
           3524.6      0.04118118
            3525.      0.04921112
           3525.4      0.04531652
           3525.8      0.04583962
           3526.2      0.06085091
           3526.6       0.0497584
            3527.      0.07116514
           3527.4      0.08314208
           3527.8      0.09898598
           3528.2       0.1202824
           3528.6       0.1051031
            3529.      0.09605614
           3529.4        0.103908
           3529.8      0.09379099
           3530.2       0.1034091
           3530.6       0.1269532
            3531.        0.132199
           3531.4       0.1275084
           3531.8       0.1167308
           3532.2       0.1044791
           3532.6       0.1121405
            3533.       0.1036932
           3533.4      0.09314418
           3533.8       0.1128598
