#K OBJECT   'G_180-35'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 145675
#K OBJRA    16:10:24.31
#K OBJDEC   +43:49:03.5
#K OBJBMAG  7.570000E+00
#K OBJVMAG  6.670000E+00
#K SPTYPE   K0V
#K OBJRV    -5.500000E+00
#K HDNAME   HD 145675
#K BDNAME   BD+44 2549
#K HIPNAME  HIP 79248
#K SAONAME  SAO 45933
#K VHELIO   -5.36068412270632E+00
#K VLSR     1.25608688195589E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445844E+03
#K CMAX1    4.771431E+03
#K PICKTYPE K0V
#K NCOMBINE 6
#K TEFF     5312  2003A&A...402..433L (Le Borgne)
#K LOGG     4.400000E+00  2003A&A...402..433L (Le Borgne)
#K FEH      4.600000E-01  2003A&A...402..433L (Le Borgne)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.0-5461.8
#K OBSTITLE 145675

#      wavelength        spectrum
#       angstroms                

            3465.        0.332779
           3465.4       0.2704835
           3465.8       0.2323887
           3466.2       0.2349995
           3466.6       0.2746783
            3467.       0.3223602
           3467.4       0.3570243
           3467.8       0.3987848
           3468.2       0.4050684
           3468.6       0.3932092
            3469.       0.3759695
           3469.4       0.3830431
           3469.8       0.4298333
           3470.2        0.476984
           3470.6       0.4833714
            3471.       0.4395068
           3471.4       0.3874612
           3471.8       0.3407814
           3472.2        0.301733
           3472.6       0.2984046
            3473.       0.3176647
           3473.4       0.3193793
           3473.8       0.2948431
           3474.2       0.2705077
           3474.6       0.2462577
            3475.       0.2132499
           3475.4       0.1893031
           3475.8       0.1853932
           3476.2       0.1909049
           3476.6       0.2075162
            3477.       0.2483437
           3477.4       0.3059222
           3477.8       0.3593388
           3478.2       0.3891945
           3478.6       0.3988715
            3479.       0.4160202
           3479.4       0.4228917
           3479.8        0.397908
           3480.2       0.3779823
           3480.6       0.3742904
            3481.       0.3741504
           3481.4        0.385107
           3481.8       0.3849337
           3482.2       0.3738653
           3482.6       0.3396652
            3483.       0.3007171
           3483.4       0.2844535
           3483.8       0.2969489
           3484.2       0.3181642
           3484.6       0.3154971
            3485.       0.2984719
           3485.4       0.3024203
           3485.8       0.3364315
           3486.2       0.3869399
           3486.6       0.4425361
            3487.       0.4811901
           3487.4       0.4779193
           3487.8       0.4502797
           3488.2       0.4046685
           3488.6       0.3421014
            3489.       0.2932792
           3489.4       0.2667628
           3489.8       0.2382745
           3490.2       0.2114859
           3490.6       0.2090617
            3491.       0.2391058
           3491.4       0.2847521
           3491.8       0.3092099
           3492.2       0.2920152
           3492.6       0.2561544
            3493.         0.24683
           3493.4       0.2979736
           3493.8       0.3680987
           3494.2       0.4241888
           3494.6       0.4432786
            3495.       0.4252668
           3495.4       0.3728994
           3495.8       0.3247273
           3496.2       0.2991208
           3496.6       0.2767156
            3497.       0.2578295
           3497.4       0.2492686
           3497.8       0.2648975
           3498.2       0.3371467
           3498.6       0.4250024
            3499.       0.5075568
           3499.4       0.5659736
           3499.8       0.5681877
           3500.2       0.5124773
           3500.6       0.4725942
            3501.       0.4904954
           3501.4       0.5001694
           3501.8       0.4743882
           3502.2       0.4539025
           3502.6       0.4787799
            3503.       0.5660098
           3503.4       0.6331506
           3503.8        0.642514
           3504.2       0.5855652
           3504.6       0.5059047
            3505.       0.4565547
           3505.4       0.4557281
           3505.8       0.4528871
           3506.2       0.4270225
           3506.6       0.4261945
            3507.       0.4661723
           3507.4       0.5118628
           3507.8       0.5370877
           3508.2         0.53427
           3508.6       0.5120466
            3509.       0.4735603
           3509.4        0.416159
           3509.8       0.3402206
           3510.2       0.3048072
           3510.6        0.331217
            3511.       0.3969893
           3511.4       0.4315609
           3511.8       0.4158385
           3512.2       0.3818373
           3512.6        0.351483
            3513.       0.3198063
           3513.4       0.2801348
           3513.8       0.2568408
           3514.2       0.2511901
           3514.6       0.2428304
            3515.       0.2553373
           3515.4       0.3174916
           3515.8       0.3878099
           3516.2       0.4319781
           3516.6       0.4710785
            3517.       0.5240938
           3517.4       0.5756216
           3517.8       0.5891877
           3518.2       0.5576273
           3518.6       0.5233662
            3519.       0.5064464
           3519.4       0.4768051
           3519.8       0.4314085
           3520.2       0.4015619
           3520.6       0.3761853
            3521.       0.3243053
           3521.4       0.3027071
           3521.8       0.3287394
           3522.2       0.3508183
           3522.6       0.3467574
            3523.        0.317391
           3523.4       0.2751251
           3523.8       0.2348106
           3524.2       0.1975795
           3524.6       0.1947292
            3525.       0.2188689
           3525.4       0.2281688
           3525.8        0.199727
           3526.2       0.1929429
           3526.6       0.2390181
            3527.       0.3065258
           3527.4       0.3579537
           3527.8       0.3983521
           3528.2       0.4419519
           3528.6       0.4837878
            3529.       0.4856079
           3529.4       0.4365885
           3529.8       0.4084121
           3530.2       0.4177153
           3530.6        0.450622
            3531.       0.4617213
           3531.4       0.4257455
           3531.8       0.3631556
           3532.2       0.3194979
           3532.6       0.3044645
            3533.        0.316362
           3533.4       0.3745134
           3533.8        0.457593
           3534.2       0.5091606
           3534.6       0.5149726
            3535.       0.4956187
           3535.4       0.4727125
           3535.8       0.4507313
           3536.2       0.4382129
           3536.6        0.420497
            3537.       0.4071764
           3537.4        0.394848
           3537.8       0.3913198
           3538.2       0.4200893
           3538.6       0.4761375
            3539.       0.5331547
           3539.4       0.5609716
           3539.8       0.5311981
           3540.2       0.4615521
           3540.6       0.4013689
            3541.       0.3612108
           3541.4       0.3620342
           3541.8       0.3646432
           3542.2       0.3672313
           3542.6       0.3953904
            3543.       0.4210978
           3543.4       0.4411062
           3543.8       0.4662108
           3544.2       0.4874161
           3544.6       0.4984646
            3545.       0.4864829
           3545.4       0.4538631
           3545.8       0.4452606
           3546.2       0.4596591
           3546.6       0.4673193
            3547.       0.4291213
           3547.4       0.3746064
           3547.8       0.3402175
           3548.2        0.353971
           3548.6       0.4144779
            3549.       0.4694062
           3549.4       0.4808528
           3549.8       0.4536122
           3550.2       0.4122083
           3550.6       0.3851392
            3551.        0.374758
           3551.4       0.3739777
           3551.8       0.3926066
           3552.2       0.4041668
           3552.6       0.3816261
            3553.       0.3374249
           3553.4       0.3012429
           3553.8       0.2812408
           3554.2       0.2665721
           3554.6       0.2627349
            3555.       0.2939999
           3555.4       0.3524844
           3555.8       0.3925089
           3556.2       0.3856219
           3556.6        0.351467
            3557.       0.3484126
           3557.4       0.3581046
           3557.8        0.334737
           3558.2       0.2836426
           3558.6       0.2540267
            3559.       0.2751569
           3559.4       0.3170429
           3559.8       0.3321078
           3560.2        0.338214
           3560.6       0.3504519
            3561.       0.3521515
           3561.4       0.3571155
           3561.8       0.3599064
           3562.2       0.3790681
           3562.6       0.4110992
            3563.       0.4319187
           3563.4        0.439092
           3563.8       0.3986169
           3564.2       0.3264105
           3564.6       0.2453246
            3565.       0.1804188
           3565.4       0.1494038
           3565.8       0.1481792
           3566.2       0.1678318
           3566.6       0.2046217
            3567.       0.2514745
           3567.4       0.2842526
           3567.8       0.2998351
           3568.2       0.2890974
           3568.6       0.2506066
            3569.       0.2025918
           3569.4       0.1545288
           3569.8       0.1276747
           3570.2       0.1322519
           3570.6        0.166328
            3571.       0.2048474
           3571.4       0.2228503
           3571.8       0.2325183
           3572.2        0.259132
           3572.6       0.3154833
            3573.       0.3535194
           3573.4       0.3444531
           3573.8       0.3151293
           3574.2       0.3146023
           3574.6       0.3164765
            3575.       0.3079571
           3575.4       0.3180247
           3575.8       0.3435363
           3576.2       0.3579293
           3576.6       0.3589747
            3577.        0.348634
           3577.4       0.3155044
           3577.8       0.2615287
           3578.2        0.205886
           3578.6       0.1791572
            3579.       0.1798822
           3579.4       0.1920082
           3579.8       0.1850471
           3580.2       0.1619175
           3580.6       0.1285464
            3581.       0.1016781
           3581.4      0.09922006
           3581.8       0.1180983
           3582.2       0.1411177
           3582.6       0.1550522
            3583.       0.1652672
           3583.4       0.1731327
           3583.8       0.1767747
           3584.2        0.165759
           3584.6        0.141985
            3585.       0.1239075
           3585.4       0.1158984
           3585.8       0.1272758
           3586.2       0.1438526
           3586.6        0.144304
            3587.        0.142964
           3587.4       0.1572744
           3587.8       0.1777599
           3588.2       0.1933513
           3588.6       0.1943757
            3589.       0.1861585
           3589.4       0.1838064
           3589.8       0.1964344
           3590.2       0.2558545
           3590.6       0.3428258
            3591.       0.4099096
           3591.4       0.4339868
           3591.8       0.4344649
           3592.2       0.4120214
           3592.6       0.3547845
            3593.       0.2876304
           3593.4       0.2468491
           3593.8       0.2640339
           3594.2       0.3104456
           3594.6       0.3461998
            3595.       0.4011561
           3595.4       0.4506751
           3595.8       0.4920146
           3596.2       0.5236649
           3596.6       0.5374971
            3597.       0.5019958
           3597.4       0.4425756
           3597.8       0.4203975
           3598.2       0.4352107
           3598.6        0.448296
            3599.       0.4412915
           3599.4        0.469077
           3599.8       0.5145802
           3600.2       0.5688699
           3600.6       0.5949355
            3601.       0.5680208
           3601.4       0.4960897
           3601.8       0.4077671
           3602.2       0.3413581
           3602.6       0.3209267
            3603.         0.32791
           3603.4        0.330613
           3603.8       0.3260263
           3604.2       0.3170541
           3604.6       0.2921893
            3605.       0.2464328
           3605.4         0.23675
           3605.8         0.25802
           3606.2       0.2897566
           3606.6       0.3191483
            3607.       0.3497244
           3607.4       0.3460968
           3607.8       0.2905346
           3608.2       0.2150025
           3608.6       0.1640241
            3609.       0.1582438
           3609.4       0.1753511
           3609.8       0.1989515
           3610.2       0.2120382
           3610.6       0.2575152
            3611.       0.3242436
           3611.4       0.3787011
           3611.8       0.3978796
           3612.2       0.3846998
           3612.6       0.3510357
            3613.       0.3200953
           3613.4       0.3040464
           3613.8       0.3132957
           3614.2       0.3536318
           3614.6       0.3996772
            3615.       0.4437633
           3615.4       0.4666817
           3615.8       0.4609872
           3616.2       0.4383535
           3616.6       0.4113008
            3617.       0.3621912
           3617.4       0.2949499
           3617.8       0.2235398
           3618.2       0.1656291
           3618.6        0.129807
            3619.       0.1220102
           3619.4       0.1496264
           3619.8       0.1986553
           3620.2       0.2497426
           3620.6       0.2835334
            3621.       0.2913475
           3621.4       0.2932983
           3621.8       0.3390001
           3622.2       0.4170502
           3622.6       0.4541052
            3623.       0.4260184
           3623.4       0.3720086
           3623.8       0.3404014
           3624.2       0.3435451
           3624.6       0.3731686
            3625.       0.4249677
           3625.4       0.4846626
           3625.8       0.5452806
           3626.2       0.5845055
           3626.6       0.6068972
            3627.       0.5870571
           3627.4       0.5629697
           3627.8       0.5349918
           3628.2       0.5183994
           3628.6       0.5183271
            3629.        0.524799
           3629.4       0.5020807
           3629.8       0.4272004
           3630.2       0.3321016
           3630.6       0.2377805
            3631.       0.1702893
           3631.4       0.1459031
           3631.8       0.1711681
           3632.2       0.2251665
           3632.6       0.2725943
            3633.         0.30819
           3633.4       0.3403264
           3633.8       0.3372532
           3634.2       0.3034547
           3634.6        0.279384
            3635.       0.2987643
           3635.4        0.367796
           3635.8       0.4225471
           3636.2       0.4156273
           3636.6       0.3966508
            3637.       0.4145686
           3637.4       0.4296838
           3637.8       0.4261048
           3638.2       0.4503423
           3638.6       0.5014828
            3639.       0.5247765
           3639.4       0.5098641
           3639.8       0.4971223
           3640.2       0.5111104
           3640.6       0.5320671
            3641.       0.5236014
           3641.4       0.4943327
           3641.8       0.4873089
           3642.2       0.4738434
           3642.6       0.4388962
            3643.       0.4211565
           3643.4        0.424638
           3643.8        0.415924
           3644.2       0.3807058
           3644.6       0.3351991
            3645.       0.3060318
           3645.4       0.3139243
           3645.8       0.3513846
           3646.2       0.3745681
           3646.6       0.3460355
            3647.       0.2773559
           3647.4       0.2098187
           3647.8       0.1830716
           3648.2       0.2116545
           3648.6       0.2558354
            3649.       0.2820622
           3649.4       0.2887391
           3649.8       0.3125957
           3650.2       0.3698854
           3650.6       0.4170013
            3651.       0.4187778
           3651.4       0.4078589
           3651.8       0.4413491
           3652.2       0.5268658
           3652.6       0.5953577
            3653.       0.5926654
           3653.4       0.5409383
           3653.8       0.5190907
           3654.2       0.5338608
           3654.6       0.5435262
            3655.       0.5239159
           3655.4       0.5063385
           3655.8       0.5265895
           3656.2       0.5750765
           3656.6       0.6169503
            3657.       0.6197122
           3657.4       0.5867785
           3657.8         0.56858
           3658.2       0.6129508
           3658.6       0.6886154
            3659.       0.7169189
           3659.4       0.6683404
           3659.8       0.6082434
           3660.2       0.5890692
           3660.6       0.6059858
            3661.         0.63644
           3661.4       0.6578937
           3661.8       0.6470093
           3662.2       0.6071002
           3662.6       0.5734965
            3663.       0.5421168
           3663.4       0.4930165
           3663.8       0.4752335
           3664.2       0.4728965
           3664.6       0.5241607
            3665.       0.6047973
           3665.4       0.6378202
           3665.8       0.5921463
           3666.2        0.510151
           3666.6       0.4707608
            3667.        0.508474
           3667.4       0.5642661
           3667.8       0.5710073
           3668.2       0.5422726
           3668.6       0.4913953
            3669.       0.4360219
           3669.4       0.4033703
           3669.8       0.4046547
           3670.2       0.4192826
