#K OBJECT   'G_193-33'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 233345
#K OBJRA    07:10:29.79
#K OBJDEC   +53:15:06.4
#K OBJBMAG  9.500000E+00
#K OBJVMAG  8.700000E+00
#K SPTYPE   G0
#K OBJRV    -2.883000E+01
#K HDNAME   HD 233345
#K BDNAME   BD+53 1111
#K HIPNAME  HIP 34642
#K SAONAME  SAO 26190
#K VHELIO   -1.97104016155011E+01
#K VLSR     -2.16207819073733E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.791084E+03
#K CMAX1    8.126713E+03
#K PICKTYPE G0V
#K NCOMBINE 5
#K TEFF     5594  1994AJ....107.2240C (Carney)
#K LOGG     4.000000E+00  1994AJ....107.2240C (Carney)
#K FEH      -7.300000E-01  1994AJ....107.2240C (Carney)
#K COVERAGE 3465.0-9445.4
#K OBSTITLE G193-33

#      wavelength        spectrum
#       angstroms                

            3465.       0.5722108
           3465.4       0.5332252
           3465.8       0.4954622
           3466.2       0.4937467
           3466.6       0.5053553
            3467.       0.5357994
           3467.4       0.5793136
           3467.8        0.595946
           3468.2       0.5962012
           3468.6       0.5680007
            3469.       0.5624342
           3469.4       0.5580282
           3469.8       0.5753437
           3470.2        0.595833
           3470.6       0.6024798
            3471.       0.5969369
           3471.4         0.57805
           3471.8       0.5520272
           3472.2       0.5349102
           3472.6       0.5359984
            3473.       0.5434754
           3473.4       0.5380241
           3473.8       0.5200904
           3474.2       0.4913324
           3474.6       0.4827618
            3475.        0.462053
           3475.4       0.4355831
           3475.8       0.4124386
           3476.2       0.4038585
           3476.6       0.4159522
            3477.       0.4251719
           3477.4       0.4500428
           3477.8       0.5018316
           3478.2       0.5405584
           3478.6       0.5665362
            3479.       0.5695792
           3479.4       0.5612093
           3479.8       0.5748283
           3480.2       0.5690255
           3480.6       0.5691223
            3481.       0.5722287
           3481.4       0.5699872
           3481.8       0.5724503
           3482.2       0.5677774
           3482.6        0.556846
            3483.       0.5306523
           3483.4       0.4929133
           3483.8        0.495354
           3484.2       0.5151863
           3484.6       0.5293112
            3485.       0.5291947
           3485.4       0.5026093
           3485.8       0.5392445
           3486.2       0.5756615
           3486.6       0.5986696
            3487.       0.6202801
           3487.4       0.6194524
           3487.8       0.6037929
           3488.2       0.5771304
           3488.6        0.545475
            3489.       0.5273372
           3489.4       0.4972687
           3489.8       0.4754373
           3490.2       0.4452741
           3490.6       0.4283249
            3491.       0.4404033
           3491.4        0.495563
           3491.8       0.5363626
           3492.2       0.5533266
           3492.6       0.5314481
            3493.       0.4813422
           3493.4       0.4698053
           3493.8       0.5018289
           3494.2       0.5389287
           3494.6       0.5702195
            3495.       0.5497305
           3495.4       0.4984604
           3495.8       0.4423453
           3496.2       0.4424113
           3496.6       0.4552372
            3497.       0.4506233
           3497.4       0.4418805
           3497.8       0.4452703
           3498.2       0.4993881
           3498.6       0.5763762
            3499.       0.6116023
           3499.4       0.6304502
           3499.8       0.6438382
           3500.2       0.6102928
           3500.6       0.5827876
            3501.       0.5902494
           3501.4       0.5892614
           3501.8       0.5883711
           3502.2       0.5836346
           3502.6       0.5749624
            3503.       0.6067299
           3503.4       0.6518705
           3503.8       0.6629067
           3504.2       0.6365947
           3504.6       0.5968094
            3505.       0.5743261
           3505.4        0.555178
           3505.8       0.5633914
           3506.2       0.5573789
           3506.6       0.5472049
            3507.       0.5665545
           3507.4       0.5707523
           3507.8       0.5911622
           3508.2        0.604362
           3508.6       0.6133036
            3509.        0.624896
           3509.4       0.5990912
           3509.8       0.5573347
           3510.2       0.5236131
           3510.6       0.4892326
            3511.       0.5294888
           3511.4       0.5784889
           3511.8       0.5919616
           3512.2       0.5674935
           3512.6       0.5471136
            3513.        0.526422
           3513.4       0.5102941
           3513.8       0.4838476
           3514.2       0.4780603
           3514.6       0.4937588
            3515.       0.5024368
           3515.4       0.5329175
           3515.8        0.570697
           3516.2       0.6082391
           3516.6        0.604259
            3517.       0.6181569
           3517.4       0.6290979
           3517.8       0.6381779
           3518.2       0.6469257
           3518.6       0.6308907
            3519.        0.613776
           3519.4       0.6040947
           3519.8       0.5822694
           3520.2       0.5552977
           3520.6        0.538727
            3521.       0.5298429
           3521.4       0.5170661
           3521.8       0.5260838
           3522.2       0.5620095
           3522.6       0.5901398
            3523.       0.5673448
           3523.4       0.5257041
           3523.8       0.4878414
           3524.2       0.4504845
           3524.6       0.4358175
            3525.       0.4677633
           3525.4       0.4844415
           3525.8       0.4437861
           3526.2       0.4057941
           3526.6       0.3816323
            3527.       0.4217902
           3527.4       0.5107948
           3527.8       0.5600673
           3528.2       0.5909451
           3528.6       0.6333334
            3529.       0.6206158
           3529.4       0.6105514
           3529.8       0.6034487
           3530.2       0.5880247
           3530.6       0.6014822
            3531.       0.6077366
           3531.4       0.5946397
           3531.8        0.583372
           3532.2       0.5541981
           3532.6       0.5489385
            3533.       0.5390152
           3533.4       0.5565253
           3533.8       0.6003008
           3534.2       0.6426315
           3534.6       0.6596459
            3535.       0.6451153
           3535.4       0.6225023
           3535.8       0.6094327
           3536.2       0.6102902
           3536.6       0.6259815
            3537.        0.627609
           3537.4       0.6077261
           3537.8       0.5969559
           3538.2       0.5948892
           3538.6       0.6109947
            3539.       0.6657927
           3539.4       0.7059637
           3539.8       0.7098435
           3540.2       0.6922629
           3540.6       0.6455429
            3541.       0.5991855
           3541.4       0.5931618
           3541.8       0.5995388
           3542.2       0.5988188
           3542.6       0.6149493
            3543.       0.6484378
           3543.4        0.650908
           3543.8       0.6746926
           3544.2       0.6848171
           3544.6       0.6993746
            3545.       0.6741755
           3545.4       0.6357182
           3545.8       0.6275123
           3546.2       0.6525617
           3546.6       0.6782699
            3547.       0.6784012
           3547.4       0.6633119
           3547.8       0.6060922
           3548.2       0.5984679
           3548.6        0.629601
            3549.       0.6553723
           3549.4        0.694888
           3549.8       0.6840098
           3550.2       0.6889642
           3550.6       0.6966649
            3551.       0.6869231
           3551.4       0.6632527
           3551.8       0.6462285
           3552.2       0.6560741
           3552.6       0.6519056
            3553.       0.6404256
           3553.4       0.5984437
           3553.8       0.5814579
           3554.2       0.5694519
           3554.6       0.5685173
            3555.       0.5726299
           3555.4       0.6112874
           3555.8       0.6731302
           3556.2       0.6805773
           3556.6        0.641916
            3557.       0.6336361
           3557.4       0.6572038
           3557.8       0.6627044
           3558.2       0.6281078
           3558.6        0.581847
            3559.       0.5925861
           3559.4        0.638365
           3559.8       0.6402823
           3560.2       0.6360597
           3560.6       0.6372333
            3561.       0.6211547
           3561.4       0.6112528
           3561.8       0.6199572
           3562.2       0.6524368
           3562.6       0.7149909
            3563.       0.7559733
           3563.4       0.7485569
           3563.8        0.729329
           3564.2       0.6668734
           3564.6        0.600389
            3565.       0.4960883
           3565.4       0.4293477
           3565.8       0.4007038
           3566.2       0.4097815
           3566.6        0.456555
            3567.       0.5209671
           3567.4       0.5816167
           3567.8       0.6149234
           3568.2       0.6148059
           3568.6       0.5963563
