#K OBJECT   'G_196-48'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  BD+54 1399
#K OBJRA    10:50:56.62
#K OBJDEC   +53:14:51.2
#K OBJBMAG  1.110000E+01
#K OBJVMAG  1.010000E+01
#K SPTYPE   G
#K OBJRV    1.338700E+02
#K BDNAME   BD+54 1399
#K HIPNAME  HIP 53025
#K VHELIO   9.55718692664989E+00
#K VLSR     1.43293481195552E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.676474E+03
#K CMAX1    6.002700E+03
#K PICKTYPE G5V
#K NCOMBINE 2
#K TEFF     5601  1994AJ....107.2240C (Carney)
#K LOGG     4.000000E+00  1994AJ....107.2240C (Carney)
#K FEH      -1.880000E+00  1994AJ....107.2240C (Carney)
#K COVERAGE 3465.0-6003.0
#K OBSTITLE G196-48

#      wavelength        spectrum
#       angstroms                

            3465.       0.4467509
           3465.4       0.4110203
           3465.8        0.382908
           3466.2       0.3843458
           3466.6       0.4307936
            3467.       0.4345018
           3467.4       0.4276891
           3467.8       0.4609212
           3468.2       0.4636876
           3468.6       0.4351371
            3469.        0.417111
           3469.4       0.4153746
           3469.8        0.441016
           3470.2       0.4520329
           3470.6       0.4594474
            3471.       0.4723584
           3471.4       0.4334366
           3471.8       0.4193321
           3472.2       0.4347759
           3472.6       0.4270909
            3473.       0.4058301
           3473.4        0.412699
           3473.8       0.4114055
           3474.2       0.3689013
           3474.6       0.3843343
            3475.       0.3925228
           3475.4       0.3836803
           3475.8       0.3709765
           3476.2       0.3306634
           3476.6        0.338446
            3477.       0.3546129
           3477.4         0.38959
           3477.8       0.4135979
           3478.2       0.4242117
           3478.6       0.4414196
            3479.       0.4284489
           3479.4       0.4190377
           3479.8       0.4420164
           3480.2       0.4484878
           3480.6       0.4448756
            3481.       0.4483363
           3481.4       0.4151351
           3481.8       0.4213139
           3482.2       0.4202432
           3482.6       0.4221236
            3483.       0.4057115
           3483.4       0.3726611
           3483.8       0.3911951
           3484.2       0.4333838
           3484.6       0.4297461
            3485.       0.4110528
           3485.4       0.4050091
           3485.8       0.4038646
           3486.2       0.4275019
           3486.6       0.4183649
            3487.       0.4421501
           3487.4       0.4438157
           3487.8       0.4177234
           3488.2       0.4204311
           3488.6       0.4245329
            3489.       0.4137454
           3489.4       0.3847616
           3489.8       0.3644363
           3490.2       0.3822328
           3490.6       0.3488781
            3491.       0.3742537
           3491.4       0.3738981
           3491.8       0.3994158
           3492.2       0.4262717
           3492.6       0.4053407
            3493.       0.3886311
           3493.4       0.3917125
           3493.8       0.4087061
           3494.2       0.4328151
           3494.6       0.4272695
            3495.        0.400988
           3495.4        0.395113
           3495.8       0.3855481
           3496.2       0.3749232
           3496.6       0.3796121
            3497.       0.3676476
           3497.4       0.3634266
           3497.8       0.3738777
           3498.2       0.4052516
           3498.6       0.4416212
            3499.       0.4439721
           3499.4        0.442201
           3499.8       0.4329587
           3500.2       0.3945375
           3500.6       0.3994991
            3501.       0.4367717
           3501.4       0.4299772
           3501.8       0.4231893
           3502.2       0.3984224
           3502.6       0.4095082
            3503.       0.4342387
           3503.4       0.4523508
           3503.8        0.461275
           3504.2       0.4519017
           3504.6       0.4580766
            3505.       0.4400743
           3505.4       0.3947415
           3505.8       0.4030145
           3506.2       0.4186876
           3506.6       0.4235517
            3507.       0.4291137
           3507.4       0.4222676
           3507.8       0.4467742
           3508.2       0.4531663
           3508.6       0.4416761
            3509.       0.4207205
           3509.4       0.4368671
           3509.8       0.4071403
           3510.2       0.3689864
           3510.6       0.3911068
            3511.       0.4098192
           3511.4       0.4233356
           3511.8       0.4160463
           3512.2       0.4314929
           3512.6        0.393718
            3513.       0.3870731
           3513.4       0.3968592
           3513.8       0.3768402
           3514.2       0.3684846
           3514.6       0.3752325
            3515.        0.412892
           3515.4        0.428069
           3515.8       0.4323871
           3516.2       0.4552502
           3516.6       0.4317373
            3517.       0.4301702
           3517.4       0.4531709
           3517.8       0.4491979
           3518.2       0.4282722
           3518.6       0.4282719
            3519.       0.4570044
           3519.4       0.4383731
           3519.8       0.4285704
           3520.2       0.4246501
           3520.6       0.4098518
            3521.       0.4089019
           3521.4       0.4057823
           3521.8       0.3890679
           3522.2       0.4034671
           3522.6       0.4519424
            3523.       0.4363578
           3523.4       0.4345653
           3523.8        0.409508
           3524.2       0.3783793
           3524.6       0.3555107
            3525.        0.401944
           3525.4       0.4042362
           3525.8        0.350918
           3526.2       0.3347214
           3526.6       0.3358942
            3527.       0.3527575
           3527.4       0.4047527
           3527.8       0.4280186
           3528.2       0.4483202
           3528.6       0.4560689
            3529.       0.4534108
           3529.4       0.4444165
           3529.8       0.4388467
           3530.2       0.4356591
           3530.6       0.4466597
            3531.       0.4395654
           3531.4       0.4293097
           3531.8        0.434278
           3532.2       0.4419202
           3532.6       0.4412536
            3533.       0.4068672
           3533.4       0.4092845
           3533.8       0.4237658
           3534.2       0.4543387
           3534.6       0.4539015
            3535.       0.4608506
           3535.4        0.451484
           3535.8       0.4588206
           3536.2       0.4490026
           3536.6       0.4511946
            3537.       0.4707641
           3537.4       0.4679279
           3537.8       0.4600541
           3538.2       0.4501473
           3538.6       0.4919905
            3539.       0.4979872
           3539.4        0.486635
           3539.8        0.494411
           3540.2       0.4813296
           3540.6       0.4424549
            3541.       0.4465961
           3541.4       0.4758269
           3541.8       0.4748152
           3542.2       0.4705366
           3542.6       0.4920098
            3543.       0.4911372
           3543.4       0.4722871
           3543.8       0.5079805
           3544.2       0.5178476
           3544.6       0.4555773
            3545.       0.4803458
           3545.4       0.4762243
           3545.8       0.4635997
           3546.2       0.4880538
           3546.6       0.5174487
            3547.       0.5027855
           3547.4       0.4860617
           3547.8       0.4903266
           3548.2       0.4797941
           3548.6       0.4696932
            3549.       0.4750321
           3549.4       0.4980275
           3549.8       0.5097072
           3550.2       0.5136641
           3550.6       0.5155516
            3551.       0.4845151
           3551.4       0.4894606
           3551.8       0.5027519
           3552.2       0.4725865
           3552.6       0.4713316
            3553.       0.4760016
           3553.4       0.4583977
           3553.8       0.4731304
           3554.2        0.465623
           3554.6       0.4630334
            3555.       0.4466745
           3555.4       0.4646335
           3555.8       0.4902133
           3556.2        0.512045
           3556.6       0.4853736
            3557.       0.4595591
           3557.4       0.4751423
           3557.8        0.496939
           3558.2       0.4922196
           3558.6       0.4704857
            3559.       0.4632146
           3559.4       0.4950272
           3559.8        0.529416
           3560.2       0.5003047
           3560.6       0.4789219
            3561.       0.4826368
           3561.4       0.4685238
           3561.8       0.4801106
           3562.2       0.4987117
           3562.6       0.5283269
            3563.       0.5277974
           3563.4       0.5144673
           3563.8       0.5135463
           3564.2       0.4893779
           3564.6       0.4642792
            3565.       0.4467508
           3565.4       0.4218046
           3565.8       0.3810789
           3566.2       0.4140528
           3566.6       0.4657789
            3567.       0.4652742
           3567.4       0.4473106
           3567.8       0.4821464
           3568.2       0.4929673
           3568.6       0.4462422
            3569.       0.4454627
           3569.4       0.4565222
           3569.8        0.404217
           3570.2       0.3864468
           3570.6       0.4085508
            3571.       0.4686317
           3571.4       0.4534891
           3571.8        0.453415
           3572.2       0.4398725
           3572.6       0.4321775
            3573.        0.475257
           3573.4       0.4908335
           3573.8       0.4369111
           3574.2       0.4384651
           3574.6       0.4796835
            3575.       0.4571677
           3575.4       0.4465635
           3575.8       0.4425722
           3576.2       0.4616706
           3576.6       0.4515167
            3577.       0.4658806
           3577.4       0.4924333
           3577.8       0.4989486
           3578.2       0.5093262
           3578.6       0.5006083
            3579.       0.4806507
           3579.4       0.4877254
           3579.8       0.5187724
           3580.2       0.5263126
           3580.6        0.476631
            3581.       0.4117508
           3581.4       0.3718482
           3581.8       0.3829204
           3582.2       0.4526355
           3582.6       0.5030151
            3583.       0.5081709
           3583.4       0.5245013
           3583.8       0.5154315
           3584.2       0.4704959
           3584.6       0.4417965
            3585.       0.4085401
           3585.4       0.3765688
           3585.8        0.402301
           3586.2       0.4272943
           3586.6       0.4319017
            3587.       0.4365455
           3587.4       0.4032775
           3587.8       0.4320374
           3588.2        0.459022
           3588.6       0.4561097
            3589.       0.4647073
           3589.4       0.4686022
           3589.8        0.471913
           3590.2       0.4785583
           3590.6       0.4901311
            3591.       0.5200169
           3591.4       0.5310025
           3591.8       0.5369474
           3592.2       0.5477165
           3592.6       0.4916498
            3593.       0.4723386
           3593.4       0.4898906
           3593.8       0.4970496
           3594.2       0.4846002
           3594.6       0.5094872
            3595.       0.5302126
           3595.4       0.5233442
           3595.8       0.5133844
           3596.2       0.5243979
           3596.6       0.5537192
            3597.       0.5227256
           3597.4       0.5137123
           3597.8       0.4998311
           3598.2       0.5397875
           3598.6       0.5237747
            3599.       0.5093467
           3599.4       0.5387145
           3599.8       0.5524657
           3600.2        0.554988
           3600.6       0.5587398
            3601.       0.5604404
           3601.4        0.548728
           3601.8       0.5006297
           3602.2       0.4692784
           3602.6       0.4697441
            3603.       0.4602317
           3603.4       0.5081854
           3603.8       0.5232683
           3604.2       0.5004218
           3604.6       0.5088379
            3605.       0.5045242
           3605.4       0.4833472
           3605.8       0.4795118
           3606.2       0.4972934
           3606.6        0.513036
            3607.       0.5203471
           3607.4       0.5314757
           3607.8       0.5167491
           3608.2       0.5139916
           3608.6       0.4718677
            3609.       0.4407849
           3609.4       0.4734824
           3609.8       0.4618119
           3610.2       0.4544393
           3610.6       0.4870481
            3611.       0.5241081
           3611.4         0.54105
           3611.8       0.5352657
           3612.2       0.5013934
           3612.6       0.4663627
            3613.       0.4872463
           3613.4       0.4899077
           3613.8       0.4744226
           3614.2       0.4577852
           3614.6       0.4888037
            3615.       0.5303496
           3615.4       0.5564033
           3615.8       0.5647466
           3616.2       0.5439573
           3616.6       0.5433522
            3617.       0.5265511
           3617.4        0.470605
           3617.8       0.4736861
           3618.2       0.4680658
           3618.6       0.4290844
            3619.       0.4244197
           3619.4       0.4287052
           3619.8       0.4415791
           3620.2         0.48274
           3620.6       0.5344245
            3621.        0.539863
           3621.4       0.5149414
           3621.8       0.4957398
           3622.2       0.5297266
           3622.6       0.5533196
            3623.       0.5089834
           3623.4       0.5121411
           3623.8       0.5101866
           3624.2       0.5283557
           3624.6       0.4986267
            3625.       0.4911491
           3625.4       0.5070596
           3625.8       0.5423837
           3626.2       0.5699258
           3626.6       0.5717341
            3627.       0.5697674
           3627.4       0.5689381
           3627.8        0.556143
           3628.2       0.5551295
           3628.6       0.5544416
            3629.       0.5373902
           3629.4       0.5900356
           3629.8       0.5574555
           3630.2       0.5192007
           3630.6       0.4691018
            3631.        0.430656
           3631.4       0.4033753
           3631.8       0.4159991
           3632.2       0.4613962
           3632.6       0.4851275
            3633.       0.4829203
           3633.4       0.5128288
           3633.8       0.5447572
           3634.2       0.5011545
           3634.6       0.4858347
            3635.       0.4795976
           3635.4       0.5121777
           3635.8       0.5159576
           3636.2       0.5283419
           3636.6       0.5225893
            3637.       0.5052446
           3637.4       0.5100405
           3637.8       0.5445768
           3638.2       0.5369248
           3638.6       0.5246935
            3639.       0.5727304
           3639.4       0.5705836
           3639.8         0.58222
           3640.2       0.5385913
           3640.6       0.5300664
            3641.       0.5165915
           3641.4       0.5508057
           3641.8        0.542967
           3642.2       0.5351748
           3642.6       0.5055125
            3643.       0.4817745
           3643.4       0.4872144
           3643.8       0.4939803
           3644.2       0.5008748
           3644.6       0.4715343
            3645.       0.4739406
           3645.4       0.4980531
           3645.8       0.4964141
           3646.2       0.5373892
           3646.6       0.5552629
            3647.       0.5348058
           3647.4       0.5117067
           3647.8       0.4897902
           3648.2       0.4773017
           3648.6       0.5051683
            3649.       0.5270332
           3649.4       0.4971168
           3649.8        0.485144
           3650.2       0.5040992
           3650.6       0.5033042
            3651.       0.4998711
           3651.4       0.5256141
           3651.8       0.5052642
           3652.2       0.5054071
           3652.6       0.5349718
            3653.       0.5603148
           3653.4       0.5449523
           3653.8       0.5270475
           3654.2       0.5529527
           3654.6       0.5573012
            3655.       0.5286801
           3655.4       0.5412552
           3655.8       0.5375024
           3656.2        0.548546
           3656.6       0.5701042
            3657.       0.5494287
           3657.4       0.5508832
           3657.8       0.5643997
           3658.2       0.5355882
           3658.6       0.5381797
            3659.       0.5697817
           3659.4       0.5507101
           3659.8       0.5207285
           3660.2       0.5376264
           3660.6       0.5595068
            3661.        0.550199
           3661.4       0.5285081
           3661.8       0.5467301
           3662.2        0.540314
           3662.6        0.543743
            3663.       0.5681906
           3663.4       0.5519844
           3663.8       0.5430139
           3664.2       0.5200623
           3664.6       0.5137209
            3665.       0.5391669
           3665.4       0.5513484
           3665.8       0.5880274
           3666.2       0.5690911
           3666.6        0.572971
            3667.       0.5684702
           3667.4       0.5357554
           3667.8       0.5467919
           3668.2       0.5577244
           3668.6       0.5300073
            3669.       0.4953471
           3669.4       0.4888852
           3669.8       0.4808159
           3670.2       0.4934091
           3670.6       0.5426502
            3671.       0.5481524
           3671.4       0.5430263
           3671.8       0.5706542
           3672.2        0.584996
           3672.6       0.5706818
            3673.       0.5579271
           3673.4       0.5358267
           3673.8       0.5137969
           3674.2       0.5124426
           3674.6       0.5362507
            3675.       0.5467911
           3675.4       0.5339156
           3675.8       0.5351996
           3676.2       0.5328451
           3676.6       0.5161067
            3677.       0.5263546
           3677.4       0.4889162
           3677.8       0.4833997
           3678.2       0.4827588
           3678.6       0.5039858
            3679.       0.5189594
           3679.4       0.5063976
           3679.8        0.472564
           3680.2       0.4627555
           3680.6       0.5043278
            3681.       0.5408331
           3681.4       0.5430892
           3681.8       0.5410653
           3682.2       0.5095025
           3682.6       0.4832479
            3683.        0.478275
           3683.4       0.5108642
           3683.8       0.5082646
           3684.2       0.5396931
           3684.6        0.548922
            3685.       0.5115514
           3685.4       0.4854321
           3685.8       0.4934871
           3686.2       0.5096369
           3686.6       0.4959761
            3687.       0.4571203
           3687.4       0.4371788
           3687.8       0.4444567
           3688.2       0.4791248
           3688.6        0.526816
            3689.       0.5343117
           3689.4       0.5183116
           3689.8       0.5317608
           3690.2       0.5449902
           3690.6       0.5361612
            3691.       0.5282845
           3691.4       0.5153838
           3691.8       0.5144966
           3692.2       0.5346867
           3692.6       0.5329626
            3693.       0.5572988
           3693.4       0.5451145
           3693.8       0.5536298
           3694.2        0.532098
           3694.6       0.5321581
            3695.        0.545603
           3695.4       0.5558209
           3695.8        0.538686
           3696.2       0.5389424
           3696.6       0.5341421
            3697.       0.4886525
           3697.4       0.4744022
           3697.8       0.4806526
           3698.2       0.5070153
           3698.6        0.547899
            3699.        0.551899
           3699.4        0.540769
           3699.8       0.5797603
           3700.2       0.5958933
           3700.6       0.5531241
            3701.       0.5470048
           3701.4       0.5597385
           3701.8       0.5573388
           3702.2       0.5603309
           3702.6       0.5365225
            3703.       0.5022629
           3703.4       0.4894665
           3703.8        0.454779
           3704.2        0.420232
           3704.6       0.4536081
            3705.       0.4626134
           3705.4       0.4295259
           3705.8       0.4052544
           3706.2       0.4297868
           3706.6       0.4750295
            3707.       0.5044295
           3707.4       0.5041377
           3707.8       0.4997886
           3708.2       0.5250422
           3708.6       0.5268489
            3709.       0.5021265
           3709.4       0.4999144
           3709.8       0.4952981
           3710.2       0.4874888
           3710.6        0.520184
            3711.        0.490396
           3711.4       0.4438024
           3711.8       0.4341199
           3712.2       0.4295611
           3712.6       0.4456487
            3713.       0.4895178
           3713.4        0.522781
           3713.8         0.55097
           3714.2       0.5754777
           3714.6       0.5882836
            3715.       0.5726718
           3715.4       0.5750245
           3715.8       0.5620351
           3716.2       0.5467412
           3716.6       0.5720072
            3717.       0.5814449
           3717.4       0.5780994
           3717.8       0.5859955
           3718.2       0.5786704
           3718.6       0.5685243
            3719.       0.5597748
           3719.4       0.5170814
           3719.8       0.4324379
           3720.2       0.4297333
           3720.6       0.4262564
            3721.       0.4110594
           3721.4       0.3989342
           3721.8       0.3543259
           3722.2       0.3315444
           3722.6       0.3568154
            3723.       0.4105904
           3723.4       0.4687485
           3723.8       0.5085416
           3724.2       0.5371376
           3724.6       0.5318467
            3725.       0.5370916
           3725.4        0.598785
           3725.8       0.6061875
           3726.2       0.5863795
           3726.6        0.583622
            3727.       0.5541004
           3727.4       0.4915173
           3727.8       0.4711635
           3728.2       0.5314726
           3728.6       0.5733404
            3729.       0.5608007
           3729.4       0.5680587
           3729.8       0.5614336
           3730.2        0.565968
           3730.6       0.5443923
            3731.       0.5440955
           3731.4       0.5406274
           3731.8        0.522932
           3732.2       0.5030398
           3732.6       0.4721184
            3733.       0.4387584
           3733.4       0.4001753
           3733.8       0.3552586
           3734.2         0.32212
           3734.6       0.2884451
            3735.        0.281324
           3735.4       0.3595361
           3735.8       0.4152478
           3736.2       0.4401816
           3736.6       0.4169438
            3737.       0.3667616
           3737.4       0.3633924
           3737.8       0.4306886
           3738.2       0.5002415
           3738.6       0.5231865
            3739.        0.531242
           3739.4        0.525767
           3739.8       0.5276971
           3740.2       0.5751117
           3740.6       0.5648271
            3741.       0.5681685
           3741.4       0.5645705
           3741.8       0.5600964
           3742.2       0.5446033
           3742.6       0.5544001
            3743.       0.5293562
           3743.4       0.4895797
           3743.8       0.4905319
           3744.2       0.5342863
           3744.6        0.562885
            3745.       0.5347888
           3745.4       0.4768461
           3745.8        0.410995
           3746.2       0.4351489
           3746.6       0.4897218
            3747.        0.495695
           3747.4       0.4904219
           3747.8       0.4719853
           3748.2       0.4430349
           3748.6       0.3900708
            3749.       0.3478321
           3749.4       0.3164834
           3749.8       0.2805071
           3750.2       0.2841929
           3750.6       0.3295554
            3751.       0.3862286
           3751.4       0.4462686
           3751.8       0.4796541
           3752.2       0.5081486
           3752.6       0.5219876
            3753.       0.4988301
           3753.4       0.5115805
           3753.8       0.5399323
           3754.2       0.5503723
           3754.6       0.5398526
            3755.       0.5461593
           3755.4       0.5723508
           3755.8       0.5846029
           3756.2       0.6220348
           3756.6       0.6201322
            3757.       0.5706623
           3757.4       0.5524705
           3757.8       0.5089484
           3758.2       0.4493993
           3758.6       0.4271072
            3759.       0.4522897
           3759.4       0.4680267
           3759.8        0.488784
           3760.2       0.5284829
           3760.6       0.5380529
            3761.       0.5159111
           3761.4       0.4973115
           3761.8       0.5032724
           3762.2       0.5232117
           3762.6        0.557944
            3763.       0.5759649
           3763.4       0.5511164
           3763.8       0.5048724
           3764.2       0.4758782
           3764.6       0.5120165
            3765.       0.5705312
           3765.4       0.5686124
           3765.8       0.5413579
           3766.2       0.5423073
           3766.6        0.521251
            3767.       0.4803122
           3767.4       0.4721137
           3767.8       0.4813971
           3768.2       0.4764421
           3768.6       0.4955503
            3769.       0.4677736
           3769.4       0.4455599
           3769.8       0.4117941
           3770.2       0.3527537
           3770.6       0.3023883
            3771.        0.313747
           3771.4       0.3692863
           3771.8       0.4081267
           3772.2       0.4752606
           3772.6       0.4985086
            3773.       0.5402931
           3773.4       0.5365862
           3773.8       0.5352452
           3774.2       0.5225263
           3774.6       0.5080168
            3775.       0.5172118
           3775.4       0.5250613
