#K OBJECT   'G_200-62'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 132142
#K OBJRA    14:55:11.04
#K OBJDEC   +53:40:49.2
#K OBJBMAG  8.520000E+00
#K OBJVMAG  7.730000E+00
#K SPTYPE   K1V
#K OBJRV    -1.490000E+01
#K HDNAME   HD 132142
#K BDNAME   BD+54 1716
#K HIPNAME  HIP 73005
#K SAONAME  SAO 29336
#K VHELIO   -1.11243840973945E+01
#K VLSR     3.91230943448096E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.088379E+03
#K CMAX1    5.414453E+03
#K PICKTYPE K2V
#K NCOMBINE 6
#K TEFF     5091  1981ApJ...244..989P (Peterson)
#K LOGG     4.500000E+00  1981ApJ...244..989P (Peterson)
#K FEH      -5.500000E-01  1981ApJ...244..989P (Peterson)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.0-5460.6
#K OBSTITLE 132124

#      wavelength        spectrum
#       angstroms                

            3465.       0.2308037
           3465.4       0.1842964
           3465.8       0.1641946
           3466.2       0.1631658
           3466.6       0.1857682
            3467.       0.2249974
           3467.4       0.2558931
           3467.8       0.2739426
           3468.2       0.2849451
           3468.6        0.280558
            3469.       0.2706863
           3469.4        0.270183
           3469.8        0.285874
           3470.2       0.3029679
           3470.6       0.3058861
            3471.       0.2902699
           3471.4       0.2606522
           3471.8       0.2395657
           3472.2       0.2163201
           3472.6       0.2032594
            3473.       0.2022656
           3473.4       0.1998204
           3473.8       0.1879325
           3474.2       0.1736856
           3474.6       0.1557926
            3475.       0.1327231
           3475.4       0.1164742
           3475.8       0.1120195
           3476.2       0.1144236
           3476.6       0.1228062
            3477.       0.1410917
           3477.4       0.1804561
           3477.8       0.2236914
           3478.2       0.2511853
           3478.6       0.2622468
            3479.       0.2718232
           3479.4       0.2737195
           3479.8       0.2713143
           3480.2       0.2704504
           3480.6       0.2718664
            3481.       0.2744055
           3481.4       0.2774837
           3481.8       0.2798968
           3482.2       0.2736253
           3482.6       0.2565331
            3483.        0.235175
           3483.4       0.2159091
           3483.8       0.2153201
           3484.2       0.2279041
           3484.6       0.2351971
            3485.       0.2311815
           3485.4       0.2336015
           3485.8       0.2463408
           3486.2       0.2712213
           3486.6        0.299072
            3487.       0.3137883
           3487.4       0.3147131
           3487.8       0.2931844
           3488.2       0.2742807
           3488.6       0.2448676
            3489.       0.2160705
           3489.4       0.1860358
           3489.8        0.158092
           3490.2       0.1299455
           3490.6       0.1228471
            3491.       0.1343171
           3491.4       0.1655057
           3491.8       0.1946265
           3492.2       0.1875358
           3492.6       0.1650384
            3493.       0.1499779
           3493.4       0.1687011
           3493.8       0.2129995
           3494.2       0.2586694
           3494.6       0.2662335
            3495.       0.2536161
           3495.4        0.235573
           3495.8       0.2141345
           3496.2       0.1966754
           3496.6       0.1863764
            3497.       0.1740834
           3497.4       0.1609762
           3497.8       0.1676056
           3498.2       0.2019363
           3498.6       0.2495069
            3499.       0.2940625
           3499.4       0.3186116
           3499.8       0.3165384
           3500.2       0.3038428
           3500.6       0.2825179
            3501.       0.2736651
           3501.4       0.2867848
           3501.8       0.2892597
           3502.2       0.2791342
           3502.6       0.2885036
            3503.       0.3174233
           3503.4       0.3453583
           3503.8        0.357143
           3504.2       0.3418639
           3504.6       0.3049709
            3505.       0.2841339
           3505.4       0.2830307
           3505.8       0.2758371
           3506.2       0.2632428
           3506.6       0.2643775
            3507.       0.2778439
           3507.4       0.2976012
           3507.8       0.3159423
           3508.2       0.3220888
           3508.6       0.3187347
            3509.       0.3011959
           3509.4       0.2616248
           3509.8       0.2222288
           3510.2       0.1956833
           3510.6       0.2012078
            3511.       0.2331797
           3511.4       0.2609245
           3511.8       0.2696855
           3512.2       0.2538333
           3512.6       0.2298377
            3513.        0.208185
           3513.4       0.1838102
           3513.8        0.165887
           3514.2       0.1573481
           3514.6        0.150782
            3515.       0.1536993
           3515.4       0.1856717
           3515.8       0.2257852
           3516.2       0.2653936
           3516.6       0.2887145
            3517.       0.3109032
           3517.4        0.337502
           3517.8        0.340842
           3518.2       0.3231172
           3518.6       0.3130498
            3519.         0.30418
           3519.4       0.2825577
           3519.8       0.2649941
           3520.2       0.2523094
           3520.6       0.2366016
            3521.        0.207349
           3521.4       0.1971172
           3521.8       0.2078771
           3522.2       0.2293149
           3522.6       0.2342272
            3523.       0.2213825
           3523.4       0.1941892
           3523.8       0.1569963
           3524.2       0.1291973
           3524.6        0.118818
            3525.       0.1265454
           3525.4       0.1365238
           3525.8        0.130176
           3526.2       0.1243243
           3526.6       0.1368195
            3527.       0.1860675
           3527.4       0.2261446
           3527.8       0.2509594
           3528.2       0.2736795
           3528.6       0.2988381
            3529.        0.300885
           3529.4       0.2810517
           3529.8       0.2751695
           3530.2       0.2754674
           3530.6       0.2925383
            3531.       0.3043281
           3531.4       0.2995085
