#K OBJECT   'G_212-10'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 199580
#K OBJRA    20:56:48.02
#K OBJDEC   +42:53:44.4
#K OBJBMAG  8.170000E+00
#K OBJVMAG  7.190000E+00
#K SPTYPE   K0III-IV
#K OBJRV    -1.940000E+01
#K HDNAME   HD 199580
#K BDNAME   BD+42 3915
#K HIPNAME  HIP 103392
#K SAONAME  SAO 50265
#K VHELIO   1.62906444464937E+01
#K VLSR     3.23415068689951E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459037E+03
#K CMAX1    4.784307E+03
#K PICKTYPE K0III
#K NCOMBINE 8
#K TEFF     4803  Jones..Coude.Feed.Library
#K LOGG     2.940000E+00  Jones..Coude.Feed.Library
#K FEH      -1.000000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     6798.6-6811.4
#K OBSTITLE 199580

#      wavelength        spectrum
#       angstroms                

            3465.       0.2016669
           3465.4       0.1664425
           3465.8        0.143556
           3466.2       0.1440336
           3466.6       0.1634061
            3467.       0.1833916
           3467.4       0.1981441
           3467.8       0.2172569
           3468.2       0.2287389
           3468.6       0.2227612
            3469.       0.2192368
           3469.4       0.2168728
           3469.8       0.2299852
           3470.2        0.260971
           3470.6       0.2636431
            3471.       0.2519106
           3471.4        0.227713
           3471.8       0.2003988
           3472.2       0.1774171
           3472.6       0.1635221
            3473.       0.1654292
           3473.4         0.16913
           3473.8        0.160868
           3474.2       0.1381982
           3474.6       0.1349434
            3475.       0.1208326
           3475.4       0.1047776
           3475.8      0.09939857
           3476.2       0.1039088
           3476.6       0.1088256
            3477.        0.117941
           3477.4       0.1527382
           3477.8        0.186719
           3478.2       0.1908814
           3478.6       0.1969437
            3479.       0.2095314
           3479.4       0.2039694
           3479.8       0.1913052
           3480.2       0.1782139
           3480.6       0.1883734
            3481.       0.1947873
           3481.4       0.1979386
           3481.8       0.2059302
           3482.2       0.1987579
           3482.6       0.1843812
            3483.       0.1665296
           3483.4       0.1541388
           3483.8       0.1620205
           3484.2        0.166829
           3484.6       0.1688503
            3485.       0.1667299
           3485.4       0.1597639
           3485.8       0.1843512
           3486.2       0.2069316
           3486.6       0.2305269
            3487.       0.2529751
           3487.4       0.2521885
           3487.8       0.2373158
           3488.2       0.2147512
           3488.6       0.1866045
            3489.       0.1601056
           3489.4        0.139045
           3489.8       0.1284577
           3490.2       0.1097992
           3490.6       0.1075563
            3491.       0.1214872
           3491.4       0.1431712
           3491.8       0.1608818
           3492.2       0.1481256
           3492.6       0.1337972
            3493.       0.1319158
           3493.4        0.148407
           3493.8       0.1785092
           3494.2       0.1967678
           3494.6       0.2045884
            3495.       0.2057506
           3495.4       0.1843671
           3495.8       0.1625899
           3496.2       0.1472735
           3496.6       0.1354885
            3497.       0.1193888
           3497.4       0.1200297
           3497.8       0.1292557
           3498.2       0.1529644
           3498.6       0.1968252
            3499.       0.2379108
           3499.4       0.2625195
           3499.8        0.260835
           3500.2       0.2407753
           3500.6       0.2420837
            3501.       0.2399236
           3501.4       0.2456796
           3501.8       0.2356583
           3502.2       0.2239891
           3502.6        0.243367
            3503.       0.2676414
           3503.4       0.2955141
           3503.8       0.3200406
           3504.2       0.2962449
           3504.6       0.2468469
            3505.        0.219304
           3505.4       0.2069309
           3505.8       0.2146324
           3506.2       0.2172002
           3506.6       0.2117861
            3507.       0.2116623
           3507.4       0.2314666
           3507.8       0.2531976
           3508.2       0.2634121
           3508.6        0.262546
            3509.       0.2422201
           3509.4       0.2095509
           3509.8       0.1806012
           3510.2       0.1652194
           3510.6       0.1694501
            3511.       0.1883235
           3511.4        0.208517
           3511.8       0.2076047
           3512.2       0.1975147
           3512.6       0.1766683
            3513.       0.1650802
           3513.4       0.1564006
           3513.8       0.1325254
           3514.2       0.1175989
           3514.6       0.1147953
            3515.       0.1275472
           3515.4       0.1593031
           3515.8       0.1869514
           3516.2       0.2099449
           3516.6       0.2358399
            3517.       0.2598552
           3517.4       0.2778388
           3517.8       0.2855702
           3518.2       0.2785897
           3518.6       0.2728395
            3519.       0.2568861
           3519.4       0.2471607
           3519.8       0.2249202
           3520.2       0.1970856
           3520.6       0.1869255
            3521.       0.1759407
           3521.4       0.1642909
           3521.8       0.1670389
           3522.2       0.1784841
           3522.6       0.1781696
            3523.       0.1690892
           3523.4       0.1442584
           3523.8        0.115714
           3524.2       0.1005555
           3524.6      0.09900662
            3525.       0.1023696
           3525.4       0.1130509
           3525.8       0.1157845
           3526.2       0.1034794
           3526.6       0.1157188
            3527.       0.1546505
           3527.4       0.1764616
           3527.8       0.2009552
           3528.2       0.2241447
           3528.6       0.2369229
            3529.       0.2347471
           3529.4       0.2295629
           3529.8       0.2280216
           3530.2       0.2297723
           3530.6       0.2349469
            3531.       0.2329914
           3531.4       0.2172415
           3531.8       0.2001619
           3532.2       0.1869104
           3532.6       0.1728258
            3533.       0.1755708
           3533.4       0.2059541
           3533.8        0.226159
           3534.2       0.2619717
           3534.6       0.2680371
            3535.       0.2496337
           3535.4       0.2316112
           3535.8       0.2327452
           3536.2       0.2409166
           3536.6       0.2412508
            3537.       0.2316594
           3537.4       0.2134126
           3537.8       0.2122973
           3538.2        0.221821
           3538.6       0.2463468
            3539.       0.2756507
           3539.4       0.2945512
           3539.8       0.2881688
           3540.2       0.2728873
           3540.6       0.2401888
            3541.       0.2118965
           3541.4       0.2074893
           3541.8       0.2014142
           3542.2       0.1940241
           3542.6       0.2116648
            3543.       0.2277841
           3543.4       0.2233029
           3543.8       0.2416194
           3544.2       0.2568135
           3544.6       0.2591594
            3545.       0.2539821
           3545.4       0.2418224
           3545.8       0.2271635
           3546.2       0.2338796
           3546.6       0.2438385
            3547.       0.2310564
           3547.4       0.2040827
           3547.8       0.1858113
           3548.2       0.1943992
           3548.6       0.2184116
            3549.        0.246286
           3549.4       0.2539614
           3549.8       0.2481341
           3550.2       0.2302023
           3550.6       0.2266165
            3551.       0.2135713
           3551.4       0.1978627
           3551.8       0.2060899
           3552.2        0.218573
           3552.6       0.2110862
            3553.       0.1964878
           3553.4          0.1851
           3553.8       0.1695937
           3554.2       0.1592244
           3554.6       0.1631763
            3555.       0.1698938
           3555.4        0.211018
           3555.8       0.2285786
           3556.2       0.2253169
           3556.6       0.2126798
            3557.       0.2027799
           3557.4       0.2090985
           3557.8       0.2020536
           3558.2       0.1689536
           3558.6       0.1473549
            3559.       0.1513505
           3559.4       0.1754033
           3559.8       0.1901086
           3560.2       0.1847433
           3560.6       0.1951316
            3561.       0.1947861
           3561.4       0.1887132
           3561.8       0.1895051
           3562.2       0.2054336
           3562.6       0.2277593
            3563.       0.2468146
           3563.4       0.2546157
           3563.8       0.2342833
           3564.2        0.195839
           3564.6       0.1606229
            3565.       0.1194995
           3565.4      0.09063167
           3565.8      0.08663248
           3566.2      0.09206863
           3566.6       0.1150239
            3567.        0.141778
           3567.4       0.1657436
           3567.8       0.1826806
           3568.2       0.1710292
           3568.6       0.1498435
            3569.       0.1320634
           3569.4      0.09591651
           3569.8      0.07919977
           3570.2      0.07901428
           3570.6      0.09626836
            3571.       0.1270147
           3571.4       0.1326127
           3571.8       0.1380109
           3572.2       0.1544907
           3572.6        0.181317
            3573.       0.2092981
           3573.4       0.2135725
           3573.8       0.1987979
           3574.2       0.1937964
           3574.6        0.192487
            3575.       0.1859245
           3575.4       0.1928706
           3575.8       0.1949205
           3576.2       0.2061471
           3576.6       0.2085312
            3577.       0.2083283
           3577.4        0.199272
           3577.8       0.1714592
           3578.2       0.1339842
           3578.6       0.1116302
            3579.       0.1120743
           3579.4       0.1173681
           3579.8       0.1107228
           3580.2      0.09352838
           3580.6      0.07493389
            3581.      0.05315957
           3581.4      0.05098948
           3581.8      0.06105202
           3582.2      0.07623828
           3582.6      0.09182248
            3583.       0.1056399
           3583.4       0.1101681
           3583.8       0.1144878
           3584.2       0.1097853
           3584.6      0.09059649
            3585.      0.07536275
           3585.4      0.06621236
           3585.8      0.07244753
           3586.2      0.08132783
           3586.6      0.08058167
            3587.      0.08701933
           3587.4      0.09598498
           3587.8       0.1068416
           3588.2       0.1164167
           3588.6       0.1250758
            3589.       0.1224767
           3589.4       0.1106822
           3589.8       0.1160225
           3590.2        0.145016
           3590.6       0.1896394
            3591.       0.2389671
           3591.4       0.2537431
           3591.8       0.2629064
           3592.2       0.2556723
           3592.6       0.2222085
            3593.       0.1857232
           3593.4       0.1619333
           3593.8       0.1720915
           3594.2       0.2000518
           3594.6       0.2242048
            3595.       0.2390957
           3595.4        0.252314
           3595.8       0.2736463
           3596.2       0.2924091
           3596.6       0.3154953
            3597.       0.3185818
           3597.4       0.2843483
           3597.8       0.2733951
           3598.2       0.2886826
           3598.6       0.2880763
            3599.       0.2741371
           3599.4       0.2826471
           3599.8       0.3078381
           3600.2       0.3367482
           3600.6       0.3434774
            3601.       0.3253968
           3601.4       0.3121939
           3601.8       0.2552054
           3602.2       0.2172883
           3602.6       0.2047697
            3603.       0.2111708
           3603.4       0.2164355
           3603.8       0.2109647
           3604.2       0.2104788
           3604.6       0.1985543
            3605.       0.1741634
           3605.4       0.1605097
           3605.8       0.1722252
           3606.2       0.2032613
           3606.6        0.225681
            3607.        0.233589
           3607.4       0.2331496
           3607.8       0.2019395
           3608.2       0.1583116
           3608.6       0.1183487
            3609.       0.1042318
           3609.4        0.112479
           3609.8       0.1273761
           3610.2        0.144056
           3610.6       0.1626722
            3611.       0.1961642
           3611.4       0.2352423
           3611.8       0.2569839
           3612.2       0.2633777
           3612.6        0.230172
            3613.       0.2123237
           3613.4       0.1929486
           3613.8       0.1968312
           3614.2       0.2167008
           3614.6        0.251273
            3615.        0.278973
           3615.4       0.2987866
           3615.8       0.2977333
           3616.2       0.2836731
           3616.6       0.2743859
            3617.       0.2487437
           3617.4       0.2088276
           3617.8       0.1570335
           3618.2       0.1140659
           3618.6      0.08345285
            3619.      0.07661451
           3619.4      0.08359631
           3619.8       0.1144374
           3620.2       0.1689072
           3620.6       0.1988927
            3621.       0.1982021
           3621.4       0.2043815
           3621.8       0.2316794
           3622.2        0.269982
           3622.6       0.3011435
            3623.        0.301228
           3623.4       0.2573372
           3623.8       0.2272112
           3624.2       0.2237563
           3624.6       0.2375648
            3625.       0.2650957
           3625.4       0.2994147
           3625.8       0.3386289
           3626.2       0.3613709
           3626.6       0.3638526
            3627.        0.356308
           3627.4        0.336556
           3627.8       0.3130072
           3628.2       0.3037611
           3628.6       0.3250733
            3629.       0.3247331
           3629.4       0.3252633
           3629.8       0.2860914
           3630.2       0.2264018
           3630.6       0.1685246
            3631.       0.1243902
           3631.4      0.09823892
           3631.8       0.1081748
           3632.2       0.1450112
           3632.6        0.174328
            3633.       0.1984085
           3633.4        0.216341
           3633.8        0.217663
           3634.2       0.2084322
           3634.6       0.1979011
            3635.       0.1880223
           3635.4       0.2130516
           3635.8       0.2485381
           3636.2       0.2587512
           3636.6       0.2488978
            3637.       0.2467784
           3637.4          0.2581
           3637.8       0.2625222
           3638.2       0.2693599
           3638.6       0.3007429
            3639.       0.3202483
           3639.4       0.3178123
           3639.8       0.3155499
           3640.2       0.3222311
           3640.6       0.3339192
            3641.       0.3273871
           3641.4       0.3021384
           3641.8       0.2941138
           3642.2       0.2897698
           3642.6       0.2720986
            3643.       0.2650105
           3643.4       0.2703026
           3643.8       0.2747367
           3644.2       0.2659831
           3644.6       0.2264163
            3645.       0.1968275
           3645.4       0.2008562
           3645.8       0.2175131
           3646.2       0.2345437
           3646.6       0.2330374
            3647.       0.1973007
           3647.4       0.1462171
           3647.8       0.1191932
           3648.2       0.1366435
           3648.6       0.1725108
            3649.       0.1901591
           3649.4       0.1974948
           3649.8       0.2038134
           3650.2       0.2206112
           3650.6       0.2609664
            3651.       0.2639921
           3651.4       0.2449325
           3651.8       0.2579898
           3652.2       0.2989502
           3652.6       0.3323818
            3653.        0.342324
           3653.4       0.3277538
           3653.8       0.3017332
           3654.2       0.2989901
           3654.6        0.318922
            3655.       0.3119815
           3655.4        0.306777
           3655.8       0.3247897
           3656.2       0.3357006
           3656.6       0.3568727
            3657.       0.3613479
           3657.4       0.3404551
           3657.8       0.3304458
           3658.2       0.3494525
           3658.6       0.3864288
            3659.        0.413024
           3659.4       0.3978147
           3659.8       0.3572811
           3660.2       0.3378283
           3660.6       0.3397411
            3661.       0.3599166
           3661.4       0.3698086
           3661.8         0.35945
           3662.2       0.3455043
           3662.6        0.331432
            3663.       0.3156781
           3663.4       0.3008919
           3663.8        0.279743
           3664.2       0.2647118
           3664.6       0.2879634
            3665.       0.3403537
           3665.4       0.3762934
           3665.8        0.353626
           3666.2       0.3005413
           3666.6       0.2826353
            3667.        0.300983
           3667.4       0.3360406
           3667.8       0.3519635
           3668.2        0.325567
           3668.6       0.2892941
            3669.       0.2618408
           3669.4       0.2423876
           3669.8       0.2447257
           3670.2       0.2583557
           3670.6       0.2711443
            3671.       0.2912568
           3671.4       0.3365472
           3671.8       0.3582409
           3672.2        0.368747
           3672.6       0.3575188
            3673.       0.3378181
           3673.4       0.3262244
           3673.8       0.3173774
           3674.2       0.3196108
           3674.6       0.3375969
            3675.       0.3596685
           3675.4       0.3731492
           3675.8       0.3617092
           3676.2       0.3404938
           3676.6       0.3032708
            3677.       0.2729969
           3677.4       0.2479093
           3677.8       0.2349826
           3678.2       0.2592511
           3678.6       0.2776012
            3679.       0.2636887
           3679.4       0.2248083
           3679.8       0.1803672
           3680.2       0.1750563
           3680.6       0.2159229
            3681.       0.2585275
           3681.4       0.2896262
           3681.8       0.2976256
           3682.2       0.2813423
           3682.6        0.267701
            3683.        0.280913
           3683.4         0.29888
           3683.8       0.3213513
           3684.2        0.315109
           3684.6       0.2873729
            3685.       0.2655993
           3685.4       0.2421651
           3685.8       0.2379739
           3686.2       0.2493322
           3686.6       0.2250087
            3687.       0.1882195
           3687.4       0.1596256
           3687.8       0.1629497
           3688.2        0.196445
           3688.6       0.2335864
            3689.       0.2526846
           3689.4       0.2683025
           3689.8       0.2835566
           3690.2       0.3034972
           3690.6        0.334196
            3691.       0.3653865
           3691.4       0.3943029
           3691.8       0.3994378
           3692.2       0.3808569
           3692.6       0.3456307
            3693.       0.3021957
           3693.4       0.2561233
           3693.8       0.2445588
           3694.2        0.256611
           3694.6       0.2891159
            3695.       0.3153255
           3695.4       0.3102188
           3695.8       0.2937879
           3696.2       0.2828886
