#K OBJECT   'G_223-65'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 127243
#K OBJRA    14:28:37.81
#K OBJDEC   +49:50:41.5
#K OBJBMAG  6.440000E+00
#K OBJVMAG  5.590000E+00
#K SPTYPE   G3IV
#K OBJRV    -5.500000E+00
#K HDNAME   HD 127243
#K BDNAME   BD+50 2084
#K HIPNAME  HIP 70791
#K SAONAME  SAO 29165
#K VHELIO   -1.33201472890243E+01
#K VLSR     9.20115800339986E-01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445795E+03
#K CMAX1    4.771348E+03
#K PICKTYPE G2IV
#K NCOMBINE 6
#K TEFF     5350  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.500000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -5.900000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.0-5461.8
#K OBSTITLE 127243

#      wavelength        spectrum
#       angstroms                

            3465.       0.5290954
           3465.4       0.4731838
           3465.8       0.4149882
           3466.2       0.4025266
           3466.6       0.4305379
            3467.       0.4660138
           3467.4       0.4976944
           3467.8       0.5258436
           3468.2       0.5404389
           3468.6       0.5210866
            3469.       0.4956656
           3469.4       0.4885185
           3469.8        0.520883
           3470.2       0.5696251
           3470.6       0.5857422
            3471.       0.5567214
           3471.4        0.511369
           3471.8       0.4844536
           3472.2       0.4598337
           3472.6       0.4493646
            3473.       0.4499824
           3473.4       0.4304183
           3473.8       0.3998161
           3474.2       0.3761328
           3474.6       0.3705064
            3475.       0.3534787
           3475.4       0.3268697
           3475.8       0.3207834
           3476.2       0.3241229
           3476.6       0.3145467
            3477.       0.3163286
           3477.4       0.3631662
           3477.8       0.4137754
           3478.2       0.4334879
           3478.6       0.4358914
            3479.       0.4436785
           3479.4       0.4409862
           3479.8       0.4325503
           3480.2       0.4304292
           3480.6       0.4427423
            3481.       0.4603932
           3481.4       0.4749346
           3481.8       0.4875719
           3482.2       0.4816961
           3482.6       0.4494126
            3483.       0.4064019
           3483.4       0.3816788
           3483.8       0.3894507
           3484.2       0.4180671
           3484.6       0.4300978
            3485.       0.4183026
           3485.4       0.4160393
           3485.8       0.4495901
           3486.2       0.5015265
           3486.6       0.5460854
            3487.       0.5712217
           3487.4        0.565596
           3487.8       0.5367615
           3488.2       0.5014534
           3488.6       0.4647573
            3489.       0.4301691
           3489.4       0.4032031
           3489.8       0.3779452
           3490.2       0.3446448
           3490.6        0.323377
            3491.        0.342461
           3491.4       0.3991177
           3491.8       0.4470025
           3492.2       0.4394942
           3492.6       0.3855132
            3493.        0.341384
           3493.4       0.3553108
           3493.8       0.4135216
           3494.2        0.453682
           3494.6       0.4521756
            3495.       0.4330652
           3495.4       0.3791147
           3495.8       0.3311189
