#K OBJECT   'G_25-15'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 200580
#K OBJRA    21:04:07.39
#K OBJDEC   +02:59:40.1
#K OBJBMAG  7.860000E+00
#K OBJVMAG  7.330000E+00
#K SPTYPE   F9V
#K OBJRV    -6.400000E+00
#K HDNAME   HD 200580
#K BDNAME   BD+02 4295
#K HIPNAME  HIP 103987
#K SAONAME  SAO 126509
#K VHELIO   -2.58795785759955E+01
#K VLSR     -1.31405058606185E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449714E+03
#K CMAX1    4.775204E+03
#K PICKTYPE F8V
#K NCOMBINE 4
#K TEFF     5829  2000A&AS..141..491C (Chen)
#K LOGG     4.390000E+00  2000A&AS..141..491C (Chen)
#K FEH      -5.800000E-01  2000A&AS..141..491C (Chen)
#K COVERAGE 3465.0-8071.0
#K OBSTITLE 200580

#      wavelength        spectrum
#       angstroms                

            3465.       0.5938199
           3465.4       0.5485357
           3465.8       0.5200742
           3466.2       0.5159943
           3466.6       0.5438654
            3467.       0.5701682
           3467.4       0.5925283
           3467.8       0.6136018
           3468.2        0.629557
           3468.6       0.6159557
            3469.       0.5950434
           3469.4       0.5860965
           3469.8       0.6014444
           3470.2       0.6310389
           3470.6       0.6418374
            3471.        0.629405
           3471.4       0.6067016
           3471.8       0.5851946
           3472.2        0.575051
           3472.6       0.5717666
            3473.       0.5630456
           3473.4        0.561839
           3473.8        0.541551
           3474.2       0.5233263
           3474.6       0.5123292
            3475.       0.4782048
           3475.4       0.4428522
           3475.8       0.4442729
           3476.2       0.4565684
           3476.6        0.455525
            3477.       0.4660179
           3477.4       0.4976496
           3477.8       0.5556779
           3478.2       0.5954001
           3478.6       0.6084686
            3479.       0.6113831
           3479.4       0.6139589
           3479.8       0.6143561
           3480.2       0.6233046
           3480.6        0.630857
            3481.       0.6251027
           3481.4        0.629832
           3481.8       0.6417378
           3482.2       0.6290054
           3482.6       0.6054711
            3483.       0.5653877
           3483.4        0.532635
           3483.8       0.5281078
           3484.2       0.5517486
           3484.6       0.5748113
            3485.       0.5811985
           3485.4        0.586254
           3485.8       0.5979365
           3486.2       0.6236837
           3486.6       0.6568999
            3487.       0.6819144
           3487.4       0.6936401
           3487.8       0.6666204
           3488.2       0.6385576
           3488.6       0.6053392
            3489.       0.5580875
           3489.4       0.5361475
           3489.8       0.5187995
           3490.2        0.512944
           3490.6       0.4886158
            3491.       0.4884228
           3491.4       0.5357585
           3491.8       0.5754669
           3492.2       0.5860505
           3492.6       0.5615567
            3493.       0.5225352
           3493.4       0.5215324
           3493.8       0.5587639
           3494.2       0.5986174
           3494.6       0.6104864
            3495.       0.5981022
           3495.4       0.5554199
           3495.8       0.5092147
           3496.2       0.4972246
           3496.6       0.4942434
            3497.       0.4846404
           3497.4       0.4837437
           3497.8       0.4953464
           3498.2       0.5413495
           3498.6       0.6012675
            3499.       0.6499255
           3499.4       0.6714035
           3499.8       0.6838992
           3500.2       0.6474347
           3500.6       0.6163795
            3501.       0.6278673
           3501.4       0.6374753
           3501.8        0.631355
           3502.2       0.6169251
           3502.6       0.6169717
            3503.       0.6559055
           3503.4       0.6931706
           3503.8       0.7063189
           3504.2       0.6860579
           3504.6       0.6455327
            3505.       0.6131364
           3505.4       0.6061692
           3505.8       0.5971593
           3506.2       0.6003482
           3506.6       0.5975307
            3507.       0.5993257
           3507.4       0.6201272
           3507.8        0.636808
           3508.2       0.6457572
           3508.6       0.6512868
            3509.       0.6485498
           3509.4        0.637289
           3509.8         0.60272
           3510.2       0.5484089
           3510.6       0.5322157
            3511.       0.5621977
           3511.4       0.5957806
           3511.8        0.606751
           3512.2       0.5970943
           3512.6       0.5823405
            3513.       0.5705753
           3513.4       0.5512651
           3513.8       0.5223545
           3514.2       0.5172335
           3514.6       0.5453492
            3515.       0.5478106
           3515.4       0.5647378
           3515.8       0.6108992
           3516.2       0.6391518
           3516.6       0.6557095
            3517.       0.6677428
           3517.4       0.6757382
