#K OBJECT   'G_37-26'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 19445
#K OBJRA    03:08:25.59
#K OBJDEC   +26:19:51.4
#K OBJBMAG  8.510000E+00
#K OBJVMAG  8.050000E+00
#K SPTYPE   A4p
#K OBJRV    -1.393000E+02
#K HDNAME   HD 19445
#K BDNAME   BD+25 495
#K HIPNAME  HIP 14594
#K SAONAME  SAO 75749
#K VHELIO   -2.99655856788024E+01
#K VLSR     -3.67222730426480E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.437050E+03
#K CMAX1    4.765829E+03
#K PICKTYPE A5V
#K NCOMBINE 5
#K TEFF     6016  2000A&A...362.1077Z (Zhao)
#K LOGG     4.430000E+00  2000A&A...362.1077Z (Zhao)
#K FEH      -1.950000E+00  2000A&A...362.1077Z (Zhao)
#K COVERAGE 3465.0-9469.0
#K GAPS     6793.4-6814.6
#K OBSTITLE 19445

#      wavelength        spectrum
#       angstroms                

            3465.       0.7350773
           3465.4       0.7117329
           3465.8       0.6893994
           3466.2       0.6897989
           3466.6       0.7095508
            3467.        0.726833
           3467.4       0.7328684
           3467.8       0.7465094
           3468.2       0.7593833
           3468.6       0.7564214
            3469.       0.7417176
           3469.4       0.7411311
           3469.8       0.7512349
           3470.2        0.751426
           3470.6       0.7507308
            3471.       0.7541096
           3471.4       0.7504457
           3471.8       0.7379743
           3472.2        0.727181
           3472.6       0.7292792
            3473.       0.7277519
           3473.4       0.7206538
           3473.8       0.7111994
           3474.2        0.708153
           3474.6       0.7054816
            3475.        0.697367
           3475.4       0.6868464
           3475.8       0.6839067
           3476.2       0.6772639
           3476.6       0.6656488
            3477.       0.6694071
           3477.4       0.6878865
           3477.8       0.7177806
           3478.2       0.7530766
           3478.6       0.7638488
            3479.       0.7654257
           3479.4       0.7717158
           3479.8       0.7751875
           3480.2       0.7663603
           3480.6       0.7626354
            3481.       0.7560323
           3481.4       0.7597923
           3481.8       0.7682514
           3482.2       0.7616256
           3482.6       0.7505157
            3483.       0.7239271
           3483.4       0.7123976
           3483.8         0.72023
           3484.2       0.7357967
           3484.6       0.7474989
            3485.       0.7548622
           3485.4       0.7433559
           3485.8       0.7521125
           3486.2       0.7639002
           3486.6        0.763123
            3487.        0.771862
           3487.4       0.7768475
           3487.8        0.764908
           3488.2       0.7540514
           3488.6        0.743301
            3489.       0.7280018
           3489.4       0.7054859
           3489.8       0.6935186
           3490.2       0.6741175
           3490.6       0.6577072
            3491.       0.6613866
           3491.4        0.694164
           3491.8       0.7308274
           3492.2       0.7319911
           3492.6       0.7192563
            3493.       0.7219467
           3493.4       0.7201766
           3493.8       0.7351114
           3494.2       0.7585313
           3494.6       0.7492922
            3495.       0.7322013
           3495.4       0.7169948
           3495.8       0.7021333
           3496.2       0.6922684
           3496.6       0.7000247
            3497.       0.7007571
           3497.4        0.691265
           3497.8       0.6956984
           3498.2       0.7146795
           3498.6       0.7433555
            3499.       0.7646269
           3499.4       0.7713905
           3499.8        0.765587
           3500.2       0.7402911
           3500.6       0.7233469
            3501.       0.7204795
           3501.4       0.7268402
           3501.8       0.7357785
           3502.2       0.7259001
           3502.6       0.7169103
            3503.        0.737328
           3503.4       0.7610243
           3503.8       0.7675656
           3504.2       0.7649218
           3504.6       0.7502795
            3505.       0.7423222
           3505.4       0.7375817
           3505.8       0.7297188
           3506.2       0.7289326
           3506.6       0.7274554
            3507.       0.7284471
           3507.4       0.7469495
           3507.8       0.7598953
           3508.2       0.7562529
           3508.6        0.758858
            3509.       0.7612859
           3509.4       0.7467127
           3509.8         0.71654
           3510.2       0.6899686
           3510.6       0.6809149
            3511.       0.6994224
           3511.4       0.7226649
           3511.8       0.7495869
           3512.2       0.7433536
           3512.6       0.7243556
            3513.       0.7095992
           3513.4       0.6912192
           3513.8       0.6733524
           3514.2       0.6665844
           3514.6       0.6867958
            3515.       0.6974761
           3515.4       0.7218147
           3515.8       0.7339412
           3516.2       0.7503562
           3516.6       0.7576216
            3517.       0.7575449
           3517.4       0.7580292
           3517.8       0.7590817
           3518.2       0.7550259
           3518.6       0.7449118
            3519.        0.740243
           3519.4       0.7353877
           3519.8       0.7148785
           3520.2       0.7037567
           3520.6       0.7037705
            3521.       0.6975879
           3521.4        0.687672
           3521.8       0.6982642
           3522.2       0.7110151
           3522.6        0.722277
            3523.       0.7272712
           3523.4       0.7185367
           3523.8       0.6967376
           3524.2       0.6742404
           3524.6        0.669162
            3525.       0.6775289
           3525.4       0.6793946
           3525.8       0.6579816
