#K OBJECT   'G_81-38'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 30649
#K OBJRA    04:51:43.56
#K OBJDEC   +45:50:03.0
#K OBJBMAG  7.550000E+00
#K OBJVMAG  6.970000E+00
#K SPTYPE   G1V-VI
#K OBJRV    2.600000E+01
#K HDNAME   HD 30649
#K BDNAME   BD+45 992
#K HIPNAME  HIP 22596
#K SAONAME  SAO 39808
#K VHELIO   -2.66876104741692E+01
#K VLSR     -3.09869455870536E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789760E+03
#K CMAX1    8.125114E+03
#K PICKTYPE G2V
#K NCOMBINE 6
#K TEFF     5736  1993A&A...275..101E (Edvardsson)
#K LOGG     4.220000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -5.100000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9449.0
#K OBSTITLE 30649

#      wavelength        spectrum
#       angstroms                

            3465.       0.5459701
           3465.4       0.5086312
           3465.8       0.4649049
           3466.2        0.450296
           3466.6       0.4731276
            3467.       0.5040516
           3467.4       0.5296454
           3467.8       0.5526708
           3468.2       0.5646741
           3468.6       0.5601152
            3469.        0.538665
           3469.4       0.5228183
           3469.8       0.5411981
           3470.2       0.5667518
           3470.6       0.5784189
            3471.       0.5693126
           3471.4       0.5432264
           3471.8        0.519796
           3472.2       0.4986277
           3472.6       0.4920782
            3473.        0.493562
           3473.4       0.4911489
           3473.8       0.4747611
           3474.2       0.4520194
           3474.6       0.4367387
            3475.       0.4161091
           3475.4       0.3851304
           3475.8       0.3655316
           3476.2       0.3692035
           3476.6       0.3733887
            3477.       0.3772641
           3477.4       0.4062925
           3477.8        0.455206
           3478.2        0.494133
           3478.6       0.5082248
            3479.       0.5213496
           3479.4       0.5270588
           3479.8       0.5160068
           3480.2       0.5142624
           3480.6       0.5180147
            3481.       0.5242951
           3481.4       0.5228286
           3481.8       0.5252885
           3482.2       0.5314136
           3482.6       0.5087718
            3483.       0.4756767
