#K OBJECT   'G_84-29'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  BD+03 740
#K OBJRA    05:01:16.62
#K OBJDEC   +04:06:37.0
#K OBJBMAG  1.018000E+01
#K OBJVMAG  9.820000E+00
#K SPTYPE   sd:F0
#K OBJRV    1.739300E+02
#K BDNAME   BD+03 740
#K HIPNAME  HIP 23344
#K VHELIO   -2.78978786368951E+01
#K VLSR     -4.38163629418062E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.786385E+03
#K CMAX1    8.121075E+03
#K PICKTYPE F0V
#K NCOMBINE 5
#K TEFF     6075  2000AJ....120.1841F (Fulbright)
#K LOGG     3.800000E+00  2000AJ....120.1841F (Fulbright)
#K FEH      -2.840000E+00  2000AJ....120.1841F (Fulbright)
#K COVERAGE 3465.0-9438.6
#K OBSTITLE BD+03_0740

#      wavelength        spectrum
#       angstroms                

            3465.       0.7701548
           3465.4       0.7184427
           3465.8        0.705413
           3466.2       0.7356151
           3466.6       0.7309435
            3467.       0.6978283
           3467.4        0.766812
           3467.8       0.7624394
           3468.2       0.6881903
           3468.6       0.6936553
            3469.       0.7492278
           3469.4       0.7839904
           3469.8       0.7628958
           3470.2       0.7497194
           3470.6       0.7308069
            3471.       0.7791114
           3471.4       0.7718443
           3471.8       0.7815893
           3472.2       0.7908439
           3472.6       0.7279767
            3473.       0.7165853
           3473.4       0.7355731
           3473.8       0.7307359
           3474.2       0.7333568
           3474.6       0.7514949
            3475.       0.7540368
           3475.4       0.6956058
           3475.8       0.7103164
           3476.2       0.6967298
           3476.6       0.7250046
            3477.       0.7054172
           3477.4       0.6872224
           3477.8       0.7276683
           3478.2       0.7652349
           3478.6       0.7704785
            3479.       0.7333156
           3479.4       0.7119059
           3479.8       0.7564926
           3480.2       0.7837638
           3480.6        0.786259
            3481.       0.8266943
           3481.4       0.8456527
           3481.8       0.7898975
           3482.2       0.7493571
           3482.6       0.7787252
            3483.       0.7533783
           3483.4       0.7307145
           3483.8       0.7258348
           3484.2       0.7257903
           3484.6       0.7201105
            3485.         0.70793
           3485.4       0.7439161
           3485.8       0.7768484
           3486.2       0.7372133
           3486.6       0.7486709
            3487.        0.644098
           3487.4      -0.2052768
           3487.8      -0.3463746
           3488.2       0.4727222
           3488.6       0.7671458
            3489.       0.7051638
           3489.4       0.7278355
           3489.8       0.7114726
           3490.2       0.7106398
           3490.6       0.7099873
            3491.       0.6781059
           3491.4       0.6900222
           3491.8       0.7207597
           3492.2       0.7231397
           3492.6       0.7277569
            3493.       0.7491507
           3493.4       0.7347144
           3493.8       0.7464291
           3494.2       0.7544587
           3494.6       0.7523857
            3495.       0.7945402
           3495.4       0.7941459
           3495.8       0.7675533
           3496.2        0.767546
           3496.6       0.7088258
            3497.       0.7597166
           3497.4       0.7201412
           3497.8       0.7331768
           3498.2       0.7268143
           3498.6       0.7363726
            3499.       0.7956401
           3499.4       0.7926354
           3499.8       0.7609158
           3500.2       0.7667122
           3500.6        0.759424
            3501.       0.7340433
           3501.4       0.7411357
           3501.8       0.7508033
           3502.2       0.7469596
           3502.6       0.7752513
            3503.       0.7701404
           3503.4        0.754561
           3503.8       0.7822689
           3504.2       0.7848421
           3504.6       0.7434753
            3505.       0.7341006
           3505.4       0.7395104
           3505.8        0.738107
           3506.2       0.7458295
           3506.6       0.7324889
            3507.       0.7246639
           3507.4       0.7603544
           3507.8       0.7635627
           3508.2       0.7809371
           3508.6       0.7622895
            3509.       0.7732931
           3509.4       0.7399033
           3509.8       0.7081543
           3510.2       0.7014673
           3510.6       0.7229347
            3511.       0.7412464
           3511.4       0.7482763
           3511.8       0.7599539
           3512.2        0.755285
           3512.6       0.7473586
            3513.       0.7255953
           3513.4       0.6938781
           3513.8       0.7083893
           3514.2       0.7022057
           3514.6       0.7016589
            3515.       0.7297794
           3515.4       0.7302158
           3515.8       0.7206603
           3516.2       0.7112004
           3516.6       0.7352427
            3517.       0.7484239
           3517.4       0.7229761
           3517.8        0.755454
           3518.2       0.7448405
           3518.6       0.7273825
            3519.       0.7323754
           3519.4       0.7654449
           3519.8       0.7345216
           3520.2        0.721988
           3520.6       0.7219601
            3521.       0.7428975
           3521.4       0.7258234
           3521.8       0.7024902
           3522.2       0.7267719
           3522.6       0.7484055
            3523.       0.7549168
           3523.4        0.747746
           3523.8       0.7698514
           3524.2       0.7545823
           3524.6       0.7285224
            3525.       0.7338659
           3525.4        0.715223
           3525.8       0.7171072
           3526.2       0.6875635
           3526.6       0.6676024
            3527.       0.6893651
           3527.4       0.7069713
           3527.8       0.7091221
           3528.2       0.7018768
           3528.6       0.7280384
            3529.       0.7774628
           3529.4       0.7370717
           3529.8       0.7170324
           3530.2       0.7212902
           3530.6       0.7127505
            3531.       0.7258207
           3531.4       0.7409329
           3531.8       0.7302688
           3532.2       0.7211152
           3532.6       0.7443842
            3533.       0.7638411
           3533.4       0.7528422
           3533.8       0.7562056
           3534.2       0.7517731
           3534.6       0.7227224
            3535.       0.7622781
           3535.4       0.7216917
           3535.8       0.7305235
           3536.2       0.7239357
           3536.6       0.7151949
            3537.       0.7226303
           3537.4       0.7221442
