Wave Flux FluxNorm
3600 9.99973424932e-05 9.32059169833e-05
3605 9.99973424932e-05 9.32059169833e-05
3610 9.99973424932e-05 9.32059169833e-05
3615 9.99973424932e-05 9.32059169833e-05
3620 9.99973424932e-05 9.32059169833e-05
3625 9.99973424932e-05 9.32059169833e-05
3630 9.99973424932e-05 9.32059169833e-05
3635 9.99973424932e-05 9.32059169833e-05
3640 9.99973424932e-05 9.32059169833e-05
3645 9.99973424932e-05 9.32059169833e-05
3650 9.99973424932e-05 9.32059169833e-05
3655 9.99973424932e-05 9.32059169833e-05
3660 9.99973424932e-05 9.32059169833e-05
3665 9.99973424932e-05 9.32059169833e-05
3670 9.99973424932e-05 9.32059169833e-05
3675 9.99973424932e-05 9.32059169833e-05
3680 9.99973424932e-05 9.32059169833e-05
3685 9.99973424932e-05 9.32059169833e-05
3690 9.99973424932e-05 9.32059169833e-05
3695 9.99973424932e-05 9.32059169833e-05
3700 9.99973424932e-05 9.32059169833e-05
3705 9.99973424932e-05 9.32059169833e-05
3710 9.99973424932e-05 9.32059169833e-05
3715 9.99973424932e-05 9.32059169833e-05
3720 9.99973424932e-05 9.32059169833e-05
3725 9.99973424932e-05 9.32059169833e-05
3730 9.99973424932e-05 9.32059169833e-05
3735 9.99973424932e-05 9.32059169833e-05
3740 9.99973424932e-05 9.32059169833e-05
3745 9.99973424932e-05 9.32059169833e-05
3750 9.99973424932e-05 9.32059169833e-05
3755 9.99973424932e-05 9.32059169833e-05
3760 9.99973424932e-05 9.32059169833e-05
3765 9.99973424932e-05 9.32059169833e-05
3770 9.99973424932e-05 9.32059169833e-05
3775 9.99973424932e-05 9.32059169833e-05
3780 9.99973424932e-05 9.32059169833e-05
3785 9.99973424932e-05 9.32059169833e-05
3790 9.99973424932e-05 9.32059169833e-05
3795 9.99973424932e-05 9.32059169833e-05
3800 9.99973424932e-05 9.32059169833e-05
3805 9.99973424932e-05 9.32059169833e-05
3810 9.99973424932e-05 9.32059169833e-05
3815 9.99973424932e-05 9.32059169833e-05
3820 9.99973424932e-05 9.32059169833e-05
3825 9.99973424932e-05 9.32059169833e-05
3830 9.99973424932e-05 9.32059169833e-05
3835 9.99973424932e-05 9.32059169833e-05
3840 9.99973424932e-05 9.32059169833e-05
3845 9.99973424932e-05 9.32059169833e-05
3850 9.99973424932e-05 9.32059169833e-05
3855 9.99973424932e-05 9.32059169833e-05
3860 9.99973424932e-05 9.32059169833e-05
3865 9.99973424932e-05 9.32059169833e-05
3870 9.99973424932e-05 9.32059169833e-05
3875 9.99973424932e-05 9.32059169833e-05
3880 9.99973424932e-05 9.32059169833e-05
3885 9.99973424932e-05 9.32059169833e-05
3890 9.99973424932e-05 9.32059169833e-05
3895 9.99973424932e-05 9.32059169833e-05
3900 9.99973424932e-05 9.32059169833e-05
3905 9.99973424932e-05 9.32059169833e-05
3910 9.99973424932e-05 9.32059169833e-05
3915 9.99973424932e-05 9.32059169833e-05
3920 9.99973424932e-05 9.32059169833e-05
3925 9.99973424932e-05 9.32059169833e-05
3930 9.99973424932e-05 9.32059169833e-05
3935 9.99973424932e-05 9.32059169833e-05
3940 9.99973424932e-05 9.32059169833e-05
3945 9.99973424932e-05 9.32059169833e-05
3950 9.99973424932e-05 9.32059169833e-05
3955 9.99973424932e-05 9.32059169833e-05
3960 9.99973424932e-05 9.32059169833e-05
3965 9.99973424932e-05 9.32059169833e-05
3970 9.99973424932e-05 9.32059169833e-05
3975 9.99973424932e-05 9.32059169833e-05
3980 9.99973424932e-05 9.32059169833e-05
3985 9.99973424932e-05 9.32059169833e-05
3990 9.99973424932e-05 9.32059169833e-05
3995 9.99973424932e-05 9.32059169833e-05
4000 9.99973424932e-05 9.32059169833e-05
4005 9.99973424932e-05 9.32059169833e-05
4010 9.99973424932e-05 9.32059169833e-05
4015 9.99973424932e-05 9.32059169833e-05
4020 9.99973424932e-05 9.32059169833e-05
4025 9.99973424932e-05 9.32059169833e-05
4030 9.99973424932e-05 9.32059169833e-05
4035 9.99973424932e-05 9.32059169833e-05
4040 9.99973424932e-05 9.32059169833e-05
4045 9.99973424932e-05 9.32059169833e-05
4050 9.99973424932e-05 9.32059169833e-05
4055 9.99973424932e-05 9.32059169833e-05
4060 9.99973424932e-05 9.32059169833e-05
4065 9.99973424932e-05 9.32059169833e-05
4070 9.99973424932e-05 9.32059169833e-05
4075 9.99973424932e-05 9.32059169833e-05
4080 9.99973424932e-05 9.32059169833e-05
4085 9.99973424932e-05 9.32059169833e-05
4090 9.99973424932e-05 9.32059169833e-05
4095 9.99973424932e-05 9.32059169833e-05
4100 9.99973424932e-05 9.32059169833e-05
4105 9.99973424932e-05 9.32059169833e-05
4110 9.99973424932e-05 9.32059169833e-05
4115 9.99973424932e-05 9.32059169833e-05
4120 9.99973424932e-05 9.32059169833e-05
4125 9.99973424932e-05 9.32059169833e-05
4130 9.99973424932e-05 9.32059169833e-05
4135 9.99973424932e-05 9.32059169833e-05
4140 9.99973424932e-05 9.32059169833e-05
4145 9.99973424932e-05 9.32059169833e-05
4150 9.99973424932e-05 9.32059169833e-05
4155 9.99973424932e-05 9.32059169833e-05
4160 9.99973424932e-05 9.32059169833e-05
4165 9.99973424932e-05 9.32059169833e-05
4170 9.99973424932e-05 9.32059169833e-05
4175 9.99973424932e-05 9.32059169833e-05
4180 9.99973424932e-05 9.32059169833e-05
4185 9.99973424932e-05 9.32059169833e-05
4190 9.99973424932e-05 9.32059169833e-05
4195 9.99973424932e-05 9.32059169833e-05
4200 9.99973424932e-05 9.32059169833e-05
4205 9.99973424932e-05 9.32059169833e-05
4210 9.99973424932e-05 9.32059169833e-05
4215 9.99973424932e-05 9.32059169833e-05
4220 9.99973424932e-05 9.32059169833e-05
4225 9.99973424932e-05 9.32059169833e-05
4230 9.99973424932e-05 9.32059169833e-05
4235 9.99973424932e-05 9.32059169833e-05
4240 9.99973424932e-05 9.32059169833e-05
4245 9.99973424932e-05 9.32059169833e-05
4250 9.99973424932e-05 9.32059169833e-05
4255 9.99973424932e-05 9.32059169833e-05
4260 9.99973424932e-05 9.32059169833e-05
4265 9.99973424932e-05 9.32059169833e-05
4270 9.99973424932e-05 9.32059169833e-05
4275 9.99973424932e-05 9.32059169833e-05
4280 9.99973424932e-05 9.32059169833e-05
4285 9.99973424932e-05 9.32059169833e-05
4290 9.99973424932e-05 9.32059169833e-05
4295 9.99973424932e-05 9.32059169833e-05
4300 9.99973424932e-05 9.32059169833e-05
4305 9.99973424932e-05 9.32059169833e-05
4310 9.99973424932e-05 9.32059169833e-05
4315 9.99973424932e-05 9.32059169833e-05
4320 9.99973424932e-05 9.32059169833e-05
4325 9.99973424932e-05 9.32059169833e-05
4330 9.99973424932e-05 9.32059169833e-05
4335 9.99973424932e-05 9.32059169833e-05
4340 9.99973424932e-05 9.32059169833e-05
4345 9.99973424932e-05 9.32059169833e-05
4350 9.99973424932e-05 9.32059169833e-05
4355 9.99973424932e-05 9.32059169833e-05
4360 9.99973424932e-05 9.32059169833e-05
4365 9.99973424932e-05 9.32059169833e-05
4370 9.99973424932e-05 9.32059169833e-05
4375 9.99973424932e-05 9.32059169833e-05
4380 9.99973424932e-05 9.32059169833e-05
4385 9.99973424932e-05 9.32059169833e-05
4390 9.99973424932e-05 9.32059169833e-05
4395 9.99973424932e-05 9.32059169833e-05
4400 9.99973424932e-05 9.32059169833e-05
4405 9.99973424932e-05 9.32059169833e-05
4410 9.99973424932e-05 9.32059169833e-05
4415 9.99973424932e-05 9.32059169833e-05
4420 9.99973424932e-05 9.32059169833e-05
4425 9.99973424932e-05 9.32059169833e-05
4430 9.99973424932e-05 9.32059169833e-05
4435 9.99973424932e-05 9.32059169833e-05
4440 9.99973424932e-05 9.32059169833e-05
4445 9.99973424932e-05 9.32059169833e-05
4450 9.99973424932e-05 9.32059169833e-05
4455 9.99973424932e-05 9.32059169833e-05
4460 9.99973424932e-05 9.32059169833e-05
4465 9.99973424932e-05 9.32059169833e-05
4470 9.99973424932e-05 9.32059169833e-05
4475 9.99973424932e-05 9.32059169833e-05
4480 9.99973424932e-05 9.32059169833e-05
4485 9.99973424932e-05 9.32059169833e-05
4490 9.99973424932e-05 9.32059169833e-05
4495 9.99973424932e-05 9.32059169833e-05
4500 9.99973424932e-05 9.32059169833e-05
4505 9.99973424932e-05 9.32059169833e-05
4510 9.99973424932e-05 9.32059169833e-05
4515 9.99973424932e-05 9.32059169833e-05
4520 9.99973424932e-05 9.32059169833e-05
4525 9.99973424932e-05 9.32059169833e-05
4530 9.99973424932e-05 9.32059169833e-05
4535 9.99973424932e-05 9.32059169833e-05
4540 9.99973424932e-05 9.32059169833e-05
4545 9.99973424932e-05 9.32059169833e-05
4550 9.99973424932e-05 9.32059169833e-05
4555 9.99973424932e-05 9.32059169833e-05
4560 9.99973424932e-05 9.32059169833e-05
4565 9.99973424932e-05 9.32059169833e-05
4570 9.99973424932e-05 9.32059169833e-05
4575 9.99973424932e-05 9.32059169833e-05
4580 9.99973424932e-05 9.32059169833e-05
4585 9.99973424932e-05 9.32059169833e-05
4590 9.99973424932e-05 9.32059169833e-05
4595 9.99973424932e-05 9.32059169833e-05
4600 9.99973424932e-05 9.32059169833e-05
4605 9.99973424932e-05 9.32059169833e-05
4610 9.99973424932e-05 9.32059169833e-05
4615 9.99973424932e-05 9.32059169833e-05
4620 9.99973424932e-05 9.32059169833e-05
4625 9.99973424932e-05 9.32059169833e-05
4630 9.99973424932e-05 9.32059169833e-05
4635 9.99973424932e-05 9.32059169833e-05
4640 9.99973424932e-05 9.32059169833e-05
4645 9.99973424932e-05 9.32059169833e-05
4650 9.99973424932e-05 9.32059169833e-05
4655 9.99973424932e-05 9.32059169833e-05
4660 9.99973424932e-05 9.32059169833e-05
4665 9.99973424932e-05 9.32059169833e-05
4670 9.99968764875e-05 9.32054826269e-05
4675 0.00225040700492 0.00209756822781
4680 0.484733173004 0.451812005756
4685 1.02938779015 0.959475827258
4690 1.010959826 0.942299417824
4695 1.00514084773 0.936875641635
4700 0.931820422978 0.868534851247
4705 0.927479982956 0.86448919681
4710 0.969246738591 0.903419318964
4715 0.973728629642 0.907596817634
4720 1.11729081695 1.04140882682
4725 1.09591961055 1.02148906855
4730 0.936077706374 0.872502996729
4735 0.998840630486 0.931003310323
4740 1.04569746925 0.974677817218
4745 1.06912083051 0.996510356063
4750 1.07259142014 0.999745236922
4755 0.988337257647 0.921213285183
4760 1.04986955811 0.978566554238
4765 0.949500791251 0.885014438568
4770 1.04115507571 0.970443925145
4775 1.09074787433 1.01666857628
4780 1.10870723627 1.03340820912
4785 1.02677857427 0.957043819041
4790 1.02862195218 0.958762001987
4795 1.13337898246 1.05640434752
4800 1.05512842921 0.983468263528
4805 1.0772847109 1.00411977787
4810 1.04836357365 0.977162850312
4815 1.08745489393 1.01359924214
4820 1.12152184734 1.04535250229
4825 1.02821987519 0.958387232481
4830 1.03814989046 0.967642840238
4835 1.05629958004 0.984559874412
4840 1.01270832346 0.943929164224
4845 1.04434019738 0.973412725904
4850 1.04170962741 0.970960813879
4855 0.959718905457 0.894538578717
4860 0.812062925534 0.756910811181
4865 0.898998661905 0.837942214867
4870 0.91250770226 0.850533774428
4875 0.937304037323 0.873646040111
4880 1.03056831899 0.960576179235
4885 0.976759756235 0.910422082051
4890 0.871891168607 0.81267575571
4895 1.07815978174 1.00493541734
4900 1.07641121443 1.00330560584
4905 1.04249031085 0.971688476377
4910 0.984083505353 0.917248430985
4915 1.05652774193 0.98477254045
4920 0.790097067429 0.736436787613
4925 0.972790708539 0.906722596437
4930 1.09358392968 1.01931201792
4935 1.01498245379 0.946048844585
4940 0.938050145578 0.874341475633
4945 1.09333714515 1.01908199403
4950 1.10344922573 1.02850730194
4955 1.03487105651 0.964586691776
